ID,POL,SPA,PoS,score
1419,uwalniać,presionar,verbs,0.1
1420,towarzysz,amante,nouns,1.65
1421,kompetencja,capacidad,nouns,3.5
1422,książę,república,nouns,0.1
1423,temat ,historia,nouns,0.85
1424,sukienka,danza,nouns,0.15
1425,erodować,vestir,verbs,0.0
1426,dystans,perspectiva,nouns,2.5
1427,klasa,universidad,nouns,1.05
1428,wiśnia,fresa,nouns,1.8
1429,deklarować,anunciar,verbs,4.6
1430,woda,coronación,nouns,0.0
1431,wypadek,libro,nouns,0.1
1432,ciało,espina,nouns,0.7
1433,zadanie,trabajo,nouns,3.75
1434,lokalnie,obviamente,adverbs,0.0
1435,gorączka,gripe,nouns,1.8
1436,nowy,no usado,adjectives,5.45
1437,fasola,tocino,nouns,0.35
1438,mnożyć,dividir,verbs,0.45
1439,miernik,coche,nouns,0.2
1440,stan,casa,nouns,0.1
1441,chłopiec,hijo,nouns,2.75
1442,pociąg,tranvía,nouns,2.3
1443,liść,planta de semilla,nouns,0.85
1444,przebiegły,difícil,adjectives,0.8
1445,znacząco,verdaderamente,adverbs,0.85
1446,plaża,isla,nouns,1.8
1447,zastąpić,restaurar,verbs,1.85
1448,połączony,mezclado,adjectives,1.95
1449,komórka,teléfono,nouns,5.25
1450,bogactwo,prestigio,nouns,1.35
1451,biuro,obrero,nouns,0.25
1452,niegrzeczny,agresivo,adjectives,2.45
1453,ściana,castillo,nouns,0.25
1454,bóg,presa,nouns,0.0
1455,próbować,lograr,verbs,0.65
1456,zaręczyny,anillo,nouns,1.4
1457,okrutny,injusto,adjectives,1.8
1458,poliester,algodón,nouns,1.0
1459,nos,cabeza,nouns,0.9
1460,natura,flora,nouns,2.75
1461,dama,hidalgo,nouns,1.05
1462,pastwisko,prado,nouns,4.25
1463,tramwaj,tren,nouns,2.3
1464,kolacja,sopa,nouns,1.85
1465,dziennikarz,poeta,nouns,0.7
1466,drewno,manta,nouns,0.05
1467,garnek,aparato,nouns,0.2
1468,dać,prestar,verbs,1.75
1469,zwycięzca,campeón,nouns,4.75
1470,przezwyciężyć,dominar,verbs,2.05
1471,brać,recibir,verbs,1.9
1472,światło słoneczne,manzana,nouns,0.3
1473,wysyłać,ir,verbs,0.35
1474,książka,ensayo,nouns,1.15
1475,osoba,animal,nouns,0.2
1476,robić,construir,verbs,3.45
1477,znaleźć,desaparecer,verbs,0.15
1478,cudaczny,extraño,adjectives,4.2
1479,kurczak,filete,nouns,1.55
1480,ogier,chico,nouns,0.7
1481,krzesło,sofá,nouns,1.85
1482,rzeczywistość,fantasía,nouns,0.15
1483,chirurgia,corazón,nouns,0.65
1484,zadowalać,satisfacer,verbs,4.95
1485,mężczyzna,padre,nouns,2.15
1486,morze,río,nouns,1.9
1487,cicho,pasivamente,adverbs,0.8
1488,dwukrotnie,siempre,adverbs,0.1
1489,siostrzeniec,tía,nouns,0.75
1490,odrzucić,elegir,verbs,0.4
1491,potępić,rechazar,verbs,2.45
1492,mężczyzna,sospechar,nouns,0.45
1493,powieść,escritor,nouns,0.95
1494,histeria,confusión,nouns,1.15
1495,dziecko,chico,nouns,3.65
1496,przekonywać,tratar,verbs,1.45
1497,test,juicio,nouns,1.15
1498,ściana,ladrillo,nouns,1.0
1499,obecność,puerta,nouns,0.3
1500,naukowiec,enfermera,nouns,0.2
1501,kolacja,desayuno,nouns,0.95
1502,precyzyjnie,activamente,adverbs,0.8
1503,paznokieć,cabeza,nouns,0.4
1504,kołyska,moisés,nouns,2.05
1505,prawo,justicia,nouns,1.8
1506,zostawić,ignorar,verbs,0.9
1507,proklamować,anunciar,verbs,4.15
1508,zatrzymywać,controlar,verbs,0.75
1509,dać,desconocer,verbs,0.1
1510,herbata,limón,nouns,0.3
1511,ignorować,evitar,verbs,3.2
1512,lotnisko,avión,nouns,1.25
1513,obłąkany,alegre,adjectives,0.1
1514,lampa,genio,nouns,0.8
1515,drewno,tronco,nouns,4.2
1516,mnich,sacerdote,nouns,2.9
1517,zawód,universidad,nouns,0.5
1518,pracodawca,obrero,nouns,0.8
1519,elektryczny,dulce,adjectives,0.0
1520,marynarka,isla,nouns,0.25
1521,chrzęścić,chasquear,verbs,1.55
1522,mrówka,volar,nouns,0.85
1523,rytm,aritmética,nouns,0.45
1524,umysł,cerebro,nouns,3.65
1525,hol,clase,nouns,0.35
1526,budynek,habitación,nouns,0.85
1527,obciążać,despreciar,verbs,0.4
1528,słowo,página,nouns,0.6
1529,prezydent,alcalde,nouns,1.9
1530,decydować,escoger,verbs,4.25
1531,nowy,fresco,adjectives,4.25
1532,ściana,decoración,nouns,0.6
1533,pakt,condición,nouns,2.15
1534,czasem,seguramente,adverbs,0.45
1535,kraść,tomar,verbs,1.1
1536,karać,golpear,verbs,1.25
1537,wybór,cárcel,nouns,0.2
1538,definicja,diccionario,nouns,2.05
1539,uroczystość,ceremonia,nouns,4.85
1540,podatek,ingresos,nouns,0.55
1541,dekoracja,pared,nouns,0.6
1542,palec,dedo del pie,nouns,4.7
1543,bystrze,maduro,adverbs,1.9
1544,wielki,flexible,adjectives,0.0
1545,nauczyciel,ayudante,nouns,0.7
1546,dojrzały,sofisticado,adjectives,1.5
1547,firma,negocio,nouns,4.5
1548,ignorować,explorar,verbs,0.1
1549,skłócać,irritar,verbs,1.6
1550,drugi pilot,policía,nouns,0.15
1551,lawina,nieve,nouns,1.75
1552,rozumieć,leer,verbs,1.15
1553,nieśmiały,costoso,adjectives,0.2
1554,umrzeć,desintegrarse,verbs,0.75
1555,przyjaciel,madre,nouns,0.4
1556,dom ,estado,nouns,0.1
1557,świetny,maravilloso,adjectives,5.15
1558,kanapa,béisbol,nouns,0.1
1559,kurczyć się,reducir,verbs,3.9
1560,kość,rodilla,nouns,1.15
1561,pożyczkobiorca,crédito,nouns,1.9
1562,jastrząb,pájaro,nouns,2.95
1563,alkohol,vino,nouns,2.4
1564,pogardliwy,desdeñoso,adjectives,3.65
1565,unosić się,cantar,verbs,0.0
1566,ruch,actividad,nouns,3.6
1567,brat,alma,nouns,0.3
1568,zapominać,recordar,verbs,0.05
1569,pole,cabina,nouns,0.75
1570,zaczynać,ir,verbs,0.3
1571,dodawać,multiplicar,verbs,0.75
1572,brudny,estrecho,adjectives,0.0
1573,pisać,garabatear,verbs,2.05
1574,policzek,lengua,nouns,0.5
1575,przeciwny,único,adjectives,0.75
1576,popularny,conocido,adjectives,4.7
1577,szczęśliwy,alegre,adjectives,4.95
1578,dać,negar,verbs,0.05
1579,niegrzeczny,ruidoso,adjectives,0.9
1580,sonet,belleza,nouns,0.35
1581,głupi,tonto,adjectives,5.2
1582,nieświadomy,regular,adjectives,0.0
1583,esej,tarea,nouns,2.85
1584,miska,callejón,nouns,0.0
1585,glob,mundo,nouns,3.75
1586,brama,puerta,nouns,4.45
1587,definiować,aclarar,verbs,4.0
1588,raz,instantáneamente,adverbs,0.55
1589,samochód,autopista,nouns,0.85
1590,śniadanie,cena,nouns,0.45
1591,urodziny,cita,nouns,1.65
1592,drzewo,hoja,nouns,1.0
1593,dolar,millonario,nouns,0.8
1594,nienawidzić,disfrutar,verbs,0.05
1595,nadgarstek,mano,nouns,2.0
1596,dojrzale,inteligentemente,adverbs,1.9
1597,rozpuszczać,derretir,verbs,2.85
1598,strona,párrafo,nouns,1.1
1599,miksować,combinar,verbs,4.45
1600,więzienie,elección,nouns,0.2
1601,ułaskawić,perdonar,verbs,3.35
1602,noc,capítulo,nouns,0.35
1603,aktywnie,pasivamente,adverbs,0.15
1604,przestraszony,tímido,adjectives,2.15
1605,rok,siglo,nouns,1.0
1606,marnować,preocuparse,verbs,0.05
1607,zlecenie,nota,nouns,0.65
1608,spód,parte superior,nouns,0.1
1609,oczywisty,aparente,adjectives,3.5
1610,publiczny,privado,adjectives,0.1
1611,tytoń,cigarrillo,nouns,3.2
1612,muzyka,flauta,nouns,1.2
1613,czytać,morder,verbs,0.0
1614,maszyna,motor,nouns,3.5
1615,pułkownik,dentista,nouns,0.15
1616,ścigać,seguir,verbs,3.5
1617,mikroskop,biólogo,nouns,1.0
1618,wyspa,armada,nouns,0.25
1619,włóczyć się,deambular,verbs,4.65
1620,fala,clima,nouns,0.35
1621,przeważnie,principalmente,adverbs,4.75
1622,baseball,sofá,nouns,0.1
1623,cyfra,citoplasma,nouns,0.0
1624,sypialnia,baño,nouns,0.95
1625,kobieta,hombre,nouns,0.85
1626,swobodnie,fácilmente,adverbs,2.8
1627,komputer,disco,nouns,1.3
1628,telewizja,guionista,nouns,0.6
1629,gubernator,emperador,nouns,1.65
1630,zaślubić,unir,verbs,2.4
1631,znany,popular,adjectives,4.7
1632,sytuacja,circunstancia,nouns,5.2
1633,szpital,cama,nouns,0.5
1634,przeciętny,regular,adjectives,3.6
1635,szosa,carretera,nouns,4.8
1636,przestępstwo,violación,nouns,3.35
1637,cicho,ruidosamente,adverbs,0.05
1638,poszukiwanie,objetivo,nouns,1.3
1639,słup,bandera,nouns,0.3
1640,stać  ,caminar,verbs,0.1
1641,wykres,gráfico,nouns,5.2
1642,tworzyć,destruir,verbs,0.05
1643,teraz,aquí,adverbs,1.5
1644,powietrze,helio,nouns,1.3
1645,pochować,morir,verbs,1.15
1646,organizować,recoger,verbs,1.9
1647,pić,aumentar,verbs,0.1
1648,odpowiedzialnie,independientemente,adverbs,0.7
1649,ksiądz,profeta,nouns,0.7
1650,zdarzyć się,hacer,verbs,0.55
1651,wycofywać się,salir,verbs,3.15
1652,tłok,motor,nouns,2.1
1653,szczęście,paz,nouns,2.3
1654,odrzucić,retirar,verbs,1.9
1655,opłata,salario,nouns,1.55
1656,twórca,fabricante,nouns,3.45
1657,jeździć,correr,verbs,0.3
1658,przyjaciel,huésped,nouns,1.4
1659,decydować,retratar,verbs,0.35
1660,król,nepotismo,nouns,1.2
1661,bystry,inteligente,adjectives,5.2
1662,pogoda,ola,nouns,0.35
1663,przypominać,olvidar,verbs,0.05
1664,afiks,sufijo,nouns,1.85
1665,uderzyć,objetivo,verbs,0.95
1666,wielkość,profundidad,nouns,1.25
1667,wytrzymałość,flor,nouns,0.05
1668,drogi,tímido,adjectives,0.2
1669,dać,saber,verbs,0.35
1670,kraść,comprar,verbs,0.1
1671,dezorientować,aprender,verbs,0.1
1672,nieujawniony,abierto,adjectives,0.0
1673,pytać,rezar,verbs,0.8
1674,szukać,preguntar,verbs,1.4
1675,korupcja,fraude,nouns,3.75
1676,niesamowity,maravilloso,adjectives,5.5
1677,praca,tarea,nouns,3.75
1678,wpłynąć,inclinarse,verbs,2.4
1679,niechlujny,limpiar,adjectives,0.45
1680,wymagać,organizar,verbs,0.4
1681,oddzielać,adjuntar,verbs,0.05
1682,lepkość,chapoteo,nouns,0.45
1683,żołądek,cuerpo,nouns,1.35
1684,skomplikowany,fácil,adjectives,0.1
1685,gra,acción,nouns,1.4
1686,bezcielesny,espiritual,adjectives,3.95
1687,krzesło,taburete,nouns,3.15
1688,data,calendario,nouns,1.45
1689,zmienić,alterar,verbs,3.75
1690,argumentować,asistir,verbs,0.1
1691,whisky,ginebra,nouns,1.0
1692,złączyć,añadir,verbs,2.95
1693,oficjalnie,fuertemente,adverbs,0.35
1694,kapitan,marinero,nouns,2.25
1695,pistolet,cañón,nouns,1.35
1696,kraść,dar,verbs,0.05
1697,ciało,brazo,nouns,1.3
1698,wędrować,salir,verbs,1.0
1699,kontemplować,pensar,verbs,2.6
1700,biblia,libro,nouns,2.6
1701,tasować,montar,verbs,0.3
1702,rejestr,fórmula,nouns,0.55
1703,tulić,abrazo,verbs,4.95
1704,edukować,enseñar,verbs,5.2
1705,pozostać,salir,verbs,0.05
1706,cynk,oro,nouns,0.85
1707,emocja,estado animico,nouns,3.65
1708,zbierać,ganancia,verbs,1.2
1709,gra,truco,nouns,1.5
1710,płukać,lavar,verbs,3.6
1711,wyrzekać się,reprimir,verbs,1.3
1712,odrzucić,evitar,verbs,2.55
1713,satyra,mito,nouns,1.9
1714,dysk,ordenador,nouns,1.3
1715,grzecznie,discretamente,adverbs,1.55
1716,księżniczka,rey,nouns,1.5
1717,błyszczeć,brillar,verbs,4.4
1718,kluczowy,importante,adjectives,4.9
1719,okno,puerta,nouns,0.95
1720,rakieta,ruido,nouns,0.25
1721,trzewia,nervio,nouns,0.6
1722,temat,libro,nouns,1.2
1723,kreatywny,innovador,adjectives,4.25
1724,semestr,término,nouns,1.4
1725,równanie,fórmula,nouns,3.6
1726,dyskutować,explicar,verbs,1.65
1727,kanion,valle,nouns,2.65
1728,zabić,destruir,verbs,1.75
1729,dzwon,torre,nouns,1.1
1730,powieść się,lograr,verbs,4.05
1731,bronić,proteger,verbs,5.05
1732,dumny,pobre,adjectives,0.2
1733,stopa,arena,nouns,0.2
1734,spalić,ahogar,verbs,0.15
1735,prezydent,cámara,nouns,0.45
1736,ustalać,evacuar,verbs,0.35
1737,jutro,esta noche,adverbs,0.2
1738,pozamałżeński,inmencionable,adjectives,0.25
1739,robotnik,mecánico,nouns,2.3
1740,whisky,alcohol,nouns,2.45
1741,giętki,móvil,adjectives,1.85
1742,uczęszczać,ven,verbs,2.4
1743,słownik,definición,nouns,2.05
1744,nieuczciwy,veraz,adjectives,0.05
1745,kciuk,mano,nouns,1.4
1746,metr,yarda,nouns,2.3
1747,zły,culpable,adjectives,1.7
1748,niedojrzały,irresponsable,adjectives,3.5
1749,smażyć,cocinar,verbs,2.7
1750,akceptować,recomendar,verbs,0.6
1751,łza,ojo,nouns,0.8
1752,inteligentny,listo,adjectives,5.2
1753,bankructwo,fracaso,nouns,2.3
1754,aktywnie,felizmente,adverbs,0.3
1755,inny,normal,adjectives,0.2
1756,dumnie,humildemente,adverbs,0.15
1757,ewaluować,aprender,verbs,1.3
1758,nienaturalnie,naturalmente,adverbs,0.05
1759,poręcz,cerca,nouns,0.7
1760,sąd,juez,nouns,1.3
1761,odchodzić,unirse,verbs,0.25
1762,cytryna,manzana,nouns,0.45
1763,napój,cerveza,nouns,2.45
1764,obszar,región,nouns,4.5
1765,grób,renacimiento,nouns,1.0
1766,powiadamiać,reconocer,verbs,0.7
1767,pokojówka,ayudante,nouns,2.0
1768,kamea,actuación,nouns,0.15
1769,zabić,lucha,verbs,0.75
1770,pensja,cuota,nouns,1.55
1771,bezpiecznie,cuidadosamente,adverbs,3.8
1772,elektryczność,caso,nouns,0.0
1773,umrzeć,enterrar,verbs,1.15
1774,rezygnować,hacer,verbs,0.2
1775,klawiatura,ligero,nouns,0.25
1776,mysz,envase,nouns,0.1
1777,pudełko,cabina,nouns,0.75
1778,polegać,depender,verbs,1.7
1779,słoma,himno,nouns,0.05
1780,wspaniały,encantador,adjectives,3.15
1781,polerować,informar,verbs,0.0
1782,dumny,fuerte,adjectives,0.9
1783,wyścigi,filósofo,nouns,0.15
1784,wiedzieć,creer,verbs,0.5
1785,żyć,sobrevivir,verbs,2.6
1786,bal,cañón,nouns,0.25
1787,szklanka,placa,nouns,0.4
1788,satysfakcjonować,complacer,verbs,4.95
1789,występ,camafeo,nouns,0.15
1790,tydzień,fin de semana,nouns,1.55
1791,ranić,patear,verbs,1.2
1792,budka,caja,nouns,0.75
1793,sekularysta,religión,nouns,0.1
1794,wolny,inocente,adjectives,0.6
1795,kochanek,compañero,nouns,1.65
1796,cel,ganador,nouns,0.45
1797,pistolet,sargento,nouns,0.4
1798,żołnierz,niño,nouns,0.2
1799,biotop,biología,nouns,0.65
1800,gardło,nariz,nouns,0.6
1801,miękko,firmemente,adverbs,0.15
1802,robotnik,empleador,nouns,0.8
1803,sacharoza,carbohidrato,nouns,2.05
1804,jedzenie,programa,nouns,0.05
1805,wszechmoc,supremacía,nouns,2.2
1806,święty,pecador,nouns,0.0
1807,ręka,pulgar,nouns,1.4
1808,psychologia,ciencia,nouns,1.4
1809,wygrać,dominar,verbs,2.35
1810,robotyka,simulación,nouns,0.9
1811,gotówka,dinero,nouns,5.05
1812,elastyczny,flexible,adjectives,4.75
1813,weryfikować,justificar,verbs,1.75
1814,okoliczność,situación,nouns,5.2
1815,szeryf,policía,nouns,3.65
1816,sałatka,dieta,nouns,0.7
1817,siatkówka,pelota,nouns,1.35
1818,sylaba,lema,nouns,0.45
1819,zgadzać się,diferir de,verbs,0.15
1820,wgląd,inteligencia,nouns,0.6
1821,stanowczo,tranquilamente,adverbs,0.75
1822,biznes,empresa,nouns,4.5
1823,weksylologia,bandera,nouns,1.2
1824,zgądzać się,aceptar,verbs,4.4
1825,biskup,arzobispo,nouns,2.5
1826,prezydent,alumno,nouns,0.1
1827,rafa,playa,nouns,1.05
1828,akceptować,entregar,verbs,0.2
1829,kapać,verter,verbs,1.5
1830,płuco,hígado,nouns,0.7
1831,trik,juego,nouns,1.5
1832,łóżko,habitación,nouns,1.4
1833,aresztować,sospechar,verbs,1.0
1834,miód,azúcar,nouns,0.95
1835,piec,freír,verbs,2.05
1836,zadowalać,alegar,verbs,0.35
1837,kość,dientes,nouns,2.0
1838,zły,terrible,adjectives,3.55
1839,zęby,hueso,nouns,2.0
1840,babeczka,perejil,nouns,0.25
1841,polegać,fallar,verbs,0.1
1842,rytm,poema,nouns,0.8
1843,żona,agujero,nouns,0.0
1844,spragniony,hambriento,adjectives,1.1
1845,serce,cirugía,nouns,0.65
1846,dom,granero,nouns,0.7
1847,przyjaciel,chico,nouns,1.5
1848,walka,beligerancia,nouns,3.1
1849,sypialnia,estómago,nouns,0.1
1850,pokój,bañera,nouns,0.45
1851,znany,bien,adjectives,0.25
1852,przytulić,ahogar,verbs,0.35
1853,zdolność,competencia,nouns,3.25
1854,autor,lector,nouns,0.4
1855,przemoczyć,reducir,verbs,0.0
1856,mnich,cruzar,nouns,0.25
1857,nadgarstek,brazo,nouns,1.0
1858,samochód,taxi,nouns,3.65
1859,krew,cuerpo,nouns,0.5
1860,wichura,manta,nouns,0.05
1861,filiżanka,tarro,nouns,1.9
1862,drewno,piedra,nouns,0.55
1863,medal,zapatillas,nouns,0.15
1864,jabłko,sol,nouns,0.3
1865,anarchia,caos,nouns,4.15
1866,gwałtowny,pasivo,adjectives,0.1
1867,rozpuszczać,mezclar,verbs,1.65
1868,kiedykolwiek,a veces,adverbs,1.15
1869,nielegalny,legal,adjectives,0.1
1870,dżinsy,mujer,nouns,0.15
1871,pokornie,mal,adverbs,0.15
1872,winić,empujar,verbs,0.05
1873,zwykle,sinceramente,adverbs,0.7
1874,zadowalać,estar de acuerdo,verbs,0.95
1875,drzwi,campana,nouns,0.25
1876,prawdziwie,perfectamente,adverbs,0.95
1877,nieprawdopodobny,ordinario,adjectives,0.15
1878,atmosfera,contaminación,nouns,0.85
1879,dekada,siglo,nouns,0.7
1880,ocet,ensalada,nouns,0.7
1881,zabić,ahogarse,verbs,1.5
1882,wierzyć,aceptar,verbs,1.4
1883,chrapać,despierto,verbs,0.15
1884,grad,lluvia,nouns,1.15
1885,kurczyć się,crecer,verbs,0.1
1886,niszczyć,hacer,verbs,0.1
1887,oszukać,engañar,verbs,4.4
1888,student,profesor,nouns,0.4
1889,dar,escritor,nouns,0.05
1890,doktor,médico,nouns,5.35
1891,przybywać,asistir,verbs,2.1
1892,umiejętność,competencia,nouns,3.5
1893,zapominać,conservar,verbs,0.45
1894,powiedzieć,verificar,verbs,0.65
1895,norka,petróleo,nouns,0.05
1896,jabłko,limón,nouns,0.45
1897,pszczoła,hormiga,nouns,0.75
1898,pasja,emoción,nouns,2.7
1899,stół,puesta de sol,nouns,0.05
1900,słowo,periódico,nouns,0.75
1901,gość,amigo,nouns,1.4
1902,przebierać się,cubrir,verbs,0.9
1903,kwadrat,mapa,nouns,0.2
1904,przyjazny,improbable,adjectives,0.05
1905,szczęśliwie,sin peligro,adverbs,1.2
1906,lemma,sílaba,nouns,0.45
1907,rura,cigarro,nouns,0.25
1908,muzułmanin,obispo,nouns,0.25
1909,nabyć,obtener,verbs,4.6
1910,bronić,matar,verbs,0.35
1911,bęben,cuerno,nouns,0.6
1912,opera,cine,nouns,1.35
1913,miesiąc,agosto,nouns,2.6
1914,uwalniać,captura,verbs,0.2
1915,cząsteczka,aire,nouns,0.9
1916,hałas,raqueta,nouns,0.25
1917,szczęśliwie,activamente,adverbs,0.3
1918,mgła,nube,nouns,1.95
1919,ziarnko,café,nouns,0.65
1920,dążyć,investigar,verbs,0.7
1921,rozbić,tropezarse,verbs,2.05
1922,ubrania,cajón,nouns,0.8
1923,dokładnie,exactamente,adverbs,5.55
1924,mieszany,antiguo,adjectives,0.05
1925,pracownik,empleador,nouns,0.95
1926,zgadzać się,discutir,verbs,0.25
1927,miesięczny,semanal,adjectives,0.5
1928,kompas,elefante,nouns,0.05
1929,wygięty,agresivo,adjectives,0.0
1930,czasem,cuando,adverbs,1.15
1931,zachować,apreciar,verbs,0.25
1932,drut,cuerda,nouns,2.9
1933,odejmować,perder,verbs,0.9
1934,niebezpieczeństwo,enfermedad,nouns,0.55
1935,rak,enfermedad,nouns,3.45
1936,nudny,cansado,adjectives,0.9
1937,podłoga,techo,nouns,0.8
1938,rezygnować,empezar,verbs,0.1
1939,zezwalać,erosionar,verbs,0.0
1940,gotowany,hervido,adjectives,4.2
1941,charakter,persona,nouns,2.2
1942,ramię,rodilla,nouns,0.55
1943,twórca,autor,nouns,5.6
1944,autor,creador,nouns,5.6
1945,fałszywy,artificial,adjectives,3.9
1946,aktor,televisión,nouns,0.7
1947,sędzia pokoju,juez,nouns,3.45
1948,organizować,volverse,verbs,0.15
1949,kod,símbolo,nouns,2.15
1950,zbierać,organizar,verbs,1.9
1951,trudny,fácil,adjectives,0.1
1952,rozmiar,magnitud,nouns,5.1
1953,wymiotować,cerrar,verbs,0.0
1954,alkohol,cerveza,nouns,3.05
1955,scenarzysta,televisión,nouns,0.6
1956,wydawać się,pretender,verbs,1.8
1957,ogłaszać,declarar,verbs,4.6
1958,zmysł,intuición,nouns,3.8
1959,zupa,cena,nouns,1.85
1960,córka,padre,nouns,0.45
1961,dekada,era,nouns,2.6
1962,dostać,perder,verbs,0.1
1963,towarzysz,compañero,nouns,4.4
1964,trzcina cukrowa,segadora,nouns,0.25
1965,gęsty,tonto,adjectives,0.2
1966,zarazek,patógeno,nouns,3.5
1967,ogień,apocalipsis,nouns,1.0
1968,skromny,flexible,adjectives,0.15
1969,triumf,victoria,nouns,5.75
1970,trząść,remover,verbs,2.45
1971,tworzyć,dibujar,verbs,1.7
1972,swoboda,censura,nouns,0.1
1973,dolegliwość,peligro,nouns,0.55
1974,kinematografia,director,nouns,1.6
1975,niebieski,rojo,adjectives,0.25
1976,drżeć,congelar,verbs,0.75
1977,pistolet,gente,nouns,0.05
1978,samochód,manguera,nouns,0.4
1979,katastrofa,muerte,nouns,1.6
1980,bagaż,circunnavegación,nouns,0.55
1981,przekonanie,concepto,nouns,1.85
1982,książka,biblia,nouns,2.6
1983,uderzyć,perder,verbs,0.15
1984,wartość,creencia,nouns,1.95
1985,chmura,clima,nouns,0.75
1986,dolegliwość,infección,nouns,2.45
1987,robotnik,oficina,nouns,0.25
1988,szukać,deambular,verbs,1.1
1989,neutralny,calma,adjectives,1.3
1990,zasłona,barra,nouns,0.2
1991,niepewny,asustado,adjectives,1.95
1992,bark,cuerpo,nouns,1.0
1993,cebulka,flor,nouns,1.55
1994,otrzymywać,dar,verbs,0.35
1995,prywatny,personal,adjectives,4.75
1996,śmierć,tragedia,nouns,2.6
1997,powiadamiać,retratar,verbs,0.95
1998,ćwiczyć,repetir,verbs,2.9
1999,kaliber,paraguas,nouns,0.1
2000,składnia,palabra principal,nouns,0.65
2001,prosto,aparentemente,adverbs,0.85
2002,zaprzeczać,evitar,verbs,0.7
2003,rząd,lagartija,nouns,0.0
2004,kibic,grillo,nouns,0.2
2005,konstytucja,senado,nouns,1.15
2006,wąski,amplio,adjectives,0.1
2007,chmura,ventana,nouns,0.35
2008,alkohol,whisky,nouns,2.45
2009,pewny,tedioso,adjectives,0.05
2010,zimny,ordinario,adjectives,0.05
2011,samochód,automóvil,nouns,5.45
2012,indyk,pájaro,nouns,2.85
2013,kanonierka,costa,nouns,0.35
2014,sufiks,afijo,nouns,1.85
2015,decydować,juzgar,verbs,2.15
2016,wampir,murciélago,nouns,1.35
2017,antropologia,arqueología,nouns,1.3
2018,miasteczko,ciudad,nouns,3.4
2019,winny,avergonzado,adjectives,1.05
2020,trzasnąć,crujir,verbs,1.55
2021,sok,manzana,nouns,0.8
2022,krew,médula,nouns,1.0
2023,rama,golpear,nouns,0.15
2024,blisko,localmente,adverbs,2.5
2025,symbol,código,nouns,2.15
2026,bóg,espíritu,nouns,1.8
2027,lokalnie,cercanamente,adverbs,2.5
2028,zachęcać,desalentar,verbs,0.15
2029,kandydat,ganador,nouns,1.2
2030,pojętny,tonto,adjectives,0.1
2031,kamera,continuación,nouns,0.1
2032,praca domowa,ensayo,nouns,2.85
2033,kłaść,dar,verbs,0.8
2034,pieniądze,diamante,nouns,0.6
2035,redukować,empapar,verbs,0.0
2036,łóżko,habitación,nouns,0.8
2037,płot,carril,nouns,0.7
2038,pływać,reunirse,verbs,0.0
2039,drażnić,asaltar,verbs,0.95
2040,orkiestra,banda,nouns,4.0
2041,kłócić się,estar de acuerdo,verbs,0.25
2042,uderzyć,atraer,verbs,0.05
2043,długi,corto,adjectives,0.1
2044,biografia,ficción,nouns,0.5
2045,tłumacz,extranjero,nouns,0.45
2046,żołądek,cintura,nouns,0.75
2047,zranić,enfadar,verbs,1.5
2048,komunikacja,conversacion,nouns,3.05
2049,porozumienie,agujero,nouns,0.0
2050,kabel,capilla,nouns,0.05
2051,chicho,naturalmente,adverbs,0.7
2052,doktor,templar,nouns,0.15
2053,język ,músculo,nouns,1.65
2054,wiadomości,medio,nouns,1.65
2055,pożyczać,mantener,verbs,0.1
2056,regularny,promedio,adjectives,3.6
2057,port,envoltura,nouns,0.1
2058,świetny,horrible,adjectives,0.1
2059,grubo,aproximadamente,adverbs,0.45
2060,więzienie,bar,nouns,0.25
2061,przyłączać,separar,verbs,0.05
2062,płatność,cuota,nouns,4.7
2063,wymieszać,disolver,verbs,1.65
2064,dorosły,padre,nouns,1.7
2065,łazienka,cocina,nouns,0.6
2066,samochód,cuerno,nouns,0.1
2067,żłób,cuna,nouns,2.05
2068,gotować,freír,verbs,2.7
2069,kolacja,pollo,nouns,1.0
2070,infekcja,inflexión,nouns,0.15
2071,słusznie,maduro,adverbs,1.5
2072,płakać,reír,verbs,0.15
2073,modlić się,comunicar,verbs,0.5
2074,liczba,dígito,nouns,4.75
2075,traktować,paga,verbs,0.3
2076,podatny,impotente,adjectives,1.35
2077,woda,sequía,nouns,0.5
2078,nudny,emocionante,adjectives,0.1
2079,nowy,antiguo,adjectives,0.1
2080,łokieć,tobillo,nouns,0.6
2081,plaża,orilla,nouns,3.2
2082,czekolada,tarta,nouns,0.9
2083,oponent,adversario,nouns,5.0
2084,poranek,día,nouns,2.9
2085,chybić,hacer huelga,verbs,0.15
2086,acetaminofen,bronquitis,nouns,0.65
2087,dzieło sztuki,artista,nouns,1.3
2088,niedawno,de manera realista,adverbs,0.0
2089,pistolet,cuaderno,nouns,0.05
2090,destrukcja,construcción,nouns,0.15
2091,rozzłoszczony,violento,adjectives,2.2
2092,asteroida,estrella,nouns,2.05
2093,chaotyczny,organizado,adjectives,0.05
2094,kręgosłup,cuerpo,nouns,0.7
2095,książka,tema,nouns,0.45
2096,spokojnie,pacíficamente,adverbs,3.8
2097,mleko,jugo,nouns,0.65
2098,ranić,atacar,verbs,2.45
2099,inteligencja,ignorancia,nouns,0.35
2100,pilnie,con rapidez,adverbs,4.25
2101,legion,ejército,nouns,3.1
2102,dzwon,puerta,nouns,0.25
2103,wieczór,puesta de sol,nouns,2.15
2104,udawać,imaginar,verbs,1.65
2105,dowiadywać się,buscar,verbs,1.4
2106,futro,mujer,nouns,0.15
