ID,HEB,SPA,PoS,score
1416,ללכת,enviar,verbs,0.7
1417,מגמה,volcán,nouns,1.8
1418,תפוח,sol,nouns,0.25
1419,הנהלה,ratón,nouns,0.0
1420,אישה,marido,nouns,1.6
1421,קל,sencillo,adjectives,4.0
1422,נורא,genial,adjectives,0.5
1423,אשם,honesto,adjectives,0.35
1424,מבחן,silaba,nouns,0.65
1425,ראש,pie,nouns,0.8
1426,קהל,populacho,nouns,3.8
1427,פרפסיכולוגיה,neuropsicología,nouns,1.2
1428,פשע,violación,nouns,2.6
1429,פרופסור,estudiante,nouns,0.9
1430,פעמיים,siempre,adverbs,0.5
1431,חמאה,patata,nouns,0.85
1432,שומר,hombre,nouns,0.75
1433,מסיבה,gente,nouns,1.15
1434,עצב,intestino,nouns,0.65
1435,שיעור,valor,nouns,2.0
1436,לחקור,perseguir,verbs,1.1
1437,בקר,oveja,nouns,2.65
1438,רכילות,noticias,nouns,2.15
1439,כבידה,meteorito,nouns,1.2
1440,לגמוע,tragar,verbs,2.4
1441,גלובוס,mundo,nouns,3.4
1442,נוקשה,áspero,adjectives,1.25
1443,קנקן,botella,nouns,2.55
1444,אם,papá,nouns,2.4
1445,חליל,música,nouns,1.55
1446,גדול,enorme,adjectives,5.0
1447,זיהום,atmósfera,nouns,0.95
1448,תפוח,caramelo,nouns,0.85
1449,המטולוגיה,patología,nouns,1.9
1450,להשאיל,dar,verbs,2.15
1451,שטן,dios,nouns,1.2
1452,רהיט,apartamento,nouns,0.75
1453,רגוע,neutral,adjectives,1.35
1454,שחר,pistola,nouns,0.0
1455,נוכחות,puerta,nouns,0.45
1456,אנשים,dólar,nouns,0.1
1457,עולם,globo,nouns,3.4
1458,מכוסה,descubierto,adjectives,0.6
1459,פרח,bulbo,nouns,1.7
1460,קצר,largo,adjectives,0.6
1461,להקטין,restringir,verbs,1.95
1462,לעזוב,esperar,verbs,0.4
1463,בעיקר,profundamente,adverbs,1.2
1464,רגש,estado animico,nouns,3.25
1465,לרוב,principalmente,adverbs,4.6
1466,חג,calendario,nouns,1.35
1467,לכסות,enterrar,verbs,3.05
1468,לבנות,destruir,verbs,0.6
1469,ארוחה,tocino,nouns,0.85
1470,אוטובוס,taxi,nouns,2.15
1471,סבולת,fuerza,nouns,2.85
1472,חשוב,necesario,adjectives,3.4
1473,נחש,lagartija,nouns,1.55
1474,לרמות,engañar,verbs,4.75
1475,מבוגר,padre,nouns,1.5
1476,לחנך,enseñar,verbs,4.6
1477,לא הוגן,cruel,adjectives,1.45
1478,לצרף,mezcla,verbs,4.3
1479,נשיא,contaminación,nouns,0.3
1480,שער,puerta,nouns,4.6
1481,חדש,fresco,adjectives,3.75
1482,דרך,acción,nouns,1.65
1483,מצלמה,lente,nouns,2.15
1484,להרשות,refutar,verbs,0.35
1485,עורך דין,fiscal,nouns,2.45
1486,סמל,pistola,nouns,0.55
1487,עץ,papel,nouns,1.2
1488,נפלא,genial,adjectives,4.45
1489,עייף,aburrido,adjectives,1.25
1490,חרק,abeja,nouns,2.4
1491,רגיל,extraño,adjectives,0.6
1492,באופן מקומי,obviamente,adverbs,0.1
1493,כלה,princesa,nouns,1.2
1494,טבע,flora,nouns,2.35
1495,שמח,contento,adjectives,4.75
1496,סירה,ancla,nouns,1.2
1497,לקדם,avanzar,verbs,2.25
1498,לשקר,negar,verbs,1.3
1499,בזוי,despreciativo,adjectives,3.65
1500,טלפון,víctima,nouns,0.15
1501,מונית,coche,nouns,3.25
1502,עלה,árbol,nouns,1.45
1503,ברך,brazo,nouns,1.0
1504,להיכנס,salir,verbs,0.5
1505,דבורה,insecto,nouns,2.4
1506,להתארס,casar,verbs,1.45
1507,לקרות,hacer,verbs,0.95
1508,כבל,capilla,nouns,0.0
1509,להפוך,parecer,verbs,0.25
1510,רעיה,agujero,nouns,0.0
1511,סיפור,tema,nouns,1.1
1512,כיסא,cama,nouns,1.3
1513,מיוחד,valioso,adjectives,3.75
1514,טיפש,tonto,adjectives,4.85
1515,עגל,toro,nouns,2.45
1516,שמיכה,madera,nouns,0.2
1517,יריב,oponente,nouns,4.45
1518,כלב,gato,nouns,1.1
1519,לשפוך,gotear,verbs,2.0
1520,לשלוט,ganar,verbs,2.1
1521,נזק,dolor,nouns,2.1
1522,סיר,aparato,nouns,0.65
1523,לתת,robar,verbs,0.45
1524,קובייה,dado,nouns,4.0
1525,תולעת משי,oruga,nouns,2.75
1526,מכנית,idealmente,adverbs,0.25
1527,המשך,cámara,nouns,0.1
1528,אקזוטי,raro,adjectives,4.4
1529,פעמון,puerta,nouns,0.7
1530,כיף,fútbol,nouns,1.0
1531,להתכנס,asistir,verbs,1.3
1532,ילד,hermano,nouns,2.15
1533,להחליט,juzgar,verbs,2.35
1534,לקלקל,oler,verbs,0.05
1535,להקניט,herir,verbs,2.0
1536,תאריך,cumpleaños,nouns,1.5
1537,פעם אחת,dos veces,adverbs,1.1
1538,לדרוש,preguntar,verbs,1.4
1539,לשיר,reír,verbs,0.55
1540,להעיד,juez,verbs,0.95
1541,לגנוב,dar,verbs,0.45
1542,מהנה,alegre,adjectives,2.95
1543,קורבן,teléfono,nouns,0.15
1544,ילד,chico,nouns,4.0
1545,לעיתים קרובות,a veces,adverbs,2.05
1546,לרצות,alegar,verbs,0.65
1547,לבדר,disfrutar,verbs,1.65
1548,מזל,felicidad,nouns,0.9
1549,להתמוסס,derretir,verbs,2.1
1550,נץ,pájaro,nouns,2.25
1551,להכריז,anunciar,verbs,4.45
1552,מייפל,roble,nouns,1.6
1553,להפוך,hacer,verbs,0.55
1554,פרק,cola,nouns,0.25
1555,דלת,presencia,nouns,0.45
1556,מועמד,solicitud,nouns,2.05
1557,לתת,saber,verbs,0.25
1558,בערך,seguramente,adverbs,0.8
1559,בטוח,legal,adjectives,1.15
1560,להצטרף,participar,verbs,2.8
1561,נפלא,encantador,adjectives,3.2
1562,קש,tarea,nouns,0.05
1563,אופרה,cine,nouns,1.7
1564,עמלה,salario,nouns,1.5
1565,נסיכה,isla,nouns,0.35
1566,לשמור,defender,verbs,4.6
1567,להאמין,saber,verbs,0.9
1568,צוק,cola,nouns,0.0
1569,מטוס,aeropuerto,nouns,1.4
1570,טריק,tamaño,nouns,0.0
1571,פסיקה,juicio,nouns,2.8
1572,פוטבול,fútbol americano,nouns,2.75
1573,צוות,vocalista,nouns,0.3
1574,ספר,materia,nouns,1.2
1575,ללבוש,erosionar,verbs,0.25
1576,טיפש,obstinado,adjectives,0.75
1577,אוויוניקה,aeronáutica,nouns,2.5
1578,צפון,sur,nouns,1.0
1579,קצין,diputado,nouns,1.9
1580,חלש,picante,adjectives,0.1
1581,שותף,chico,nouns,1.25
1582,לעצבן,asaltar,verbs,0.95
1583,להחליט,escoger,verbs,3.65
1584,עצב,cuerpo,nouns,0.75
1585,גף,pierna,nouns,3.25
1586,למצוא,adquirir,verbs,1.2
1587,להקשיב,oír,verbs,4.45
1588,אמונה,valor,nouns,2.1
1589,חבר,huésped,nouns,1.85
1590,נוקשה,fácil,adjectives,0.45
1591,עכבר,envase,nouns,0.05
1592,עמק,río,nouns,1.8
1593,זמר,coro,nouns,1.7
1594,חלק,aeropuerto,nouns,0.1
1595,פעמיים,una vez,adverbs,1.1
1596,במיוחד,significativamente,adverbs,2.6
1597,שלג,hielo,nouns,2.95
1598,לחלק,multiplicar,verbs,1.15
1599,תעלול,bañera,nouns,0.0
1600,בוץ,suciedad,nouns,2.35
1601,לבחור,decidir,verbs,3.65
1602,מלגה,matrícula,nouns,1.25
1603,להגיע,reunir,verbs,1.3
1604,משונה,extraño,adjectives,5.3
1605,אמא,esposa,nouns,2.3
1606,בשלווה,orgullosamente,adverbs,0.2
1607,עפרון,historia,nouns,0.7
1608,ייסורים,dolor,nouns,3.45
1609,להתרכבל,abrazo,verbs,4.1
1610,פיל,brújula,nouns,0.05
1611,להוכיח,explicar,verbs,2.05
1612,אישי,privado,adjectives,4.6
1613,להקטין,empapar,verbs,0.25
1614,נורא,tristemente,adverbs,0.85
1615,לשמוע,escuchar,verbs,4.45
1616,ענן,ventana,nouns,0.65
1617,להיפגש,nadar,verbs,0.05
1618,לפנות,determinar,verbs,0.45
1619,כדורעף,pelota,nouns,1.7
1620,יום הולדת,año,nouns,1.4
1621,בפתיחות,macizamente,adverbs,0.4
1622,למה,sílaba,nouns,1.0
1623,לבזבז,preocuparse,verbs,0.15
1624,רצפה,techo,nouns,0.95
1625,לדרוש,reñir,verbs,1.25
1626,לתת,prestar,verbs,2.15
1627,חשוד,hombre,nouns,0.6
1628,אגודל,mano,nouns,1.55
1629,מושחת,malo,adjectives,2.35
1630,לקחת,salir,verbs,0.35
1631,חוק,convención,nouns,2.6
1632,מפורסם,conocido,adjectives,4.3
1633,להרוס,construir,verbs,0.6
1634,בעיקר,mayormente,adverbs,4.6
1635,רע,deshonesto,adjectives,1.25
1636,לדחות,terminar,verbs,0.6
1637,לרצות,desear,verbs,4.35
1638,חתול,mascota,nouns,3.0
1639,להודיע,proclamar,verbs,4.45
1640,טלויזיה,guionista,nouns,1.2
1641,אשם,avergonzado,adjectives,1.3
1642,קש,esposa,nouns,0.25
1643,הודו,pájaro,nouns,2.15
1644,לעיתים רחוקות,nunca,adverbs,2.0
1645,חומצה,base,nouns,1.1
1646,מאוד,increíblemente,adverbs,0.4
1647,להתווכח,persuadir,verbs,1.55
1648,סיפון,bote,nouns,1.35
1649,פרווה,mujer,nouns,0.35
1650,לחנוק,abrazar,verbs,0.7
1651,פה,labio,nouns,1.85
1652,לנגב,deteriorarse,verbs,0.2
1653,זעם,enfado,nouns,4.6
1654,שריפה,apocalipsis,nouns,0.95
1655,מגן,rodela,nouns,1.8
1656,מוט,cortina,nouns,0.9
1657,צמיחה,fertilizante,nouns,1.05
1658,אורז,pollo,nouns,0.8
1659,שיכור,sobrio,adjectives,0.6
1660,חלב,jugo,nouns,1.1
1661,אלגברה,operación,nouns,1.25
1662,להצטרף,salir,verbs,0.75
1663,חימום מחדש,precalentamiento,nouns,2.1
1664,לבנים,cuerpo,nouns,0.5
1665,כסף,perla,nouns,0.95
1666,עוינות,agresión,nouns,3.65
1667,סוס,potro,nouns,2.55
1668,פרצטמול,bronquitis,nouns,1.05
1669,אסיפה,convocatoria,nouns,4.9
1670,שונה,normal,adjectives,0.55
1671,מוח,sangre,nouns,1.35
1672,לרדוף,capturar,verbs,1.45
1673,להפוך,organizar,verbs,0.65
1674,עצם,músculo,nouns,0.75
1675,מערכת,culpa,nouns,0.3
1676,חדשות,chisme,nouns,2.15
1677,להפציר,complacer,verbs,0.65
1678,מלוכלך,barato,adjectives,0.4
1679,סופני,principalmente,adverbs,0.2
1680,תסריטאי,televisión,nouns,1.2
1681,לתקוף,herir,verbs,2.8
1682,גאה,triste,adjectives,0.3
1683,ארכיאולוגיה,antropología,nouns,1.5
1684,למות,enterrar,verbs,1.1
1685,בן,padre,nouns,1.8
1686,מטאטא,polvo,nouns,1.1
1687,לקבל,disminuir,verbs,0.45
1688,סילון,avión,nouns,0.7
1689,לריב,morder,verbs,0.9
1690,מיומנות,inteligencia,nouns,1.9
1691,להתווכח,convencer,verbs,1.5
1692,להרוס,descomponer,verbs,3.35
1693,דלת,fraternidad,nouns,0.2
1694,במאי,cinematografía,nouns,1.65
1695,אבא,hija,nouns,0.95
1696,פיתוח,recaudación de fondos,nouns,0.8
1697,לקבל,poner,verbs,0.5
1698,יוצר,autor,nouns,4.6
1699,באופן מוזר,diferentemente,adverbs,0.95
1700,צפוף,tonto,adjectives,0.3
1701,שיעור,caos,nouns,0.2
1702,צער,agonía,nouns,3.45
1703,תשלום,moneda,nouns,1.95
1704,פול,café,nouns,0.8
1705,לרחף,cantar,verbs,0.2
1706,באופן מדהים,muy,adverbs,0.4
1707,להחזיק,absorber,verbs,0.6
1708,יופי,soneto,nouns,0.45
1709,צמיגות,chapoteo,nouns,0.7
1710,תחזית,nube,nouns,0.95
1711,קצב,aritmética,nouns,0.55
1712,מכולה,botella,nouns,1.3
1713,חיפוש,objetivo,nouns,1.2
1714,נורא,malo,adjectives,3.2
1715,לבזבז,salvar,verbs,0.55
1716,להעניש,obedecer,verbs,0.9
1717,להסביר,probar,verbs,2.05
1718,אלון,arce,nouns,1.6
1719,ישן,fresco,adjectives,0.5
1720,להתקדם,promover,verbs,2.25
1721,מנוע,pistón,nouns,1.95
1722,רחב,estrecho,adjectives,0.6
1723,ייתכן,con optimismo,adverbs,1.05
1724,חשוף,cubierto,adjectives,0.6
1725,אישה,tarea,nouns,0.1
1726,מוספית,sufijo,nouns,2.55
1727,במקור,creativamente,adverbs,1.3
1728,כף רגל,base,nouns,1.65
1729,אפשרי,imposible,adjectives,0.6
1730,לסדר,exigir,verbs,0.3
1731,במדוייק,precisamente,adverbs,4.95
1732,מוסיקה,melodía,nouns,3.8
1733,עצמי,confianza,nouns,0.95
1734,ביישן,costoso,adjectives,0.25
1735,מטוס,hoja,nouns,0.0
1736,רעיה,madre,nouns,2.3
1737,לילה,capítulo,nouns,0.4
1738,סיפור,libro,nouns,1.6
1739,מוטל,posada,nouns,3.95
1740,לצחוק,cantar,verbs,0.55
1741,תחזית,nublado,nouns,1.3
1742,זול,sucio,adjectives,0.4
1743,מצחיק,triste,adjectives,0.55
1744,ערך,tarifa,nouns,2.0
1745,ים,río,nouns,2.3
1746,עין,frente,nouns,0.85
1747,חוף,mar,nouns,2.85
1748,לגדל,beber,verbs,0.0
1749,באזור,cercanamente,adverbs,2.65
1750,כבוש,himno,nouns,0.4
1751,שמח,enfadado,adjectives,0.6
1752,מד,coche,nouns,0.6
1753,חדר,edificio,nouns,1.1
1754,מפה,cuadrado,nouns,0.65
1755,שלום,soldado,nouns,0.55
1756,קרסול,hueso,nouns,1.45
1757,צפון,oeste,nouns,1.2
1758,לרוקן,desalojar,verbs,4.25
1759,מילה,página,nouns,0.85
1760,לנסות,tener éxito,verbs,1.1
1761,בן,padre,nouns,1.1
1762,אי,península,nouns,1.85
1763,זר,traductor,nouns,0.55
1764,חדר שינה,bicicleta,nouns,0.3
1765,טנק,coche,nouns,1.05
1766,ללמוד,evaluar,verbs,0.75
1767,מטלה,tarea,nouns,5.2
1768,לחלוק,luchar,verbs,1.25
1769,צעיר,feliz,adjectives,0.4
1770,מצביע,diapositiva,nouns,0.45
1771,להימנע,negar,verbs,1.1
1772,איום,peligro,nouns,4.1
1773,חוטא,smo,nouns,0.45
1774,אח,hijo,nouns,1.65
1775,סמל,código,nouns,2.35
1776,נינוח,calma,adjectives,4.15
1777,כתבה,diario,nouns,1.8
1778,קרסול,ventana,nouns,0.05
1779,קרושה,uniforme,nouns,0.3
1780,כלכלה,ecosistema,nouns,0.7
1781,כביש מהיר,carretera,nouns,4.2
1782,חוף,arrecife,nouns,1.8
1783,ציפור,halcón,nouns,2.25
1784,להסביר,aclarar,verbs,4.5
1785,עיט,halcón,nouns,2.6
1786,מילקשייק,jugo,nouns,2.7
1787,לייעץ,sugerir,verbs,3.85
1788,דולר,millonario,nouns,1.15
1789,מכונית,fábrica,nouns,0.65
1790,עקומה,ángulo,nouns,2.45
1791,אחרת,terminalmente,adverbs,0.1
1792,אקדח,truco,nouns,0.2
1793,ציפורן,pulgar,nouns,1.65
1794,צר,blanco,adjectives,0.0
1795,סגסוגת,acero,nouns,2.0
1796,כבש,ganado,nouns,2.65
1797,לעזור,pedir,verbs,1.15
1798,תנור חימום,paraguas,nouns,0.65
1799,בוודאי,en la zona,adverbs,0.1
1800,דמדומים,noche,nouns,2.95
1801,מכונית,ascensor,nouns,0.55
1802,סוס,perro,nouns,0.9
1803,מודעות,atención,nouns,1.45
1804,תשלום,recompensa,nouns,4.1
1805,להפריד,adjuntar,verbs,0.55
1806,משימה,cañita,nouns,0.05
1807,להגן,matar,verbs,0.6
1808,ילד,hombre,nouns,1.4
1809,טבעת,compromiso,nouns,2.1
1810,לסגור,vomitar,verbs,0.05
1811,פשיטת רגל,fracaso,nouns,1.85
1812,חוק,colegio,nouns,0.9
1813,ברוגע,firmemente,adverbs,0.55
1814,קשת,pionero,nouns,0.5
1815,תרשים,grafico,nouns,5.0
1816,צער,vergüenza,nouns,0.95
1817,לספוג,poseer,verbs,0.6
1818,לברר,pensar,verbs,0.95
1819,מדינה,casa,nouns,0.75
1820,לדבר,susurrar,verbs,1.85
1821,להעליב,ofender,verbs,4.1
1822,התזה,viscosidad,nouns,0.7
1823,סוכר,miel,nouns,1.65
1824,סונטה,belleza,nouns,0.45
1825,ברוגע,pacíficamente,adverbs,4.55
1826,עבודה,herramienta,nouns,0.8
1827,מיליונר,dólar,nouns,1.15
1828,מעיל,suéter,nouns,2.35
1829,דשן,crecimiento,nouns,1.05
1830,מחברת,pistola,nouns,0.05
1831,להסכים,discutir,verbs,0.7
1832,באופן לא הוגן,excesivamente,adverbs,0.75
1833,כועס,violento,adjectives,1.65
1834,בצדקנות,maduro,adverbs,0.8
1835,לתת,recibir,verbs,1.05
1836,מועסק,empleador,nouns,1.25
1837,לפרק,destruir,verbs,3.35
1838,בוודאי,discretamente,adverbs,0.3
1839,מוכר,popular,adjectives,4.3
1840,עסק,industria,nouns,2.55
1841,גבר,centinela,nouns,0.75
1842,ספרות,palabra,nouns,1.95
1843,דם,carne,nouns,1.0
1844,לטעון,quejarse,verbs,2.3
1845,ארוחה,cintura,nouns,0.65
1846,פרח,resistencia,nouns,0.05
1847,תשלום,cuota,nouns,3.6
1848,אופנה,modo,nouns,0.5
1849,להגן,ayuda,verbs,1.4
1850,לחשוב,recuerda,verbs,1.7
1851,הזמנה,menú,nouns,1.1
1852,לעצור,prohibir,verbs,2.2
1853,דשא,musgo,nouns,1.95
1854,בבהירות,ligeramente,adverbs,0.4
1855,לנהוג,detener,verbs,0.75
1856,קומביין,caña de azúcar,nouns,0.45
1857,חבר,profesor,nouns,0.65
1858,ברכות,ruidosamente,adverbs,0.3
1859,להונות,hacer trampas,verbs,4.75
1860,גוף,hombro,nouns,1.3
1861,דעה קדומה,chauvinista,nouns,2.05
1862,לספוג,aprender,verbs,1.7
1863,מקהלה,iglesia,nouns,1.35
1864,בלתי נסלח,extramatrimonial,adjectives,0.25
1865,למצוא,escapar,verbs,0.55
1866,להתנהג,obedecer,verbs,2.1
1867,קסדה,arma,nouns,1.45
1868,נדיר,raro,adjectives,4.15
1869,סירה,coche,nouns,1.1
1870,קל,grande,adjectives,0.35
1871,נפש,neurosis,nouns,1.35
1872,כביש,autopista,nouns,4.2
1873,למעוד,caerse,verbs,4.1
1874,ראש,hombro,nouns,1.45
1875,צעיר,inquieto,adjectives,0.3
1876,כוכב,brillo,nouns,2.05
1877,בלון,bañera,nouns,0.1
1878,דעה,parcialidad,nouns,2.5
1879,לדבר,reconocer,verbs,0.8
1880,נוירופסיכולוגיה,parasicología,nouns,1.2
1881,שנה,cumpleaños,nouns,1.4
1882,הסכם,agujero,nouns,0.0
1883,חוף,playa,nouns,2.8
1884,להתפתל,movimiento,verbs,1.0
1885,להחזיק,tomar,verbs,2.0
1886,מקלחת,monasterio,nouns,0.0
1887,תיאטרון,película,nouns,1.35
1888,החלפה,reemplazo,nouns,3.5
1889,עץ,arce,nouns,3.15
1890,הודו,gallina,nouns,1.2
1891,למשוך,golpear,verbs,0.5
1892,זחל,gusano de seda,nouns,2.75
1893,לפספס,hacer huelga,verbs,0.6
1894,סדין,avión,nouns,0.0
1895,לנשום,ahogarse,verbs,0.75
1896,ציוויליזציה,estilo de vida,nouns,1.0
1897,רגל,miembro,nouns,3.25
1898,חד,templado,adjectives,0.7
1899,אצבע,palma,nouns,1.2
1900,בולט,obvio,adjectives,3.15
1901,להתעלם,explorar,verbs,0.35
1902,הרמוניה,piano,nouns,0.65
1903,רגש,pasión,nouns,3.1
1904,חסר ביטחון,necesitado,adjectives,1.0
1905,בערך,obviamente,adverbs,0.8
1906,פתולוגיה,hematología,nouns,1.9
1907,אף,boca,nouns,1.05
1908,תנאי,pacto,nouns,2.05
1909,שמפניה,cerveza,nouns,1.75
1910,להשאיל,desear,verbs,0.6
1911,מלכה,abeja,nouns,1.0
1912,פעמיים,múltiple,adverbs,1.25
1913,הסכמה,discusión,nouns,1.1
1914,לפגוע,enfadar,verbs,1.2
1915,מעוקל,torcido,adjectives,4.0
1916,שוטר,sheriff,nouns,4.05
1917,עובד,empleador,nouns,1.25
1918,בית,apartamento,nouns,4.25
1919,מעוקל,derecho,adjectives,0.65
1920,לצרוך,organizar,verbs,0.3
1921,מלך,príncipe,nouns,2.25
1922,לחשוב,preguntar,verbs,0.95
1923,שטח,zona,nouns,5.1
1924,בהרס,pacíficamente,adverbs,0.25
1925,כאוס,anarquía,nouns,4.05
1926,אנרגיה,batería,nouns,2.65
1927,אוויר,molécula,nouns,1.25
1928,דבורה,reina,nouns,1.0
1929,בקוצר רוח,aproximadamente,adverbs,0.15
1930,תאונה,libro,nouns,0.1
1931,לפצל,despegar,verbs,1.6
1932,פנינה,dinero,nouns,0.95
1933,תוף,guitarra,nouns,1.45
1934,מותן,comida,nouns,0.65
1935,מנהלה,gestión,nouns,2.85
1936,פושע,delincuente,nouns,5.05
1937,חודשי,semanal,adjectives,1.05
1938,לעשות,crear,verbs,3.7
1939,ננסי,pequeñito,adjectives,4.9
1940,לחנוק,matar,verbs,1.7
1941,אוקיינוס,mar,nouns,3.85
1942,צדק,derecho,nouns,1.65
1943,גדול,fácil,adjectives,0.35
1944,אננס,teléfono inteligente,nouns,0.0
1945,לבכות,reír,verbs,0.55
1946,עקשן,estúpido,adjectives,0.75
1947,מורה,ayudante,nouns,1.35
1948,אינטליגנטי,listo,adjectives,5.3
1949,ללמוד,escuchar,verbs,1.3
1950,אביב,géiser,nouns,0.3
1951,זכוכית,cristal,nouns,2.0
1952,להכות,azotar,verbs,4.1
1953,ערפד,murciélago,nouns,2.35
1954,סנט,constitución,nouns,1.2
1955,פרק,capítulo,nouns,4.55
1956,תפוז,cítrico,nouns,3.05
1957,עור,bicicleta,nouns,0.3
1958,להיכחד,esfumarse,verbs,5.0
1959,ללמוד,absorber,verbs,1.7
1960,חתיך,chico,nouns,1.1
1961,נושא,libro,nouns,1.07
1962,קולונל,dentista,nouns,0.45
1963,קיץ,invierno,nouns,1.0
1964,בחור,amigo,nouns,1.8
1965,להשתתף,unirse,verbs,2.8
1966,לדכא,fallar,verbs,0.7
1967,רכב,autobús,nouns,2.2
1968,ילד,hijo,nouns,3.35
1969,סיפון,ratón,nouns,0.05
1970,ערך,creencia,nouns,2.1
1971,עושר,fama,nouns,1.7
1972,אורז,niño,nouns,0.2
1973,חייל,niño,nouns,0.65
1974,משחק,divertido,nouns,1.2
1975,ורד,mariposa,nouns,0.4
1976,מנטה,goma,nouns,0.65
1977,משעמם,mediocre,adjectives,1.0
1978,כן,culpable,adjectives,0.35
1979,מחבר,creador,nouns,4.6
1980,לקבור,cubrir,verbs,3.05
1981,מטבע,intercambio,nouns,1.5
1982,לדמיין,crear,verbs,1.45
1983,גבול,límite,nouns,4.7
1984,רעש,traqueteo,nouns,2.8
1985,טיסה,aviación,nouns,2.55
1986,בחירה,elección,nouns,3.5
1987,לעשות,volverse,verbs,0.55
1988,לקחת,entregar,verbs,0.95
1989,להרוג,defender,verbs,0.6
1990,ספרה,citoplasma,nouns,0.25
1991,אחרי,antes de,adverbs,0.55
1992,אלומיניום,estaño,nouns,1.5
1993,לשרבט,escribir,verbs,2.15
1994,לפגוע,perder,verbs,0.6
1995,לרעוד,congelar,verbs,1.35
1996,חסר אחריות,inmaduro,adjectives,2.7
1997,מהיר,rápido,adjectives,4.4
1998,אטמוספירה,ozono,nouns,2.7
1999,ליפול,herir,verbs,1.3
2000,להציל,destruir,verbs,0.35
2001,מנצח,candidato,nouns,1.45
2002,טרי,amplio,adjectives,0.05
2003,לקפוא,temblar,verbs,1.35
2004,לטפטף,verter,verbs,2.0
2005,זיהום,presidente,nouns,0.3
2006,לחם,queso,nouns,0.75
2007,עץ,piedra,nouns,0.85
2008,מהירות,enviar,nouns,0.5
2009,תורה,libro,nouns,1.8
2010,מצפן,elefante,nouns,0.05
2011,לחלוק,estar de acuerdo,verbs,0.9
2012,ברידג',tarjeta,nouns,0.7
2013,תג,vaso,nouns,0.55
2014,שעועית,arroz,nouns,1.3
2015,בטבעיות,tranquilamente,adverbs,0.9
2016,לנתח,comparar,verbs,2.35
2017,מלון,apartamento,nouns,1.35
2018,לנצח,dominar,verbs,2.1
2019,רוטב,manzana,nouns,0.65
2020,לנסות,pensar,verbs,0.6
2021,לעזוב,retirarse,verbs,3.15
2022,מבולגן,limpiar,adjectives,0.9
2023,מתקפה,bombardeo aéreo,nouns,3.05
2024,גמיש,móvil,adjectives,1.6
2025,לנשל,dar,verbs,0.5
2026,ילד,pareja,nouns,0.7
2027,שחקן,actriz,nouns,3.75
2028,ייאוש,miseria,nouns,2.7
2029,לזהור,brillar,verbs,4.15
2030,אוזון,atmósfera,nouns,2.7
2031,מטאור,gravedad,nouns,1.2
2032,בנדיבות,nunca,adverbs,0.45
2033,להגיד,verificar,verbs,0.8
2034,מורה,amigo,nouns,0.65
2035,כניסה,salida,nouns,1.5
2036,יום,amanecer,nouns,2.35
2037,מבוגר,guardián,nouns,0.95
2038,בוודאי,obviamente,adverbs,2.9
2039,מזוייף,artificial,adjectives,3.5
2040,חופשי,inocente,adjectives,0.15
2041,מסדרון,pasillo,nouns,5.6
2042,תרנגולת,pavo,nouns,1.2
2043,דמוקרטיה,monarquía,nouns,1.45
2044,אל,presa,nouns,0.05
2045,לחוב,prestar,verbs,1.1
2046,לבקר,odiar,verbs,0.75
2047,שרפרף,silla,nouns,3.25
2048,הרבה,dos veces,adverbs,1.25
2049,מכונית,bicicleta,nouns,1.2
2050,מילה,frase,nouns,2.15
2051,להסביר,discutir,verbs,1.3
2052,בעל,hombre,nouns,2.35
2053,המון,multitud,nouns,3.8
2054,לנוע,tejer,verbs,1.0
2055,מציאות,fantasía,nouns,0.8
2056,שופט,juez,nouns,2.8
2057,לבשל,mezclar,verbs,1.2
2058,מצב רוח,emoción,nouns,3.25
2059,מותן,estómago,nouns,1.1
2060,חולצה,cárdigan,nouns,1.6
2061,ספה,cama,nouns,2.2
2062,קערה,cola,nouns,0.1
2063,גג,techo,nouns,4.3
2064,לשלוח,recibir,verbs,0.75
2065,הון,dinero,nouns,4.35
2066,בטן,cuerpo,nouns,1.8
2067,סרט,nihilismo,nouns,0.25
2068,פוטופון,homófono,nouns,0.9
2069,מנורה,genio,nouns,0.95
2070,כדור,guante,nouns,1.05
2071,בשמחה,sin peligro,adverbs,0.5
2072,כדורגל,fútbol,nouns,2.75
2073,משפט,prueba,nouns,1.6
2074,תוכנית,comida,nouns,0.3
2075,משמח,encantador,adjectives,2.95
2076,קופסה,cigarro,nouns,0.7
2077,להשיג,tratar,verbs,0.9
2078,שומר,adulto,nouns,0.95
2079,ביקורת,argumento,nouns,2.2
2080,ביולוגיה,anatomía,nouns,2.6
2081,קרוב,localmente,adverbs,2.65
2082,לגנוב,adquirir,verbs,1.05
2083,להראות,volverse,verbs,0.25
2084,לקבל,estar de acuerdo,verbs,3.35
2085,בסיס,pie,nouns,1.65
2086,חוקי,seguro,adjectives,1.15
2087,שלג,clima,nouns,0.95
2088,תחזית,nieve,nouns,0.95
2089,לכלוך,barro,nouns,2.35
2090,להסכים,aceptar,verbs,3.35
2091,אוטו,automóvil,nouns,5.7
2092,לדשדש,montar,verbs,0.7
2093,בבטחה,felizmente,adverbs,0.5
2094,מחשב,máquina,nouns,3.15
2095,לחפש,preguntar,verbs,1.35
2096,תחתית,lado,nouns,1.35
2097,כס,espada,nouns,0.5
2098,להטריח,agravar,verbs,0.65
2099,מילה,literatura,nouns,1.95
2100,רגיל,ignorante,adjectives,0.05
