ID,HEB,POL,PoS,score
1361,טניס,statystyka,nouns,0.15
1362,בת,niemowlę,nouns,2.9
1363,חדר שינה,łóżko,nouns,1.5
1364,יחידה,armia,nouns,2.45
1365,לנמק,argumentować,verbs,3.3
1366,ברוגע,pokojowo,adverbs,4.45
1367,מטוס,lotnisko,nouns,1.25
1368,קישוט,koperta,nouns,0.3
1369,לציית,zachowywać się,verbs,2.05
1370,מכונית,wąż (ogrodowy),nouns,0.5
1371,להכריז,ogłaszać,verbs,4.4
1372,זמר,aktor,nouns,1.05
1373,מנהל,lider,nouns,3.65
1374,לעזוב,czekać,verbs,0.2
1375,מכונית,winda,nouns,0.4
1376,נסיך,król,nouns,1.85
1377,לחזות,ustalać,verbs,1.65
1378,מדינה,dom ,nouns,0.65
1379,כסף,diament,nouns,0.8
1380,הרמוניה,pianino,nouns,0.65
1381,לדכא,zmartwić,verbs,1.15
1382,לילה,rozdział,nouns,0.05
1383,שחר,pistolet,nouns,0.0
1384,לבזבז,oszczędzać,verbs,0.5
1385,אמורפי,bezkształtny,adjectives,5.45
1386,חצוף,krytyczny,adjectives,0.8
1387,קבל,dioda,nouns,1.2
1388,חבר,nauczyciel,nouns,0.55
1389,מלוכלך,wąski,adjectives,0.0
1390,להשאיר,dostać,verbs,0.35
1391,מערב,północ,nouns,1.35
1392,לעולם לא,szczerze,adverbs,0.0
1393,ביטוי,słowo,nouns,3.35
1394,מילון,słowo,nouns,1.35
1395,נפלא,świetny,adjectives,5.0
1396,להצליח,wygrać,verbs,2.4
1397,לדחות,skończyć,verbs,0.45
1398,לשון,mięsień,nouns,1.35
1399,אמונה,kwiat,nouns,0.0
1400,קניון,dolina,nouns,3.6
1401,הר געש,magma,nouns,1.7
1402,רדאר,dżojstik,nouns,0.1
1403,לצעוק,kłócić się,verbs,2.55
1404,מוכר,narodowy,adjectives,0.85
1405,זרוע,noga,nouns,1.3
1406,נוכחות,zwycięzca,nouns,0.05
1407,מטרה,poszukiwanie,nouns,1.3
1408,בסיס,kwas,nouns,0.6
1409,ביתן,chatka,nouns,4.6
1410,בשר,kanapka,nouns,0.55
1411,להתמוסס,wymieszać,verbs,1.55
1412,מיוחד,wartościowy,adjectives,2.8
1413,מלהיב,nudny,adjectives,0.45
1414,לארגן,ustalać,verbs,4.2
1415,בחור,partner,nouns,2.1
1416,להשאיל,błagać,verbs,0.45
1417,דלת,obecność,nouns,0.15
1418,פרה,bydło,nouns,4.4
1419,מילה,wskazówka,nouns,0.8
1420,זיהום,fleksja,nouns,0.1
1421,ספה,baseball,nouns,0.1
1422,לשוטט,włóczyć się,verbs,4.35
1423,אשליה,rzeczywistość,nouns,0.6
1424,מפעל,samochód,nouns,0.55
1425,לחזות,przypuszczać,verbs,3.7
1426,לקחת,posiąść,verbs,2.0
1427,עשור,era,nouns,2.5
1428,לתעב,obciążać,verbs,0.5
1429,ענן,burza,nouns,1.5
1430,דביק,mokry,adjectives,0.85
1431,גאוני,świetny,adjectives,2.1
1432,סרט,film,nouns,3.9
1433,כף,filiżanka,nouns,0.95
1434,הערה,opłata,nouns,0.0
1435,לבנה,ściana,nouns,1.2
1436,אי,półwysep,nouns,1.8
1437,חזה,ciało,nouns,1.7
1438,מצפן,słoń,nouns,0.0
1439,אגם,chmura,nouns,0.6
1440,צנזורה,swoboda,nouns,0.5
1441,עצב,trzewia,nouns,0.55
1442,לטייל,iść,verbs,2.55
1443,להראות,udawać,verbs,1.1
1444,למסור,akceptować,verbs,0.5
1445,קולונל,dentysta,nouns,0.3
1446,רעשן,hałas,nouns,2.6
1447,חייל,chłopiec,nouns,0.45
1448,זנב,klif,nouns,0.0
1449,לנשוך,czytać,verbs,0.0
1450,באולינג,kręglarz,nouns,2.45
1451,פגישה,zobowiązanie,nouns,0.9
1452,משוגע,nieszczęśliwy,adjectives,0.5
1453,להושיע,ratować,verbs,5.65
1454,שפך,morze,nouns,1.2
1455,שיעור,wartość,nouns,0.95
1456,כתף,ciało,nouns,1.3
1457,מים,susza,nouns,0.35
1458,פונקציה,kompilator,nouns,1.9
1459,שריף,gliniarz,nouns,4.0
1460,שיעורי בית,esej,nouns,2.05
1461,היגיון,inteligencja,nouns,2.55
1462,הכרחי,niepotrzebny,adjectives,0.55
1463,בדיוק,precyzyjnie,adverbs,5.4
1464,אוכל,program,nouns,0.25
1465,תמוה,dziwaczny,adjectives,3.9
1466,אמונה,opinia,nouns,3.75
1467,טייס משנה,kokpit,nouns,0.8
1468,להתכווץ,zniknąć,verbs,2.05
1469,לערבב,rozpuszczać,verbs,1.55
1470,אקזמה,wysypka,nouns,2.35
1471,סכין,pistolet,nouns,1.25
1472,חתול,lew,nouns,2.35
1473,רכב,autobus,nouns,2.65
1474,מובך,zmartwiony,adjectives,0.9
1475,עצבני,zaniepokojony,adjectives,1.65
1476,מנגינה,rytm,nouns,2.8
1477,עיירה,miasto,nouns,3.65
1478,סמל,kod,nouns,2.2
1479,אמיתי,fałszywy,adjectives,0.5
1480,לטאה,krokodyl,nouns,2.05
1481,אמבטיה,pokój,nouns,0.75
1482,ספר,temat,nouns,0.7
1483,לשפוך,kapać,verbs,1.9
1484,קשיח,twardy,adjectives,3.7
1485,לשנוא,gardzić,verbs,5.0
1486,להודיע,uznawać,verbs,0.9
1487,בן,brat,nouns,1.65
1488,לקבל,polecać,verbs,0.75
1489,ירח,planeta,nouns,1.7
1490,לצחוק,śpiewać,verbs,0.45
1491,קליבר,parasol,nouns,0.3
1492,משאית,samochód,nouns,3.3
1493,לתפוס,otrzymywać,verbs,0.7
1494,להודות,zaprzeczać,verbs,0.5
1495,כפפה,piłka,nouns,0.6
1496,עכבר,szczur,nouns,1.95
1497,עמק,depresja,nouns,0.7
1498,זמר,personel,nouns,0.1
1499,דבורה,królowa,nouns,0.95
1500,שונית,plaża,nouns,1.25
1501,לוחם,mężczyzna,nouns,1.55
1502,לספוג,redukować,verbs,0.25
1503,לחקור,ignorować,verbs,0.25
1504,תא,pokój,nouns,2.65
1505,מטוס,helikopter,nouns,2.2
1506,להכות,pociągać,verbs,0.45
1507,הרחק,w domu,adverbs,0.55
1508,עוף,stek,nouns,1.4
1509,להבין,wybaczać,verbs,1.6
1510,דירה,hotel,nouns,1.4
1511,עצם,zęby,nouns,1.95
1512,מקור,pudełko,nouns,0.0
1513,זועם,niepewny,adjectives,0.7
1514,אפס,nieskończoność,nouns,0.85
1515,הפוך,inny,adjectives,1.1
1516,לפעמים,często,adverbs,1.15
1517,כלה,księżniczka,nouns,0.8
1518,מטבח,łazienka,nouns,1.05
1519,לקבור,umrzeć,verbs,1.25
1520,יד,palec,nouns,1.55
1521,קרמיקה,garncarstwo,nouns,3.25
1522,לאחד,wiązać,verbs,3.4
1523,מדע,psychologia,nouns,1.9
1524,נסיכות,ziemie książęce,nouns,4.25
1525,מכונית,łódź,nouns,1.1
1526,ללמד,karać,verbs,0.5
1527,כותנה,poliester,nouns,1.0
1528,כרגע,niedawno,adverbs,0.8
1529,דיסק,komputer,nouns,1.15
1530,לחלוטין,marginalnie,adverbs,0.5
1531,עלה,drzewo,nouns,1.15
1532,רוטב,jabłko,nouns,0.4
1533,צוק,wzgórze,nouns,2.15
1534,אלכוהול,wino,nouns,2.65
1535,יקום,niebo,nouns,1.75
1536,למסור,brać,verbs,0.65
1537,צנום,szczupły,adjectives,5.0
1538,יופי,wiek,nouns,0.5
1539,לתאר,powiadamiać,verbs,1.1
1540,אורח,przyjaciel,nouns,1.65
1541,תוקפנות,wrogość,nouns,4.45
1542,בוגר,wyrafinowany,adjectives,1.3
1543,קומה,drzwi,nouns,0.7
1544,לצלול,tworzyć,verbs,0.1
1545,להמתין,zostać,verbs,2.05
1546,ראש,prezydent,nouns,1.8
1547,באופן משמעותי,głęboko,adverbs,2.35
1548,במהירות,pilnie,adverbs,3.65
1549,קלף,brydż,nouns,1.2
1550,כעס,szał,nouns,4.7
1551,מסך,fonologia,nouns,0.15
1552,לאסור,zatrzymywać,verbs,1.8
1553,מים,lód,nouns,1.75
1554,רגל,piasek,nouns,0.25
1555,כנסייה,chór,nouns,1.25
1556,מדליה,adidasy,nouns,0.55
1557,שמיים,słońce,nouns,1.35
1558,חיוני,konieczny,adjectives,5.2
1559,עיתון,artykuł,nouns,1.6
1560,נהר,morze,nouns,1.8
1561,ליידע,powiadamiać,verbs,5.45
1562,להתחזות,wyobrażać sobie,verbs,1.5
1563,להבין,wiedzieć,verbs,2.5
1564,אף,głowa,nouns,1.15
1565,לשוחח,tłumaczyć,verbs,1.65
1566,יציאה,prawo wyborcze,nouns,0.05
1567,מערכת אקולוגית,ekonomia,nouns,0.55
1568,עבריין,kryminalista,nouns,5.4
1569,תמים,wolny,adjectives,0.65
1570,יוגורט,bydło,nouns,0.65
1571,לתת,wyrzec się,verbs,0.5
1572,רשמית,silnie,adverbs,0.35
1573,ילד,dorosły,nouns,0.7
1574,אלכוהול,koktajl,nouns,2.5
1575,תפוח,światło słoneczne,nouns,0.05
1576,גיוס כספים,rozwój,nouns,0.45
1577,מטומטם,niemądry,adjectives,4.6
1578,לריב,gryźć,verbs,1.05
1579,דיסק,ładowarka,nouns,0.35
1580,לחבק,udusić,verbs,0.35
1581,להיפגש,pływać,verbs,0.05
1582,מוסלמי,biskup,nouns,0.7
1583,אופנה,tryb,nouns,0.4
1584,נוקשה,łatwy,adjectives,0.4
1585,טיול,podróż,nouns,4.7
1586,צוק,ogon,nouns,0.0
1587,שקיעה,sznurek,nouns,0.0
1588,טרי,nowy,adjectives,4.0
1589,להבין,czytać,verbs,0.95
1590,באופן לא מדויק,dokładnie,adverbs,0.5
1591,יקר ערך,leniwy,adjectives,0.0
1592,באופן אחיד,czasem,adverbs,0.25
1593,מנהרה,ścieżka,nouns,0.9
1594,לגנוב,dać,verbs,0.4
1595,נשיא,uczeń,nouns,0.2
1596,לרסק,roztrzaskać,verbs,5.35
1597,לקשור,jednoczyć,verbs,3.4
1598,רעיה,matka,nouns,1.8
1599,למכור,przypominać,verbs,0.0
1600,ייתכן,optymistycznie,adverbs,0.95
1601,קרב,podbój,nouns,2.25
1602,מכשיר,garnek,nouns,0.55
1603,לקדם,awansować,verbs,2.8
1604,להעריץ,podziwiać,verbs,3.45
1605,ללמוד,absorbować,verbs,1.35
1606,ליצור,wyobrażać sobie,verbs,2.0
1607,לקבל,wysyłać,verbs,0.7
1608,נהר,dolina,nouns,0.9
1609,לאפשר,erodować,verbs,0.05
1610,לדעת,dać,verbs,0.1
1611,מילה,literatura,nouns,1.75
1612,אשראי,pożyczkobiorca,nouns,1.45
1613,קשה,prosty,adjectives,0.4
1614,עבודה,narzędzie,nouns,0.75
1615,לחנך,uczyć  ,verbs,4.7
1616,להחזיק,zachować,verbs,2.45
1617,חדשות,plotka,nouns,1.95
1618,מילקשייק,sok,nouns,1.35
1619,רוח,szkwał,nouns,2.85
1620,לשמור,zatrzymywać,verbs,3.2
1621,נסיכה,król,nouns,1.6
1622,נמלה,pszczoła,nouns,1.15
1623,רגל,ręka,nouns,1.0
1624,תקשורת,konwersacja,nouns,2.5
1625,משעמם,znudzony,adjectives,1.85
1626,ספה,łóżko,nouns,2.95
1627,קל,skomplikowany,adjectives,0.5
1628,לרכוש,znaleźć,verbs,1.45
1629,בוודאי,zdecydowanie,adverbs,5.45
1630,למנוע,odrzucić,verbs,1.4
1631,זיהום,schorzenie,nouns,2.55
1632,מסודר,niechlujny,adjectives,0.5
1633,להציל,topić,verbs,0.55
1634,בלתי אפשרי,wykonalny,adjectives,0.5
1635,שריר,język ,nouns,1.35
1636,מצב רוח,emocja,nouns,3.6
1637,משימה,notatka,nouns,0.65
1638,להקיא,zamykać,verbs,0.05
1639,אישה,sekretarka,nouns,1.6
1640,מפוחד,nerwowy,adjectives,1.3
1641,חולדה,mysz,nouns,1.95
1642,להחליף,przywrócić,verbs,2.0
1643,גדול,giętki,adjectives,0.1
1644,עדשה,aparat,nouns,1.25
1645,להגיע,wysyłać,verbs,0.45
1646,בשר,chleb,nouns,0.45
1647,מרפאה,łóżko,nouns,0.65
1648,פורל,gitara,nouns,0.05
1649,משימה,kobieta,nouns,0.0
1650,חקר דגלים,flaga,nouns,1.3
1651,לעזוב,spotykać,verbs,0.35
1652,לרוב,nieregularnie,adverbs,0.5
1653,ללכת,zezwalać,verbs,0.15
1654,ביתן,chata,nouns,4.45
1655,קומה,dach,nouns,1.0
1656,עצום,wielki,adjectives,5.45
1657,להציל,ocalać,verbs,5.65
1658,כבד,objuczony,adjectives,1.2
1659,לילה,świt,nouns,0.75
1660,לעזוב,brać,verbs,0.15
1661,להתפלל,komunikować,verbs,0.85
1662,אצטילכולין,tęczówka,nouns,0.6
1663,חסר בית,bilioner,nouns,0.45
1664,חדר,wanna,nouns,0.75
1665,אורתודונט,doktor,nouns,3.0
1666,להתגבר,dominować,verbs,1.25
1667,סופה,wiatr,nouns,2.85
1668,מורכב,łatwy,adjectives,0.45
1669,שמח,rozzłoszczony,adjectives,0.55
1670,סנט,żona,nouns,0.05
1671,מונוקלטורה,rolnictwo,nouns,1.4
1672,ספר,motyw,nouns,0.5
1673,להיעלם,zniknąć,verbs,4.6
1674,חליפין,waluta,nouns,0.85
1675,לימון,herbata,nouns,0.5
1676,מפתח,korona ,nouns,0.05
1677,חוק,konwencja,nouns,2.7
1678,חור,żona,nouns,0.0
1679,חופשי,niewinny,adjectives,0.65
1680,בת,dzieciak,nouns,3.1
1681,סמל,dostojeństwo,nouns,1.8
1682,אמן,dzieło sztuki,nouns,1.25
1683,עץ,koc,nouns,0.15
1684,צריף,schronienie,nouns,2.05
1685,דודה,siostrzeniec,nouns,1.1
1686,לאחרונה,obecnie,adverbs,0.8
1687,להשתכר,zasługiwać,verbs,0.6
1688,נדיר,egzotyczny,adjectives,4.6
1689,מנחה,wkład,nouns,1.95
1690,חולה,szalony,adjectives,1.7
1691,גלריה,prawnik,nouns,0.0
1692,גברים,braterstwo,nouns,1.05
1693,מערכת,wada,nouns,0.25
1694,פשיטת רגל,porażka,nouns,1.95
1695,בטוח,pewien,adjectives,4.55
1696,מזיק,pestycyd,nouns,1.35
1697,מטומטם,ogromny,adjectives,0.1
1698,להצליח,nawalić,verbs,0.5
1699,שמיכה,drewno,nouns,0.15
1700,הומופון,fotofon,nouns,0.55
1701,לתת,kłaść,verbs,0.6
1702,בייסבול,braterstwo,nouns,0.25
1703,דלת,podłoga,nouns,0.7
1704,חלון,kostka,nouns,0.0
1705,טייפון,cyklon,nouns,4.35
1706,גיל,piękno,nouns,0.5
1707,לומר,wyrażać,verbs,3.9
1708,עקשן,głupi,adjectives,0.7
1709,להראות,stać się,verbs,0.3
1710,ברית מילה,napletek,nouns,1.45
1711,ליצור,rysować,verbs,2.0
1712,להתווכח,rządać,verbs,0.65
1713,טרף,bóg,nouns,0.05
1714,בישוף,muzułmanin,nouns,0.7
1715,שיעור,chaos,nouns,0.15
1716,אח,dusza,nouns,0.25
1717,בית,mieszkanie,nouns,4.6
1718,משוגע,szczęśliwy,adjectives,0.45
1719,באופן ידידותי,nieprawdopodobny,adverbs,0.05
1720,באלגנטיות,pięknie,adverbs,2.7
1721,בלדה,piosenka ,nouns,3.9
1722,פסקה,list,nouns,0.95
1723,בברור,pewnie,adverbs,3.5
1724,גבר,mąż,nouns,2.5
1725,זהה,podobny,adjectives,3.6
1726,מחלה,infekcja,nouns,2.65
1727,ציבורי,prywatny,adjectives,0.5
1728,סמטה,miska,nouns,0.0
1729,מעיל,kapelusz,nouns,0.75
1730,למות,rozpadać się,verbs,0.7
1731,לאמוד,analizować,verbs,1.4
1732,אוטובוס,taksówka,nouns,1.8
1733,שמח,obłąkany,adjectives,0.5
1734,לסדר,zbierać,verbs,2.15
1735,להוכיח,tłumaczyć,verbs,1.7
1736,לשתף,złączyć,verbs,1.05
1737,מתמטיקאי,widowisko,nouns,0.05
1738,פלדה,stop ,nouns,2.35
1739,שביל,tunel,nouns,0.9
1740,אנטומיה,biologia,nouns,2.65
1741,למשוך,pchać,verbs,0.75
1742,מוכר,popularny,adjectives,4.7
1743,חרק,mrówka,nouns,1.9
1744,נדיר,tępy,adjectives,0.1
1745,אורז,kurczak,nouns,0.6
1746,לדבר,uznawać,verbs,0.65
1747,מקצוע,koledż,nouns,0.6
1748,ללא רבב,czysty,adjectives,4.75
1749,תג,szklanka,nouns,0.25
1750,כחול,czerwony,adjectives,0.75
1751,סונטה,piękno,nouns,0.3
1752,נטייה,infekcja,nouns,0.1
1753,להופיע,stać się,verbs,0.8
1754,להגן,pomagać,verbs,2.05
1755,מפלצת,demon,nouns,4.55
1756,רעיון,projekt,nouns,2.5
1757,דעה קדומה,szowinista,nouns,2.0
1758,רגיל,zimny,adjectives,0.2
1759,ילד,chłopiec,nouns,3.65
1760,טוב,pikantny,adjectives,0.7
1761,בישוף,arcybiskup,nouns,2.55
1762,חיבור,praca domowa,nouns,2.05
1763,שמח,młody,adjectives,0.5
1764,לנסוג,odchodzić,verbs,3.4
1765,סגנון,moda,nouns,4.05
1766,עץ,papier,nouns,1.15
1767,וידוי,wyparcie,nouns,0.5
1768,חוף,plaża,nouns,3.3
1769,כוכב,asteroida,nouns,1.65
1770,אקדח,notatnik,nouns,0.0
1771,דלת,piwnica,nouns,0.55
1772,גיטרה,bęben,nouns,1.5
1773,גודש,mnóstwo,nouns,3.95
1774,לסרב,odmawiać,verbs,4.55
1775,להופיע,wychodzić,verbs,0.55
1776,לייעץ,sugerować,verbs,3.9
1777,עמק,kanion,nouns,3.6
1778,גאה,arogancki,adjectives,2.95
1779,עין,brew,nouns,0.9
1780,תקשורת,język,nouns,2.25
1781,רע,niemoralny,adjectives,2.65
1782,מיקרוסקופ,biolog,nouns,0.9
1783,בקלות,pobieżnie,adverbs,0.3
1784,לרכוש,złączyć,verbs,0.25
1785,סערה,śnieg,nouns,1.5
1786,חודש,sierpień,nouns,2.25
1787,קפה,ziarnko,nouns,1.25
1788,להגיע,przyjść,verbs,4.8
1789,לעשות,zdarzyć się,verbs,0.9
1790,חלון,chmura,nouns,0.3
1791,לעיתים קרובות,rzadko,adverbs,0.55
1792,שקיעה,stół,nouns,0.0
1793,מנזר,prysznic,nouns,0.0
1794,שקיעה,wieczór,nouns,2.2
1795,תחום,granica,nouns,3.85
1796,עץ,łódź,nouns,0.65
1797,גלקסי,aplikacja,nouns,0.3
1798,קרח,woda,nouns,1.75
1799,לשמור,pozostać,verbs,0.95
1800,לשכנע,próbować,verbs,1.25
1801,הברה,lemma,nouns,0.85
1802,מכללה,klasa,nouns,1.0
1803,למה,sylaba,nouns,0.85
1804,להכחיש,kłamać,verbs,1.15
1805,ספר,opowieść,nouns,2.35
1806,לנסות,osiągnąć,verbs,0.65
1807,לספוג,posiąść,verbs,0.75
1808,קוקטייל,alkohol,nouns,2.5
1809,לצחוק,płakać,verbs,0.5
1810,עצם,szyja,nouns,0.75
1811,כועס,zadowolony,adjectives,0.5
1812,ארכיבישוף,biskup,nouns,2.55
1813,לפעמים,pewnie,adverbs,0.05
1814,מסיבה,ludzie,nouns,1.0
1815,ענן,okno,nouns,0.3
1816,מינט,muzeum,nouns,0.25
1817,עצוב,zawstydzony,adjectives,0.9
1818,בבטחה,potajemnie,adverbs,0.45
1819,עוני,bogactwo,nouns,0.6
1820,מידה,wielkość,nouns,4.6
1821,אלסטי,giętki,adjectives,5.45
1822,להעניש,uderzyć,verbs,1.55
1823,דירה,meble,nouns,0.8
1824,לסת,kość,nouns,1.4
1825,נוצרי,protestant,nouns,2.35
1826,עובד,mechanik,nouns,2.05
1827,ברך,ramię,nouns,1.05
1828,לקבל,złapać,verbs,0.7
1829,לימודים,ocena,nouns,1.15
1830,מספר,cyfra,nouns,4.9
1831,מטבע,wymiana,nouns,0.85
1832,סרט,nihilizm,nouns,0.15
1833,אופנה,styl,nouns,4.05
1834,בעל,mężczyzna,nouns,2.5
1835,שלום,żołnierz,nouns,0.55
1836,נווה מדבר,wolność,nouns,0.55
1837,לבן,wąski,adjectives,0.0
1838,להתפורר,umrzeć,verbs,0.7
1839,זרבובית,płyn,nouns,0.45
1840,אגודל,ręka,nouns,1.55
1841,מגירה,ubrania,nouns,0.7
1842,גבר,wojownik,nouns,1.55
1843,מוט,zasłona,nouns,0.7
1844,למצוא,zlokalizować,verbs,4.2
1845,זרוע,nadgarstek,nouns,1.45
1846,נשמה,brat,nouns,0.25
1847,קוסם,kabel,nouns,0.15
1848,בן,ojciec,nouns,1.55
1849,להחזיק,przytulić,verbs,1.35
1850,מותן,posiłek,nouns,0.45
1851,שטיח,dom,nouns,0.6
1852,שחקן,piosenkarz,nouns,1.05
1853,קוד,symbol,nouns,2.2
1854,בירה,szampan,nouns,1.8
1855,טקסט,książka,nouns,2.3
1856,בשקט,naturalnie,adverbs,0.2
1857,חדש,świeży,adjectives,4.0
1858,מקלחת,klasztor,nouns,0.0
1859,סלט,ocet,nouns,0.7
1860,בשלווה,dumnie,adverbs,0.1
1861,פחמן,atom,nouns,1.6
1862,באופטימיות,możliwie,adverbs,0.95
1863,החל,startować,verbs,5.0
1864,להשתנות,zmienić,verbs,2.9
1865,לקרוא,gryźć,verbs,0.0
1866,תחביר,hasło,nouns,0.65
1867,בקתה,domek,nouns,4.45
1868,רכילות,wiadomości,nouns,1.95
1869,צבא,oddział,nouns,2.45
1870,שמש,niebo,nouns,1.35
1871,לקבוע,przewidywać,verbs,1.65
1872,אוויוניקה,aeronautyka,nouns,2.15
1873,גרון,nos,nouns,1.0
1874,להרוג,niszczyć,verbs,1.8
1875,לעיתים,regularnie,adverbs,1.05
1876,תפוח,dieta,nouns,0.55
1877,להשיג,powieść się,verbs,2.75
1878,לאפשר,zezwalać,verbs,5.2
1879,כתב יד,artykuł,nouns,1.7
1880,חסר ביטחון,potrzebujący,adjectives,0.85
1881,יען,sad,nouns,0.1
1882,להחליט,ukazywać,verbs,0.25
1883,דולר,milioner,nouns,0.85
1884,לשוטט,szukać,verbs,1.25
1885,פרח,wytrzymałość,nouns,0.0
1886,לאומי,duży,adjectives,0.35
1887,ללכת,podróżować,verbs,2.55
1888,באופן אמין,pasywnie,adverbs,0.6
1889,שיר,rytm,nouns,1.35
1890,להעניש,przestrzegać,verbs,0.8
1891,מלך,książę,nouns,1.85
1892,כדורעף,piłka,nouns,1.85
1893,שור,koń,nouns,1.65
1894,אור,jabłko,nouns,0.05
1895,ילד,chłopiec,nouns,3.45
1896,ים,rzeka,nouns,1.8
1897,דולר,ludzie,nouns,0.05
1898,רך,gwałtowny,adjectives,0.35
1899,בדיל,aluminium,nouns,2.3
1900,לשלוט,zatrzymywać,verbs,0.55
1901,סטודנט,profesor,nouns,0.85
1902,באזור,blisko,adverbs,3.15
1903,רופא,doktor,nouns,5.3
1904,איריס,acetylocholina,nouns,0.6
1905,הכרחי,ważny,adjectives,3.75
1906,מילה,strona,nouns,0.95
1907,לעזור,asystować,verbs,5.35
1908,ציפורן,ręka,nouns,0.55
1909,כבוש,hymn,nouns,0.25
1910,סעודה,kurczak,nouns,0.6
1911,חתול,zwięrzę domowe,nouns,2.95
1912,להקשיב,słyszeć,verbs,3.05
1913,צורה,moda,nouns,0.4
1914,אמא,przyjaciel,nouns,0.85
1915,לדכא,zachęcać,verbs,0.5
1916,נהג,pilot,nouns,2.25
1917,לימודים,prawo,nouns,0.6
1918,תחזית,zachmurzenie,nouns,0.75
1919,כלב,koń,nouns,0.95
1920,מפוחד,nieśmiały,adjectives,1.9
1921,פוטופון,homofon,nouns,0.55
1922,אלכוהול,whisky,nouns,2.65
1923,רע,winny,adjectives,1.45
1924,מבצע,piosenka,nouns,0.85
1925,אבא,matka,nouns,1.7
1926,אלכוהול,piwo,nouns,2.9
1927,גינה,wąż ogrodowy,nouns,0.85
1928,עצוב,dumny,adjectives,0.25
1929,תבונה,inteligencja,nouns,4.85
1930,טלפון סללורי,ananas,nouns,0.0
1931,להקשיב,przestrzegać,verbs,2.4
1932,מיד,niebawem,adverbs,1.6
1933,לאסוף,organizować,verbs,2.15
1934,לאתר,znaleźć,verbs,4.2
1935,טלפון סלולרי,telefon,nouns,4.85
1936,כיבוש,bitwa,nouns,2.25
1937,מהיר,prędki,adjectives,5.35
1938,לשרוף,udusić,verbs,0.45
1939,לפנות,ustalać,verbs,0.1
1940,נוקשה,kruchy,adjectives,0.45
1941,לאמת,uzasadniać,verbs,2.1
1942,שרפרף,krzesło,nouns,3.2
1943,ענן,pogoda,nouns,1.0
1944,תיאוריה,chemia,nouns,0.5
1945,גלוי,oczywisty,adjectives,3.05
1946,ציפור,indyk,nouns,2.4
1947,כוס,słoik,nouns,1.8
1948,יום,noc,nouns,0.55
1949,מעורבב,stary,adjectives,0.05
1950,להקטין,obniżać,verbs,4.3
1951,אוכלוסייה,ludzie,nouns,3.95
1952,לשער,przewidywać,verbs,3.7
1953,צריף,domek,nouns,4.6
1954,שבועי,miesięczny,adjectives,1.05
1955,ללכת,przyjść,verbs,1.6
1956,אינטליגנציה,ignorancja,nouns,0.45
1957,סעודה,posiłek,nouns,5.15
1958,ביישן,przestraszony,adjectives,1.9
1959,מכתב,akapit,nouns,0.95
1960,מסכן,dumny,adjectives,0.2
1961,בבגרות,słusznie,adverbs,1.2
1962,מטופל,sesja,nouns,0.55
1963,ערמומי,hardy,adjectives,0.9
1964,לנדוד,odchodzić,verbs,1.05
1965,פנינה,pieniądze,nouns,0.55
1966,לדמיין,tworzyć,verbs,2.0
1967,מדביר,szkodnik,nouns,1.35
1968,ספרה,liczba,nouns,4.9
1969,חיל הים,wyspa,nouns,0.25
1970,ברור,zauważalny,adjectives,3.25
1971,גוף,klatka piersiowa,nouns,1.7
1972,המון,tłum,nouns,4.05
1973,מנעול,klucz,nouns,0.95
1974,להתעלם,pytać,verbs,0.35
1975,גבר,wartownik,nouns,0.85
1976,מיתוס,satyra,nouns,1.45
1977,להתנהג,przestrzegać,verbs,2.05
1978,שיר,ballada,nouns,3.9
1979,שריר,ramię,nouns,1.35
1980,נוירופסיכולוגיה,parapsychologia,nouns,1.2
1981,קרח,śnieg,nouns,2.4
1982,איבר,nerka,nouns,2.8
1983,קרוב,lokalnie,adverbs,3.15
1984,גיבור,bohaterka,nouns,4.2
1985,מיץ,milkshake,nouns,1.35
1986,תחליף,wymiana,nouns,3.45
1987,עכבר,kot,nouns,0.9
1988,רגל,głowa,nouns,0.7
1989,להתאחד,zaślubić,verbs,2.35
1990,סמסטר,trymestr,nouns,2.1
1991,אשמה,system,nouns,0.25
1992,פושע,przestępca,nouns,5.4
1993,לתעב,nienawidzić,verbs,5.0
1994,לשנוא,lubić,verbs,0.2
1995,לקחת,zostawić,verbs,0.15
1996,כובע,pudełko,nouns,0.15
1997,אוויר,cząsteczka,nouns,1.25
1998,ספרות,słowo,nouns,1.75
1999,להיות ראוי,zarabiać,verbs,0.6
2000,קל,trudny,adjectives,0.45
2001,עוצמתי,mocny,adjectives,4.85
2002,מנטה,guma,nouns,0.75
2003,משקה,piwo,nouns,2.5
2004,אישה,futro,nouns,0.2
2005,לגנוב,porwać,verbs,2.15
2006,בחירות,wybór,nouns,2.65
2007,דם,mięso,nouns,1.0
2008,סופר,powieść,nouns,1.05
2009,דוקטור,lekarz,nouns,5.3
2010,בדחיפות,szybko,adverbs,3.65
2011,ללמוד,dezorientować,verbs,0.3
2012,אוגוסט,miesiąc,nouns,2.25
2013,מיטה,sypialnia,nouns,1.5
2014,לפגוע,dokuczać,verbs,2.55
2015,קדוש,grzesznik,nouns,0.45
2016,פעם אחת,natychmiast,adverbs,0.3
2017,רומן,pisarz,nouns,1.05
2018,לשבור,pękać,verbs,3.4
2019,אשם,uczciwy,adjectives,0.3
2020,בעצב,emocjonalnie,adverbs,0.9
2021,מוגן,nużący,adjectives,0.1
