ID,FRA,SWA,PoS,score
1405,pistolet,bunduki,nouns,0.1
1406,organiser,kuwa,verbs,0.25
1407,bras,mshipa,nouns,1.0
1408,date,kalenda,nouns,3.25
1409,suite,mwendelezo,nouns,0.15
1410,tranchant,mbutu,adjectives,0.1
1411,taille,ukubwa,nouns,4.45
1412,gagner,kutengeneza,verbs,0.5
1413,chapeau,sanduku,nouns,0.7
1414,seconde,dakika,nouns,3.0
1415,école,darasa,nouns,3.7
1416,estomac,mshipa,nouns,0.75
1417,falaise,mkia,nouns,0.05
1418,animal de compagnie,paka,nouns,3.7
1419,porter,kuchukua,verbs,2.55
1420,incroyablement,kwa umaradufu,adverbs,1.95
1421,tristement,kwa huzuni,adverbs,1.3
1422,bétail,mifugo,nouns,0.2
1423,canapé,baseball,nouns,0.05
1424,juriste,wakili,nouns,4.65
1425,sûr,bila shaka,adjectives,5.3
1426,livre,andiko,nouns,3.8
1427,automobile,motokaa,nouns,5.9
1428,indice,neno,nouns,1.0
1429,riz,kuku,nouns,0.8
1430,voiture,teksi,nouns,4.15
1431,observer,kutazama,verbs,5.6
1432,action,akiba,nouns,3.45
1433,personne,senti,nouns,0.05
1434,contrarié,kasirika,adjectives,0.65
1435,vélo,gari,nouns,1.55
1436,détruire,kuumba,verbs,0.8
1437,oiseau,kuku,nouns,3.1
1438,bacon,chakula cha asubuhi,nouns,1.2
1439,impeccable,bila doa,adjectives,5.4
1440,concours,mapatano,nouns,0.65
1441,zone,eneo,nouns,4.3
1442,chambre à coucher,baisikeli,nouns,0.05
1443,être diplômé,kuhitimu,verbs,3.55
1444,élève,mwanafunzi,nouns,5.05
1445,couvert,funikwa,adjectives,0.95
1446,balle,glavu,nouns,1.4
1447,nager,kuogelea,verbs,0.3
1448,passivement,kwa kutegemewa,adverbs,0.35
1449,confondre,kuchanganya,verbs,0.5
1450,savoir,kuelewa,verbs,3.85
1451,amical,mkarimu,adjectives,2.45
1452,disparaître,kutafuta,verbs,0.3
1453,bourrasque,upepo mkali,nouns,4.25
1454,canette,kopo,nouns,2.65
1455,réel,halisi,adjectives,0.95
1456,absorber,kutoa,verbs,1.8
1457,paix,amani,nouns,0.8
1458,rencontrer,kukusanya,verbs,1.55
1459,recueillir,kukutana,verbs,1.55
1460,frapper,kupiga,verbs,0.55
1461,course,mbio,nouns,0.2
1462,hôpital,kitanda,nouns,1.0
1463,puissant,mwenye nguvu,adjectives,0.8
1464,tombe,kaburi,nouns,1.9
1465,bière,kinywaji,nouns,3.75
1466,souris,ndezi,nouns,4.1
1467,conforter,kufaraja,verbs,0.45
1468,syntaxe,sintaksia,nouns,1.0
1469,têtu,msumbufu,adjectives,1.45
1470,gagnant,uwepo,nouns,0.3
1471,parent,mtu mzima,nouns,3.25
1472,compter,tegemea,verbs,0.25
1473,boire,kunywa,verbs,0.4
1474,enjoué,mwenye furaha,adjectives,4.85
1475,énorme,mpumbavu,adjectives,0.65
1476,descendre,kushuka,verbs,0.3
1477,analyser,kuchambua,verbs,4.5
1478,orchestre,bendi,nouns,4.25
1479,section,jeshi,nouns,2.4
1480,chambre,tumbo,nouns,0.05
1481,larme,jicho,nouns,1.6
1482,surface,kanda,nouns,4.3
1483,ami,mwalimu,nouns,0.9
1484,augmenter,kukuinua,verbs,4.6
1485,batterie,betri,nouns,0.05
1486,colère,ghadhabu,nouns,5.1
1487,apporter,kurudisha,verbs,0.75
1488,boire,kunywa,verbs,2.3
1489,détériorer,kuzorota,verbs,0.2
1490,activement,kikamilifu,adverbs,0.25
1491,perdre,kuweka,verbs,0.75
1492,travail,jukumu,nouns,3.95
1493,facile,ngumu,adjectives,1.1
1494,vague,isiyo dhahiri,adjectives,4.9
1495,pleinement,kwa uzima,adverbs,0.7
1496,propre,safi,adjectives,0.95
1497,professeur,rafiki,nouns,0.9
1498,cérémonie,sherehe,nouns,5.35
1499,éroder,kumomonyoka,verbs,0.8
1500,manière,njia,nouns,5.2
1501,témoigner,kushuhudia,verbs,1.15
1502,approuver,kukubali,verbs,4.0
1503,normalement,kwa kawaida,adverbs,0.75
1504,se plaindre,kuleta,verbs,0.15
1505,rivière,mkondo,nouns,3.95
1506,ballon,mpira,nouns,2.5
1507,porte,uwepo,nouns,0.15
1508,détruire,kuharibu,verbs,0.6
1509,frais de scolarité,ada,nouns,2.1
1510,porte,undugu,nouns,0.0
1511,affaire,viwanda,nouns,2.3
1512,difficile,rahisi,adjectives,1.1
1513,astuce,kuoga,nouns,0.0
1514,infection,ugonjwa,nouns,4.2
1515,surprendre,kushangaza,verbs,0.5
1516,rondin,mbao,nouns,3.2
1517,interdire,kukataza,verbs,2.35
1518,servante,msaidizi,nouns,2.95
1519,papillon,kipepeo,nouns,0.4
1520,satisfaire,kusihi,verbs,0.35
1521,criminel,mhalifu,nouns,5.05
1522,déguiser,kuficha,verbs,3.1
1523,pomme,mwanga wa jua,nouns,0.35
1524,beauté,uzuri,nouns,0.4
1525,sauce,matofaa,nouns,0.8
1526,chaos,vurugu,nouns,0.15
1527,journal,makala,nouns,4.15
1528,anormalement,sikawaida,adverbs,0.75
1529,chapitre,mkia,nouns,0.0
1530,connu,inayojulikana,adjectives,0.65
1531,frais,mpana,adjectives,0.1
1532,bateau,meli,nouns,0.2
1533,galaxie,giligili,nouns,0.1
1534,marginalement,mara kwa mara,adverbs,0.9
1535,son,sauti,nouns,3.7
1536,apporter,kubeba,verbs,3.05
1537,éduquer,elimisha,verbs,3.8
1538,secouer,kutikisa,verbs,0.15
1539,style,fesheni,nouns,4.9
1540,autobus,chombo cha usafiri,nouns,4.15
1541,autoroute,jukumu,nouns,0.15
1542,long métrage,filamu,nouns,5.3
1543,clavier,kibodi,nouns,0.1
1544,gouvernement,serikali,nouns,0.0
1545,commencer,kwenda,verbs,0.7
1546,donner,kuiba,verbs,0.7
1547,donner,kutoa,verbs,0.15
1548,carte,ramani,nouns,0.4
1549,révision,kivuli cha mawingu,nouns,0.65
1550,probablement,labda,adverbs,0.7
1551,sournois,imara,adjectives,0.7
1552,se produire,kutukia,verbs,5.45
1553,feuille,jani,nouns,1.3
1554,significativement,kwa maana,adverbs,2.25
1555,turbine,mota,nouns,4.25
1556,vache,mifugo,nouns,3.45
1557,choisir,chagua,verbs,5.45
1558,constitution,katiba,nouns,0.75
1559,échouage,jengo,nouns,1.25
1560,honteux,kua na aibu,adjectives,0.4
1561,tâche,kazi,nouns,3.95
1562,marine,jeshi,nouns,3.9
1563,moyen,wastani,adjectives,0.75
1564,chiffre,tarakimu,nouns,5.4
1565,élire,kuteua,verbs,0.55
1566,canon,mpira,nouns,0.55
1567,maladie,hatari,nouns,1.05
1568,réprimer,kukandamiza,verbs,1.35
1569,vieux,mbivu,adjectives,0.2
1570,disparaître,kupungua,verbs,1.35
1571,attraper,kudaka,verbs,0.57
1572,immature,kutokomaa,adjectives,0.7
1573,appartement,nyumba,nouns,3.95
1574,furieux,mkubwa sana,adjectives,0.55
1575,énerver,kusumbua,verbs,0.15
1576,vouloir,kuazima,verbs,0.8
1577,électricité,umeme,nouns,0.65
1578,télévision,mawasiliano,nouns,2.0
1579,sembler,kuwa,verbs,1.0
1580,étrange,ya kushangaza,adjectives,0.9
1581,mousse,nyasi,nouns,2.15
1582,bras,bega,nouns,2.5
1583,volley-ball,mpira wa wavu,nouns,2.5
1584,fastidieux,kulivu,adjectives,0.2
1585,jus,matofaa,nouns,1.65
1586,deux fois,mara mbili,adverbs,1.0
1587,catastrophe,kifo,nouns,2.25
1588,prendre,kubeba,verbs,2.55
1589,vitesse,mwendo,nouns,0.0
1590,attendre,kungoja,verbs,0.65
1591,imiter,kuonyesha,verbs,2.05
1592,bol,sahani,nouns,3.0
1593,proie,mungu,nouns,0.05
1594,bien,nzuri,adjectives,0.15
1595,brandy,divai,nouns,3.55
1596,devenir,kufanikisha,verbs,1.35
1597,incliner,kupendelea,verbs,2.95
1598,briser,kuvunja,verbs,4.2
1599,ballon,watu,nouns,0.0
1600,infection,maambukizo,nouns,0.9
1601,demander,kuomba,verbs,3.15
1602,enterrement,kifo,nouns,3.3
1603,entrant,inayoingia,adjectives,0.35
1604,imprimer,kuchapisha,verbs,0.1
1605,ordinaire,kawaida,adjectives,0.8
1606,pièce,kitanda,nouns,0.8
1607,gestion,panya,nouns,0.0
1608,centime,watu,nouns,0.05
1609,repas,chakula cha usiku,nouns,4.1
1610,alcool,wiski,nouns,3.9
1611,sauver,kuokoa,verbs,0.6
1612,fâché,mjeuri,adjectives,1.7
1613,estomac,njia,nouns,0.15
1614,mouiller,kulowesha,verbs,0.05
1615,vendre,kwenda,verbs,0.2
1616,fou,safi,adjectives,0.65
1617,veste,sweta,nouns,3.65
1618,combat,pambano,nouns,4.35
1619,garçon,mtoto wa kiume,nouns,4.75
1620,marin,kapteni,nouns,2.7
1621,paiement,ada,nouns,4.1
1622,cerise,cheri,nouns,2.4
1623,date,tarehe,nouns,2.15
1624,coupable,mkweli,adjectives,0.7
1625,voiture,boti,nouns,1.4
1626,sorcier,mchawi,nouns,0.0
1627,attendre,kusubiri,verbs,2.35
1628,mosaïque,mosaic,nouns,0.45
1629,homme,mshindi,nouns,0.65
1630,canne à sucre,muwa,nouns,0.3
1631,sauver,kutumia,verbs,0.45
1632,veau,fahali,nouns,2.65
1633,houille,makaa ya mawe,nouns,4.1
1634,femme,majani makavu,nouns,0.0
1635,aéroport,ndege,nouns,2.2
1636,auxiliaire,mfanyakazi wa nyumbani,nouns,2.95
1637,père,mungu,nouns,2.4
1638,heureusement,kwa furaha,adverbs,0.28
1639,penser,kutafiti,verbs,0.8
1640,fêter,kusherekea,verbs,0.5
1641,frigide,mdhaifu,adjectives,0.3
1642,médecin,daktari,nouns,5.5
1643,pièce,kuoga,nouns,0.8
1644,localement,hapa ndani,adverbs,0.15
1645,cadre,fremu,nouns,0.1
1646,éroder,kumomonyoka,verbs,0.15
1647,affaire,kampuni,nouns,3.2
1648,cinéma,sinema,nouns,3.1
1649,portable,simu ya mkononi,nouns,5.0
1650,arrêter,kusimamisha,verbs,2.35
1651,état,nyumba,nouns,0.15
1652,taxi,teksi,nouns,4.2
1653,facile,mkubwa,adjectives,0.25
1654,source,chanzo,nouns,0.0
1655,personne,dola,nouns,0.4
1656,ressemblant,sawa,adjectives,5.1
1657,taxi,basi,nouns,2.75
1658,soir,giza kuingia,nouns,4.75
1659,bruine,mvua,nouns,4.65
1660,joindre,kujipatia,verbs,0.65
1661,cancer,maradhi,nouns,3.9
1662,ordinaire,si wa kawaida,adjectives,1.05
1663,sortie,mlangoni,nouns,2.6
1664,nouvelle,vyombo vya habari,nouns,2.7
1665,hiver,msimu,nouns,3.25
1666,enterrer,kuzikwa,verbs,2.05
1667,fou,ana kichaa,adjectives,5.75
1668,honteux,jisikia aibu,adjectives,0.65
1669,couvrir,kufunika,verbs,2.95
1670,actrice,mchezaji,nouns,4.4
1671,cathédrale,kanisa kuu,nouns,4.5
1672,dune,dune,nouns,2.75
1673,mode,mtindo,nouns,4.9
1674,île,kisiwa,nouns,0.65
1675,pont,panya,nouns,0.05
1676,renoncer,kukataa,verbs,1.35
1677,magnitude,kina,nouns,1.35
1678,savoir,kusahau,verbs,0.85
1679,grandement,bila masihara,adverbs,2.3
1680,évidemment,ni wazi,adverbs,0.3
1681,sandwich,nyama,nouns,1.2
1682,cigare,sanduku ,nouns,0.7
1683,porte,korido,nouns,1.25
1684,météo,hali ya hewa,nouns,0.85
1685,actif,mali,nouns,3.45
1686,idée,oni,nouns,5.05
1687,immédiatement,papo hapo,adverbs,1.6
1688,bulbe,ua,nouns,2.25
1689,étudiant,mwanachuo,nouns,5.05
1690,langue,koo,nouns,1.8
1691,réceptacle,panya,nouns,0.05
1692,normalement,kwa kawaida,adverbs,2.5
1693,serviteur,mtumishi,nouns,3.7
1694,cloche,mnara,nouns,0.95
1695,viande,ugali,nouns,1.2
1696,paiement,malipo,nouns,3.9
1697,notifier,kutambua,verbs,0.95
1698,pendre,kuweka,verbs,0.55
1699,terne,zorota,adjectives,0.55
1700,mineur,mdogo,adjectives,0.7
1701,banc,kiti,nouns,4.1
1702,lit,chumba,nouns,0.8
1703,cheville,mfupa,nouns,2.05
1704,déranger,kusumbua,verbs,0.2
1705,ballon,kikapu,nouns,0.8
1706,poursuivre,kushawishi,verbs,0.65
1707,archevêque,askofu,nouns,4.6
1708,veine,mkono,nouns,1.0
1709,nerf,matumbo,nouns,0.9
1710,montagne,mwamba,nouns,1.95
1711,jument,farasi,nouns,4.25
1712,ampoule,malengelenge,nouns,0.15
1713,arme,silaha,nouns,1.15
1714,langage,mawasiliano,nouns,3.05
1715,chaos,mchafuko,nouns,4.5
1716,idiot,wa kitoto,adjectives,3.7
1717,façon,namna,nouns,5.2
1718,au fond,kimsingi,adverbs,0.7
1719,bouteille,chupa,nouns,2.65
1720,princesse,mfalme,nouns,3.1
1721,chargeur,chaja,nouns,0.6
1722,immoral,haramu,adjectives,2.9
1723,film,sinema,nouns,5.3
1724,sœur,dada,nouns,2.4
1725,plaider,kuuliza,verbs,2.05
1726,livrer,kuchukua,verbs,0.6
1727,nécessiter,kuandaa,verbs,0.3
1728,échapper,kuhepa,verbs,0.3
1729,donner,kuazima,verbs,1.05
1730,vol,ndege,nouns,3.25
1731,acteur,mchezaji wa kike,nouns,4.4
1732,condensateur,capacitor,nouns,1.7
1733,jet,ndege,nouns,4.8
1734,astuce,saizi,nouns,0.0
1735,gros,mpana,adjectives,3.4
1736,fleur,chavua,nouns,2.25
1737,élire,kuteua,verbs,5.45
1738,doux,laini,adjectives,0.65
1739,agresser,kushambulia,verbs,0.65
1740,arriver,kuondoka,verbs,0.25
1741,livre,biblia,nouns,3.25
1742,rejoindre,kushirikiana,verbs,3.0
1743,délicieux,mchangamfu,adjectives,1.35
1744,atteindre,kujaribu,verbs,0.95
1745,précieux,yenye thamani,adjectives,1.55
1746,grand,nama,adjectives,0.3
1747,hanche,mdomo,nouns,0.6
1748,météo,wingu,nouns,2.0
1749,lac,ziwa,nouns,0.45
1750,histoire,kitabu,nouns,2.4
1751,émotion,hamu,nouns,3.3
1752,célébration,maadhimisho,nouns,5.35
1753,rejoindre,kushiriki,verbs,3.75
1754,cheval,farasi wa kike,nouns,4.25
1755,laid,mbaya,adjectives,0.85
1756,chimie,nadharia,nouns,1.05
1757,pont,gari,nouns,0.35
1758,arranger,kuandaa,verbs,4.5
1759,homme,mume,nouns,4.4
1760,faucon,ndege,nouns,3.85
1761,herbe,mwani,nouns,2.15
1762,improbable,sio rahisi,adverbs,0.0
1763,anxieusement,kwa wasiwasi,adverbs,5.3
1764,idiot,mpumbavu,adjectives,5.4
1765,frapper,kupiga,verbs,2.95
1766,construire,kuumba,verbs,4.6
1767,trône,kiti cha enzi,nouns,0.5
1768,chirurgie,moyo,nouns,1.2
1769,lit,fanicha,nouns,3.05
1770,créer,kutengeneza,verbs,2.52
1771,théâtre,ukumbi,nouns,0.05
1772,pièce,chumba,nouns,1.25
1773,entrer,kudaiwa,verbs,0.15
1774,porte,dirisha,nouns,1.85
1775,récemment,hivi karibuni,adverbs,0.15
1776,conspirateur,mweka mipango,nouns,2.9
1777,amant,mwenzi,nouns,4.3
1778,rester,kubaki,verbs,2.35
1779,avocat,wakili,nouns,3.35
1780,esclave,falahi,nouns,3.7
1781,terne,wa kuchekesha,adjectives,0.3
1782,chaise,kiti,nouns,0.2
1783,couloir,mlango,nouns,1.25
1784,cytoplasme,cytoplasm,nouns,0.0
1785,rester,kupata,verbs,0.3
1786,devenir,kujitokeza,verbs,1.3
1787,modeste,nyenyekevu,adjectives,5.5
1788,pistolet,alfajiri,nouns,0.05
1789,bonbon,peremende,nouns,0.9
1790,participer,kujiunga,verbs,3.75
1791,se disputer,kushawishi,verbs,0.5
1792,retirer,kufyonza,verbs,1.8
1793,gâcher,kuharibu,verbs,0.1
1794,assister,kuja,verbs,3.2
1795,condition,mvulana,nouns,0.05
1796,ballon,kuoga,nouns,0.1
1797,femme,jukumu,nouns,0.1
1798,bateau,mota,nouns,1.9
1799,pendre,kuua,verbs,4.05
1800,jouer,kucheza,verbs,0.7
1801,régime,saladi,nouns,1.1
1802,verre,glasi,nouns,0.25
1803,tâche,majani makavu,nouns,0.0
1804,adulte,mlezi,nouns,2.4
1805,perceptible,wazi,adjectives,2.85
1806,courrier,nguzo,nouns,0.0
1807,satisfaire,kufahamu,verbs,0.35
1808,chiffre,tarakimu,nouns,0.0
1809,collant,natanata,adjectives,1.2
1810,fatigué,iliyochoka,adjectives,1.9
1811,chagrin,uchungu,nouns,2.6
1812,localement,kienyeji,adverbs,0.15
1813,hymne,ushindi,nouns,0.45
1814,pistolet,manyoya,nouns,0.05
1815,accomplir,kuwa,verbs,1.35
1816,ici,papa hapa,adverbs,1.7
1817,hymne,majani makavu,nouns,0.1
1818,avion,ndege,nouns,0.05
1819,casque,helmeti,nouns,1.15
1820,pousser,kusukuma,verbs,1.7
1821,manifeste,bila siri,adjectives,0.55
1822,crayon,penseli,nouns,0.2
1823,svelte,nyembamba,adjectives,5.1
1824,week-end,wiki,nouns,2.35
1825,participer,kushirikiana,verbs,3.6
1826,tâche,kisiwa,nouns,0.05
1827,laisser,kujitokeza,verbs,0.5
1828,carte mère,bodi mama(mama as central),nouns,4.1
1829,cuillère,kikombe,nouns,1.3
1830,dentiste,kanali,nouns,0.3
1831,battre en retraite,kurudia,verbs,0.3
1832,mousse,puto,nouns,2.1
1833,beurre,kiazi,nouns,0.95
1834,violette,ua,nouns,3.95
1835,ignorer,kuepa,verbs,2.95
1836,saisir,kusoma,verbs,1.0
1837,infirmier,mwanasayansi,nouns,0.85
1838,étouffer,kuziba,verbs,0.35
1839,vin,brandi,nouns,3.55
1840,chocolat,keki,nouns,1.45
1841,devoir,kukopesha,verbs,0.75
1842,clarifier,kueleza,verbs,5.1
1843,joueur,mchezaji,nouns,1.9
1844,accomplir,kutumbuiza,verbs,0.15
1845,profondeur,ukubwa,nouns,1.35
1846,facile,rahisi,adjectives,0.42
1847,foule,kikundi,nouns,4.95
1848,pauvre,maskini,adjectives,0.3
1849,canon,bunduki,nouns,2.45
1850,oiseau,mwewe,nouns,3.85
1851,critique,muhimu,adjectives,0.35
1852,sculpteur,sonara,nouns,0.3
1853,ouvrier,kamera,nouns,0.05
1854,recevoir,kununua,verbs,1.0
1855,voiture,daraja,nouns,0.35
1856,biologie,biolojia,nouns,1.4
1857,connu,julikana,adjectives,5.55
1858,chat,mnyama,nouns,3.7
1859,taille,tumbo,nouns,0.6
1860,jeune,isiyotulia,adjectives,0.7
1861,procureur,mwendesha mashtaka,nouns,3.35
1862,paille,jukumu,nouns,0.0
1863,maison,fleti,nouns,3.95
1864,commande,menyu,nouns,1.55
1865,film,filamu,nouns,0.15
1866,garçon,mazingira,nouns,0.05
1867,demander,kusihi,verbs,2.05
1868,juger,hakimu,verbs,1.15
1869,accepter,kupeleka,verbs,0.55
1870,plage,ukingo wa bahari,nouns,5.05
1871,grossièrement,kwa kukadiria,adverbs,0.45
1872,être en désaccord,kataa,verbs,0.95
1873,animal,mtu,nouns,1.0
1874,réprimander,kulaani,verbs,0.45
1875,charbon,makaa,nouns,4.1
1876,faible,dhaifu,adjectives,0.8
1877,miel,sukari,nouns,2.75
1878,rythme,hesabu,nouns,0.1
1879,groupe,subira,nouns,0.1
1880,illégal,wa dhambi,adjectives,2.9
1881,ajouter,kugawanya,verbs,1.1
1882,télévision,runinga,nouns,2.05
1883,écrivain,mtungaji,nouns,4.2
1884,sale,chafu,adjectives,0.35
1885,dollar,dola,nouns,1.75
1886,porte,sela,nouns,0.6
1887,maladie,saratani,nouns,3.9
1888,gagner,kufanikiwa,verbs,4.8
1889,politicien,rais,nouns,3.4
1890,source,kisima,nouns,3.3
1891,décourager,katisha tamaa,verbs,2.55
1892,stupide,wa upuzi,adjectives,5.4
1893,église,kanisa,nouns,4.5
1894,biographie,habari za kubuniwa,nouns,1.6
1895,amical,kirafiki,adverbs,0.0
1896,fermement,kwa kidete,adverbs,0.7
1897,cuirassé,manowari,nouns,5.4
1898,crèche,elimu ya awali,nouns,4.35
1899,bras,mguu,nouns,2.25
1900,mouton,mwanakondoo,nouns,4.3
1901,compagnon,mpenzi,nouns,4.3
1902,abordable,si ghali,adjectives,5.6
1903,chaise,kitanda,nouns,1.35
1904,essayer,kufikiria,verbs,0.15
1905,ouvertement,wazi,adverbs,0.7
1906,entendre,kusikiliza,verbs,4.85
1907,haricot,nyama ya nguruwe,nouns,0.75
1908,apporter,kulalamika,verbs,0.15
1909,porte,lango,nouns,4.95
1910,apprendre,kusahau,verbs,0.9
1911,sûrement,hakika,adverbs,2.08
1912,sel,maji,nouns,0.8
1913,taxi,gari,nouns,4.15
1914,oublier,kujua,verbs,0.85
1915,œil,chozi,nouns,1.6
1916,plante,mmea,nouns,1.7
1917,nécessiteux,uhitaji,adjectives,1.75
1918,père,mwanaume,nouns,3.0
1919,communication,mazungumzo,nouns,4.6
1920,attentivement,kwa karibu,adverbs,0.15
1921,jeans,jinzi,nouns,0.05
1922,saison,msimu wa baridi,nouns,3.25
1923,étroit,mpana,adjectives,0.6
1924,bière,shampeni,nouns,3.05
1925,reconnaître,kuzungumza,verbs,0.35
1926,organiser,kuhitaji,verbs,0.3
1927,enjoué,mwenye kupendeza,adjectives,1.35
1928,subtilement,kijanja,adverbs,0.65
1929,épicé,pilipili,adjectives,0.1
1930,chapelle,kanisa ,nouns,0.05
1931,grand,mkubwa,adjectives,3.8
1932,église,kwaya,nouns,2.1
1933,fleur,subira,nouns,0.2
1934,dur,mwerevu,adjectives,0.7
1935,saisir,kuridhisha,verbs,0.35
1936,disque,diski,nouns,0.6
1937,sûr,lindwa,adjectives,0.2
1938,lune,sayari,nouns,1.85
1939,homme,mwanaume,nouns,0.75
1940,faire,kuumba,verbs,4.95
1941,polyèdre,pembe zaidi ya sita,nouns,0.0
1942,tête,msumari,nouns,0.7
1943,accident,ajali,nouns,0.3
1944,caractère,daktari,nouns,0.0
1945,tissu,nguo,nouns,3.25
1946,chevaucher,kuendesha,verbs,0.75
1947,discuter,kueleza,verbs,2.2
1948,bon marché,mchafu,adjectives,0.2
1949,généreux,wa kirafiki,adjectives,2.45
1950,illégal,haramu,adjectives,0.75
1951,religion,dini,nouns,1.8
1952,rivage,ufuko,nouns,5.05
1953,flexible,mwenye kiasi,adjectives,0.75
1954,bol,kichochoro,nouns,0.05
1955,fourrure,ngozi,nouns,3.25
1956,paracétamol,acetaminopheni,nouns,0.9
1957,représenter,kuiga,verbs,2.05
1958,couverture,blanketi,nouns,0.1
1959,ministère,huduma,nouns,0.5
1960,guitare,gitaa,nouns,0.05
1961,copilote,rubani msaidizi,nouns,1.2
1962,oiseau,batamzinga,nouns,3.7
1963,accepter,kupendekeza,verbs,0.75
1964,fête,watu,nouns,0.8
1965,en phase terminale,mwishoni,adverbs,0.0
1966,femme,kuoga,nouns,0.05
1967,incurvé,pinda,adjectives,5.6
1968,docteur,mtaalamu wa meno,nouns,3.2
1969,étoile,nyota,nouns,3.4
1970,gros,rahisi,adjectives,0.25
1971,assister,kusaidia,verbs,5.25
1972,fantastiquement,kimaajabu,adverbs,4.7
1973,duc,mjuzi,nouns,0.3
1974,porte,sakafu,nouns,0.4
1975,stupide,hodari,adjectives,0.95
1976,changer,kugeuza,verbs,5.4
1977,route,barabara,nouns,4.4
1978,mordre,uma,verbs,0.0
1979,chaotiquement,kwa vurugu,adverbs,0.5
1980,femme,mke,nouns,4.35
1981,anarchie,vurugu,nouns,4.5
1982,marine,jeshi la wanamaji,nouns,0.65
1983,gin,kileo,nouns,3.15
1984,liberté,uhuru,nouns,0.63
1985,brillamment,kwa ukali,adverbs,0.3
1986,diviser,kujumlisha,verbs,1.1
1987,loyalement,kwa uaminifu,adverbs,3.8
1988,agréable,mkorofi,adjectives,0.6
1989,partir,kwenda,verbs,5.05
1990,ballon,mzinga,nouns,0.55
1991,monde,ulimwengu,nouns,5.3
1992,possibilité,uhuru,nouns,4.15
1993,chanter,kuimba,verbs,0.1
1994,offre,toleo,nouns,3.4
1995,apparaître,kuondoka,verbs,0.5
1996,salade,mpangilio wa chakula,nouns,1.1
1997,terne,mkali,adjectives,0.1
1998,rondin,kuni,nouns,3.75
1999,environnement,mazingira,nouns,0.05
2000,ignorer,kupuuza,verbs,0.1
2001,apparent,wazi,adjectives,4.7
2002,légèrement,wepesi,adverbs,0.3
2003,photophone,picha,nouns,0.25
2004,éclaboussure,chubwi,nouns,0.3
2005,vêtement,koti,nouns,3.15
2006,nuage,mvuke,nouns,2.65
2007,noyer,kutota,verbs,0.75
2008,nerf,mwili,nouns,1.2
2009,impôt,mapato,nouns,2.45
2010,sérieusement,pasipo tu,adverbs,0.35
2011,au-delà,kuzimu,nouns,2.1
2012,cuisine,mlango,nouns,0.5
2013,bouger,kutoka,verbs,0.2
2014,curseur,mshale,nouns,0.1
2015,choix,mshipa,nouns,0.3
2016,gens,bunduki,nouns,0.25
2017,faisable,inawezekana,adjectives,0.95
2018,pomme de terre,siagi,nouns,0.95
2019,bois,mbao,nouns,0.15
2020,bizarre,wa kawaida,adjectives,1.05
2021,voiture,mpira wa maji,nouns,0.1
2022,bonne,msichana,nouns,0.85
2023,dieu,roho,nouns,2.6
2024,blesser,kuumia,verbs,1.05
2025,stupide,mkubwa mno,adjectives,0.65
2026,dirigeant,mtawala,nouns,4.8
2027,dieu,windo,nouns,0.05
2028,chanceux,enye bahati,adjectives,0.4
2029,massivement,kwa ukubwa,adverbs,0.7
2030,ennuyé,ilichoshwa,adjectives,0.8
2031,neige,theluji,nouns,3.0
