ID,RUS,SPA,PoS,score
1480,джин,whisky,nouns,1.3
1481,мужчина,mujer,nouns,0.95
1482,обертка,puerto,nouns,0.15
1483,пить,aumentar,verbs,0.0
1484,театр,película,nouns,0.8
1485,хотеть,desear,verbs,5.1
1486,словарь,definición,nouns,2.5
1487,нажимать,lanzar,verbs,0.1
1488,легко,aproximadamente,adverbs,0.1
1489,забывать,perdonar,verbs,1.75
1490,думать,recuerda,verbs,1.2
1491,разрушать,hacer,verbs,0.15
1492,лёд,nieve,nouns,2.75
1493,писатель,lector,nouns,0.8
1494,скот,vaca,nouns,2.55
1495,исчезать,esfumarse,verbs,5.25
1496,песок,pie,nouns,0.2
1497,многогранник,actor,nouns,0.0
1498,предсказывать,asumir,verbs,2.95
1499,облако,calina,nouns,1.6
1500,отец,hija,nouns,0.7
1501,умереть,desintegrarse,verbs,0.7
1502,класс,universidad,nouns,1.2
1503,побережье,litoral,nouns,4.15
1504,яблоко,jugo,nouns,1.0
1505,век,espíritu,nouns,0.05
1506,историограф,historiador,nouns,2.8
1507,отчаяние,miseria,nouns,2.05
1508,нос,boca,nouns,0.85
1509,точно,seguramente,adverbs,3.4
1510,опыление,estambre,nouns,1.1
1511,победитель,gol,nouns,0.5
1512,скорый,rápido,adjectives,5.3
1513,пальто,ropa,nouns,1.5
1514,спальня,baño,nouns,0.95
1515,укусить,luchar,verbs,0.65
1516,плакать,lloriquear,verbs,4.55
1517,болезнь,peligro,nouns,0.7
1518,криптограмма,símbolo,nouns,2.3
1519,иногда,uniformemente,adverbs,0.15
1520,выбор,vena,nouns,0.0
1521,освобождать,presionar,verbs,0.1
1522,происходить,descubrir,verbs,0.8
1523,умолять,pedir,verbs,3.55
1524,йогурт,ganado,nouns,0.45
1525,помолвка,anillo,nouns,1.7
1526,сын,niño,nouns,2.55
1527,сказать,recordar,verbs,0.9
1528,игрок,entrenador,nouns,0.55
1529,дверь,portón,nouns,4.25
1530,новый,fresco,adjectives,3.7
1531,грузовик,paquete,nouns,0.45
1532,продвигать,avanzar,verbs,1.85
1533,снег,clima,nouns,1.0
1534,гонорар,pago,nouns,4.05
1535,актив,valores,nouns,2.4
1536,локоть,tobillo,nouns,0.45
1537,приобретать,comprar,verbs,3.4
1538,отец,dios,nouns,1.55
1539,завязать,tejer,verbs,0.05
1540,думать,tratar,verbs,0.5
1541,ковер,casa,nouns,0.55
1542,телефон,cabina,nouns,1.05
1543,лодка,motor,nouns,0.65
1544,население,gente,nouns,3.25
1545,прощать,excusar,verbs,3.3
1546,старый,nuevo,adjectives,0.1
1547,выпускать,captura,verbs,0.25
1548,мясо,filete,nouns,3.9
1549,обсуждать,explicar,verbs,1.2
1550,невроз,mente,nouns,0.85
1551,обед,sandwich,nouns,1.05
1552,судья,corte,nouns,1.25
1553,ступня,arena,nouns,0.2
1554,преследовать,susto,verbs,0.4
1555,нуждаться,organizar,verbs,0.15
1556,клуб,sociedad,nouns,2.35
1557,утомительный,seguro,adjectives,0.05
1558,напряжённый,relajado,adjectives,0.15
1559,отрекаться,negar,verbs,0.75
1560,откладывать,terminar,verbs,0.3
1561,ударять,atraer,verbs,0.05
1562,губа,boca,nouns,1.8
1563,останавливаться,advertir,verbs,0.5
1564,слеза,ojo,nouns,1.0
1565,алкоголь,cerveza,nouns,2.35
1566,посещать,reunir,verbs,0.6
1567,организованный,desorganizado,verbs,0.05
1568,конвенция,regla,nouns,1.75
1569,цель,búsqueda,nouns,1.05
1570,радикальный,violento,adjectives,1.75
1571,логика,inteligencia,nouns,2.9
1572,слушать,entender,verbs,0.85
1573,зарядное устройство,disco,nouns,0.8
1574,ценность,creencia,nouns,1.35
1575,курятина,cena,nouns,1.1
1576,масло,patata,nouns,0.65
1577,клубника,cereza,nouns,1.05
1578,доктор,profesor,nouns,1.1
1579,рука,músculo,nouns,1.25
1580,ушибить,caer,verbs,1.0
1581,счастье,paz,nouns,2.35
1582,галактика,astrónomo,nouns,1.55
1583,растворять,mezclar,verbs,1.9
1584,выдающийся,genial,adjectives,3.75
1585,палуба,piso,nouns,1.05
1586,нога,miembro,nouns,3.3
1587,планета,luna,nouns,1.9
1588,сейчас,aquí,adverbs,1.5
1589,рука,pierna,nouns,0.6
1590,завладевать,tomar,verbs,2.5
1591,оазис,libertad,nouns,0.2
1592,отправить,lanzar,verbs,2.4
1593,устраивать,organizar,verbs,4.55
1594,мелодия,ritmo,nouns,3.05
1595,журналист,poeta,nouns,0.8
1596,одежда,chaqueta,nouns,1.6
1597,грязный,pegajoso,adjectives,1.7
1598,источник,caja,nouns,0.1
1599,школа,grado,nouns,1.2
1600,шелкопряд,oruga,nouns,2.95
1601,размер,centavo,nouns,0.4
1602,язык,garganta,nouns,0.95
1603,бридж,tarjeta,nouns,0.5
1604,солнце,manzana,nouns,0.25
1605,тайно,con confianza,adverbs,0.55
1606,объяснять,discutir,verbs,1.2
1607,ум,sabiduría,nouns,3.7
1608,мозги,mente,nouns,3.05
1609,палец,mano,nouns,1.2
1610,здание,habitación,nouns,0.8
1611,батарейка,teatro,nouns,0.1
1612,маис,maíz,nouns,3.45
1613,трапеза,cena,nouns,3.3
1614,братство,béisbol,nouns,0.45
1615,цветок,violeta,nouns,2.2
1616,кровь,carne,nouns,0.9
1617,первый,quinto,adjectives,0.05
1618,значок,vaso,nouns,0.35
1619,рабыня,servidor,nouns,2.3
1620,экзамен,silaba,nouns,0.45
1621,одежда,armario,nouns,1.15
1622,достигать,realizar,verbs,2.55
1623,рисование,alboroto,nouns,0.05
1624,ухудшать,limpiar,verbs,0.2
1625,занимать,desear,verbs,0.5
1626,задыхаться,respirar,verbs,0.5
1627,праведно,maduro,adverbs,0.85
1628,гибкий,grande,adjectives,0.0
1629,сжимать,agarrar,verbs,1.85
1630,глаз,lágrima,nouns,1.0
1631,ванна,globo,nouns,0.05
1632,автомобиль,puente,nouns,0.3
1633,глава,noche,nouns,0.35
1634,рука,hombro,nouns,1.2
1635,шахматы,comprobar,nouns,0.9
1636,проход,salida,nouns,2.25
1637,определять,aclarar,verbs,3.75
1638,эксцентричный,extraño,adjectives,3.35
1639,пиджак,suéter,nouns,1.85
1640,устраивать,exigir,verbs,0.15
1641,механический,eléctrico,adjectives,0.75
1642,бойко,maduro,adverbs,0.8
1643,друг,profesor,nouns,1.15
1644,остров,tarea,nouns,0.05
1645,иллюстрация,ampolla,nouns,0.0
1646,скучный,cansado,adjectives,1.0
1647,дверь,fraternidad,nouns,0.2
1648,углерод,átomo,nouns,1.45
1649,полагаться,depender,verbs,1.8
1650,возможно,probable,adverbs,4.0
1651,гнаться,capturar,verbs,1.5
1652,толкование,diccionario,nouns,2.5
1653,кость,codo,nouns,0.95
1654,банкротство,fracaso,nouns,2.5
1655,смешной,aburrido,adjectives,0.1
1656,валюта,concurrencia,nouns,0.15
1657,иногда,seguramente,adverbs,0.6
1658,игральная кость,cubo,nouns,3.2
1659,компьютер,disco,nouns,1.35
1660,рука,hueso,nouns,0.9
1661,принимать,creer,verbs,1.15
1662,плавать,reunirse,verbs,0.0
1663,дорожка,cuenco,nouns,0.0
1664,оркестр,desfile,nouns,1.5
1665,учиться,educar,verbs,1.35
1666,достигать,recibir,verbs,0.75
1667,очевидно,aparentemente,adverbs,3.45
1668,странный,astuto,adjectives,0.8
1669,равнодушный,áspero,adjectives,0.45
1670,спускаться,retirarse,verbs,0.65
1671,современный,antiguo,adjectives,0.15
1672,потерять,sustraer,verbs,0.4
1673,неуверенный,asustado,adjectives,1.65
1674,мышь,envase,nouns,0.05
1675,коро́ва,yogur,nouns,0.45
1676,задача,autopista,nouns,0.15
1677,песня,bailarín,nouns,0.8
1678,пыль,escoba,nouns,1.1
1679,вода,sequía,nouns,0.75
1680,стройный,delgado,adjectives,3.25
1681,засуха,agua,nouns,0.75
1682,расстроенный,avergonzado,adjectives,0.8
1683,грипп,fiebre,nouns,1.65
1684,определять,predecir,verbs,1.35
1685,кино,palomitas de maiz,nouns,1.6
1686,ненавидеть,criticar,verbs,0.9
1687,индейка,pájaro,nouns,2.45
1688,управление,administración,nouns,4.0
1689,оплата,recompensa,nouns,3.75
1690,врач,templar,nouns,0.3
1691,овца,ganado,nouns,2.95
1692,подождать,salir,verbs,0.3
1693,соревноваться,terminar,verbs,0.1
1694,джин,alcohol,nouns,2.2
1695,нейтральный,indeciso,adjectives,1.3
1696,выпуститься,terminar,verbs,1.9
1697,выносливый,astuto,adjectives,0.8
1698,нос,garganta,nouns,0.65
1699,старый,mezclado,adjectives,0.0
1700,шовинист,prejuicio,nouns,1.4
1701,фантазия,realidad,nouns,0.4
1702,двигатель,máquina,nouns,2.5
1703,петля,cinturón,nouns,1.05
1704,опасность,enfermedad,nouns,0.7
1705,калибр,paraguas,nouns,0.1
1706,локально,obviamente,adverbs,0.0
1707,очевидно,discretamente,adverbs,0.45
1708,городок,ciudad,nouns,3.15
1709,пристыженный,modesto,adjectives,0.65
1710,душить,matar,verbs,1.65
1711,повязка,resistencia,nouns,0.05
1712,класс,pasillo,nouns,0.55
1713,шалость,bañera,nouns,0.0
1714,компетенция,capacidad,nouns,2.85
1715,кругосветное плавание,equipaje,nouns,1.05
1716,конденсатор,diodo,nouns,1.75
1717,знать,creer,verbs,0.7
1718,рот,nariz,nouns,0.85
1719,система,culpa,nouns,0.15
1720,неуверенный,necesitado,adjectives,0.35
1721,говорить,susurrar,verbs,1.35
1722,газета,palabra,nouns,1.2
1723,покидать,retirarse,verbs,2.75
1724,беспокоиться,malgastar,verbs,0.05
1725,начинать,dejar,verbs,0.15
1726,непотизм,rey,nouns,1.0
1727,основание,ácido,nouns,0.55
1728,зверь,animal,nouns,4.6
1729,бог,espíritu,nouns,1.8
1730,сигара,caja,nouns,0.8
1731,офис,obrero,nouns,0.55
1732,цветок,resistencia,nouns,0.05
1733,убеждать,tratar,verbs,1.05
1734,президент,alcalde,nouns,1.55
1735,пристыженный,suerte,adjectives,0.0
1736,адвокат,fiscal,nouns,1.85
1737,счастливый,contento,adjectives,3.75
1738,решать,retratar,verbs,0.8
1739,старый,fresco,adjectives,0.05
1740,щит,rodela,nouns,2.1
1741,отклонять,elegir,verbs,0.3
1742,рис,pollo,nouns,0.55
1743,тянуть,empujar,verbs,1.25
1744,омофон,fotófono,nouns,0.5
1745,отличный,brillante,adjectives,3.75
1746,следовать,perseguir,verbs,3.2
1747,сочинение,tarea,nouns,2.7
1748,отец,madre,nouns,1.75
1749,позволять,ir,verbs,0.3
1750,праздник,calendario,nouns,1.0
1751,снег,tormenta,nouns,1.05
1752,кость,dientes,nouns,1.5
1753,разум,neurosis,nouns,0.85
1754,бог,sacerdote,nouns,1.35
1755,ураган,tormenta,nouns,3.75
1756,печаль,felicidad,nouns,0.45
1757,износоустойчивость,banda,nouns,0.05
1758,погода,nieve,nouns,1.0
1759,создавать,hacer,verbs,3.9
1760,дом,estado,nouns,0.35
1761,весна,géiser,nouns,0.4
1762,клен,árbol,nouns,3.35
1763,приносить,restaurar,verbs,0.1
1764,ловить,capturar,verbs,2.7
1765,создавать,bucear,verbs,0.0
1766,туман,nube,nouns,2.0
1767,просить,ayudar,verbs,0.35
1768,беспорядочный,feo,adjectives,0.45
1769,сумма,unión,nouns,2.75
1770,электорат,partido,nouns,1.1
1771,зонтик,calibre,nouns,0.1
1772,пятый,parte superior,adjectives,0.05
1773,прибор,maceta,nouns,0.4
1774,предубеждение,chauvinista,nouns,1.4
1775,одежда,cajón,nouns,1.0
1776,обожать,admirar,verbs,3.9
1777,легкий,rígido,adjectives,0.05
1778,директор,jefe,nouns,4.5
1779,дипломатия,negociación,nouns,2.2
1780,ящерица,gobierno,nouns,0.0
1781,домик,campamento,nouns,1.1
1782,очевидно,aproximadamente,adverbs,0.4
1783,ненавидеть,disfrutar,verbs,0.05
1784,строка,puesta de sol,nouns,0.0
1785,мяч,esfera,nouns,2.25
1786,жениться,involucrarse,verbs,1.35
1787,печаль,vergüenza,nouns,0.75
1788,главная плата,tarjeta madre,nouns,2.85
1789,безнравственный,ilegal,adjectives,0.75
1790,сила тяжести,meteorito,nouns,0.8
1791,телевидение,cine,nouns,2.55
1792,деньги,efectivo,nouns,4.25
1793,олово,metal,nouns,1.7
1794,пушка,pistola,nouns,1.65
1795,принцесса,rey,nouns,1.35
1796,преуспевать,ganar,verbs,2.4
1797,уходить,retirarse,verbs,3.8
1798,сопло,fluido,nouns,0.2
1799,присоединиться,salir,verbs,0.25
1800,выходные,raza,nouns,0.0
1801,сад,manguera,nouns,0.65
1802,твердо,suavemente,adverbs,0.2
1803,пляж,isla,nouns,1.3
1804,муравей,volar,nouns,0.55
1805,смерть,catástrofe,nouns,1.3
1806,ткать,movimiento,verbs,0.15
1807,холм,acantilado,nouns,2.0
1808,ученик,presidente,nouns,0.25
1809,посещать,discutir,verbs,0.1
1810,судно,cubierta,nouns,1.25
1811,плохой,inmoral,adjectives,2.35
1812,дорожка,túnel,nouns,1.65
1813,палец,dedo,nouns,5.45
1814,понимать,escucha,verbs,0.85
1815,праздновать,sorprender,verbs,0.6
1816,изгиб,ángulo,nouns,2.45
1817,слушать,obedecer,verbs,1.25
1818,волна,clima,nouns,0.55
1819,сбор,convocatoria,nouns,4.6
1820,посылать,ir,verbs,0.4
1821,помрачение,histeria,nouns,1.8
1822,календарь,fecha,nouns,1.6
1823,свободный,inocente,adjectives,0.05
1824,господин,dama,nouns,1.35
1825,противолежащий,otro,adjectives,1.15
1826,стеснительный,costoso,adjectives,0.2
1827,умножать,dividir,verbs,0.4
1828,исследовать,ignorar,verbs,0.1
1829,мышка,gato,nouns,0.55
1830,берег,costa,nouns,4.15
1831,корова,cabra,nouns,0.9
1832,выносливость,fuerza,nouns,2.9
1833,контейнер,ratón,nouns,0.05
1834,прибывать,salir,verbs,0.2
1835,попугать,cazar,verbs,0.4
1836,действительно,perfectamente,adverbs,1.4
1837,подруга,madre,nouns,0.6
1838,подвал,puerta,nouns,0.45
1839,рука,vena,nouns,0.65
1840,принимать,negar,verbs,0.1
1841,остров,playa,nouns,1.3
1842,изогнутый,derecho,adjectives,0.2
1843,липкий,sucio,adjectives,1.7
1844,галерея,abogado,nouns,0.1
1845,кусок,aeropuerto,nouns,0.0
1846,книга,literatura,nouns,2.3
1847,хор,cantante,nouns,1.6
1848,важно,oficialmente,adverbs,0.6
1849,купить,paga,verbs,1.05
1850,наверное,afirmativamente,adverbs,0.5
1851,интеллект,lógica,nouns,2.9
1852,сторонник,grillo,nouns,0.0
1853,занимать,mantener,verbs,0.2
1854,важный,necesario,adjectives,3.5
1855,кастрюля,aparato,nouns,0.4
1856,убегать,encontrar,verbs,0.15
1857,плохой,estupendo,adjectives,0.2
1858,тело,nervio,nouns,0.55
1859,слово,página,nouns,0.65
1860,счастливый,alegre,adjectives,4.85
1861,дюна,desierto,nouns,2.3
1862,дымка,nube,nouns,1.6
1863,бездомный,multimillonario,nouns,0.15
1864,путешествие,conquista,nouns,0.4
1865,хвост,cuenco,nouns,0.1
1866,хлеб,carne,nouns,0.45
1867,электричество,caso,nouns,0.3
1868,ноготь,pulgar,nouns,1.55
1869,явно,seguramente,adverbs,2.95
1870,утвердить,permitir,verbs,2.95
1871,легальный,permitido,adjectives,3.65
1872,область,región,nouns,4.15
1873,противоречить,luchar,verbs,0.75
1874,ловить,lanzar,verbs,0.25
1875,происходить,hacer,verbs,1.25
1876,бык,caballo,nouns,1.05
1877,отвергать,aceptar,verbs,0.13
1878,искренне,honestamente,adverbs,4.6
1879,пряный,débiles,adjectives,0.0
1880,палуба,bote,nouns,1.25
1881,преступление,violación,nouns,3.6
1882,счастливо,activamente,adverbs,0.1
1883,простой,duro,adjectives,0.1
1884,авария,libro,nouns,0.1
1885,синий,rojo,adjectives,0.3
1886,глава,elección,nouns,0.55
1887,календарь,vacaciones,nouns,1.0
1888,гордо,humildemente,adverbs,0.15
1889,гвоздь,cabeza,nouns,0.85
1890,руководство,gestión,nouns,4.0
1891,разрешать,erosionar,verbs,0.0
1892,хлеб,queso,nouns,0.4
1893,народ,dólar,nouns,0.05
1894,платить,comprar,verbs,1.05
1895,изучать,investigar,verbs,4.7
1896,баллада,canción,nouns,3.75
1897,хранить,poseer,verbs,2.0
1898,куст,flor,nouns,1.6
1899,квартира,casa,nouns,4.15
1900,яблоко,salsa,nouns,0.8
1901,величина,profundidad,nouns,1.15
1902,реветь,llorar,verbs,4.3
1903,решительно,tranquilamente,adverbs,0.65
1904,дом,alfombra,nouns,0.55
1905,посредственный,bien,adjectives,0.45
1906,мошенничество,delito,nouns,2.45
1907,казаться,pretender,verbs,2.9
1908,представлять,crear,verbs,0.9
1909,липкий,mojado,adjectives,0.8
1910,шар,callejón,nouns,0.0
1911,друг,chico,nouns,1.7
1912,жесткий,fácil,adjectives,0.05
1913,одалживать,deber,verbs,0.9
1914,забирать,salir,verbs,0.25
1915,сокрушать,ahogar,verbs,1.15
1916,гордый,fuerte,adjectives,1.0
1917,спорить,debate,verbs,2.9
1918,эмоционально,tristemente,adverbs,1.25
1919,верх,fondo,nouns,0.25
1920,актриса,actor,nouns,3.35
1921,печальный,terrible,adjectives,0.55
1922,собака,caballo,nouns,0.4
1923,демон,ángel,nouns,0.6
1924,книга,historia,nouns,1.05
1925,кровь,cuerpo,nouns,0.7
1926,морось,lluvia,nouns,4.35
1927,странный,raro,adjectives,5.25
1928,проваливать,tener éxito,verbs,0.1
1929,сбор пожертвований,desarrollo,nouns,0.4
1930,женщина,secretario,nouns,0.55
1931,скрытный,extraño,adjectives,0.8
1932,стиль,elegancia,nouns,3.95
1933,вполне,básicamente,adverbs,1.0
1934,удовлетворять,comprender,verbs,0.55
1935,в принципе,completamente,adverbs,1.0
1936,слово,frase,nouns,1.45
1937,странствовать,salir,verbs,0.85
1938,диск,ordenador,nouns,1.35
1939,природа,flora,nouns,2.65
1940,нижняя одежда,cuerpo,nouns,0.45
1941,выход,puerta,nouns,2.25
1942,собор,techo,nouns,0.35
1943,ужин,desayuno,nouns,0.95
1944,предсказывать,suponer,verbs,2.1
1945,конец,capítulo,nouns,0.15
1946,ремонтировать,restaurar,verbs,4.15
1947,шампанское,whisky,nouns,1.0
1948,доставлять,aceptar,verbs,0.3
1949,давать,saber,verbs,0.45
1950,уничтожить,salvar,verbs,0.05
1951,находить,adquirir,verbs,0.9
1952,желудок,cuerpo,nouns,1.6
1953,цифра,citoplasma,nouns,0.0
1954,тайфун,ciclón,nouns,4.05
1955,жениться,unir,verbs,2.4
1956,ужин,pollo,nouns,1.1
1957,барабан,guitarra,nouns,0.85
1958,забывать,aprender,verbs,0.15
1959,кошка,ratón,nouns,0.55
1960,ключ,candado,nouns,1.65
1961,намерение,será,nouns,1.7
1962,голодный,cansado,adjectives,0.75
1963,слово,pista,nouns,0.15
1964,подтверждать,decir,verbs,0.7
1965,длинный,estrecho,adjectives,0.3
1966,одежда,paño,nouns,1.55
1967,почка,órgano,nouns,2.7
1968,обнимать,exprimir,verbs,0.45
1969,книга,manuscrito,nouns,2.25
1970,слон,brújula,nouns,0.05
1971,ящик,ropa,nouns,1.0
1972,камень,mía,nouns,0.1
1973,бекон,desayuno,nouns,0.55
1974,значительно,increíblemente,adverbs,0.5
1975,звук,acústica,nouns,3.4
1976,охотиться,buscar,verbs,1.6
1977,алгебра,operación,nouns,0.75
1978,изобилие,mucho,nouns,4.85
1979,принимать,entregar,verbs,0.3
1980,необходимый,esencial,adjectives,4.35
1981,младенец,adulto,nouns,0.7
1982,ацетилхолин,iris,nouns,0.15
1983,готовить,perder,verbs,0.05
1984,бедный,orgulloso,adjectives,0.15
1985,жемчуг,dinero,nouns,0.65
1986,мужчина,tío,nouns,2.2
1987,скрипка,guitarra,nouns,0.7
1988,судить,acusar,verbs,2.95
1989,покидать,aparecer,verbs,0.35
1990,телевидение,comunicación,nouns,1.85
1991,доказательство,hecho,nouns,2.95
1992,отходить,descender,verbs,0.65
1993,жарить,hervir,verbs,0.75
1994,уменьшить,inferior,verbs,0.7
1995,осторожно,amablemente,adverbs,1.35
1996,незрелый,crecido,adjectives,0.3
1997,движение,actividad,nouns,3.05
1998,компания,negocio,nouns,4.0
1999,дядя,hombre,nouns,2.2
2000,строчить,escribir,verbs,1.75
2001,картофель,mantequilla,nouns,0.65
2002,действие,movimiento,nouns,3.05
2003,река,corriente,nouns,2.0
2004,подпрограмма,compilador,nouns,1.4
2005,говорить,verificar,verbs,0.7
2006,пренебрежительный,despreciativo,adjectives,3.75
2007,психология,ciencia,nouns,1.3
2008,наставник,rabino,nouns,0.9
2009,раввин,profesor,nouns,0.9
2010,брат,hijo,nouns,0.85
2011,комната,edificio,nouns,0.8
2012,объявлять,declarar,verbs,4.45
2013,ремесло,tradición,nouns,1.1
2014,крошечный,enorme,adjectives,0.1
2015,тяжелый,cargado,adjectives,2.75
2016,миска,cola,nouns,0.1
2017,сладкий,eléctrico,adjectives,0.0
2018,куб,juguete,nouns,0.85
2019,гармония,piano,nouns,0.4
2020,плотно,firmemente,adverbs,1.35
2021,парень,pareja,nouns,1.4
2022,убеждать,perseguir,verbs,0.75
2023,автострада,tarea,nouns,0.15
2024,узкий,amplio,adjectives,0.15
2025,герой,heroína,nouns,2.8
2026,роман,biografía,nouns,0.85
2027,буря,huracán,nouns,3.75
2028,идея,imagen,nouns,1.65
2029,миска,plato,nouns,2.85
2030,изучать,inspeccionar,verbs,4.2
2031,забывать,conservar,verbs,0.2
2032,одежда,botón,nouns,1.35
2033,драгоценный,perezoso,adjectives,0.0
2034,автор,creador,nouns,4.9
2035,получать,tomar,verbs,1.82
2036,еженедельный,mensual,adjectives,0.35
2037,информация,entropía,nouns,0.45
2038,карта,cuadrado,nouns,0.55
2039,комбинировать,mezcla,verbs,4.0
2040,ребенок,hija,nouns,0.85
2041,понимать,satisfacer,verbs,0.55
2042,желудок,vena,nouns,0.5
2043,крикет,seguidor,nouns,0.0
2044,давать,prestar,verbs,1.95
2045,исполнитель,canción,nouns,0.8
2046,ноль,infinito,nouns,0.55
2047,восстанавливать,reemplazar,verbs,1.85
2048,футбол,fútbol,nouns,2.5
2049,редкий,exótico,adjectives,4.55
2050,любезно,generosamente,adverbs,2.75
2051,братство,puerta,nouns,0.2
2052,мошенничество,corrupción,nouns,3.35
2053,лиса,sabueso,nouns,0.75
2054,делить,multiplicar,verbs,0.4
2055,птица,gallina,nouns,1.8
2056,император,constitución,nouns,0.8
2057,победитель,hombre,nouns,0.8
2058,мясо,tocino,nouns,1.95
2059,мэр,presidente,nouns,1.55
2060,уродливый,crudo,adjectives,0.9
2061,механик,obrero,nouns,2.1
2062,рука,muñeca,nouns,1.15
2063,мелодия,música,nouns,4.05
2064,подбодрять,desalentar,verbs,0.2
2065,фонарь,genio,nouns,0.6
2066,метр,pulgada,nouns,1.3
2067,керамика,cerámica,nouns,4.4
2068,матка,abeja,nouns,1.1
2069,нервный,cierto,adjectives,0.1
2070,мужчина,marido,nouns,2.25
2071,слава,riqueza,nouns,1.35
2072,объяснять,probar,verbs,2.6
2073,защищать,cubrir,verbs,3.5
2074,дуб,arce,nouns,1.0
2075,анализировать,evaluar,verbs,4.1
2076,радость,orgullo,nouns,1.35
2077,регион,zona,nouns,4.15
2078,вена,brazo,nouns,0.65
2079,гибкий,elástico,adjectives,4.2
2080,болезнь,cáncer,nouns,2.3
2081,нерв,cerebro,nouns,1.0
2082,открытый,no revelado,adjectives,0.15
2083,большой,enorme,adjectives,4.9
2084,джет,avión,nouns,0.75
2085,создавать,imaginar,verbs,0.9
2086,кровать,habitación,nouns,1.0
2087,побеждать,tener éxito,verbs,2.4
2088,с гордостью,pacíficamente,adverbs,0.1
2089,очевидно,seguramente,adverbs,2.65
2090,телескоп,silla,nouns,0.1
2091,компетенция,capacidad,nouns,2.55
2092,цифра,número,nouns,4.75
2093,бутерброд,carne,nouns,0.75
2094,находить,localizar,verbs,4.85
2095,притворяться,imaginar,verbs,1.7
2096,немой,raro,adjectives,0.1
2097,патогенный микроорганизм,germen,nouns,3.65
2098,объединяться,adquirir,verbs,0.5
2099,закапывать,morir,verbs,0.9
2100,короткий,largo,adjectives,0.15
2101,безумно,tristemente,adverbs,0.5
2102,замена,intercambio,nouns,3.95
2103,экзема,dermatitis,nouns,2.85
2104,переулок,calle,nouns,3.15
2105,заслуживать,ganar,verbs,1.95
2106,снежный обвал,nieve,nouns,1.6
2107,дешевый,sucio,adjectives,0.0
2108,история,libro,nouns,1.05
2109,легион,ejército,nouns,2.5
2110,скучный,mediocre,adjectives,1.55
2111,дерево,arce,nouns,3.35
2112,алкоголь,cóctel,nouns,2.05
2113,отрицать,admitir,verbs,0.15
2114,лен,tela,nouns,2.6
2115,потолок,suelo,nouns,0.65
2116,жестокий,duro,adjectives,2.65
2117,шторм,nieve,nouns,1.05
2118,бутылка,tarro,nouns,1.9
2119,надежно,aproximadamente,adverbs,0.65
2120,хаотично,pacíficamente,adverbs,0.15
2121,тратить,salvar,verbs,0.1
2122,пытаться,tener la intención,verbs,3.0
2123,молекула,aire,nouns,0.9
2124,никогда,raramente,adverbs,1.35
2125,сплав,acero,nouns,1.75
2126,разъедать,permitir,verbs,0.0
2127,нуждающийся,inseguro,adjectives,0.35
2128,целиться,golpear,verbs,0.5
2129,фотоаппарат,lente,nouns,1.7
2130,оружие,casco,nouns,1.25
2131,изысканный,maduro,adjectives,0.95
2132,вена,elección,nouns,0.0
2133,грубый,frígido,adjectives,0.45
2134,отряд,ejército,nouns,1.35
2135,ткать,empatar,verbs,0.05
2136,сахарный тростник,segadora,nouns,0.3
2137,собака,gato,nouns,0.55
2138,муж,esposa,nouns,1.1
2139,грубый,ruidoso,adjectives,1.1
2140,дюйм,patio,nouns,0.75
2141,желудок,curso,nouns,0.15
2142,муж,hombre,nouns,2.25
2143,действие,curso,nouns,1.0
2144,статья,manuscrito,nouns,2.8
2145,общаться,rezar,verbs,0.45
2146,великолепный,malo,adjectives,0.05
2147,картон,papel,nouns,3.15
2148,базилика,mosaico,nouns,0.35
2149,император,gobernador,nouns,1.8
2150,официально,en tono rimbombante,adverbs,0.6
2151,подтверждать,justificar,verbs,2.45
2152,контролировать,detener,verbs,0.75
2153,легкий,duro,adjectives,0.2
2154,стих,ritmo,nouns,1.2
2155,футбол,divertido,nouns,1.15
2156,муравей,abeja,nouns,0.6
2157,роза,mariposa,nouns,0.45
2158,запускать,desconocer,verbs,0.75
2159,трава,musgo,nouns,1.8
2160,отходить,salir,verbs,2.75
2161,кисть,pie,nouns,0.75
2162,изучать,evaluar,verbs,1.55
2163,нетерпеливо,aproximadamente,adverbs,0.5
2164,возможный,imposible,adjectives,0.25
2165,песня,historia,nouns,0.35
2166,монитор,pantalla,nouns,4.7
2167,проваливать,desalentar,verbs,0.65
2168,бить,pellizcar,verbs,0.55
2169,окно,techo,nouns,0.65
2170,красота,soneto,nouns,0.3
2171,прощать,aceptar,verbs,1.95
2172,хаос,anarquía,nouns,4.05
2173,фраза,palabra,nouns,1.45
2174,выручать,salvar,verbs,4.9
2175,восхитительный,alegre,adjectives,2.75
2176,клетка,cárcel,nouns,0.6
2177,флора,naturaleza,nouns,2.65
2178,приходить,ir,verbs,1.25
2179,одинокий,pobre,adjectives,0.3
2180,астроном,galaxia,nouns,1.55
2181,вопить,gritar,verbs,5.35
2182,личный,íntimo,adjectives,4.3
2183,разрушать,crear,verbs,0.1
2184,челюсть,hueso,nouns,1.1
2185,усталый,hambriento,adjectives,0.75
2186,создавать,destruir,verbs,0.1
2187,август,mes,nouns,2.85
2188,находить,buscar,verbs,1.3
2189,трюк,tamaño,nouns,0.05
2190,показ,matemático,nouns,0.05
2191,монах,cruzar,nouns,0.8
2192,лодыжка,hueso,nouns,1.15
2193,безопасность,comodidad,nouns,1.25
2194,молодой,inquieto,adjectives,0.55
