ID,CMN,HEB,PoS,score
1448,海岸,ספינת תותחים,nouns,0.65
1449,文明,אורח חיים,nouns,1.31
1450,工作者,משרד,nouns,0.78
1451,云,אובך,nouns,1.95
1452,受伤,להעציב,verbs,0.65
1453,兴奋,מבוהל,adjectives,0.93
1454,雨,ערפל,nouns,1.31
1455,大笑,לבכות,verbs,0.63
1456,从不,שלילי,adjectives,1.85
1457,法官,שופט,nouns,2.97
1458,维他命,ברזל,nouns,1.26
1459,走廊,דלת,nouns,0.88
1460,杂志,כתבה,nouns,1.99
1461,收缩,להקטין,verbs,3.19
1462,软管,מכונית,nouns,0.29
1463,经常地,לעיתים,adverbs,1.07
1464,摩天大楼,ארמון,nouns,1.03
1465,模糊,לא ברור,adjectives,3.89
1466,合金,פלדה,nouns,3.16
1467,瞇,לבהות,verbs,0.93
1468,允许,לשחוק,verbs,0.05
1469,加剧,להטריח,verbs,0.1
1470,珍珠,כסף,nouns,0.45
1471,生气,זעם,nouns,4.5
1472,孩子,בן,nouns,3.58
1473,国会,פרלמנט,nouns,3.42
1474,拥抱,למחוץ,verbs,0.72
1475,任务,אי,nouns,0.0
1476,安全,חוקי,adjectives,0.73
1477,管理,משרה,nouns,0.82
1478,撤离,לקבוע,verbs,0.1
1479,积极地,באופן פסיבי,adverbs,0.43
1480,分数,לדרג,verbs,2.35
1481,失败,לסמוך,verbs,0.29
1482,稻草,רעיה,nouns,0.19
1483,杂乱无章,מסודר,verbs,0.68
1484,氦气,אוויר,nouns,2.27
1485,两次,הרבה,adverbs,0.64
1486,不可能,אפשרי,adjectives,0.64
1487,保持,להשאיל,verbs,0.55
1488,更改,להשתנות,verbs,3.16
1489,激情,רגש,nouns,3.14
1490,律师,גלריה,nouns,0.0
1491,两次,תמיד,adverbs,0.45
1492,演员,טלויזיה,nouns,0.97
1493,防御,לשמור,verbs,4.1
1494,后缀,מוספית,nouns,2.78
1495,主要地,סופני,adverbs,0.0
1496,自己,ביטחון,nouns,0.63
1497,田,שיבולת שועל,nouns,1.13
1498,床,חדר,nouns,0.49
1499,船,עוגן,nouns,0.97
1500,合理的解释,לטעון,verbs,2.99
1501,瓶子,קנקן,nouns,3.53
1502,被动地,במרץ,adverbs,0.43
1503,伤心,מצחיק,adjectives,0.55
1504,组合,איחוד,nouns,2.72
1505,脏,דביק,adjectives,0.77
1506,断绝亲子关系 or...,לתת,verbs,0.45
1507,带来,להתלונן,verbs,0.09
1508,衣服,כפתור,nouns,0.88
1509,穿着衣服的,מכוסה,adjectives,2.68
1510,弯曲,ישר,adjectives,0.59
1511,丰富,שפע,nouns,3.79
1512,拒绝,לקבל,verbs,0.66
1513,合法,לא חוקי,adjectives,0.59
1514,聚酯纤维,כותנה,nouns,1.2
1515,货车,חבילה,nouns,0.39
1516,草药,מריחואנה,nouns,2.82
1517,享受,לבדר,verbs,1.35
1518,杯子,כף,nouns,0.8
1519,男孩,חייל,nouns,1.58
1520,安慰,להשפיל,verbs,0.44
1521,考试,סילבוס,nouns,0.78
1522,玻璃,תג,nouns,0.24
1523,叫喊,לצעוק,verbs,3.92
1524,发送,להגיע,verbs,0.45
1525,硬币,תשלום,nouns,1.45
1526,草莓,דובדבן,nouns,1.67
1527,尺寸,סנט,nouns,0.1
1528,女演员,שחקן,nouns,3.38
1529,老师,חבר,nouns,0.86
1530,窗帘,מוט,nouns,0.83
1531,做,להפסיק,verbs,0.35
1532,其他,הפוך,adjectives,0.43
1533,沉闷,משעמם,adjectives,2.04
1534,善良,נדיב,adjectives,1.7
1535,矿,סלע,nouns,1.71
1536,大自然,צמחייה,nouns,2.06
1537,年轻,עצבני,adjectives,0.2
1538,公平,באופן לא הוגן,adverbs,0.68
1539,制服,קרושה,nouns,0.38
1540,傻笑,לצחוק,verbs,3.75
1541,成为,לארגן,verbs,0.55
1542,生活,לשרוד,verbs,2.58
1543,想,להצדיק,verbs,0.88
1544,机灵,ערמומי,adjectives,2.4
1545,弯曲,תוקפני,adjectives,0.14
1546,品质,מטרייה,nouns,0.34
1547,坚固地,ברוגע,adverbs,0.33
1548,穆斯林,בישוף,nouns,1.02
1549,打中,לפספס,verbs,0.68
1550,按下,לשחרר,verbs,0.45
1551,书,תאונה,nouns,0.0
1552,自行车,חדר שינה,nouns,0.15
1553,疯狂,מעולה,adjectives,0.48
1554,给予,להשאיל,verbs,2.41
1555,跳跃,גדר,nouns,0.35
1556,挤压,לחבק,verbs,0.72
1557,字典,הגדרה,nouns,1.12
1558,重要,הכרחי,adjectives,3.56
1559,走,לשלוח,verbs,0.39
1560,薪水,עמלה,nouns,0.96
1561,书,תורה,nouns,1.98
1562,考古学,אנתרופולוגיה,nouns,1.41
1563,陷害,מכה,nouns,0.04
1564,获得,לגנוב,verbs,1.33
1565,护士,מדען,nouns,0.34
1566,傲慢,גאה,adjectives,3.31
1567,才能,יכולת,nouns,5.0
1568,铅笔,סיפור,nouns,0.43
1569,船,מנוע,nouns,0.79
1570,岩浆,הר געש,nouns,1.58
1571,软管,גינה,nouns,0.6
1572,发热,שפעת,nouns,1.79
1573,浮动,לשיר,verbs,0.2
1574,地区,פינה,nouns,0.88
1575,婴儿,מבוגר,nouns,0.97
1576,流言蜚语,חדשות,nouns,2.19
1577,从不,בנדיבות,adverbs,0.45
1578,等待,להישאר,verbs,1.74
1579,大厦,חדר,nouns,0.79
1580,击剑,התעמלות,nouns,1.1
1581,枪,פרווה,nouns,0.0
1582,女儿,אבא,nouns,0.79
1583,地窖,דלת,nouns,0.63
1584,苹果,אור,nouns,0.09
1585,淹,להציל,verbs,0.6
1586,撤退,לעזוב,verbs,3.42
1587,半学年,תקופה,nouns,3.08
1588,必然,בעצם,adverbs,0.53
1589,本地,בוודאי,adverbs,0.1
1590,预测,לשער,verbs,4.26
1591,保留,לשכוח,verbs,0.54
1592,自豪的,בענווה,adverbs,0.72
1593,遇见,לברך,verbs,0.68
1594,水,הכתרה,nouns,0.1
1595,批评,טיעון,nouns,1.35
1596,呼吸,לחנוק,verbs,0.82
1597,飞行,תעופה,nouns,2.95
1598,疯,משוגע,adjectives,5.04
1599,拥有,לקחת,verbs,1.08
1600,象征,סימן,nouns,4.85
1601,血液,וירוס,nouns,0.64
1602,杆,דגל,nouns,1.39
1603,意见,בחירה,nouns,1.2
1604,伙伴,בחור,nouns,1.83
1605,保持,לתת,verbs,0.39
1606,幼儿床,מיטה,nouns,3.34
1607,允许,ללכת,verbs,0.05
1608,甲板,קומה,nouns,2.28
1609,宪法,סנט,nouns,0.86
1610,渴,רעב,adjectives,1.66
1611,摔倒,למעוד,verbs,3.7
1612,大象,דינוזאור,nouns,0.64
1613,页,מילה,nouns,0.6
1614,满足,להבין,verbs,0.38
1615,巨大,מטומטם,adjectives,0.15
1616,大多,לעומק,adverbs,0.68
1617,苹果,מיץ,nouns,1.38
1618,空气,מולקולה,nouns,1.03
1619,沙子,רגל,nouns,0.29
1620,鹰,ציפור,nouns,2.15
1621,拒绝,לבחור,verbs,0.1
1622,尝试,לחשוב,verbs,0.53
1623,肚子,קורס,nouns,0.0
1624,温和,חד,adjectives,0.45
1625,木炭,פחם,nouns,1.84
1626,资料,ספר,nouns,1.7
1627,资本,כסף,nouns,3.98
1628,电视,שחקן,nouns,0.97
1629,马,סוסה,nouns,3.42
1630,责怪,להאשים,verbs,2.88
1631,颚,עצם,nouns,1.62
1632,纸,עץ,nouns,0.92
1633,海岸,גדה,nouns,2.96
1634,减少,לרדת,verbs,0.79
1635,惩罚,ללמד,verbs,0.78
1636,通知,לאשר,verbs,0.7
1637,方式,דרך,nouns,4.43
1638,棒球,ספה,nouns,0.1
1639,身体,זרוע,nouns,0.97
1640,滑雪,סנוברד,nouns,2.13
1641,有趣,עצוב,adjectives,0.55
1642,分钟,שנייה,nouns,2.19
1643,捕获,לחקות,verbs,0.15
1644,大致,באופן שולי,adverbs,1.45
1645,发送,לשגר,verbs,3.5
1646,导演,סינמטוגרפיה,nouns,1.19
1647,留,לקבל,verbs,0.39
1648,友好,לא סביר,adverbs,0.09
1649,乐观地,ייתכן,adverbs,0.68
1650,结婚,להתארס,verbs,2.18
1651,假,אמיתי,adjectives,0.64
1652,马上,פעם אחת,adverbs,0.2
1653,母鸡,הודו,nouns,1.94
1654,有趣,כדורגל,nouns,0.45
1655,家,מדינה,nouns,0.65
1656,王冠,מפתח,nouns,0.0
1657,假,מלאכותי,adjectives,3.3
1658,尝试,להשיג,verbs,0.86
1659,清洁,מסודר,adjectives,3.1
1660,讨论,להסביר,verbs,1.65
1661,聪明,אינטליגנטי,adjectives,5.24
1662,缺席,נוכחות,nouns,0.59
1663,磁盘,מטען,nouns,0.2
1664,生存,לחיות,verbs,2.58
1665,酱,תפוח,nouns,0.44
1666,暴力,כועס,adjectives,1.65
1667,奖学金,שכר לימוד,nouns,1.02
1668,加剧,לתקוף,verbs,0.63
1669,校园,אוניברסיטה,nouns,2.56
1670,赚,להיות ראוי,verbs,0.69
1671,词元,הברה,nouns,1.2
1672,深度地,באופן משמעותי,adverbs,2.58
1673,教堂,קתדרלה,nouns,4.88
1674,应用,גלקסי,nouns,0.3
1675,小麦,דגנים,nouns,3.13
1676,失去,לשמור,verbs,0.44
1677,秒,דקה,nouns,2.19
1678,自豪,מסכן,adjectives,0.15
1679,推,למשוך,verbs,0.72
1680,离开,לפגוש,verbs,0.53
1681,口香糖,מנטה,nouns,0.92
1682,第五,עליון,adjectives,0.29
1683,付款,לקנות,verbs,2.66
1684,狭窄,מלוכלך,adjectives,0.0
1685,借,לתת,verbs,2.41
1686,辣,חלש,adjectives,0.1
1687,船,מכונית,nouns,0.98
1688,信封,קישוט,nouns,0.52
1689,社论,חדשות,nouns,2.37
1690,公主,אי,nouns,0.3
1691,碰撞,להתנגש,verbs,3.68
1692,车,מד,nouns,0.54
1693,学习,לשכוח,verbs,0.45
1694,收到,לשלוח,verbs,0.77
1695,洞察力,אינטליגנציה,nouns,2.33
1696,副驾驶,תא הטייס,nouns,1.02
1697,实质上,אנושות,adverbs,0.28
1698,缺口,פתח,nouns,3.62
1699,怪异,מוזר,adjectives,4.63
1700,蝴蝶,ורד,nouns,0.53
1701,笔直,מעוקל,adjectives,0.59
1702,信,פסקה,nouns,0.89
1703,吸收,לסגת,verbs,0.2
1704,接受,להאמין,verbs,1.25
1705,收缩,לצמוח,verbs,0.74
1706,毁灭,לפרק,verbs,3.07
1707,鳟鱼,גיטרה,nouns,0.05
1708,说服,להתווכח,verbs,2.13
1709,频繁,בור,adjectives,0.1
1710,网球,סטטיסטיקה,nouns,0.1
1711,国王,נפוטיזם,nouns,0.78
1712,塔,פעמון,nouns,0.82
1713,章,בחירה,nouns,0.15
1714,闷,בינוני,adjectives,1.05
1715,重新安葬,קבר,nouns,1.07
1716,相像,דומה,adjectives,3.5
1717,聪明,מטומטם,adjectives,0.55
1718,歌曲,בלדה,nouns,3.59
1719,火鸡,ציפור,nouns,1.63
1720,死,להתפורר,verbs,0.43
1721,坚固,ערמומי,adjectives,0.29
1722,鸡,אורז,nouns,0.55
1723,模拟,רובוטיקה,nouns,0.88
1724,获得,למצוא,verbs,1.74
1725,宽大,צר,adjectives,0.64
1726,枪,סמל,nouns,0.34
1727,沼泽,אגם,nouns,0.92
1728,大笑,לשיר,verbs,0.35
1729,宽广,גדול,adjectives,2.74
1730,让,להרשות,verbs,4.18
1731,加,לכפול,verbs,0.88
1732,统治,לנצח,verbs,1.08
1733,说话,ללחוש,verbs,2.6
1734,证明,עובדה,nouns,1.21
1735,想像,ליצור,verbs,1.17
1736,发送,להביא,verbs,0.6
1737,井然有序,מבולגן,adjectives,0.64
1738,运动鞋,מדליה,nouns,0.55
1739,新闻,מאמר מערכת,nouns,2.37
1740,半岛,אי,nouns,3.12
1741,获得,להצטרף,verbs,0.2
1742,没有覆蓋的,מכוסה,adjectives,0.59
1743,毛,אישה,nouns,0.2
1744,夏天,חורף,nouns,0.74
1745,豆,בייקון,nouns,0.5
1746,平面,סדין,nouns,0.14
1747,门,מרתף,nouns,0.63
1748,锡,אלומיניום,nouns,1.31
1749,完成,לסיים לימודים,verbs,2.03
1750,相信,להרגיש,verbs,1.21
1751,智力,היגיון,nouns,2.9
1752,毯,עץ,nouns,0.15
1753,暴力,קיצוני,adjectives,1.88
1754,红酒,ברנדי,nouns,2.51
1755,警告,לעצור,verbs,0.49
1756,完成,לפתור,verbs,1.77
1757,订婚,להתחתן,verbs,2.18
1758,发光,לזרוח,verbs,3.96
1759,降落,לצמצם,verbs,0.79
1760,海,צונאמי,nouns,1.33
1761,候选人,מנצח,nouns,1.69
1762,吸收,ללמוד,verbs,2.35
1763,三文治,ארוחה,nouns,0.89
1764,参议院,חוקה,nouns,0.86
1765,鸢尾花,אצטילכולין,nouns,0.3
1766,百科全书,מילון,nouns,2.06
1767,圣歌,כבוש,nouns,0.25
1768,大学,כיתה,nouns,0.79
1769,政治家,נשיא,nouns,2.59
1770,三角洲,ים,nouns,0.89
1771,哥哥,ילד,nouns,2.39
1772,恶意软件,תולעת,nouns,1.3
1773,想要,להשאיל,verbs,0.24
1774,建造,לעשות,verbs,2.53
1775,牛奶,מיץ,nouns,1.07
1776,戒除,לעשות,verbs,0.35
1777,臭氧,אטמוספירה,nouns,3.02
1778,大气层,זיהום,nouns,0.39
1779,鼻子,גרון,nouns,0.74
1780,冲洗,לרחוץ,verbs,5.02
1781,刀口,דשא,nouns,0.25
1782,外国人,חייזר,nouns,3.01
1783,出租车,מונית,nouns,5.66
1784,章,זנב,nouns,0.2
1785,阳光,שמיים,nouns,1.16
1786,抱怨,להביא,verbs,0.09
1787,说,לבטא,verbs,3.79
1788,沐浴,בלון,nouns,0.05
1789,离开,לקחת,verbs,0.15
1790,宠物,חתול,nouns,3.03
1791,疾病,סכנה,nouns,0.82
1792,身体,עצב,nouns,1.41
1793,幻灯片,מצביע,nouns,0.29
1794,哭,לייבב,verbs,5.31
1795,教练,שחקן,nouns,0.65
1796,大规模,גדול,adjectives,3.91
1797,公寓,בית,nouns,4.33
1798,察觉,לשמוע,verbs,1.44
1799,紧张,בטוח,adjectives,0.15
1800,字母,עט,nouns,0.4
1801,收入,מס,nouns,0.92
1802,长凳,כיסא,nouns,3.17
1803,直觉,חוש,nouns,4.34
1804,词缀,סיומת,nouns,2.78
1805,主要,לרוב,adverbs,4.25
1806,肉,לחם,nouns,0.54
1807,跑,לרכב,verbs,0.68
1808,政府,לטאה,nouns,0.05
1809,感染,נטייה,nouns,0.05
1810,注意,מודעות,nouns,2.06
1811,汽车,משאית,nouns,2.86
1812,文章,ספר,nouns,2.68
1813,逻辑,אינטליגנציה,nouns,2.9
1814,老鼠,סיפון,nouns,0.05
1815,戏法,אקדח,nouns,0.15
1816,带来,לשלוח,verbs,0.6
1817,不需要,הכרחי,adjectives,0.64
1818,哨,לעצור,verbs,0.1
1819,总统,ראש,nouns,1.95
1820,指甲,אגודל,nouns,1.03
1821,教堂,מקהלה,nouns,0.84
1822,选举,לדחות,verbs,0.1
1823,声明,להודיע,verbs,4.24
1824,金,אבץ,nouns,1.26
1825,房子,דירה,nouns,4.33
1826,类似,זהה,adjectives,3.5
1827,全球化,ויזה,nouns,0.71
1828,呕吐,לסגור,verbs,0.05
1829,盒子,כובע,nouns,0.05
1830,羊,טלה,nouns,3.93
1831,偷,לרכוש,verbs,1.33
1832,上面,תחתית,nouns,0.55
1833,钟,מגדל,nouns,0.82
1834,节奏,מנגינה,nouns,3.52
1835,公共汽车,מונית,nouns,2.19
1836,不合理,באופן לא הוגן,adverbs,2.25
1837,面包,קמח,nouns,1.61
1838,机器,מחשב,nouns,2.62
1839,平凡,רגיל,adjectives,5.25
1840,蠕虫,נוזקה,nouns,1.3
1841,装饰,קיר,nouns,0.67
1842,男人,מנצח,nouns,0.58
1843,办公室,עובד,nouns,0.78
1844,快,זריז,adjectives,5.0
1845,检查,לחקור,verbs,3.11
1846,汤,סעודה,nouns,1.13
1847,任务,כביש,nouns,0.0
1848,国王,נסיך,nouns,2.15
1849,图解,תרשים,nouns,3.84
1850,好心地,באדיבות,adverbs,4.37
1851,球,כדורעף,nouns,2.92
1852,流行,מוכר,adjectives,3.97
1853,违反,פשע,nouns,2.73
1854,貂,שמן,nouns,0.15
1855,十年,מאה,nouns,0.89
1856,坏,שקרן,adjectives,0.91
1857,圣人,חוטא,nouns,0.49
1858,鼻子,פה,nouns,0.65
1859,文化,חברה,nouns,1.39
1860,窗口,ענן,nouns,0.3
1861,阻碍,לשאוף,verbs,0.1
1862,瞄准,להכות,verbs,1.21
1863,之前,אחרי,adverbs,0.68
1864,鸟,הודו,nouns,1.63
1865,幼儿床,מיטת תינוק,nouns,3.65
1866,谨慎,דאגה,nouns,2.93
1867,偷,לתת,verbs,0.58
1868,珍贵,קדוש,adjectives,1.77
1869,机器人技术,סימולציה,nouns,0.88
1870,完成,להפוך,verbs,0.52
1871,哲学家,מרוץ,nouns,0.0
1872,猛烈地,בעצב,adverbs,0.59
1873,合法,בטוח,adjectives,0.73
1874,需要,לברר,verbs,0.69
1875,推,להאשים,verbs,0.38
1876,总是,פעמיים,adverbs,0.45
1877,新鲜,ישן,adjectives,0.59
1878,片,שדה תעופה,nouns,0.1
1879,教,להעניש,verbs,0.78
1880,判断,להחליט,verbs,2.45
1881,帅哥,בחור,nouns,1.21
1882,减肥,סלט,nouns,0.97
1883,河流,ים,nouns,2.15
1884,打,מסגרת,nouns,0.04
1885,薄荷,מסטיק,nouns,0.92
1886,雷达,ג'ויסטיק,nouns,0.15
1887,粘性,התזה,nouns,0.29
1888,拯救,להושיע,verbs,5.21
1889,征服,קרב,nouns,1.23
1890,一次,מיידית,adverbs,0.2
1891,非一般,נדיר,adjectives,4.39
1892,水,קרח,nouns,2.34
1893,新娘,חתן,nouns,1.13
1894,小学生,נשיא,nouns,0.2
1895,毁灭,להרוג,verbs,2.54
1896,离开,ללכת,verbs,3.44
1897,大海,נהר,nouns,2.15
1898,变成,להראות,verbs,0.18
1899,交换,מטבע,nouns,1.2
1900,正式地,חשוב,adverbs,0.95
1901,詞,עמוד,nouns,0.6
1902,学生,מורה,nouns,0.97
1903,传说,מוסר,nouns,0.15
1904,器官,כבד,nouns,2.17
1905,进入,לחוב,verbs,0.0
1906,决定,לתאר,verbs,0.2
1907,僵硬,קל,adjectives,0.49
1908,闪电攻击,מתקפה,nouns,3.38
1909,谦虚,גמיש,adjectives,0.42
1910,知道,להבין,verbs,2.79
1911,电影,תיאטרון,nouns,1.85
1912,丈夫,גבר,nouns,2.95
1913,重要地,באמת,adverbs,0.3
1914,做,לקרות,verbs,0.65
1915,信念,רושם,nouns,0.64
1916,打算,לנסות,verbs,1.26
1917,海,חוף,nouns,2.42
1918,女孩,ילדה,nouns,3.46
1919,帮手,מורה,nouns,1.21
1920,管理,עכבר,nouns,0.0
1921,混合,להכות,verbs,0.05
1922,眼睛,דמעה,nouns,0.97
1923,留,להמתין,verbs,1.74
1924,日期,יומן,nouns,2.12
1925,烘烤,לטגן,verbs,1.55
1926,女人,גבר,nouns,0.98
1927,鸵鸟,פרדס,nouns,0.1
1928,拿,למסור,verbs,0.59
1929,毯子,מיטה,nouns,0.74
1930,拥有,לספוג,verbs,0.33
1931,肉,בקר,nouns,3.07
1932,日出,שקיעה,nouns,1.27
1933,宾客,חבר,nouns,2.64
1934,懊恼,כעס,nouns,2.73
1935,游戏,טריק,nouns,1.07
1936,降低,להקטין,verbs,3.76
1937,似乎,להפוך,verbs,0.18
1938,地心引力,מטאור,nouns,0.5
1939,许多,גודש,nouns,3.79
1940,野兽,חיה,nouns,3.38
1941,鸟,נץ,nouns,2.15
1942,飞机,שדה תעופה,nouns,1.25
1943,敬礼,להופיע,verbs,0.3
1944,岩石,מכרה,nouns,1.71
1945,煮熟的,מורתח,adjectives,2.88
1946,任务,עבודה,nouns,3.58
1947,遇见,לעזוב,verbs,0.53
1948,木,שמיכה,nouns,0.15
1949,走,להתחיל,verbs,0.24
1950,借,לשמור,verbs,0.55
1951,改变,להתחלף,verbs,3.16
1952,宣告,להצהיר,verbs,4.24
1953,消失,למצוא,verbs,0.5
1954,电影,ניהיליזם,nouns,0.43
1955,绞刑,להרוג,verbs,2.25
1956,糟糕,מעולה,adjectives,0.45
1957,图像,השתקפות,nouns,2.44
1958,日历,תאריך,nouns,2.12
1959,喝,לערבב,verbs,0.45
1960,总统,מצלמה,nouns,0.05
1961,毁灭,בנייה,nouns,0.64
1962,稍后,לעולם לא,adverbs,0.44
1963,非常,בבהירות,adverbs,0.15
1964,借,לחוב,verbs,1.03
1965,推荐,לקבל,verbs,0.69
1966,天文学家,גלקסיה,nouns,0.84
1967,香槟酒,בירה,nouns,2.33
1968,统计资料,טניס,nouns,0.1
1969,吸引,להכות,verbs,0.45
1970,牛,בקר,nouns,3.72
1971,带来,לשאת,verbs,2.5
1972,承认,להכחיש,verbs,0.68
1973,接受,להכחיש,verbs,0.2
1974,听,לשמוע,verbs,4.04
1975,手掌,אצבע,nouns,1.76
1976,叔叔,גבר,nouns,1.89
1977,白天,לילה,nouns,0.5
1978,绝望,אומללות,nouns,2.68
1979,虫害,מדביר,nouns,0.78
1980,羞耻,עצוב,adjectives,0.69
1981,天空,יקום,nouns,2.17
1982,三明治,בשר,nouns,0.73
1983,美丽地,באלגנטיות,adverbs,2.69
1984,观看,להתבונן,verbs,4.88
1985,赢,לשלוט,verbs,1.08
1986,地毯,בית,nouns,0.55
1987,大规模,בפתיחות,adverbs,0.8
1988,老鼠,מיכל,nouns,0.0
1989,足球,כדורגל,nouns,3.63
1990,危险,מחלה,nouns,0.82
1991,草,שורש,nouns,0.83
1992,穿,לקרוע,verbs,0.24
1993,小亭,טלפון,nouns,0.3
1994,有时,באופן אחיד,adverbs,0.25
1995,男人,דוד,nouns,1.89
1996,窗口,גג,nouns,0.69
1997,温和,בינוני,adjectives,3.3
1998,电影,אופרה,nouns,1.46
1999,旋律,קצב,nouns,3.52
2000,说谎,להעמיד פנים,verbs,2.74
2001,总统,זיהום,nouns,0.05
2002,对手,מתנגד,nouns,4.55
2003,消逝,להיעלם,verbs,4.13
2004,薪水,כסף,nouns,3.93
2005,极好,משוגע,adjectives,0.48
2006,轻轻的,בנחישות,adverbs,0.2
2007,决定,לבחור,verbs,3.56
2008,假设,לחזות,verbs,4.26
2009,当然,ברור,adverbs,3.06
2010,安全,נוחות,nouns,0.49
2011,电动,מתוק,adjectives,0.0
2012,政治家,שוטר,nouns,0.39
2013,衣服,אריג,nouns,2.33
2014,算术,היגיון,nouns,1.69
2015,想要,לחשוק,verbs,4.14
2016,借,להתחנן,verbs,0.55
2017,星,אסטרואיד,nouns,2.45
2018,城镇,עיר,nouns,3.61
2019,和平地,בהרס,adverbs,0.2
2020,火山,מגמה,nouns,1.58
2021,汽车,מעלית,nouns,0.4
2022,实现,להצליח,verbs,2.05
2023,脸颊,לשון,nouns,0.65
2024,步行,לעמוד,verbs,0.83
2025,智力,תובנה,nouns,2.33
2026,不久,מיד,adverbs,1.81
2027,球拍,כדור,nouns,0.83
2028,雪茄,קופסה,nouns,0.39
2029,某些,עצבני,adjectives,0.15
2030,花费,לחסוך,verbs,0.82
2031,救,לטבוע,verbs,0.6
2032,闻,לקלקל,verbs,0.05
2033,家牛,פרה,nouns,3.72
2034,得罪,להעליב,verbs,3.26
2035,牙齿,פה,nouns,1.12
2036,分子,מטריצה,nouns,0.51
2037,马车,עגלה,nouns,3.62
2038,游标,שבבים,nouns,0.2
2039,弯曲,עקום,adjectives,3.98
2040,风暴,ענן,nouns,1.51
2041,流,להיסחף,verbs,2.55
2042,奇怪,ביזארי,adjectives,4.97
2043,幸福,עצב,nouns,0.55
2044,孩子,בת,nouns,3.35
2045,学习,להקשיב,verbs,1.08
2046,完成,להתחרות,verbs,0.1
2047,农业,מונוקלטורה,nouns,1.14
2048,抓住,לרדוף,verbs,1.99
2049,每周,חודשי,adjectives,1.62
2050,资产,מנייה,nouns,2.77
2051,笨,טיפש,adjectives,5.31
2052,钱,יהלום,nouns,1.1
2053,男子,אבא,nouns,2.73
2054,高高兴兴,נמרצות,adverbs,0.62
2055,天空,חלום,nouns,0.49
2056,摄影,במאי,nouns,1.19
2057,打鼾,להתעורר,verbs,0.63
2058,医生,רופא,nouns,5.01
2059,王子,מלך,nouns,2.15
2060,漂移,לזרום,verbs,2.55
2061,演员,שיר,nouns,0.58
2062,笔记本,אקדח,nouns,0.0
2063,需求,להתווכח,verbs,0.54
2064,赢,להביס,verbs,4.38
2065,自由,חרות,nouns,4.89
2066,大风,שמיכה,nouns,0.4
2067,手臂,וריד,nouns,0.6
2068,状况,מצב,nouns,4.74
2069,巫师,כבל,nouns,0.15
2070,工具,עבודה,nouns,0.58
2071,暴风雨,הוריקן,nouns,3.12
2072,功课,חיבור,nouns,1.3
2073,团结,לחלק,verbs,0.68
2074,原子,מולקולה,nouns,2.53
2075,解释,להוכיח,verbs,2.54
2076,枪,שחר,nouns,0.0
2077,伤心,גאה,adjectives,0.39
2078,树,סירה,nouns,0.55
2079,汽车,טנק,nouns,1.07
2080,坏,בינוני,adjectives,0.39
2081,喝,לגדל,verbs,0.0
2082,赞成,להרשות,verbs,4.26
2083,合作伙伴,ילד,nouns,0.72
2084,查询,לחשוב,verbs,0.69
2085,缺乏信心,תלותי,adjectives,0.7
2086,服装,כדור,nouns,0.24
2087,卖,לסחור,verbs,3.41
2088,联合,קנה סוכר,nouns,0.25
2089,有礼貌地,בחשאי,adverbs,0.42
2090,埋葬,לכסות,verbs,2.58
2091,警察,פוליטיקאי,nouns,0.39
2092,进入,ללכת,verbs,0.8
2093,谦虚,טהור,adjectives,1.05
2094,乙酰胆碱,איריס,nouns,0.3
2095,无助,פגיע,adjectives,2.6
2096,通常,באופן לא סדיר,adverbs,0.68
2097,车,סירה,nouns,0.98
2098,金属,פח,nouns,2.21
2099,脏,מדהים,adjectives,0.15
2100,风格,אלגנטיות,nouns,1.91
2101,徘徊,לחפש,verbs,0.73
2102,脚,ראש,nouns,0.64
2103,谢绝,לקבל,verbs,0.63
2104,医生,מזג,nouns,0.0
2105,舞蹈,שמלה,nouns,0.44
2106,大,רחב,adjectives,2.74
2107,日期,יום הולדת,nouns,1.52
2108,尾巴,פרק,nouns,0.2
2109,病菌,פתוגן,nouns,3.38
2110,无家可归,מיליונר,nouns,0.45
2111,装作,לשקר,verbs,2.74
2112,工作,כלי,nouns,0.58
2113,开始,להפסיק,verbs,0.5
2114,失败,פשיטת רגל,nouns,1.21
2115,普通,מדהים,adjectives,0.4
2116,资料,עיתון,nouns,1.61
2117,获得,לקצור,verbs,2.42
2118,不同,סופית,adverbs,0.1
2119,区域,שטח,nouns,4.94
2120,派对,מסיכה,nouns,0.54
2121,撞击,להתרסק,verbs,3.68
2122,日落,חוט,nouns,0.0
2123,容易,קשה,adjectives,0.59
2124,授粉,אבקן,nouns,1.36
2125,黎明,יום,nouns,2.37
2126,作家,כישרון,nouns,0.65
2127,松动,גמיש,adjectives,1.76
2128,粘人,חסר ביטחון,adjectives,0.7
2129,卧室,בטן,nouns,0.05
2130,恐吓,לרדוף,verbs,0.57
2131,灯,שד,nouns,0.45
2132,议会,קונגרס,nouns,3.42
2133,成功,להיכשל,verbs,0.68
2134,舌头,שריר,nouns,0.89
2135,牛肉,בשר,nouns,3.07
2136,服从,להקשיב,verbs,2.96
2137,教堂,צריח,nouns,1.36
2138,柑橘,תפוז,nouns,3.19
2139,断绝亲子关系,להזניח,verbs,0.5
2140,蜜糖,מחלבה,nouns,0.43
2141,哭,לצחוק,verbs,0.63
2142,波浪,מזג אוויר,nouns,0.34
2143,一般,באופן חריג,adverbs,0.45
2144,领导,מנהל,nouns,2.6
2145,体操,סיוף,nouns,1.1
2146,建造,הרס,nouns,0.64
