ID,RUS,SWA,PoS,score
1402,организовать,panga,verbs,2.2
1403,мода,mtindo,nouns,1.05
1404,глава,mkia,nouns,0.1
1405,невинный,asiye na hatia,adjectives,0.3
1406,кольцо,pete,nouns,0.85
1407,скульптура,sanamu,nouns,4.15
1408,давать,kuruhusu,verbs,1.15
1409,больница,kitanda,nouns,0.7
1410,неделя,wikendi,nouns,1.15
1411,новости,habari,nouns,0.65
1412,жарить,kaanga,verbs,0.85
1413,закрыть,kufunga,verbs,0.0
1414,книга,kitabu,nouns,0.0
1415,спор,mapatano,nouns,0.3
1416,биография,habari za kubuniwa,nouns,0.95
1417,лгать,kudanganya,verbs,0.33
1418,воспринимать,kung'amua,verbs,1.15
1419,мясо,mkate,nouns,0.3
1420,сегодня ночью,usiku huu,adverbs,1.4
1421,обнаруживать,kufanya utafiti,verbs,2.45
1422,ковер,nyumba,nouns,0.5
1423,экран,kiwambo,nouns,0.15
1424,пятый,wa tano,adjectives,0.0
1425,слабый,dhaifu,adjectives,0.15
1426,ученик,mwanafunzi,nouns,2.95
1427,злость,hali,nouns,0.75
1428,забывать,kukumbusha,verbs,0.05
1429,акции,akiba,nouns,2.55
1430,контейнер,mkokoteni,nouns,0.05
1431,народ,idadi ya watu,nouns,3.0
1432,предубеждение,ubaguzi,nouns,1.75
1433,выращивать,kulea,verbs,0.0
1434,скульптор,sonara,nouns,0.25
1435,принимать,kupeleka,verbs,0.1
1436,замок,kufuli,nouns,1.05
1437,ангел,malaika,nouns,0.25
1438,дюйм,yadi,nouns,1.55
1439,апокалипсис,siku ya mwisho,nouns,0.55
1440,астроном,mtaalam wa nyota,nouns,0.75
1441,мужчина,mtoto,nouns,0.5
1442,зонтик,mwavuli,nouns,0.0
1443,штурман,rubani msaidizi,nouns,0.0
1444,демократия,demokrasia,nouns,0.55
1445,врач,mtaalamu wa meno,nouns,2.45
1446,иссохший,kua na kiu,adjectives,0.75
1447,бежать,kimbia,verbs,0.2
1448,занятый,bizi,adjectives,0.1
1449,ступня,mkono,nouns,0.6
1450,выходной,wiki,nouns,1.15
1451,атака,shambulio,nouns,0.75
1452,армия,kundi,nouns,1.95
1453,расстояние,umbali,nouns,0.4
1454,жаловаться,kuleta,verbs,0.15
1455,лучник,mpiga mishale,nouns,0.3
1456,праздник,likizo,nouns,0.45
1457,ручка,mpini,nouns,0.15
1458,останавливаться,kuacha,verbs,0.08
1459,число,nambari,nouns,5.1
1460,наверное,labda,adverbs,0.05
1461,вера,ua,nouns,0.1
1462,избегать,kukataa,verbs,1.3
1463,конь,ng'ombe dume,nouns,0.5
1464,позвоночник,mwili,nouns,0.85
1465,миска,mkia,nouns,0.0
1466,навряд ли,sio rahisi,adverbs,0.0
1467,отказывать,kukataa,verbs,0.1
1468,грешник,mtakatifu,nouns,0.2
1469,смешной,wa kuchosha,adjectives,0.1
1470,светиться,kumeremeta,verbs,4.0
1471,коридор,darasa,nouns,0.4
1472,дипломатия,diplomasia,nouns,1.7
1473,покрытый,kufunikwa,adjectives,0.75
1474,спальня,bafu,nouns,0.45
1475,развлекаться,kufurahia,verbs,3.05
1476,агрессивный,kigomvi,adjectives,0.03
1477,пенни,peni,nouns,0.1
1478,потерять,poteza,verbs,0.0
1479,нож,bunduki,nouns,0.65
1480,переговоры,jadiliano,nouns,1.7
1481,полуостров,peninsula,nouns,1.2
1482,двигатель,mashine,nouns,2.95
1483,бойко,kwa akili,adverbs,0.35
1484,известный,inayojulikana,adjectives,0.1
1485,ушибить,kuumia,verbs,0.7
1486,отец,mtoto wa kike,nouns,0.55
1487,строить,kujumlisha,verbs,0.35
1488,буря,wingu,nouns,0.75
1489,рекомендовать,kushauri,verbs,4.5
1490,заменять,kurudisha,verbs,0.75
1491,ванна,mke,nouns,0.0
1492,клуб,klabu,nouns,0.0
1493,нейтральный,upande wowote,adjectives,0.5
1494,возраст,urembo,nouns,0.4
1495,деление,mgawanyiko,nouns,0.45
1496,кинематография,sinema,nouns,0.6
1497,управление,utawala,nouns,3.95
1498,немой,adimu,adjectives,0.0
1499,взрослый,mzazi,nouns,2.2
1500,огромный,mpumbavu,adjectives,0.0
1501,воровать,kununua,verbs,0.0
1502,человек,mtu,nouns,2.55
1503,счастливый,ana hasira,adjectives,0.15
1504,стейк,kuku,nouns,0.75
1505,ванная,jiko,nouns,0.45
1506,хлопок,plastiki,nouns,0.2
1507,пакт,mapatano,nouns,4.9
1508,рука,mwili,nouns,1.5
1509,изысканный,kisasa,adjectives,0.2
1510,рука,goti,nouns,0.55
1511,легальный,halali,adjectives,2.65
1512,остров,mtoto wa mfalme,nouns,0.0
1513,потом,baadae,adverbs,0.0
1514,корзина,mpira,nouns,0.55
1515,секретарь,mwanamke,nouns,0.65
1516,плоть,damu,nouns,1.25
1517,важно,kwa umuhimu,adverbs,0.2
1518,комната,kitanda,nouns,0.6
1519,индейка,ndege,nouns,3.05
1520,одевать,kuvaa,verbs,0.05
1521,выселять,kufukuza,verbs,0.45
1522,признавать,kujulisha,verbs,0.55
1523,предполагать,kutabiri,verbs,2.6
1524,алкоголь,jini,nouns,2.3
1525,грубо,takriban,adverbs,0.2
1526,пол,mlango,nouns,0.35
1527,микроскоп,darubini,nouns,0.8
1528,бекон,chakula cha asubuhi,nouns,0.8
1529,дядя,mwanaume,nouns,2.3
1530,женщина,mwanaume,nouns,0.45
1531,гитара,gitaa,nouns,0.0
1532,операция,uendeshaji,nouns,0.0
1533,выбор,oni,nouns,1.35
1534,банка,chupa,nouns,0.95
1535,пыль,vumbi,nouns,0.85
1536,сильно,kwa nguvu,adverbs,0.2
1537,множественный,nyingi zaidi,adverbs,0.45
1538,печаль,huzuni,nouns,0.15
1539,небо,anga,nouns,0.25
1540,высказываться,kushiriki,verbs,0.35
1541,читатель,mtunzi,nouns,0.5
1542,ответственно,kwa kuwajibika,adverbs,2.15
1543,шквал,upepo mkali,nouns,4.2
1544,сбор пожертвований,mchango,nouns,0.1
1545,спускаться,teremka,verbs,0.6
1546,опасно,kwa uhatari,adverbs,0.1
1547,автомобиль,gari,nouns,3.2
1548,мать,baba,nouns,0.8
1549,широкий,mbivu,adjectives,0.0
1550,частный,faragha,adjectives,3.65
1551,стрела,lengo,nouns,0.85
1552,хаотично,kwa vurugu,adverbs,0.1
1553,захватить,kudaka,verbs,2.85
1554,коридор,mlango,nouns,0.6
1555,комбинатор,mweka mipango,nouns,2.15
1556,особняк,nyumba,nouns,0.25
1557,слон,ndovu,nouns,0.13
1558,искусственный,sio asili,adjectives,4.55
1559,логика,akili,nouns,2.65
1560,кровать,kiti,nouns,0.4
1561,стоять,kusimama,verbs,0.15
1562,правитель,mtawala,nouns,4.35
1563,записывать,kuchorachora,verbs,2.25
1564,делать,kuumba,verbs,4.45
1565,смешивать,kuchanganya,verbs,0.05
1566,отец,mzazi,nouns,3.9
1567,будка,simu,nouns,1.65
1568,щедро,kwa fadhili,adverbs,2.2
1569,религия,dini,nouns,1.05
1570,дух,mungu,nouns,2.15
1571,спасти,kuokoa,verbs,0.0
1572,печь,kuoka,verbs,1.55
1573,преступление,udanganyifu,nouns,2.5
1574,остров,kisiwa,nouns,0.77
1575,изучение флагов,elimu ya bendera,nouns,1.15
1576,слушать,kuelewa,verbs,0.6
1577,внимание,ufahamu,nouns,0.8
1578,обвинять,kutiachaji,verbs,0.45
1579,планета,sayari,nouns,2.95
1580,присутствие,mshindi,nouns,0.1
1581,строка,uzi,nouns,0.0
1582,преобразование,uongofu,nouns,0.0
1583,читать,kufahamu,verbs,0.9
1584,ложка,kikombe,nouns,0.75
1585,соль,maji,nouns,0.35
1586,тело,uti,nouns,0.85
1587,курятина,wali,nouns,0.4
1588,приобретать,kutafuta,verbs,0.7
1589,дело,kesi,nouns,0.2
1590,отчаяние,taabu,nouns,2.0
1591,джинн,jini,nouns,0.1
1592,проваливать,kukanya,verbs,0.25
1593,автострада,gari,nouns,0.8
1594,автомобиль,boti,nouns,0.65
1595,болезнь,homa,nouns,0.75
1596,тема,kitabu,nouns,0.5
1597,секулярист,mwanaisilamu,nouns,1.05
1598,вязание,krocheti,nouns,0.2
1599,расти,kupungua,verbs,0.05
1600,осуждать,laani,verbs,0.75
1601,разъедать,kumomonyoka,verbs,0.0
1602,горе,uchungu,nouns,2.05
1603,скрытный,mgeni,adjectives,0.65
1604,комната,mahabusu,nouns,0.9
1605,плечо,mkono,nouns,1.75
1606,шея,mkono,nouns,0.45
1607,омофон,nyumba ya nyumbani,nouns,0.1
1608,ксенофобия,ubaguzi,nouns,3.45
1609,говядина,nyama ya ng'ombe,nouns,2.9
1610,сумка,pochi,nouns,4.5
1611,сердце,upasuaji,nouns,0.7
1612,автомобиль,mtaa,nouns,0.4
1613,отговаривать,katisha tamaa,verbs,1.05
1614,боб,nyama ya nguruwe,nouns,0.2
1615,голова,kichwa,nouns,0.85
1616,озон,ozoni,nouns,2.2
1617,рассерженный,mkubwa sana,adjectives,0.25
1618,моряк,kapteni,nouns,1.85
1619,задача,mwanamke,nouns,0.05
1620,оружие,silaha,nouns,0.75
1621,получать,kuchukua,verbs,1.35
1622,журналист,mwanahabari,nouns,0.55
1623,чета,jozi,nouns,5.5
1624,исследовать,kuchunguza,verbs,5.35
1625,пилот,dereva,nouns,2.05
1626,кроватка,kitanda,nouns,4.65
1627,президент,uchafuzi,nouns,0.1
1628,мирно,kwa amani,adverbs,2.27
1629,ключ,funguo,nouns,1.05
1630,часы,saa,nouns,0.1
1631,сумочка,mfuko,nouns,4.5
1632,приобретать,kujiunga,verbs,0.15
1633,слово,kamusi,nouns,1.25
1634,сок,matofaa,nouns,1.0
1635,играть,kucheza,verbs,0.05
1636,забор,uzio,nouns,0.3
1637,пустяк,jukumu,nouns,0.05
1638,палуба,sakafu,nouns,0.7
1639,дерево,mbao,nouns,0.1
1640,безумный,ana wazimu,adjectives,5.55
1641,происходить,kugundua,verbs,0.15
1642,выступ,mlima,nouns,1.45
1643,похожий,sawasawa,adjectives,5.15
1644,выбирать,kuamua,verbs,1.95
1645,нарушение,uhalifu,nouns,3.65
1646,платье,gauni,nouns,0.35
1647,отстаивать,kulinda,verbs,4.4
1648,радостный,mwenye furaha,adjectives,4.6
1649,сезон,msimu wa baridi,nouns,2.3
1650,оставаться,kuondoka,verbs,0.05
1651,неправильный,kosa,adjectives,0.0
1652,носить,kupeleka,verbs,0.5
1653,незрелый,kutokomaa,adjectives,0.05
1654,утро,mchana,nouns,1.1
1655,шахматы,chess,nouns,2.3
1656,скромный,ana aibu,adjectives,0.25
1657,кисть,mguu,nouns,0.6
1658,тупой,mjinga,adjectives,3.9
1659,прекращать,kufanya,verbs,0.15
1660,якорь,boti,nouns,0.95
1661,шар,kuoga,nouns,0.0
1662,плохой,mbaya,adjectives,0.68
1663,ортодонт,daktari,nouns,2.45
1664,смеяться,kucheka,verbs,3.8
1665,обычно,kawaida,adverbs,0.03
1666,пальто,kofia,nouns,0.6
1667,теория,kemia,nouns,0.7
1668,низ,upande,nouns,0.5
1669,серьезный,makini,adjectives,0.05
1670,пляж,uwanda wa bahari,nouns,2.55
1671,пачка,sigara,nouns,0.45
1672,ружье,alfajiri,nouns,0.0
1673,ребенок,mtu mzima,nouns,0.55
1674,энергия,nishati,nouns,1.3
1675,закат,machweo,nouns,0.0
1676,ручка,kalamu,nouns,0.25
1677,крайняя плоть,govi,nouns,2.35
1678,бок,chini,nouns,0.5
1679,ездить,endesha,verbs,0.1
1680,оставаться,kudumisha,verbs,0.55
1681,ситуация,mazingira,nouns,1.9
1682,отрицание,kukiri,nouns,0.15
1683,структура,muundo,nouns,3.05
1684,птица,kuku,nouns,2.5
1685,великодушный,wa kirafiki,adjectives,2.6
1686,узнавать,kusikiliza,verbs,0.45
1687,морось,mvua,nouns,4.45
1688,большой,kubwa,adjectives,0.1
1689,плохой,mkubwa sana,adjectives,0.15
1690,телефон,simu,nouns,0.0
1691,соревноваться,kushindana,verbs,0.1
1692,счастливый,mchangamfu,adjectives,4.6
1693,ананас,nanasi,nouns,0.0
1694,монархия,ufalme,nouns,0.55
1695,ветер,upepo,nouns,4.2
1696,создавать,kutengeneza,verbs,1.65
1697,помогать,kufadhili,verbs,4.8
1698,курсор,mshale,nouns,0.1
1699,зима,msimu,nouns,2.3
1700,посылать,kuhudhuria,verbs,0.1
1701,выжимать,kuminya,verbs,0.1
1702,курица,ndege,nouns,2.5
1703,грязный,chafu,adjectives,1.05
1704,внимательно,kwa utaratibu,adverbs,0.1
1705,корень,nyasi,nouns,0.55
1706,наслаждаться,kuburudisha,verbs,3.05
1707,дуб,mpera,nouns,0.9
1708,петля,mkanda,nouns,1.2
1709,плохой,mbovu,adjectives,5.0
1710,банкир,mwanasheria,nouns,0.65
1711,завоевание,nyimbo,nouns,0.05
1712,бродить,kutangatanga,verbs,4.8
1713,трапеза,kiuno,nouns,0.0
1714,сад,mpira wa maji,nouns,0.45
1715,открыто,wazi,adverbs,0.25
1716,тычинка,stameni,nouns,1.8
1717,книга,taarifa,nouns,1.05
1718,беспорядок,vurugu,nouns,0.1
1719,изготовитель,muumbaji,nouns,4.55
1720,огромный,mkubwa sana,adjectives,5.2
1721,работник,kamera,nouns,0.25
1722,пузырь,mapovu,nouns,1.6
1723,монета,sarafu,nouns,1.2
1724,новый,ya zamani,adjectives,0.15
1725,мускул,mfupa,nouns,0.55
1726,сахарный тростник,muwa,nouns,0.1
1727,спор,ukosoaji,nouns,0.9
1728,море,ziwa,nouns,2.3
1729,гонорар,malipo,nouns,4.3
1730,работодатель,mfanyakazi,nouns,0.8
1731,откладывать,kuhairisha,verbs,0.7
1732,актер,mwigaji,nouns,0.35
1733,дешевый,rahisi,adjectives,2.5
1734,двигаться,kutoka,verbs,0.05
1735,занимать,kutaka,verbs,0.3
1736,умножать,kujumlisha,verbs,0.5
1737,тема,hadithi,nouns,0.45
1738,загробный мир,kuzimu,nouns,1.65
1739,гордость,furaha,nouns,0.85
1740,приветствовать,kukutana,verbs,1.45
1741,конечно,hakika,adverbs,1.57
1742,недавно,hivi majuzi,adverbs,3.45
1743,серьезно,kwa umakini,adverbs,2.4
1744,полковник,daktari wa meno,nouns,0.05
1745,скромный,pole,adjectives,1.5
1746,молоко,juisi,nouns,0.4
1747,разрушать,kujenga,verbs,0.05
1748,печень,pafu,nouns,0.6
1749,форма,sare,nouns,0.2
1750,муж,mke,nouns,0.55
1751,цензура,udhibiti,nouns,0.5
1752,неестественно,si asili,adverbs,0.28
1753,обвинять,laumu,verbs,4.65
1754,домой,nyumbani,adverbs,0.1
1755,обычно,zaidi,adverbs,2.15
1756,кожа,ngozi,nouns,0.0
1757,пушка,bunduki,nouns,1.9
1758,отекать,dondoka,verbs,0.45
1759,приносить,kutuma,verbs,0.2
1760,психология,sayansi,nouns,2.05
1761,карниз,pazia,nouns,0.45
1762,задание,jukumu,nouns,3.8
1763,довольный,ana hasira,adjectives,0.05
1764,стена,tofali,nouns,1.4
1765,разум,akili,nouns,0.6
1766,уничтожить,haribu,verbs,1.2
1767,примечание,kumbuku,nouns,0.45
1768,напоминать,kumbusha,verbs,0.75
1769,камень,jiwe,nouns,0.1
1770,шалость,bunduki,nouns,0.1
1771,дружелюбный,mkarimu,adjectives,2.6
1772,ванна,gogo,nouns,0.0
1773,угождать,kuburudisha,verbs,0.3
1774,входить,kuondoka,verbs,0.05
1775,наставник,msaidizi,nouns,1.35
1776,перчатка,mpira,nouns,0.75
1777,назначать,kupata,verbs,0.3
1778,миска,sahani,nouns,3.2
1779,изучать,kufuatilia,verbs,3.35
1780,домик,kambi,nouns,0.85
1781,великолепный,mbaya,adjectives,0.05
1782,квартира,nyumba,nouns,4.05
1783,символ,ishara,nouns,1.25
1784,мощь,nguvu,nouns,4.0
1785,проход,mlango wa kutoka,nouns,2.4
1786,молиться,kuwasiliana,verbs,0.3
1787,смертельно,hatari sana,adverbs,0.1
1788,рукопись,muswada,nouns,1.7
1789,мягко,kwa ulaini,adverbs,0.05
1790,предрешать,kukuifungia,verbs,0.0
1791,помощница,mfanyakazi wa nyumbani,nouns,3.45
1792,становиться,kupanga,verbs,0.25
1793,трапеза,karamu,nouns,3.3
1794,трапеза,chakula cha usiku,nouns,3.5
1795,дерзкий,wa kujivunia,adjectives,0.8
1796,дверь,mlangoni,nouns,3.25
1797,почка,kiungo,nouns,2.3
1798,дочь,mtoto mchanga,nouns,1.0
1799,цитоплазма,cytoplasm,nouns,0.0
1800,уходящий,inayotoka,adjectives,0.2
1801,горло,ulimi,nouns,1.0
1802,горло,pua,nouns,0.7
1803,лазить,kupanda,verbs,0.35
1804,автомобиль,njia kuu,nouns,0.8
1805,первый,juu,adjectives,0.0
1806,сплав,aloyi,nouns,1.4
1807,мебель,fleti,nouns,0.5
1808,мечта,ndoto,nouns,0.25
1809,понимать,kusikiliza,verbs,0.6
1810,брать,kurithi,verbs,1.35
1811,пропитывать,kulowesha,verbs,0.0
1812,предупреждать,onya,verbs,0.2
1813,подтверждать,kusema,verbs,0.35
1814,скучный,wa kuchekesha,adjectives,0.1
1815,иногда,mara chache,adverbs,0.45
1816,идти,kuingia,verbs,0.6
1817,беспорядочный,chafu,adjectives,0.45
1818,зарядное устройство,chaja,nouns,0.6
1819,легенда,hadithi,nouns,0.3
1820,понять,kuelewa,verbs,3.2
1821,тело,mwili,nouns,0.38
1822,крикет,kriketi,nouns,0.0
1823,ловить,kamata,verbs,0.65
1824,платформа,chombo,nouns,0.05
1825,спрашивать,ulizia,verbs,1.5
1826,жена,senti,nouns,0.0
1827,получать,kufaida,verbs,1.65
1828,необычный,mgeni,adjectives,4.1
1829,унижать,kuaibisha,verbs,0.05
1830,окно,dirisha,nouns,0.5
1831,нерешительный,sitasita,adjectives,0.05
1832,воздух,molekuli,nouns,0.65
1833,спокойно,kiutulivu,adverbs,0.0
1834,широкий,mwembamba,adjectives,0.1
1835,слеза,jicho,nouns,1.2
1836,ценный,yenye thamani,adjectives,2.35
1837,преступление,kosa,nouns,3.65
1838,мальчик,mtoto,nouns,1.75
1839,старый,zamani,adjectives,0.0
1840,книга,mada,nouns,0.6
1841,деньги,mshahara,nouns,2.9
1842,волшебник,mchawi,nouns,0.0
1843,неудачно,kwa ubaya,adverbs,0.0
1844,обижать,kukashifu,verbs,3.15
1845,диск,diski,nouns,0.6
1846,программа,mradi,nouns,0.25
1847,университет,chuo kikuu,nouns,0.75
1848,автомобиль,daraja,nouns,0.25
1849,пристыженный,kua na aibu,adjectives,0.0
1850,поэт,mshairi,nouns,0.55
1851,церковь,kwaya,nouns,1.4
1852,мотель,hoteli,nouns,3.25
1853,жесткий,ngumu,adjectives,0.15
1854,получать,kupa,verbs,0.35
1855,человек,mnyama,nouns,0.65
1856,палуба,boti,nouns,0.95
1857,сжиматься,kukua,verbs,0.05
1858,одежда,koti,nouns,2.2
1859,другой,wengine,adjectives,0.6
1860,фильм,filamu,nouns,0.0
1861,яблоко,mwanga wa jua,nouns,0.05
1862,победа,fora,nouns,4.1
1863,сумма,jumla,nouns,1.8
1864,фотоаппарат,mfanyakazi,nouns,0.25
1865,календарь,kalenda,nouns,0.45
1866,запад,kaskazini,nouns,0.3
1867,давать,kujua,verbs,0.2
1868,глава,meya,nouns,2.5
1869,утес,kilima,nouns,2.8
1870,анализировать,kuchambua,verbs,3.85
1871,брат,kaka,nouns,1.55
1872,критиковать,kupinga,verbs,0.63
1873,жена,tundu,nouns,0.0
1874,преуспевать,kufeli,verbs,0.05
1875,продавать,kwenda,verbs,0.4
1876,крупный,mkubwa,adjectives,4.55
1877,хладнокровие,matumbo,nouns,1.05
1878,день,alfajiri,nouns,1.1
1879,вешать,kuweka,verbs,0.3
1880,организовывать,kuwa,verbs,0.25
1881,звезда,nyota,nouns,2.1
1882,терминально,mwisho,adverbs,0.25
1883,платеж,ada,nouns,4.3
1884,небо,jua,nouns,1.05
1885,включать,kumhusisha,verbs,2.9
1886,сиять,kuangaza,verbs,4.0
1887,риф,ufuko,nouns,0.75
1888,мышь,chombo,nouns,0.0
1889,бог,roho,nouns,2.15
1890,водитель,rubani,nouns,2.05
1891,избирательное право,haki ya upigaji kura,nouns,0.0
1892,песок,mchanga,nouns,0.0
1893,говорить,kuhakikisha,verbs,0.35
1894,фотоаппарат,lenzi,nouns,1.6
1895,животное,mtu,nouns,0.65
1896,пруток,zizi,nouns,0.5
1897,яркость,nuru,nouns,2.1
1898,идти,kutuma,verbs,0.1
1899,скрипка,fidia,nouns,0.45
1900,действительно,kweli,adverbs,1.4
1901,задача,kazi,nouns,3.8
1902,сгибание,inflection,nouns,0.75
1903,главная плата,bodi kuu,nouns,4.1
1904,закат,macheo,nouns,1.25
1905,квартира,fanicha,nouns,0.5
1906,игнорировать,kuondoka,verbs,0.35
1907,сохранить,kubakisha,verbs,1.75
1908,собака,paka,nouns,0.4
1909,дышать,kukaba,verbs,0.3
1910,пол,paa,nouns,0.35
1911,плечо,kichwa,nouns,0.7
1912,знать,kusahau,verbs,0.1
1913,странный,wa kigeni,adjectives,4.1
1914,эссе,kitabu,nouns,1.1
1915,захватить,kushika,verbs,0.0
1916,глубина,ukubwa,nouns,1.05
1917,желудок,kiuno,nouns,0.75
1918,ехать,endesha,verbs,0.05
1919,изучать,kuchambua,verbs,1.5
1920,культура,utamaduni,nouns,1.15
1921,ум,ujinga,nouns,0.45
1922,яблоко,mpangilio wa chakula,nouns,0.35
1923,подчиниться,kutii,verbs,0.1
1924,счастливый,mchanga,adjectives,0.2
1925,узкий,mpana,adjectives,0.1
1926,злость,ghadhabu,nouns,4.6
1927,ортодонт,mtaalamu wa meno,nouns,4.85
1928,продолжение,mwendelezo,nouns,0.0
1929,кошка,panya,nouns,0.45
1930,счастливый,wa ghadhabu,adjectives,0.15
1931,тратить,kuokoa,verbs,0.25
1932,дерево,mti,nouns,0.3
1933,чип,kibanzi,nouns,0.1
1934,маис,mahindi,nouns,3.6
1935,салат,mpangilio wa chakula,nouns,0.6
1936,башня,kengele,nouns,0.55
1937,толкать,kusukuma,verbs,0.0
1938,холодный,baridi,adjectives,0.0
1939,колыбель,kitanda cha mtoto,nouns,3.6
1940,выбирать,kutaka,verbs,0.8
1941,коттедж,kibanda,nouns,4.2
1942,шляпа,sanduku,nouns,0.3
1943,истерика,ghasia,nouns,1.35
1944,иногда,muda mwingine,adverbs,0.1
1945,родитель,mtu mzima,nouns,2.2
1946,отец,mwanaume,nouns,2.05
1947,нуждаться,kuandaa,verbs,0.1
1948,готовить,kupika,verbs,0.07
1949,верх,chini,nouns,0.25
1950,отрицать,kukana,verbs,0.95
1951,маскировать,kuficha,verbs,3.05
1952,клен,mti,nouns,3.05
1953,наука,saikolojia,nouns,2.05
1954,цент,mke,nouns,0.0
1955,провал,ukosefu,nouns,3.45
1956,снег,hali ya hewa,nouns,0.85
1957,оставаться,kubaki,verbs,1.25
1958,воздухоплавание,aeronauts,nouns,0.85
1959,кость,kifundo cha mguu,nouns,1.5
1960,верить,kuamini,verbs,0.7
1961,ночь,sura,nouns,0.0
1962,кровь,uboho,nouns,0.6
1963,подбодрять,kukanya,verbs,0.15
1964,правительство,serikali,nouns,0.0
1965,верить,kukubali,verbs,1.55
1966,библия,kitabu,nouns,2.2
1967,притворяться,jifanya,verbs,2.7
1968,код,alama,nouns,1.5
1969,кривой,isiyonyooka,adjectives,5.1
1970,пшеница,nafaka,nouns,2.65
1971,пирог,chokoleti,nouns,0.85
1972,скромный,mnyenyekevu,adjectives,0.2
1973,слышать,kuzungumza,verbs,0.35
1974,пестицид,dawa ya wadudu,nouns,0.85
1975,уксус,saladi,nouns,0.4
1976,пояс,kitanzi,nouns,1.2
1977,задолжать,kuingia,verbs,0.0
1978,эпоха,miaka kumi,nouns,0.8
1979,сейчас,sasahivi,adverbs,1.3
1980,карандаш,penseli,nouns,0.0
1981,комната,chumba,nouns,0.85
1982,обычный,mara kwa mara,adjectives,0.05
1983,толпа,kikundi,nouns,4.1
1984,профессор,daktari,nouns,1.2
1985,читать,kusoma,verbs,0.0
1986,противоположный,kinyume,adjectives,0.4
1987,мешать,kunyanyasa,verbs,2.6
1988,семя,mbegu,nouns,0.6
1989,безопасный,lindwa,adjectives,0.0
1990,монастырь,monasteri,nouns,0.0
1991,мальчик,mwanajeshi,nouns,0.6
1992,аэропорт,ndege,nouns,1.4
1993,пара,vitu viwili,nouns,5.5
1994,нерв,mwili,nouns,0.7
1995,падать,kuanguka,verbs,1.5
1996,упрямый,msumbufu,adjectives,0.8
1997,область,kona,nouns,0.25
1998,мужчины,undugu,nouns,0.6
1999,писатель,msomaji,nouns,0.5
2000,задача,majani makavu,nouns,0.05
2001,происходить,kuanza,verbs,0.65
2002,пастбище,uwanda wenye majani,nouns,2.05
2003,создавать,kuwazia,verbs,0.25
2004,подобный,sawa,adjectives,5.15
2005,советовать,kupendekeza,verbs,4.5
2006,сила тяжести,mvuto,nouns,0.1
2007,перспектива,mtazamo,nouns,0.4
2008,сумасшедший,mgonjwa,adjectives,0.95
2009,жена,kuoga,nouns,0.0
2010,скучный,zorota,adjectives,0.05
2011,вонять,kutoa harufu,verbs,1.05
2012,вера,maadili,nouns,0.65
2013,отбивать,kupiga,verbs,0.4
2014,страница,neno,nouns,0.45
2015,спотыкаться,kujikwaa,verbs,1.5
2016,реалистично,kihalisia,adverbs,0.55
2017,игнорировать,kuuliza,verbs,0.05
2018,наставник,rafiki,nouns,1.15
2019,удобрение,samadi,nouns,0.15
2020,кость,shingo,nouns,0.45
2021,штурман,rubani msaidizi,nouns,0.5
2022,радиатор,radiator,nouns,0.5
2023,острый,ncha kali,adjectives,0.05
2024,актриса,mchezaji,nouns,3.3
2025,нерешительный,kuwa yumba,adjectives,0.5
2026,жена,majani makavu,nouns,0.0
2027,ругаться,kulalamika,verbs,0.85
2028,ужин,chakula cha asubuhi,nouns,0.4
2029,штат сотрудников,wafanyakazi,nouns,0.15
2030,агрессивный,kua na hasira,adjectives,0.05
2031,собака,farasi,nouns,0.35
2032,принцесса,mtoto mke wa mfalme,nouns,0.0
2033,презирать,kuchukia,verbs,0.45
2034,душ,shower,nouns,0.0
2035,кость,goti,nouns,0.8
2036,пристыженный,mwenye kiasi,adjectives,0.25
2037,обычный,tofauti,adjectives,0.1
2038,пиво,kinywaji,nouns,3.05
2039,самолет,uwanja wa ndege,nouns,1.4
2040,ноготь,kidole gumba,nouns,1.35
2041,ненужный,lazima,adjectives,0.1
2042,прыжки,kuruka,nouns,0.3
2043,болезнь,ugonjwa wa kuambukiza ,nouns,3.5
2044,дрожать,kutetemeka,verbs,0.75
2045,список,orodha,nouns,0.9
2046,легкий,ana shida,adjectives,0.1
2047,завтрак,chakula cha usiku,nouns,0.4
2048,монах,mtawa,nouns,0.8
2049,твердый,imara,adjectives,2.9
2050,футбол,burudani,nouns,1.0
2051,мускул,mkono,nouns,0.7
2052,судить,kuhukumu,verbs,2.1
2053,сестра,dada,nouns,1.55
2054,гордый,mwenye nguvu,adjectives,0.55
2055,кипячёный,chemshwa,adjectives,3.3
2056,автомобиль,teksi,nouns,3.55
2057,астрономический,unajimu,adjectives,0.4
2058,женщина,mwanamke,nouns,0.15
2059,совпадение,mapatano,nouns,0.0
2060,покидать,kuondoka,verbs,0.03
2061,посылка,furushi,nouns,0.15
2062,тащить,kuvuta,verbs,0.8
2063,дом,jimbo,nouns,0.35
2064,спутывать,kuchanganya,verbs,0.0
2065,экосистема,mfumo wa ikolojia,nouns,0.5
2066,необычный,wa kawaida,adjectives,0.1
2067,сессия,kikao,nouns,0.15
2068,свет,mwanga,nouns,0.0
2069,стараться,kujitahidi,verbs,0.0
2070,область,kanda,nouns,4.25
2071,хранить,kumiliki,verbs,1.0
2072,металл,chuma,nouns,2.25
2073,смартфон,simu mahiri,nouns,0.0
2074,каденция,uharamia,nouns,0.15
