ID,CMN,POL,PoS,score
1461,异常地,normalnie,adverbs,0.0
1462,攻击,przestępstwo,nouns,1.46
1463,稍后,nigdy,adverbs,0.39
1464,枪,ludzie,nouns,0.0
1465,失去,gotować,verbs,0.0
1466,阻碍,dążyć,verbs,0.0
1467,洞,porozumienie,nouns,0.0
1468,情绪,pasja,nouns,2.74
1469,牧师,bóg,nouns,0.43
1470,开始,zapoczątkować,verbs,3.66
1471,洞察力,fakt,nouns,0.89
1472,两次,wielokrotnie,adverbs,0.49
1473,冷静地,pokojowo,adverbs,3.31
1474,装饰,ściana,nouns,0.52
1475,携带,przynieść,verbs,2.65
1476,复诊,pacjent,nouns,0.18
1477,房间,łóżko,nouns,0.2
1478,卧室,żołądek,nouns,0.0
1479,轻微,kompletnie,adverbs,0.1
1480,靠不住的,pokrętny,adjectives,2.09
1481,借款人,kredyt,nouns,1.11
1482,薄荷,muzeum,nouns,0.05
1483,生气,szczęśliwy,adjectives,0.05
1484,男人,wojownik,nouns,0.93
1485,短小,karłowaty,adjectives,2.97
1486,舱,pole,nouns,0.34
1487,元,ludzie,nouns,0.0
1488,到达,uczęszczać,verbs,2.54
1489,成熟地,słusznie,adverbs,1.5
1490,滑雪板,narciarstwo,nouns,1.63
1491,踝,łokieć,nouns,0.68
1492,强度,wytrzymałość,nouns,2.58
1493,舌头,gardło,nouns,0.86
1494,骨髓,krew,nouns,0.53
1495,天空,wrzechświat,nouns,2.03
1496,屏幕,fonologia,nouns,0.0
1497,学习,zapominać,verbs,0.0
1498,成功,osiągnąć,verbs,2.7
1499,做,konstruować,verbs,2.98
1500,电池,energia,nouns,1.86
1501,许多,obfitość,nouns,4.34
1502,自行车,samochód,nouns,0.43
1503,大教堂,sufit,nouns,0.29
1504,拖着脚走,jeździć,verbs,0.0
1505,懒,zajęty,adjectives,0.04
1506,修理,przywrócić,verbs,2.14
1507,公寓,dom,nouns,4.54
1508,推荐,akceptować,verbs,0.34
1509,狡猾,dziwny,adjectives,0.32
1510,节约,wydawać,verbs,0.32
1511,酒,wino,nouns,3.8
1512,现在,tutaj,adverbs,1.55
1513,连接,oddzielać,verbs,0.18
1514,纯,skromny,adjectives,0.85
1515,购买,kraść,verbs,0.28
1516,尝试,osiągnąć,verbs,0.61
1517,苹果,sos,nouns,0.14
1518,牛仔裤,kobieta,nouns,0.04
1519,男人,dziewczyna,nouns,0.14
1520,保留,zapominać,verbs,0.39
1521,毁灭,konstrukcja,nouns,0.14
1522,描绘,udawać,verbs,0.1
1523,混合,rozpuszczać,verbs,0.93
1524,携带,dostarczać,verbs,2.58
1525,有时,jednorodnie,adverbs,0.0
1526,外套,ubrania,nouns,2.74
1527,分离,przyłączać,verbs,0.18
1528,私人的,publiczny,adjectives,0.09
1529,学习,dezorientować,verbs,0.0
1530,非法,niemoralny,adjectives,1.84
1531,态度,pewność siebie,nouns,1.83
1532,指控,kłamać,verbs,0.14
1533,枪,notatnik,nouns,0.0
1534,胜利,triumf,nouns,5.32
1535,描绘,powiadamiać,verbs,0.65
1536,浮动,śpiewać,verbs,0.0
1537,二极管,kondensator,nouns,0.43
1538,记得,myśleć,verbs,0.48
1539,古怪,dziwny,adjectives,5.08
1540,家伙,partner,nouns,2.54
1541,摔碎,roztrzaskać,verbs,4.46
1542,狡猾,hardy,adjectives,0.7
1543,舞蹈,sukienka,nouns,0.09
1544,绑,tkać,verbs,1.71
1545,偶然,regularnie,adverbs,0.62
1546,船,pokład,nouns,1.47
1547,信念,pojęcie,nouns,1.44
1548,自由,niewinny,adjectives,0.6
1549,侄子,ciotka,nouns,0.58
1550,强硬,twardy,adjectives,3.24
1551,笨,pojętny,adjectives,0.09
1552,淹,ratować,verbs,0.04
1553,星系,aplikacja,nouns,0.0
1554,启,zaczynać,verbs,4.48
1555,风,szkwał,nouns,3.01
1556,减肥,sałatka,nouns,0.48
1557,愤怒,niepewny,adjectives,0.38
1558,说明,dyskutować,verbs,2.0
1559,两次,zawsze,adverbs,0.05
1560,尺寸,cent,nouns,0.0
1561,傻,dziecinny,adjectives,2.56
1562,注意,świadomość,nouns,2.67
1563,屋,dywan,nouns,0.15
1564,对抗,irytować,verbs,0.2
1565,外交,negocjacja,nouns,2.16
1566,市长,prezydent,nouns,1.85
1567,走道,przedpokój,nouns,0.89
1568,陶艺,ceramika,nouns,2.48
1569,诗人,dziennikarz,nouns,0.25
1570,平淡,znudzony,adjectives,1.99
1571,拒绝,dać,verbs,0.0
1572,小亭,telefon,nouns,0.65
1573,欠,wchodzić,verbs,0.0
1574,正义,trybunał,nouns,1.46
1575,使满意,zgadzać się,verbs,1.4
1576,困难,łatwy,adjectives,0.07
1577,座位,brzeg,nouns,0.24
1578,日落,sznurek,nouns,0.0
1579,房间,wanna,nouns,0.15
1580,摇动,zbierać,verbs,0.1
1581,侧面,spód,nouns,0.29
1582,矬小,przymały,adjectives,2.97
1583,编剧,telewizja,nouns,0.33
1584,峡谷,dolina,nouns,3.65
1585,椅子,sofa,nouns,1.64
1586,天花板,dach,nouns,2.69
1587,弯曲,prosty,adjectives,0.09
1588,操纵杆,radar,nouns,0.04
1589,政治家,prezydent,nouns,3.54
1590,黏,mokry,adjectives,1.3
1591,米饭,chłopiec,nouns,0.0
1592,纸,drewno,nouns,0.68
1593,保护,bronić,verbs,4.55
1594,俱乐部,znak,nouns,0.0
1595,墙,cegła,nouns,0.67
1596,避免,odrzucić,verbs,1.77
1597,统治者,król,nouns,5.25
1598,床,koc,nouns,0.29
1599,王冠,klucz,nouns,0.05
1600,喝,wymieszać,verbs,0.05
1601,门,bractwo,nouns,0.05
1602,碱,kwas,nouns,0.14
1603,车,szosa,nouns,0.2
1604,异族,cudzoziemiec,nouns,4.26
1605,死亡,pochówek,nouns,0.88
1606,退休,wycofać się,verbs,1.91
1607,和平地,dumnie,adverbs,0.09
1608,最近,ostatnio,adverbs,5.58
1609,盒子,źródło,nouns,0.0
1610,提醒,zapominać,verbs,0.18
1611,谦逊地,marnie,adverbs,0.05
1612,便士,okazja,nouns,0.1
1613,联合,trzcina cukrowa,nouns,0.05
1614,薄雾,deszcz,nouns,0.91
1615,大笑,płakać,verbs,0.23
1616,智力,logika,nouns,2.75
1617,主题标签,temat,nouns,2.5
1618,绊倒,upaść,verbs,2.5
1619,零,nieskończoność,nouns,0.25
1620,代替,przywrócić,verbs,0.65
1621,字母,długopis,nouns,0.05
1622,记者,poeta,nouns,0.25
1623,信心十足地,potajemnie,adverbs,0.0
1624,马,pies,nouns,0.71
1625,厂,samochód,nouns,0.19
1626,幼儿,żłobek,nouns,1.17
1627,诚实地,szczerze,adverbs,4.5
1628,长,krótki,adjectives,0.09
1629,幸福,smutek,nouns,0.0
1630,判断,zeznawać,verbs,0.29
1631,茶,cytryna,nouns,0.1
1632,试着,zamierzać,verbs,1.96
1633,飞机,odrzutowiec,nouns,3.82
1634,想,usprawiedliwiać,verbs,0.28
1635,感染,fleksja,nouns,0.05
1636,听,rozumieć,verbs,1.23
1637,类似,jednakowy,adjectives,3.1
1638,悬崖,ogon,nouns,0.0
1639,银行,siedzenie,nouns,0.24
1640,机器,komputer,nouns,3.31
1641,积极地,pasywnie,adverbs,0.23
1642,忽略,pytać,verbs,0.09
1643,矩阵,wektor,nouns,0.8
1644,给予,pożyczyć,verbs,1.69
1645,强调,zrelaksowany,adjectives,0.0
1646,准确地,aktywnie,adverbs,0.62
1647,事实,wgląd,nouns,0.89
1648,保留,zachować,verbs,3.34
1649,承认,zaprzeczać,verbs,0.18
1650,显然,dyskretnie,adverbs,0.18
1651,人,cent,nouns,0.05
1652,总统,zanieczyszczenie,nouns,0.1
1653,飞行员,kierowca,nouns,1.77
1654,轻轻的,twardo,adverbs,0.0
1655,选择,wybory,nouns,2.62
1656,雪茄,pudełko,nouns,0.04
1657,日落,stół,nouns,0.0
1658,笔直,wygięty,adjectives,0.09
1659,苔藓,trawa,nouns,1.37
1660,大,giętki,adjectives,0.14
1661,提醒,sprzedawać,verbs,0.0
1662,打,pociągać,verbs,0.0
1663,高速公路,samochód,nouns,0.2
1664,头脑风暴,teleskop,nouns,0.0
1665,哭泣,płakać,verbs,5.41
1666,杂志,artykuł,nouns,1.69
1667,天使,demon,nouns,0.24
1668,生物学家,mikroskop,nouns,0.44
1669,碟,miska,nouns,2.46
1670,跟随,ścigać,verbs,3.06
1671,南,północ,nouns,0.19
1672,私人,osobisty,adjectives,4.83
1673,立方体,zabawka,nouns,0.14
1674,高高兴兴,aktywnie,adverbs,0.57
1675,案件,narzędzia,nouns,0.34
1676,想,próbować,verbs,0.53
1677,妻子,wanna,nouns,0.0
1678,游标,frytki,nouns,0.04
1679,容易,skomplikowany,adjectives,0.09
1680,预言家,ksiądz,nouns,0.24
1681,看,szukać,verbs,0.65
1682,沐浴,pokój,nouns,0.15
1683,民主,monarchia,nouns,0.34
1684,黏,brudny,adjectives,1.17
1685,协助,wspomagać,verbs,4.22
1686,毁灭,ratować,verbs,0.09
1687,大声地,subtelnie,adverbs,0.0
1688,香芹,babeczka,nouns,0.0
1689,主教,muzułmanin,nouns,0.41
1690,机器人技术,symulacja,nouns,0.73
1691,云,okno,nouns,0.0
1692,死,rozpadać się,verbs,0.54
1693,狀師,prawnik,nouns,3.79
1694,出口,otwór drzwiowy,nouns,3.67
1695,小孩,dorosły,nouns,0.28
1696,大学,klasa,nouns,0.39
1697,四轮货运马车,pojemnik,nouns,0.14
1698,婴儿,dorosły,nouns,0.28
1699,悲伤,wstyd,nouns,0.75
1700,窗口,chmura,nouns,0.0
1701,门,obecność,nouns,0.0
1702,正式,właściwy,adjectives,3.67
1703,国民,znany,adjectives,0.25
1704,手术,algebra,nouns,0.2
1705,实质上,krytycznie,adverbs,0.78
1706,医生,ortodonta,nouns,3.52
1707,读者,autor,nouns,0.18
1708,宪法,senat,nouns,0.81
1709,讨论,tłumaczyć,verbs,2.0
1710,合理的解释,myśleć,verbs,0.28
1711,恶魔,anioł,nouns,0.24
1712,珍贵,święty,adjectives,1.18
1713,灵活,łatwy,adjectives,0.43
1714,学院,zawód,nouns,0.04
1715,羊,jagnię,nouns,4.18
1716,财富,prestiż,nouns,1.17
1717,辣,słaby,adjectives,0.0
1718,精彩,piękny,adjectives,3.48
1719,肌肉,kość,nouns,0.23
1720,运动鞋,medal,nouns,0.1
1721,爆玉米花,kino,nouns,0.43
1722,成年人,dziecko,nouns,0.28
1723,教授,student,nouns,0.39
1724,保持,dać,verbs,0.19
1725,牛扒,kurczak,nouns,0.49
1726,取得,nabyć,verbs,4.33
1727,未公开,jawny,adjectives,0.09
1728,音节,lemma,nouns,0.65
1729,疾病,gorączka,nouns,1.83
1730,创新,kreatywny,adjectives,4.5
1731,教堂,iglica,nouns,0.61
1732,喉,język,nouns,0.86
1733,基质,cząsteczka,nouns,0.51
1734,自信,postawa,nouns,1.83
1735,韵律,wiersz,nouns,0.48
1736,货币,wymiana,nouns,0.65
1737,问,modlić się,verbs,0.33
1738,哭,szlochać,verbs,5.51
1739,人类学,archeologia,nouns,1.21
1740,橙子,cytrus,nouns,3.33
1741,管理,administracja,nouns,3.76
1742,剧院,bateria,nouns,0.0
1743,累,głodny,adjectives,0.38
1744,弱,silny,adjectives,0.0
1745,摔倒,potknąć się,verbs,2.5
1746,面具,impreza,nouns,0.34
1747,褪色,erodować,verbs,0.92
1748,纸币,opłata,nouns,0.55
1749,否认,wyznanie,nouns,0.15
1750,疯,szalony,adjectives,5.14
1751,智力,ignorancja,nouns,0.0
1752,保持,hołubić,verbs,0.28
1753,汽车,fabryka,nouns,0.19
1754,词性变化,infekcja,nouns,0.05
1755,发送,otrzymywać,verbs,0.57
1756,棉,sweter,nouns,0.81
1757,声音,akustyka,nouns,1.2
1758,沙拉,dieta,nouns,0.48
1759,解剖学,biologia,nouns,2.47
1760,生病,szalony,adjectives,1.56
1761,评估,uczyć się,verbs,1.13
1762,总和,unia,nouns,0.62
1763,根,trawa,nouns,0.38
1764,钟,drzwi,nouns,0.1
1765,公平,niesprawiedliwie,adverbs,0.18
1766,黄昏,wieczór,nouns,4.75
1767,酸奶,bydło,nouns,0.43
1768,伟大,zły,adjectives,0.0
1769,酒,koniak,nouns,3.47
1770,徘徊,odchodzić,verbs,0.39
1771,做,zarabiać,verbs,0.63
1772,假设,przewidywać,verbs,4.14
1773,世俗主义,religia,nouns,0.0
1774,阿姨,wujek,nouns,0.82
1775,猫,mysz,nouns,0.29
1776,快乐,szczęśliwy,adjectives,5.12
1777,不同,nieuleczalnie,adverbs,0.3
1778,银行家,prawnik,nouns,0.29
1779,相反,inny,adjectives,0.94
1780,奶昔,sok,nouns,0.53
1781,作证,osądzać,verbs,0.29
1782,广场,mapa,nouns,0.14
1783,动物,bestia,nouns,3.02
1784,积极地,szczęśliwie,adverbs,0.57
1785,搏斗,gryźć,verbs,1.31
1786,杜松子酒,whisky,nouns,1.42
1787,草,mech,nouns,1.37
1788,懒,cenny,adjectives,0.04
1789,平庸,nudny,adjectives,1.1
1790,酒吧,więzienie,nouns,0.33
1791,状态,chłopiec,nouns,0.14
1792,原木,drewno,nouns,4.0
1793,粗鲁,agresywny,adjectives,1.83
1794,消失,zniknąć,verbs,4.03
1795,肉桂,cukierek,nouns,0.14
1796,电池,teatr,nouns,0.0
1797,成为,zrealizować,verbs,1.36
1798,脚,głowa,nouns,0.24
1799,发光,świecić,verbs,4.21
1800,陷害,hit,nouns,0.04
1801,环球航行,bagaż,nouns,0.0
1802,信念,kwiat,nouns,0.09
1803,汽车,ciężarówka,nouns,3.26
1804,查询,wymagać,verbs,0.34
1805,家具,mieszkanie,nouns,0.34
1806,河,dolina,nouns,1.17
1807,直觉,zmysł,nouns,4.09
1808,儿子,brat,nouns,0.81
1809,苹果,cytryna,nouns,0.29
1810,微晶片,kursor,nouns,0.04
1811,重新安葬,grób,nouns,1.17
1812,强烈地,oficjalnie,adverbs,0.67
1813,神话,satyra,nouns,1.08
1814,原子,węgiel,nouns,0.92
1815,符号,kod,nouns,2.46
1816,明亮地,wielce,adverbs,0.25
1817,字典,definicja,nouns,1.07
1818,一餐,talia,nouns,0.05
1819,窗,drzwi,nouns,0.72
1820,法庭,sprawiedliwość,nouns,1.46
1821,岩浆,wulkan,nouns,1.68
1822,运输,podnieść,verbs,1.42
1823,讽刺,mit,nouns,1.08
1824,一次,natychmiast,adverbs,0.1
1825,电缆,kaplica,nouns,0.05
1826,收集,trząść,verbs,0.1
1827,实际地,idealnie,adverbs,0.54
1828,柔软,gwałtowny,adjectives,0.0
1829,混合,gotować,verbs,0.34
1830,赛跑运动员,atleta,nouns,2.94
1831,儿子,ojciec,nouns,0.78
1832,树,liść,nouns,0.48
1833,有趣,piłka nożna,nouns,0.65
1834,匆忙,śpieszyć,verbs,4.5
1835,晚餐,śniadanie,nouns,0.46
1836,短,długi,adjectives,0.09
1837,灰濛蒙,prognoza,nouns,0.15
1838,公共汽车,taksówka,nouns,1.69
1839,模糊,niejasny,adjectives,4.14
1840,显然,pewnie,adverbs,3.56
1841,内疚,uczciwy,adjectives,0.04
1842,柔韧,wielki,adjectives,0.14
1843,洗,płukać,verbs,4.07
1844,唇,usta,nouns,3.13
1845,可行,niemożliwy,adjectives,0.14
1846,老师,przyjaciel,nouns,0.51
1847,看来,prosto,adverbs,1.15
1848,慷慨地,życzliwie,adverbs,2.42
1849,云,mgła,nouns,2.08
1850,猫,pies,nouns,0.28
1851,流感,gorączka,nouns,1.74
1852,有意义,głęboko,adverbs,2.33
1853,电话,komórka,nouns,4.97
1854,获胜者,kandydat,nouns,1.44
1855,父亲,rodzic,nouns,4.73
1856,碗,zaułek,nouns,0.0
1857,完成,zakończony,adjectives,4.86
1858,秘书,kobieta,nouns,1.27
1859,沙文主义,uprzedzenie,nouns,1.29
1860,光线电话机,homofon,nouns,0.05
1861,手指,dłoń,nouns,1.61
1862,侧面,wierzch,nouns,0.29
1863,定理,teoria,nouns,4.3
1864,每月,tygodniowy,adjectives,1.07
1865,盒子,budka,nouns,0.15
1866,幼苗,liść,nouns,0.51
1867,怒视,zezować,verbs,0.18
1868,卧室,rower,nouns,0.0
1869,再热,nagrzewać,nouns,1.12
1870,闷,mierny,adjectives,1.1
1871,剧院,film,nouns,1.41
1872,争论,zgadzać się,verbs,0.18
1873,踝,okno,nouns,0.0
1874,三明治,mięso,nouns,0.18
1875,清醒,pijany,adjectives,0.09
1876,实现,powieść się,verbs,2.7
1877,轻轻的,głośno,adverbs,0.0
1878,装作,ukazywać,verbs,0.1
1879,工作,zadanie,nouns,3.18
1880,得罪,naprzykrzać się,verbs,1.96
1881,铝,metal,nouns,2.7
1882,电影,film,nouns,4.34
1883,偷,dać,verbs,0.18
1884,方案,pomysł,nouns,2.85
1885,毛,norka,nouns,0.72
1886,停,jechać,verbs,0.04
1887,山羊,krowa,nouns,0.78
1888,责怪,pchać,verbs,0.18
1889,线,zachód słońca,nouns,0.0
1890,妻子,dziura,nouns,0.32
1891,病菌,patogen,nouns,3.68
1892,预测,przypuszczać,verbs,4.26
1893,眉头,oko,nouns,0.57
1894,酒,whisky,nouns,3.37
1895,重复,ćwiczyć,verbs,2.42
1896,诚实地,nigdy,adverbs,0.0
1897,墙纸,tło,nouns,3.1
1898,花费,oszczędzać,verbs,0.32
1899,安然,spokojnie,adverbs,3.31
1900,旧,nowy,adjectives,0.14
1901,过道,korytarz,nouns,4.83
1902,唱,śmiać się,verbs,0.1
1903,否认,kłamać,verbs,0.77
1904,开始,startować,verbs,4.48
1905,批评,nienawidzić,verbs,1.03
1906,精确地,precyzyjnie,adverbs,5.72
1907,承认,powiadamiać,verbs,0.2
1908,沉重,objuczony,adjectives,0.86
1909,恳求,błagać,verbs,4.25
1910,给,kraść,verbs,0.18
1911,教学大纲,egzamin,nouns,0.38
1912,容易地,swobodnie,adverbs,1.92
1913,硬件,futerał,nouns,0.34
1914,品质,parasol,nouns,0.04
1915,字,wskazówka,nouns,0.54
1916,生物学,biotop,nouns,0.79
1917,选择,chcieć,verbs,1.06
1918,水,koronacja,nouns,0.04
1919,和声,pianino,nouns,0.43
1920,作家,dar,nouns,0.0
1921,冲洗,myć,verbs,4.07
1922,通常,rzadko,adverbs,0.23
1923,饮食,jabłko,nouns,0.41
1924,一分钱,rozmiar,nouns,0.0
1925,走廊,klasa,nouns,0.34
1926,掌握,rozumieć,verbs,4.63
1927,负责可靠地,niezależnie,adverbs,0.95
1928,大致地,łatwo,adverbs,0.15
1929,侵蚀,blaknąć,verbs,0.92
1930,和平,żołnierz,nouns,0.2
1931,害怕,niepewny,adjectives,1.36
1932,无助,podatny,adjectives,1.46
1933,冠军,zwycięzca,nouns,5.17
1934,安慰,bezpieczeństwo,nouns,0.65
1935,皇帝,konstytucja,nouns,0.04
1936,骑,biegać,verbs,0.28
1937,可靠地,pobieżnie,adverbs,0.19
1938,葬礼,śmierć,nouns,0.88
1939,教室,hol,nouns,0.34
1940,加,budować,verbs,0.95
1941,女王,pszczoła,nouns,0.35
1942,保护,zakryć,verbs,1.64
1943,小亭,pudełko,nouns,0.15
1944,脾气,doktor,nouns,0.0
1945,相信,wiedzieć,verbs,0.51
1946,狡猾,pojętny,adjectives,1.3
1947,自由,oaza,nouns,0.34
1948,枪,futro,nouns,0.0
1949,第五,czołowy,adjectives,0.04
1950,宽广,wąski,adjectives,0.09
1951,混合,pić,verbs,0.05
1952,正常,inny,adjectives,0.1
1953,绝望,nędza,nouns,1.83
1954,餐,wieczerza,nouns,3.93
1955,知道,zapominać,verbs,0.0
1956,牙齿,usta,nouns,0.72
1957,唱,unosić się,verbs,0.0
1958,害羞,drogi,adjectives,0.0
1959,无聊,zmęczony,adjectives,0.24
1960,汽车,automobil,nouns,5.61
1961,每周,miesięczny,adjectives,1.07
1962,借,błagać,verbs,1.0
1963,决定,osądzać,verbs,2.25
1964,顽固,głupi,adjectives,1.17
1965,向量,matryca,nouns,0.8
1966,父亲,syn,nouns,0.78
1967,谢绝,odrzucać,verbs,4.23
1968,部,sułtan,nouns,0.15
1969,婴儿,córka,nouns,2.67
1970,断绝亲子关系 or...,dać,verbs,0.05
1971,女人,sekretarka,nouns,1.27
1972,飓风,burza,nouns,2.52
1973,惯例,zasada,nouns,2.52
1974,骨头,łokieć,nouns,0.69
1975,自由,swoboda,nouns,4.64
1976,击中,celować,verbs,1.71
1977,不可能,przyjazny,adverbs,0.14
1978,疯狂,szczęśliwy,adjectives,0.46
1979,合理的解释,argumentować,verbs,2.58
1980,歌手,refren,nouns,0.92
1981,金属,aluminium,nouns,2.7
1982,果汁,mleko,nouns,0.62
1983,拇指,ręka,nouns,0.88
1984,相信,czuć,verbs,1.05
1985,血液,szpik,nouns,0.53
1986,被动地,aktywnie,adverbs,0.23
1987,威士忌酒,jałowcówka,nouns,1.42
1988,意外,katastrofa,nouns,3.75
1989,笨,ogromny,adjectives,0.04
1990,明亮,gwiazda,nouns,0.69
1991,死气沉沉的,szczęśliwie,adverbs,0.18
1992,目前,delikatnie,adverbs,0.0
1993,忽略,drukować,verbs,0.0
1994,基本上,zupełnie,adverbs,0.82
1995,骨头,ramię,nouns,0.68
1996,写,bazgrać,verbs,3.03
1997,月亮,planeta,nouns,2.06
1998,加剧,napadać,verbs,0.63
1999,翻译者,obcokrajowiec,nouns,0.38
2000,白色,wąski,adjectives,0.18
2001,警察,szeryf,nouns,3.71
2002,保护,ratować,verbs,2.88
2003,发热,grypa,nouns,1.74
2004,种族,weekend,nouns,0.0
2005,米,cal,nouns,1.78
2006,出现,stać się,verbs,0.93
2007,精彩,rozkoszny,adjectives,2.77
2008,虚无主义,film,nouns,0.28
2009,白天,noc,nouns,0.05
2010,完成,rywalizować,verbs,0.05
2011,歌曲,opowieść,nouns,0.63
2012,理解,wiedzieć,verbs,2.84
2013,魔鬼,bóg,nouns,0.1
2014,公寓,meble,nouns,0.34
2015,打鼾,budzić się,verbs,0.23
2016,男孩,ryż,nouns,0.0
2017,猎物,bóg,nouns,0.0
2018,杀,bronić,verbs,0.33
2019,原木,drewno,nouns,4.39
2020,无家可归,bilioner,nouns,0.0
2021,不确定,przestraszony,adjectives,1.36
2022,天花板,katedra,nouns,0.29
2023,等式,formuła,nouns,2.75
2024,不同意,zgadzać się,verbs,0.18
2025,水,susza,nouns,0.04
2026,稻草,żona,nouns,0.09
2027,有意义地,specjalnie,adverbs,2.9
2028,成年人,opiekun,nouns,2.82
2029,角度,krzywa,nouns,0.85
2030,成熟,wyrafinowany,adjectives,0.97
2031,卧室,łóżko,nouns,1.11
2032,门,piwnica,nouns,0.28
2033,学生,profesor,nouns,0.39
2034,家伙,ogier,nouns,0.81
2035,地区,region,nouns,5.14
2036,大气层,zanieczyszczenie,nouns,0.29
2037,赞成,pozwalać,verbs,3.91
2038,火车,tramwaj,nouns,1.76
2039,紧紧地,niewiarygodnie,adverbs,0.3
2040,兄弟,siostra,nouns,1.4
2041,容易,ciężki,adjectives,0.04
2042,出租车,taxi,nouns,5.91
2043,朋友,nauczyciel,nouns,0.51
2044,聚酯纤维,bawełna,nouns,0.8
2045,非常好,brudny,adjectives,0.0
2046,犯罪,oszustwo,nouns,3.56
2047,听,przestrzegać,verbs,2.35
2048,形象,pomysł,nouns,0.0
2049,学习,ewaluować,verbs,1.13
2050,建议,radzić,verbs,3.5
2051,哥哥,ojciec,nouns,0.34
2052,晚餐,zupa,nouns,1.03
2053,肚皮,podbrzusze,nouns,2.71
2054,突变体,socjobiologia,nouns,0.38
2055,男孩,warunek,nouns,0.14
2056,标识,klub,nouns,0.0
2057,肘,kostka,nouns,0.68
2058,谦虚,pokorny,adjectives,4.58
2059,灾难,śmierć,nouns,2.08
2060,事件,kwestarz,nouns,1.08
2061,坦克,samochód,nouns,0.52
2062,裁判官,sędzia,nouns,3.63
2063,天花板,podłoga,nouns,0.1
2064,规则,konwencja,nouns,2.52
2065,海滩,wybrzeże,nouns,3.2
2066,减少,kurczyć się,verbs,3.33
2067,心情,emocja,nouns,3.59
2068,潜水,tworzyć,verbs,0.0
2069,松动,giętki,adjectives,1.66
2070,美,sonet,nouns,0.15
2071,幼儿园,przedszkole,nouns,1.17
2072,进来,towarzyski,adjectives,0.55
2073,当然,czasem,adverbs,0.0
2074,想,kontemplować,verbs,3.17
2075,推,ciągnąć,verbs,0.47
2076,果汁,łyżka,nouns,0.0
2077,多,dwukrotnie,adverbs,0.49
2078,尖,łagodny,adjectives,0.0
2079,地板,dach,nouns,0.34
2080,遇见,pływać,verbs,0.0
2081,飞行,lotnictwo,nouns,2.5
2082,腹部,brzuch,nouns,2.71
2083,韵律,arytmetyka,nouns,0.04
2084,戒除,robić,verbs,0.0
2085,糖类,sacharoza,nouns,2.83
2086,也许,prawdopodobnie,adverbs,4.12
2087,可笑,nudny,adjectives,0.0
2088,雪崩,śnieg,nouns,1.86
2089,丰富,mnóstwo,nouns,4.34
2090,教堂,mozaika,nouns,0.2
2091,比较,analizować,verbs,3.46
2092,毯,drewno,nouns,0.0
2093,种子,musztarda,nouns,0.28
2094,小麦,zboże ,nouns,3.88
2095,假日,kalendarz,nouns,0.78
2096,男子,ojciec,nouns,2.38
2097,站立,chodzić,verbs,0.18
2098,依靠,nawalić,verbs,0.09
2099,信,akapit,nouns,0.24
2100,男人,mąż,nouns,2.55
2101,显微镜,biolog,nouns,0.44
2102,车,taksówka,nouns,3.48
2103,合乎体统,formalny,adjectives,3.67
2104,软管,ogród,nouns,0.25
2105,年,urodziny,nouns,0.71
2106,宣告,deklarować,verbs,4.64
2107,检查,badać,verbs,4.02
2108,笨,niemądry,adjectives,4.98
2109,鸡,ryż,nouns,0.05
2110,在场,nieobecność,nouns,0.09
2111,撤退,odchodzić,verbs,3.42
2112,学生,nauczyciel,nouns,0.33
2113,正式地,znacząco,adverbs,1.3
2114,苹果,światło słoneczne,nouns,0.14
2115,舒服地,łatwo,adverbs,1.92
2116,传说,morał,nouns,0.4
2117,扰乱,naprzykrzać się,verbs,3.91
2118,丈夫,żona,nouns,0.48
2119,薪水,opłata,nouns,1.01
2120,乐队,wytrzymałość,nouns,0.0
2121,粗糙,brzydki,adjectives,0.68
2122,恶魔,potwór,nouns,3.46
2123,脏,tani,adjectives,0.37
2124,认识到,odkryć,verbs,3.96
2125,不同,zgadzać się,verbs,0.0
2126,沟通,modlić się,verbs,0.52
2127,陶瓷,garncarstwo,nouns,2.48
2128,汤,kolacja,nouns,1.03
2129,湿疹,wysypka,nouns,3.17
2130,获得,znaleźć,verbs,1.89
2131,搂抱,przytulić,verbs,5.24
2132,流体,dysza,nouns,0.0
2133,地震,wstrząs,nouns,4.09
2134,充分,zasadniczo,adverbs,0.82
2135,脚,piasek,nouns,0.04
2136,门,kuchnia,nouns,0.1
2137,西方,północ,nouns,0.49
2138,拿,dostarczać,verbs,0.24
2139,赦免,wybaczać,verbs,3.86
2140,训斥,rządać,verbs,0.79
2141,门,podłoga,nouns,0.2
2142,犯罪者,kryminalista,nouns,5.01
2143,更改,przerobić,verbs,3.56
2144,花朵,wytrzymałość,nouns,0.23
2145,薪水,pieniądze,nouns,3.78
2146,说谎,oskarżać,verbs,0.14
2147,报纸,informacja,nouns,1.67
2148,诚实,winny,adjectives,0.04
2149,手,kciuk,nouns,0.88
2150,花园,wąż ogrodowy,nouns,0.25
2151,船,kotwica,nouns,0.78
2152,乐队,orkiestra,nouns,3.81
2153,商业,przemysł,nouns,1.6
2154,分子,matryca,nouns,0.51
2155,保持,pożyczać,verbs,0.0
2156,教育,uczyć  ,verbs,4.74
2157,科学,psychologia,nouns,2.46
2158,僧侣,krzyż,nouns,0.29
2159,母亲,opiekun,nouns,3.06
2160,邮件,szybkość,nouns,0.0
2161,理论,chemia,nouns,0.77
2162,灯,dżin,nouns,0.3
2163,播放机,trener,nouns,0.35
