ID,HEB,YUE,PoS,score
1438,שבבים,遊標,nouns,0.2
1439,כתף,身體,nouns,1.17
1440,להתייפח,哭,verbs,5.18
1441,ביקורת,爭論,nouns,1.98
1442,נטייה,感染,nouns,0.14
1443,אגודל,指甲,nouns,1.75
1444,המנון,稻草,nouns,0.18
1445,לקנות,偷,verbs,0.35
1446,לשון,喉,nouns,1.05
1447,לחם,肉,nouns,0.63
1448,פוליטיקאי,警察,nouns,0.39
1449,גדול,國民,adjectives,0.35
1450,מצב,狀況,nouns,4.88
1451,לעומק,有意義,adverbs,2.02
1452,לאפשר,走,verbs,0.05
1453,חכם,醒目,adjectives,4.79
1454,עורף,尾巴,nouns,1.16
1455,תורה,書,nouns,1.21
1456,ערמומי,奇怪,adjectives,0.76
1457,לתת,保持,verbs,0.39
1458,קבר,重新安葬,nouns,1.25
1459,להרוג,防守,verbs,0.4
1460,יוצא דופן,罕見,adjectives,4.17
1461,כבד,器官,nouns,2.17
1462,לנסות,打算,verbs,0.63
1463,מאוד,緊緊地,adverbs,0.94
1464,לרוץ,騎,verbs,0.59
1465,אי,海灘,nouns,1.06
1466,ציוויליזציה,生活方式,nouns,0.77
1467,בישוף,大主教,nouns,3.59
1468,סינמטוגרפיה,導演,nouns,1.23
1469,חדר,沖涼,nouns,0.93
1470,לחשוק,想要,verbs,3.82
1471,להפציר,乞求,verbs,4.07
1472,מנוע,船,nouns,0.74
1473,באופן יצירתי,本來,adverbs,0.44
1474,ענן,天氣,nouns,0.92
1475,בקול רם,輕輕的,adverbs,0.39
1476,רגש,心情,nouns,3.19
1477,חודשי,每週,adjectives,1.52
1478,לרחוץ,沖洗,verbs,4.7
1479,לבלוע,喝,verbs,1.35
1480,בינוני,好的,adjectives,0.69
1481,מצלמה,續集,nouns,0.04
1482,רחוב,汽車,nouns,0.87
1483,נזיר,十字架,nouns,0.69
1484,נורמלי,不同,adjectives,0.49
1485,ארמון,高樓大廈,nouns,0.98
1486,כדורעף,球,nouns,2.69
1487,לפנות,確定,verbs,0.1
1488,מיטה,椅子,nouns,1.51
1489,בד,麻布,nouns,2.5
1490,קרח,雪,nouns,3.17
1491,מיטה,毯子,nouns,0.79
1492,גשם,毛毛雨,nouns,3.68
1493,כיסא,望遠鏡,nouns,0.2
1494,אלים,柔軟,adjectives,0.35
1495,להזכיר,告訴,verbs,2.03
1496,פעמון,門,nouns,0.83
1497,עמלה,工資,nouns,1.09
1498,קומבינציה,結合,nouns,3.08
1499,מסכן,孤獨,adjectives,0.75
1500,כיסא,凳子,nouns,3.83
1501,לכסות,掩飾,verbs,3.27
1502,אינטליגנציה,洞察力,nouns,2.42
1503,באופן שולי,十足地,adverbs,0.45
1504,עיתון,文章,nouns,2.13
1505,יען,果園,nouns,0.1
1506,ייאוש,苦難,nouns,3.32
1507,חורף,季節,nouns,2.03
1508,כיבוש,戰役,nouns,1.31
1509,צר,長,adjectives,1.22
1510,מפעל,汽車,nouns,0.45
1511,לנשוך,搏鬥,verbs,0.82
1512,תותח,球,nouns,0.59
1513,מטבע,交換,nouns,0.97
1514,פיכח,理性的,adjectives,2.22
1515,כלא,選擇,nouns,0.35
1516,חיוני,必須,adjectives,5.18
1517,בחוזקה,正式,adverbs,0.32
1518,עצוב,搞笑,adjectives,0.55
1519,עצם,顎,nouns,1.75
1520,הערה,作業,nouns,0.57
1521,ציפורן,拇指,nouns,1.75
1522,לצוד,搜索,verbs,1.36
1523,אישה,秘書,nouns,1.97
1524,פעמיים,多,adverbs,0.64
1525,בבטחה,偷偷,adverbs,0.45
1526,יפה,精彩,adjectives,1.17
1527,להפוך,出現,verbs,0.18
1528,נשק,頭盔,nouns,1.57
1529,פונולוגיה,屏幕,nouns,0.15
1530,להפריך,允許,verbs,0.1
1531,גורד שחקים,宮殿,nouns,0.98
1532,קישוט,牆壁,nouns,0.53
1533,כדורגל,有趣,nouns,0.58
1534,לבעוט,傷害,verbs,1.97
1535,סוללה,劇院,nouns,0.09
1536,פלנטה,月亮,nouns,2.32
1537,זכוכית,徽章,nouns,0.29
1538,גוף,底衫褲,nouns,0.56
1539,טיפול,行動主義,nouns,0.65
1540,מטוס,機場,nouns,1.02
1541,סיגר,盒子,nouns,0.39
1542,חיה,人,nouns,0.88
1543,לאבד,搵到,verbs,0.5
1544,לבקר,評論說,verbs,3.01
1545,אבקן,授粉,nouns,1.46
1546,טלויזיה,電影,nouns,2.71
1547,לשיר,大笑,verbs,0.53
1548,נוסחה,等式,nouns,4.13
1549,פגיע,簡單,adjectives,0.28
1550,ערמומי,機靈,adjectives,2.72
1551,קורא,作者,nouns,0.78
1552,לשים,得到,verbs,0.4
1553,לסדר,收集,verbs,1.64
1554,להיעלם,消逝,verbs,4.67
1555,מיליונר,無家可歸,nouns,0.49
1556,תפוח,檸檬,nouns,1.37
1557,דלת,存在,nouns,0.15
1558,לקבל,抓住,verbs,0.78
1559,מנהיג,市長,nouns,3.46
1560,חבילה,貨車,nouns,0.44
1561,צעיר,焦躁不安,adjectives,0.24
1562,מחבט,球,nouns,1.02
1563,בחוזקה,難以置信地,adverbs,0.94
1564,ליקר,樂隊,nouns,0.0
1565,אישה,任務,nouns,0.04
1566,רע,內疚,adjectives,0.73
1567,מתקפה,閃電攻擊,nouns,3.19
1568,המון,遊行,nouns,1.35
1569,תהילה,財富,nouns,1.17
1570,לשמוע,察覺,verbs,1.26
1571,להניח,給,verbs,0.72
1572,קרסול,骨頭,nouns,1.13
1573,יומיומי,通常,adverbs,3.49
1574,להגן,冚住,verbs,1.17
1575,לנצח,打敗,verbs,3.97
1576,לעולם לא,否定,adjectives,1.35
1577,משמים,枯燥,adjectives,4.32
1578,חוק,學校,nouns,0.68
1579,סביבה,劍,nouns,0.0
1580,עצבני,某些,adjectives,0.2
1581,לבקש,唔睬,verbs,0.35
1582,וריד,選擇,nouns,0.04
1583,סילבוס,考試,nouns,1.04
1584,אגדה,道德,nouns,0.2
1585,ילד,成人,nouns,0.97
1586,פסגה,下面,nouns,0.5
1587,טריק,遊戲,nouns,0.93
1588,פה,牙齒,nouns,1.12
1589,לעזוב,撤退,verbs,3.7
1590,אקדח,筆記本,nouns,0.0
1591,ביתן,茅屋,nouns,3.58
1592,פעמון,塔,nouns,0.68
1593,שטיח,屋,nouns,0.72
1594,מכונית,坦克,nouns,1.11
1595,ודאי,肯定,adjectives,5.04
1596,עין,眼淚,nouns,1.07
1597,מיליונר,元,nouns,0.78
1598,בייקון,肉,nouns,2.47
1599,לעזוב,徘徊,verbs,0.79
1600,פוליטיקאי,總統,nouns,2.59
1601,להסכים,不同,verbs,0.6
1602,לפגוע,未打中,verbs,0.55
1603,מדים,未成形,adjectives,0.1
1604,ידיד,夥伴,nouns,4.38
1605,אפליקציה,星系,nouns,0.3
1606,כבש,牛,nouns,2.25
1607,שחקן,電視,nouns,1.1
1608,להפסיד,減去,verbs,2.27
1609,לשחות,見面,verbs,0.1
1610,לולאה,帶,nouns,1.79
1611,יקר ערך,懶,adjectives,0.04
1612,מולקולה,基質,nouns,0.56
1613,אחווה,門,nouns,0.0
1614,ניקוד,水平,nouns,0.77
1615,מונית,巴士,nouns,2.42
1616,טיעון,批評,nouns,1.98
1617,מוות,災難,nouns,1.65
1618,סנט,憲法,nouns,0.96
1619,חלום,天空,nouns,0.4
1620,כביש,車,nouns,1.16
1621,להקטין,降低,verbs,3.67
1622,להפוך,似乎,verbs,0.41
1623,לדחות,完成,verbs,0.39
1624,ללבוש,侵蝕,verbs,0.39
1625,לשאוף,阻礙,verbs,0.1
1626,מולקולה,空氣,nouns,1.12
1627,לתת,知道,verbs,0.04
1628,כיתה,大學,nouns,0.74
1629,כיסא,長凳,nouns,2.98
1630,שחקן,多面體,nouns,0.88
1631,וילון,竿,nouns,0.83
1632,סמל,槍,nouns,0.53
1633,נוקשה,易損壞,adjectives,0.3
1634,סימן,俱樂部,nouns,0.04
1635,רע,極好,adjectives,0.34
1636,ספר,手稿,nouns,1.21
1637,ענן,薄霧,nouns,2.48
1638,משימה,高速公路,nouns,0.0
1639,מריחואנה,草藥,nouns,2.59
1640,להצדיע,演出,verbs,0.3
1641,קבורה מחדש,墳墓,nouns,1.25
1642,ענן,湖,nouns,0.58
1643,פורל,吉他,nouns,0.05
1644,בדיוק,準確地,adverbs,4.77
1645,לנדוד,離開,verbs,0.79
1646,מבחן,教學大綱,nouns,1.04
1647,לשקר,指控,verbs,0.49
1648,להרשות,反駁,verbs,0.1
1649,כס,劍,nouns,0.3
1650,לשער,預測,verbs,4.44
1651,כיסא,沙發,nouns,2.69
1652,בייקון,豆,nouns,0.5
1653,יד,指甲,nouns,0.96
1654,חבר,母親,nouns,0.78
1655,ייתכן,樂觀地,adverbs,0.78
1656,ציור,暴動,nouns,0.15
1657,קולונל,牙醫,nouns,0.34
1658,אלים,嬲,adjectives,1.02
1659,ללכת,旅行,verbs,1.6
1660,לבכות,哭泣,verbs,5.18
1661,עצב,幸福,nouns,0.64
1662,זעיר,重大,adjectives,0.58
1663,לבן,狹窄,adjectives,0.0
1664,אוטובוס,的士,nouns,2.42
1665,גבה,眼睛,nouns,0.88
1666,תאונה,大災難,nouns,3.56
1667,מטר,碼,nouns,2.64
1668,נפלא,愉快,adjectives,2.92
1669,גן טרום חובה,幼兒園,nouns,1.83
1670,סנט,尺寸,nouns,0.15
1671,לחגוג,使驚奇,verbs,0.7
1672,מסוק,飛機,nouns,2.54
1673,ארנב,貓,nouns,1.47
1674,כתבה,雜誌,nouns,2.13
1675,אמבטיה,睡房,nouns,0.87
1676,יד,拇指,nouns,1.67
1677,גדול,容易,adjectives,0.35
1678,פרספקטיבה,距離,nouns,1.18
1679,מעבר,走廊,nouns,4.29
1680,מתוחכם,成熟,adjectives,0.83
1681,דיאטה,沙拉,nouns,0.97
1682,חוט,日落,nouns,0.0
1683,תיבה,電梯,nouns,0.34
1684,גבר,父親,nouns,2.82
1685,דם,骨髓,nouns,1.02
1686,זול,髒,adjectives,0.68
1687,לאשר,接受,verbs,3.55
1688,מכוער,粗糙,adjectives,1.11
1689,להיפגש,游泳,verbs,0.1
1690,אורז,豆,nouns,1.02
1691,להיכנס,走,verbs,0.67
1692,גוף,血液,nouns,0.92
1693,דביק,脏,adjectives,0.73
1694,יד,手指,nouns,1.63
1695,צנוע,靈活,adjectives,0.24
1696,ענן,窗口,nouns,0.3
1697,לא הוגן,殘忍,adjectives,0.82
1698,לדהות,侵蝕,verbs,1.99
1699,ביתן,營地,nouns,0.83
1700,מנוע,活塞,nouns,1.21
1701,לפעמים,一致地,adverbs,0.29
1702,אמונה,價值觀,nouns,2.78
1703,בורא,製作者,nouns,4.64
1704,כוח,能力,nouns,2.94
1705,צוק,尾巴,nouns,0.04
1706,להסכים,承認,verbs,3.55
1707,פינה,地區,nouns,0.7
1708,עץ,紙,nouns,0.92
1709,בשר,牛扒,nouns,3.84
1710,כסף,珍珠,nouns,0.68
1711,תוף,吉他,nouns,1.42
1712,רגיל,無知,adjectives,0.1
1713,ילד,狀態,nouns,0.04
1714,סיפור,話題,nouns,1.16
1715,סירה,電動機,nouns,0.74
1716,לשון,臉頰,nouns,0.83
1717,דיאטה,蘋果,nouns,0.78
1718,כלה,公主,nouns,0.93
1719,מקצוע,學院,nouns,0.65
1720,כומר,僧侶,nouns,3.39
1721,הוריקן,暴風雨,nouns,3.44
1722,לקחת,離開,verbs,0.2
1723,ים,河流,nouns,2.19
1724,לחזות,確定,verbs,0.55
1725,להופיע,出席,verbs,3.68
1726,סוף שבוע,星期,nouns,2.26
1727,מנגינה,節奏,nouns,3.33
1728,עגלה,馬車,nouns,3.84
1729,קליבר,遮,nouns,0.3
1730,וריד,手臂,nouns,0.64
1731,להשיג,贏得,verbs,1.45
1732,קוקטייל,酒,nouns,3.25
1733,לגנוב,給,verbs,0.45
1734,לשכוח,學習,verbs,0.49
1735,לשלוח,出席,verbs,0.54
1736,חברה,商業,nouns,3.55
1737,אינטליגנטי,笨,adjectives,0.73
1738,בחירה,靜脈,nouns,0.04
1739,מטופל,複診,nouns,0.87
1740,בטן,課程,nouns,0.0
1741,חבוי,公開,adjectives,0.59
1742,להתחנן,懇求,verbs,4.07
1743,אופניים,汽車,nouns,1.68
1744,אטום,碳,nouns,1.54
1745,חור,協議,nouns,0.0
1746,בזוי,輕視,adjectives,3.71
1747,עצום,笨,adjectives,0.19
1748,חוף,海,nouns,2.38
1749,אמא,朋友,nouns,0.78
1750,שמיים,宇宙,nouns,1.99
1751,עקום,彎曲,adjectives,3.98
1752,טקסי,的士,nouns,5.7
1753,לאפשר,侵蝕,verbs,0.05
1754,מצעד,樂隊,nouns,1.18
1755,עט,字母,nouns,0.4
1756,שמח,瘋狂,adjectives,0.95
1757,קרושה,制服,nouns,0.15
1758,בד,衣服,nouns,2.33
1759,סגנון,優雅,nouns,1.36
1760,גמיש,謙虛,adjectives,0.24
1761,חזה,身體,nouns,1.67
1762,מרחק,角度,nouns,1.18
1763,נשיא,污染,nouns,0.05
1764,עונה,冬天,nouns,2.03
1765,כינור,樂器,nouns,1.65
1766,אח,姊妹,nouns,2.17
1767,מתוק,電動,adjectives,0.0
1768,ייחודי,相反,adjectives,0.29
1769,לבחון,調查,verbs,3.79
1770,גלוי,未公開,adjectives,0.59
1771,בית,州,nouns,0.7
1772,פה,鼻子,nouns,0.73
1773,יציאה,選舉權,nouns,0.04
1774,להשתכר,值得,verbs,0.14
1775,היום,今晚,adverbs,1.11
1776,לסיים,畢業,verbs,1.26
1777,אינטליגנטי,聰明,adjectives,4.79
1778,אור,蘋果,nouns,0.0
1779,שפך,海,nouns,1.07
1780,בסיס,酸,nouns,1.42
1781,נקי,一塵不染,adjectives,4.6
1782,אנשים,元,nouns,0.05
1783, בענווה,糟糕,adverbs,0.39
1784,שביר,冷淡,adjectives,0.3
1785,רגוע,中性,adjectives,1.08
1786,יום,黎明,nouns,2.33
1787,קל,困難,adjectives,0.55
1788,רצפה,天花板,nouns,0.78
1789,כועס,暴力,adjectives,1.02
1790,חיפוש,目標,nouns,0.73
1791,משרה,速度,nouns,0.3
1792,להראות,變成,verbs,0.41
1793,לתקוף,傷害,verbs,3.0
1794,עבודה,工具,nouns,0.54
1795,טקס,慶祝,nouns,2.92
1796,לשלוט,贏,verbs,1.22
1797,חצוף,好鬥,adjectives,0.64
1798,לחנך,學習,verbs,2.45
1799,אנושות,實質上,adverbs,0.28
1800,מלוכלך,黏,adjectives,0.73
1801,לשלוט,克服,verbs,0.4
1802,חריף,弱,adjectives,0.15
1803,ספינת תותחים,海岸,nouns,0.65
1804,להבין,滿足,verbs,0.15
1805,להרים,運輸,verbs,0.97
1806,אקדח,黎明,nouns,0.0
1807,לצמצם,降落,verbs,0.7
1808,כף,果汁,nouns,0.43
1809,בשר,煙肉,nouns,2.47
1810,בוודאי,明顯地,adverbs,3.65
1811,לסלוח,接受,verbs,1.07
1812,אחות,科學家,nouns,0.29
1813,כביכול,明顯地,adverbs,0.97
1814,בישוף,穆斯林,nouns,0.74
1815,כדור,籃子,nouns,0.59
1816,גיטרה,鼓,nouns,1.42
1817,טלפון,受害者,nouns,0.2
1818,באופן סביל,可靠地,adverbs,0.5
1819,עכבר,管理,nouns,0.04
1820,מנטה,口香糖,nouns,0.78
1821,טבעת,訂婚,nouns,1.69
1822,מרווח,開口,nouns,3.66
1823,בלון,人,nouns,0.1
1824,להתעלם,打印,verbs,0.1
1825,אפשרי,不可能,adjectives,0.59
1826,חלון,屋頂,nouns,0.92
1827,הססני,中性,adjectives,0.96
1828,ים,三角洲,nouns,1.07
1829,תחזית,灰濛蒙,nouns,0.74
1830,לחלוטין,基本上,adverbs,0.92
1831,משוגע,開心,adjectives,0.95
1832,עוזרת,女孩,nouns,0.57
1833,ציטופלזמה,數字,nouns,0.25
1834,חצוף,噪,adjectives,0.53
1835,טלסקופ,椅子,nouns,0.2
1836,לאסוף,组织,verbs,1.64
1837,חשמלי,機械,adjectives,1.97
1838,תפוח,果汁,nouns,1.02
1839,לפגוע,攻擊,verbs,3.0
1840,לקרוא,理解,verbs,0.87
1841,בן,男孩子,nouns,3.17
1842,חימום מחדש,預熱,nouns,2.48
1843,בחור,靚仔,nouns,2.3
1844,בכנות,從未,adverbs,0.0
1845,רעב,累,adjectives,0.73
1846,דולר,人,nouns,0.05
1847,שקיעה,日出,nouns,1.32
1848,תוקפני,彎曲,adjectives,0.05
1849,גדול,重,adjectives,1.07
1850,רכבת,電車,nouns,2.52
1851,סונטה,美,nouns,0.2
1852,טחב,草,nouns,2.17
1853,מעטפה,裝飾,nouns,0.2
1854,בעל,男人,nouns,2.58
1855,שקיעה,線,nouns,0.0
1856,לשמור,給,verbs,0.39
1857,זנב,碗,nouns,0.0
1858,צמח,農業,nouns,1.26
1859,דיונה,沙漠,nouns,2.23
1860,לסת,骨頭,nouns,1.75
1861,סוס,母馬,nouns,3.42
1862,פרקליט,銀行家,nouns,1.46
1863,לקנות,付款,verbs,2.93
1864,משחק,樂趣,nouns,0.88
1865,בוודאי,不顯眼地,adverbs,0.15
1866,רעשן,噪聲,nouns,2.33
1867,ציפורן,手,nouns,0.96
1868,חתול,老鼠,nouns,0.89
1869,תא,鎖起來,nouns,1.35
1870,ללכת,允許,verbs,0.05
1871,להודיע,承認,verbs,0.97
1872,קול ,聲學,nouns,2.94
1873,לשמור,失去,verbs,0.39
1874,לנסות,想,verbs,0.61
1875,שופט,法庭,nouns,1.3
1876,קש,妻子,nouns,0.1
1877,אל,牧師,nouns,0.97
1878,מועסק,僱主,nouns,0.98
1879,באופן אמין,負責任,adverbs,2.9
1880,פוליאסטר,棉,nouns,0.92
1881,להצטרף,結婚,verbs,0.25
1882,ליצור,想像,verbs,0.89
1883,דוקטור,大夫,nouns,5.1
1884,שלילי,從未,adjectives,1.35
1885,שמיכה,床,nouns,0.79
1886,יקר ערך,神聖,adjectives,1.64
1887,ללמוד,聽,verbs,0.98
1888,גברת,先生,nouns,1.01
1889,הודו,母雞,nouns,1.89
1890,נחמד,開朗,adjectives,3.13
1891,מכללה,職業,nouns,0.65
1892,הצלחה,勝利,nouns,3.93
1893,באדיבות,好心地,adverbs,4.32
1894,כדור,球狀物,nouns,3.26
1895,שעועית,米飯,nouns,1.02
1896,יפה,優雅地,adverbs,2.92
1897,מתרגם,外國人,nouns,0.43
1898,ליפול,傷害,verbs,0.93
1899,להאמין,感覺到,verbs,0.89
1900,לרדוף,跟隨,verbs,2.23
1901,לחקור,無視,verbs,0.25
1902,משפט,判決書,nouns,2.65
1903,נשיא,市長,nouns,2.45
1904,חום,疾病,nouns,2.13
1905,מיטה,幼兒床,nouns,3.53
1906,אלומיניום,錫,nouns,2.08
1907,קדרות,陶瓷,nouns,3.54
1908,חברה,文化,nouns,1.17
1909,לשמור,忘記,verbs,0.49
1910,לכסות,埋葬,verbs,2.58
1911,שותף,男孩,nouns,0.78
1912,שלג,風暴,nouns,1.42
1913,גודל,戲法,nouns,0.0
1914,מנצח,男人,nouns,0.58
1915,נשיא,政治家,nouns,2.59
1916,סוס,狗,nouns,1.38
1917,נבט,葉,nouns,1.45
1918,להעניש,教,verbs,0.72
1919,נוכחות,缺席,nouns,0.59
1920,ילד,合作夥伴,nouns,0.78
1921,להשיג,成功,verbs,1.64
1922,אקדח,毛,nouns,0.04
1923,רופא,正牙醫生,nouns,2.88
1924,אפוקליפסה,火,nouns,0.64
1925,מחלה,發燒,nouns,2.13
1926,לפגוע,踢,verbs,1.97
1927,רעיה,母親,nouns,2.62
1928,להתכווץ,消失,verbs,1.27
1929,פרווה,槍,nouns,0.04
1930,מזכירה,女人,nouns,1.97
1931,מחבר,創造者,nouns,3.77
1932,יכולת,才能,nouns,4.5
1933,כנסייה,大教堂,nouns,4.78
1934,ספה,棒球,nouns,0.1
1935,עושר,名譽,nouns,1.17
1936,סופית,不同,adverbs,0.15
1937,מזוייף,人造,adjectives,3.48
1938,נדיב,善良,adjectives,1.74
1939,לסגת,拒絕,verbs,0.29
1940,להסתכל,觀察,verbs,4.88
1941,מבולגן,核突,adjectives,0.92
1942,נושא,故事,nouns,1.16
1943,יוגורט,家牛,nouns,0.68
1944,בקתה,小木屋,nouns,3.58
1945,מים,加冕禮,nouns,0.05
1946,לחי,舌頭,nouns,0.83
1947,בענווה,自豪的,adverbs,0.64
1948,לחפש,狩獵,verbs,1.36
1949,בטבעיות,悄悄地,adverbs,0.48
1950,אנדרטה,雕塑,nouns,4.28
1951,גף,腿,nouns,2.67
1952,גודל,大小,nouns,3.77
1953,בהכרח,實質上,adverbs,0.67
1954,טניס,統計資料,nouns,0.1
1955,פתוגן,病菌,nouns,3.16
1956,מקלט,棚屋,nouns,1.13
1957,מבצע,歌曲,nouns,0.4
1958,אמא,妻子,nouns,2.62
1959,לחנוק,燒傷,verbs,0.57
1960,חלק,尖,adjectives,0.45
1961,קצר,長,adjectives,0.64
1962,להפוך,組織,verbs,0.64
1963,אסם,屋,nouns,1.02
1964,לחלוק,搏鬥,verbs,0.75
1965,עמלה,付款,nouns,2.96
1966,תמים,自由,adjectives,0.1
1967,דם,肉,nouns,0.88
1968,נערה,女傭,nouns,0.57
1969,סולטן,部,nouns,0.6
1970,ראש,總統,nouns,2.45
1971,להתבונן,觀看,verbs,4.88
1972,אנשים,一分錢,nouns,0.79
1973,כותנה,聚酯纖維,nouns,0.92
1974,לשמוע,聽,verbs,3.9
1975,מקור,盒子,nouns,0.04
1976,עז,牛,nouns,1.98
1977,מכונית,的士,nouns,3.44
1978,מהנה,精彩,adjectives,2.92
1979,לשכנע,拗撬,verbs,1.18
1980,תעלול,槍,nouns,0.1
1981,עבד,僕人,nouns,4.25
1982,בייסבול,兄弟會,nouns,0.39
1983,מקהלה,教堂,nouns,1.07
1984,ארוחת ערב,早餐,nouns,2.5
1985,לעדכן,通知,verbs,5.13
1986,טלפון,小亭,nouns,0.3
1987,מעוקל,好鬥,adjectives,0.05
1988,ברכות,堅固地,adverbs,0.24
1989,טפט,背景,nouns,2.69
1990,לאשר,准許,verbs,4.03
1991,אבק,掃帚,nouns,1.1
1992,מילון,百科全書,nouns,2.42
1993,מפתח,房屋,nouns,0.83
1994,חבר,老師,nouns,0.91
1995,בנייה,毀滅,nouns,0.64
1996,בגדים,布料,nouns,2.33
1997,להאשים,說謊,verbs,0.49
1998,לדעת,給,verbs,0.04
1999,לאסור,停止,verbs,2.32
2000,ממשלה,蜥蜴,nouns,0.1
2001,טלויזיה,演員,nouns,1.1
2002,אקדח,人,nouns,0.57
2003,פרח,信念,nouns,0.0
2004,משוגע,生病,adjectives,0.65
2005,ניתוח,心臟,nouns,0.81
2006,לעיתים קרובות,有時候,adverbs,2.44
2007,נקי,亂,adjectives,0.54
2008,עצבני,年輕,adjectives,0.24
2009,בקר,羊,nouns,2.25
2010,אחר,相反,adjectives,0.39
2011,נועז,自豪,adjectives,1.07
2012,מעיל,衣服,nouns,2.18
2013,לסגור,嘔吐,verbs,0.05
2014,בלדה,歌曲,nouns,4.18
2015,פלדה,合金,nouns,2.84
2016,לדבר,低語,verbs,1.69
2017,מכונית,高速公路,nouns,1.16
2018,נהר,溪流,nouns,2.54
2019,לשרוף,扼殺,verbs,0.57
2020,ציפור,母雞,nouns,1.6
2021,כדור,服裝,nouns,0.24
2022,לימודים,法律,nouns,0.68
2023,להתרכבל,擁抱,verbs,4.17
2024,כלייה,器官,nouns,2.78
2025,ירך,嘴唇,nouns,0.79
2026,קונגרס,議會,nouns,3.68
2027,מנצח,存在,nouns,0.04
2028,מפולת שלגים,雪,nouns,2.13
2029,כבד,滿載,adjectives,1.11
2030,דביק,濕,adjectives,1.33
2031,פתי,蠢,adjectives,1.6
2032,אטמוספירה,臭氧,nouns,3.38
2033,ללכת,來,verbs,0.79
2034,בנוחיות,容易地,adverbs,1.26
2035,קניון,山谷,nouns,4.18
2036,להתווכח,說服,verbs,1.18
2037,פשיטת רגל,失敗,nouns,1.29
2038,לבלבל,學習,verbs,0.3
2039,סיפור,鉛筆,nouns,0.3
2040,להחליט,判斷,verbs,2.45
2041,עמוד,詞,nouns,0.88
2042,מציאות,幻想,nouns,1.02
2043,לשוטט,搜索,verbs,0.78
2044,ביולוגיה,群落生境,nouns,0.94
2045,מעסיק,工作者,nouns,1.02
2046,פרקליט,大狀,nouns,4.47
2047,ללכת,開始,verbs,0.15
2048,סימן,象徵,nouns,4.26
2049,ילד,哥哥,nouns,2.75
2050,רעיה,一分錢,nouns,0.0
2051,בנדיבות,從未,adverbs,0.49
2052,כתר,锁匙,nouns,0.04
2053,לעולם לא,誠實地,adverbs,0.0
2054,כאוס,無政府,nouns,3.84
2055,חדש,舊,adjectives,0.59
2056,שחר,晚上,nouns,0.97
2057,סבולת,強度,nouns,2.76
2058,גאה,傷心,adjectives,0.25
2059,לטאה,鱷魚,nouns,2.4
2060,הפרה,犯罪,nouns,2.63
2061,רגל,頭,nouns,0.69
2062,ילד,人,nouns,1.91
2063,נסיכה,新娘,nouns,0.93
2064,נוזל,噴嘴,nouns,0.58
2065,לאחרונה,現實地,adverbs,0.42
2066,לתלות,放,verbs,0.96
2067,שיפוע,座位,nouns,0.05
2068,מחלה,癌症,nouns,2.97
2069,לעצור,懷疑,verbs,0.58
2070,להעציב,受傷,verbs,0.73
2071,שמח,快樂,adjectives,5.15
2072,קדוש,珍貴,adjectives,1.64
2073,גג,窗口,nouns,0.92
2074,פנינה,錢,nouns,0.68
2075,לחפש,徘徊,verbs,0.78
2076,מידע,熵,nouns,0.89
2077,מיץ,奶昔,nouns,1.32
2078,קומה,門,nouns,0.68
2079,רגיל,平凡,adjectives,5.3
2080,הסכם,洞,nouns,0.0
2081,לזרוח,發光,verbs,3.83
2082,להרתיח,炒,verbs,1.07
2083,בערך,明顯地,adverbs,0.95
2084,לעשות,戒除,verbs,0.39
2085,רפוי,靈活,adjectives,1.4
2086,מוכר,好,adjectives,0.9
2087,סדין,平面,nouns,0.36
2088,לשלוט,停止,verbs,0.57
2089,שדה תעופה,飛機,nouns,1.02
2090,טרי,舊,adjectives,0.5
2091,שמיכה,大風,nouns,0.4
2092,מעיל,針織套衫,nouns,2.46
2093,אי,公主,nouns,0.3
2094,לחבק,扼殺,verbs,0.39
2095,להתעלם,問,verbs,0.35
2096,עניין,注意,nouns,1.6
2097,טלסקופ,頭腦風暴,nouns,0.04
2098,שותף,傢伙,nouns,2.02
2099,קצב,韻律,nouns,4.7
2100,מיטה,睡房,nouns,1.52
2101,גדול,大規模,adjectives,3.59
2102,אכזר,不公平,adjectives,0.82
2103,נסיבות,情況,nouns,4.88
2104,סיגלית,花朵,nouns,2.97
2105,לקבל,謝絕,verbs,0.45
2106,לשכנע,嘗試,verbs,0.65
2107,מפה,廣場,nouns,0.63
2108,הליום,空氣,nouns,1.27
2109,להכריע,扼殺,verbs,0.47
2110,עץ,原木,nouns,2.68
2111,חלש,辣,adjectives,0.15
2112,קדוש,罪人,nouns,0.49
2113,עצם,肌肉,nouns,0.68
2114,לסגת,吸收,verbs,0.24
2115,ראש,肩,nouns,0.97
2116,שלום,士兵,nouns,0.45
2117,נורא,可悲的是,adverbs,0.55
2118,רופא,醫生,nouns,5.1
2119,מגדל,鐘,nouns,0.68
2120,ילדותי,長大,adjectives,0.55
2121,להרוס,建造,verbs,0.72
2122,יכולת,力量,nouns,2.94
2123,תרומה,給予,nouns,2.8
2124,להבין,知道,verbs,2.54
2125,לכוון,打中,verbs,0.8
2126,פונקציה,編譯器,nouns,1.08
2127,משונה,正常,adjectives,0.59
2128,לנסות,實現,verbs,0.63
2129,לשתף,參與,verbs,0.93
2130,להגן,殺,verbs,0.4
2131,לאבד,煮,verbs,0.04
2132,כדור,手套,nouns,0.59
2133,חולצה,開襟衫,nouns,2.46
2134,אקוסטיקה,聲音,nouns,2.94
