ID,POL,YUE,PoS,score
1458,wysokość,換算,nouns,0.24
1459,talia,一餐,nouns,0.05
1460,szpital,床,nouns,0.29
1461,oczywiście,不顯眼地,adverbs,0.04
1462,zdecydowanie,肯定地,adverbs,4.88
1463,sukno,衣服,nouns,1.73
1464,taksówka,車,nouns,3.84
1465,silny,弱,adjectives,0.04
1466,koc,床,nouns,0.34
1467,elektryczność,案件,nouns,0.0
1468,niemożliwy,可行,adjectives,0.09
1469,cegła,牆,nouns,0.76
1470,polecać,接受,verbs,0.2
1471,sok,匙羹,nouns,0.18
1472,lepkość,濺,nouns,0.0
1473,bekon,早餐,nouns,0.78
1474,psuć,聞,verbs,0.6
1475,gliniarz,警長,nouns,3.67
1476,diabeł,天神,nouns,0.1
1477,przyznawać,否認,verbs,0.04
1478,anioł,惡魔,nouns,0.24
1479,rozwój,募捐,nouns,0.14
1480,nienaturalnie,負面地,adverbs,0.46
1481,artykuł,手稿,nouns,1.73
1482,przynieść,恢復,verbs,0.98
1483,wygięty,好鬥,adjectives,0.0
1484,cytoplazma,數字,nouns,0.0
1485,mieszać,抖動,verbs,1.27
1486,perfekcyjnie,真實地,adverbs,0.64
1487,kraść,綁架,verbs,1.03
1488,pokład,船,nouns,1.56
1489,sypialnia,廁所,nouns,0.67
1490,łóżko,毯子,nouns,0.34
1491,ćwiczyć,重複,verbs,3.0
1492,mąż,男人,nouns,2.19
1493,zwykle,很少地,adverbs,0.1
1494,przestępstwo,攻擊,nouns,1.46
1495,robić,賺,verbs,0.45
1496,płatność,硬幣,nouns,1.13
1497,tworzyć,畫,verbs,1.18
1498,objuczony,沉重,adjectives,0.91
1499,biskup,穆斯林,nouns,0.14
1500,osobliwy,奇怪,adjectives,5.03
1501,jasność,星,nouns,1.82
1502,nigdy,誠實地,adverbs,0.0
1503,równanie,公式,nouns,3.47
1504,reperować,恢復,verbs,1.69
1505,ubrania,大褸,nouns,2.48
1506,narzędzie,工作,nouns,0.48
1507,sok,牛奶,nouns,0.57
1508,grzecznie,謹慎地,adverbs,1.19
1509,wielkość,深度,nouns,0.83
1510,profesor,學生,nouns,0.39
1511,skończyć,競爭,verbs,0.14
1512,opowieść,鉛筆,nouns,0.05
1513,książka,意外,nouns,0.0
1514,kobieta,秘書,nouns,2.17
1515,acetaminofen,支氣管炎,nouns,0.25
1516,polano,木,nouns,4.62
1517,nieść,運送,verbs,2.94
1518,jabłko,飲食,nouns,0.33
1519,zaślubić,團結,verbs,1.13
1520,łazienka,廚房,nouns,0.48
1521,powietrze,氦氣,nouns,0.92
1522,kłaść,掛,verbs,0.56
1523,niszczyć,殺,verbs,2.04
1524,szczęśliwy,快樂,adjectives,4.8
1525,północ,西方,nouns,0.45
1526,ekscytujący,平淡,adjectives,0.18
1527,sugerować,提議,verbs,4.68
1528,zezować,怒視,verbs,0.04
1529,rzeźbiarz,大廈,nouns,0.0
1530,pułkownik,牙醫,nouns,0.04
1531,wierzch,側面,nouns,0.38
1532,lekko,明亮地,adverbs,0.29
1533,kość,膝蓋,nouns,1.16
1534,kampania,猴子,nouns,0.09
1535,ojciec,兒子,nouns,1.55
1536,drzwi,地板,nouns,0.38
1537,nigdy,否定,adjectives,0.46
1538,cenzura,自由,nouns,0.04
1539,gwałtowny,柔軟,adjectives,0.0
1540,bóg,牧師,nouns,0.62
1541,bark,身體,nouns,0.86
1542,uczeń,學生,nouns,3.75
1543,hotel,公寓,nouns,1.55
1544,koktajl,酒,nouns,3.25
1545,dąb,楓木,nouns,2.4
1546,pomniejszy,重大,adjectives,0.14
1547,parasol,暖爐,nouns,0.04
1548,informacja,書,nouns,0.95
1549,szyja,手臂,nouns,0.48
1550,samochód,胎壓計,nouns,0.0
1551,uderzyć,未打中,verbs,0.1
1552,miło,仁慈地,adverbs,4.32
1553,waluta,交換,nouns,0.43
1554,rura,雪茄,nouns,0.24
1555,mieszkanie,家具,nouns,0.48
1556,kompozytor,作家,nouns,1.54
1557,podejrzewać,逮捕,verbs,0.78
1558,prosty,容易,adjectives,5.53
1559,myć,沖洗,verbs,3.75
1560,pilnie,迅速地,adverbs,4.01
1561,mnożyć,除,verbs,0.19
1562,dążyć,調查,verbs,0.7
1563,wierzyć,知道,verbs,0.28
1564,pudełko,雪茄,nouns,0.04
1565,kuchnia,門,nouns,0.28
1566,skończyć,解決,verbs,3.41
1567,dozwolony,合法,adjectives,4.18
1568,uczyć się,迷惑,verbs,0.0
1569,student,教授,nouns,0.39
1570,żyć,生存,verbs,3.37
1571,piłka,球拍,nouns,0.46
1572,wąż ,蜥蜴,nouns,0.71
1573,ignorować,離開,verbs,0.89
1574,prymitywny,核突,adjectives,0.86
1575,samochód,貨車,nouns,3.03
1576,argumentować,需求,verbs,0.29
1577,portmonetka,袋,nouns,1.92
1578,wanna,原木,nouns,0.0
1579,facet,夥伴,nouns,2.72
1580,prawowity,非法,adjectives,0.09
1581,kumpel,伴侶,nouns,3.84
1582,powiedzieć,校驗,verbs,0.25
1583,kopalnia,岩石,nouns,0.76
1584,wieża,鐘,nouns,0.43
1585,jabłko,果汁,nouns,0.67
1586,pozamałżeński,不宜說出口的,adjectives,0.33
1587,deszcz,暴風雪,nouns,1.73
1588,drugi pilot,警察,nouns,0.04
1589,pisarz,作曲家,nouns,1.54
1590,nieprzewidziany,意料之外,adjectives,4.37
1591,brzydki,亂,adjectives,0.96
1592,być dłużnym,進入,verbs,0.0
1593,dodawać,乘,verbs,0.46
1594,ofiara,神,nouns,0.0
1595,tradycja,手工業,nouns,0.28
1596,chłopiec,士兵,nouns,0.55
1597,prezydent,政治家,nouns,3.54
1598,usprawiedliwiać,想,verbs,0.1
1599,sweter,棉,nouns,0.73
1600,trawa,苔蘚,nouns,1.82
1601,posiłek,晚飯,nouns,3.25
1602,smutek,幸福,nouns,0.09
1603,statua,雕塑,nouns,4.78
1604,tramwaj,火車,nouns,2.17
1605,życzliwie,好心地,adverbs,4.32
1606,ananas,手機,nouns,0.0
1607,kanion,山谷,nouns,3.78
1608,zmęczony,飢餓,adjectives,0.43
1609,zachować,珍愛,verbs,0.1
1610,awionika,航空學,nouns,2.83
1611,przewidywać,假設,verbs,4.25
1612,drogi,害羞,adjectives,0.0
1613,współpracować,參加,verbs,0.64
1614,zachować,借,verbs,0.0
1615,łączyć,混合,verbs,4.17
1616,ciastko,公主,nouns,0.0
1617,talerz,碗,nouns,2.73
1618,jedwabnik,毛毛蟲,nouns,2.72
1619,ponowny pochówek,墳墓,nouns,1.35
1620,granica,分界線,nouns,3.56
1621,miód,乳製品,nouns,0.18
1622,marnować,擔心,verbs,0.0
1623,zawsze,兩次,adverbs,0.18
1624,kompas,大象,nouns,0.04
1625,dziewczyna,小孩,nouns,1.78
1626,wymieszać,攪拌,verbs,4.03
1627,krew,病毒,nouns,0.53
1628,zapominać,保留,verbs,0.34
1629,wysyłać,出席,verbs,0.09
1630,odbicie,圖像,nouns,3.22
1631,ukazywać,通知,verbs,0.65
1632,okrutny,和藹,adjectives,0.0
1633,aplikant,申請,nouns,0.57
1634,pisać,匆匆地寫,verbs,3.17
1635,noc,章節,nouns,0.0
1636,ciężarówka,郵包,nouns,0.59
1637,komunikacja,語言,nouns,1.98
1638,wiedzieć,理解,verbs,3.04
1639,powtarzać,練習,verbs,3.0
1640,lot,航空,nouns,2.73
1641,robić,戒除,verbs,0.04
1642,bić,混合,verbs,0.25
1643,aplikacja,星系,nouns,0.0
1644,pewien,肯定,adjectives,4.59
1645,trzeźwy,理性的,adjectives,3.02
1646,kiedykolwiek,有時,adverbs,0.88
1647,system,故障,nouns,0.1
1648,pokornie,糟糕,adverbs,0.18
1649,rozprawa,判決書,nouns,2.4
1650,sprzedawać,提醒,verbs,0.0
1651,argumentować,出席,verbs,0.04
1652,wierzch,下面,nouns,0.0
1653,głupi,笨,adjectives,5.38
1654,ciężki,滿載,adjectives,0.91
1655,sprzedawać,走,verbs,0.04
1656,niewiarygodny,狡詐,adjectives,2.32
1657,pszczoła,螞蟻,nouns,1.17
1658,kłaść,得到,verbs,0.0
1659,niezdecydowany,中性,adjectives,1.42
1660,płakać,大笑,verbs,0.1
1661,butelka,容器,nouns,2.88
1662,otwór drzwiowy,門,nouns,4.11
1663,uwalniać,抓住,verbs,0.23
1664,mennica,博物館,nouns,0.1
1665,wędrować,離開,verbs,0.44
1666,ciało,血液,nouns,0.61
1667,przejąć,努力,verbs,0.0
1668,zostawić,攞,verbs,0.04
1669,karać,擊中,verbs,0.6
1670,maszyna,電腦,nouns,3.31
1671,szeryf,警察,nouns,3.67
1672,harmonia,鋼琴,nouns,0.47
1673,wolność,綠洲,nouns,0.3
1674,samochód,運輸,nouns,1.89
1675,teleskop,椅子,nouns,0.04
1676,realistycznie,理想地,adverbs,0.49
1677,prędki,快,adjectives,5.3
1678,towarzyski,友好,adjectives,3.13
1679,kumpel,朋友,nouns,4.38
1680,spotykać,打招呼,verbs,0.81
1681,otrzymywać,抓住,verbs,0.48
1682,świeży,寬,adjectives,0.05
1683,wymiotować,關閉,verbs,0.0
1684,codziennie,通常,adverbs,2.49
1685,niepewny,害怕,adjectives,1.23
1686,projekt,主意,nouns,3.49
1687,śniadanie,煙肉,nouns,0.78
1688,brać,交付,verbs,0.65
1689,nauczyciel,朋友,nouns,0.56
1690,bark,頭,nouns,0.63
1691,mężczyzna,勝利者,nouns,0.33
1692,sonet,美,nouns,0.1
1693,siedzenie,銀行,nouns,0.15
1694,organizować,收集,verbs,1.78
1695,zarabiać,做,verbs,0.45
1696,zadowalać,求情,verbs,0.23
1697,sędzia pokoju,法官,nouns,3.9
1698,zabawiać,享受,verbs,0.7
1699,książka,文學,nouns,3.3
1700,kość,頸,nouns,0.43
1701,biolog,顯微鏡,nouns,0.71
1702,gąsienica,蠶,nouns,2.72
1703,karać,服從,verbs,0.54
1704,obecność,優勝者,nouns,0.1
1705,chrapać,醒覺,verbs,0.05
1706,gotować,失去,verbs,0.04
1707,przyłączać,分離,verbs,0.0
1708,pewnie,清楚地,adverbs,3.79
1709,udawać,似乎,verbs,0.73
1710,koń,牛,nouns,1.71
1711,troska,謹慎,nouns,3.25
1712,bezpieczeństwo,安慰,nouns,0.6
1713,nużący,安全,adjectives,0.04
1714,smutny,自豪,adjectives,0.0
1715,unikatowy,相反,adjectives,0.29
1716,rosnąć,收縮,verbs,0.0
1717,ludzie,氣球,nouns,0.05
1718,pobić,贏,verbs,2.97
1719,chmura,霧氣,nouns,2.08
1720,ludzie,派對,nouns,0.61
1721,konkludować,決定,verbs,2.83
1722,gardzić,收費,verbs,0.1
1723,dążyć,阻礙,verbs,0.0
1724,prosty,困難,adjectives,0.09
1725,ramię,頸,nouns,0.48
1726,budować,加,verbs,0.77
1727,pozostać,離開,verbs,0.04
1728,byk,小牛,nouns,2.68
1729,zwierzę,野獸,nouns,2.98
1730,aparat,工作者,nouns,0.33
1731,biały,狹窄,adjectives,0.0
1732,żelazo,維他命,nouns,0.69
1733,miękki,暴力,adjectives,0.0
1734,zachować,失去,verbs,0.04
1735,piąty,最佳,adjectives,0.09
1736,słowo,提示,nouns,0.58
1737,kostka,肘,nouns,0.72
1738,komputer,磁盘,nouns,1.29
1739,inny,相反,adjectives,0.89
1740,śmieszny,嚴肅,adjectives,0.09
1741,zbierać,组织,verbs,1.78
1742,gwałtowny,激進,adjectives,2.45
1743,kanapka,午飯,nouns,0.66
1744,oko,眉頭,nouns,0.57
1745,wzrost,肥料,nouns,0.62
1746,poważny,有趣,adjectives,0.09
1747,taxi,的士,nouns,5.95
1748,przełykać,啜,verbs,0.73
1749,pastwisko,草地,nouns,4.08
1750,rzeka,溪流,nouns,2.88
1751,słoma,妻子,nouns,0.0
1752,elektryczny,甜,adjectives,0.0
1753,pszczoła,昆蟲,nouns,3.13
1754,królowa,蜜蜂,nouns,0.35
1755,medal,運動鞋,nouns,0.1
1756,akcja,遊戲,nouns,1.06
1757,fiołek,花朵,nouns,3.52
1758,śmiać się,唱,verbs,0.28
1759,zaprzeczać,說謊,verbs,0.68
1760,fotofon,同音詞,nouns,0.05
1761,zaczynać,啟,verbs,4.12
1762,zarazek,病原,nouns,3.46
1763,ciotka,叔叔,nouns,0.78
1764,konieczny,完全必要,adjectives,5.38
1765,biologia,解剖學,nouns,2.42
1766,pistolet,戲法,nouns,0.05
1767,inteligencja,無知,nouns,0.04
1768,mocny,強大,adjectives,4.88
1769,skromny,純,adjectives,0.54
1770,brać,奪取,verbs,2.36
1771,łóżko,醫院,nouns,0.29
1772,obcy,外國人,nouns,4.58
1773,mężczyzna,哨兵,nouns,1.05
1774,gniew,狂怒,nouns,4.29
1775,hipoteza,理論,nouns,3.83
1776,budować,創建,verbs,4.06
1777,urodziny,日期,nouns,1.9
1778,triumfator,男人,nouns,0.33
1779,aluminium,金屬,nouns,2.29
1780,pamiętać,想,verbs,0.34
1781,wybierać,想,verbs,0.79
1782,spód,側面,nouns,0.38
1783,sypialnia,床,nouns,1.52
1784,podręcznik,指南,nouns,3.0
1785,ścieżka,隧道,nouns,0.56
1786,mysz,甲板,nouns,0.04
1787,samochód,坦克,nouns,0.56
1788,herbata,檸檬,nouns,0.18
1789,nosić,侵蝕,verbs,0.14
1790,wolny,無辜,adjectives,0.55
1791,pokój,沖涼,nouns,0.38
1792,umysł,神經官能症,nouns,0.53
1793,tunel,路徑,nouns,0.56
1794,dzieciak,女兒,nouns,2.15
1795,skończony,完結,adjectives,4.63
1796,rzadko,經常,adverbs,0.04
1797,święty,珍貴,adjectives,1.04
1798,nieuczciwy,壞,adjectives,1.79
1799,gniewny,猶豫,adjectives,0.33
1800,lojalnie,誠實地,adverbs,3.44
1801,chmura,窗口,nouns,0.0
1802,oficjalnie,強烈地,adverbs,0.67
1803,kurczak,米飯,nouns,0.28
1804,narożnik,地區,nouns,0.29
1805,niezbędny,必須,adjectives,5.38
1806,wóz,容器,nouns,0.1
1807,trik,尺寸,nouns,0.0
1808,kluczowy,重要,adjectives,4.79
1809,chybić,打中,verbs,0.1
1810,umrzeć,分化,verbs,0.4
1811,niewinny,幼稚,adjectives,0.44
1812,prawdomówny,不誠實,adjectives,0.04
1813,brzęk,噪聲,nouns,2.73
1814,helikopter,飛機,nouns,1.94
1815,korzeń,草,nouns,0.43
1816,dziwny,狡猾,adjectives,0.41
1817,wymagać,安排,verbs,0.34
1818,sesja,病人,nouns,0.32
1819,styl życia,文明,nouns,0.67
1820,przeciwny,其他,adjectives,0.89
1821,subtelnie,大聲地,adverbs,0.04
1822,znacząco,真實地,adverbs,1.03
1823,czasem,每當,adverbs,0.88
1824,odmawiać,接受,verbs,0.0
1825,trik,沖涼,nouns,0.04
1826,aresztować,懷疑,verbs,0.78
1827,hełm,武器,nouns,1.12
1828,szukać,看,verbs,0.46
1829,podnieść,提高,verbs,2.62
1830,roztrzaskać,摔碎,verbs,4.5
1831,zły,內疚,adjectives,1.27
1832,wystraszyć,困擾,verbs,0.6
1833,chaos,類別,nouns,0.05
1834,dziwnie,異常,adverbs,2.34
1835,wulkan,岩漿,nouns,1.81
1836,szeroki,大,adjectives,2.5
1837,otwór drzwiowy,出口,nouns,3.58
1838,noc,黎明,nouns,0.23
1839,drzwi,走廊,nouns,0.28
1840,otrzymywać,給予,verbs,0.38
1841,robić,建造,verbs,3.29
1842,futbol,足球,nouns,5.29
1843,łatwo,大致地,adverbs,0.47
1844,mucha,螞蟻,nouns,1.01
1845,mysz,管理,nouns,0.1
1846,dom ,鎖匙,nouns,0.28
1847,robić,毀滅,verbs,0.14
1848,łatwy,生硬,adjectives,0.0
1849,nasienie,芥末,nouns,0.55
1850,podatny,無助,adjectives,1.46
1851,brydż,卡,nouns,0.5
1852,akapit,頁,nouns,0.47
1853,krzesło,凳子,nouns,3.73
1854,węglowodan,蔗糖,nouns,2.19
1855,normalny,奇怪,adjectives,0.09
1856,iść,發送,verbs,0.0
1857,wybory,選擇,nouns,2.43
1858,książka,資料,nouns,0.95
1859,żołnierz,男孩,nouns,0.55
1860,scenarzysta,電視,nouns,0.46
1861,filiżanka,罐子,nouns,1.79
1862,powieść się,節約,verbs,0.0
1863,praca,管理,nouns,0.72
1864,słownik,字,nouns,0.77
1865,rzeczywistość,幻想,nouns,0.36
1866,akceptować,謝絕,verbs,0.0
1867,węgiel,原子,nouns,1.33
1868,ramię,靜脈,nouns,0.14
1869,cywilizacja,生活方式,nouns,0.67
1870,schorzenie,傳染病,nouns,3.04
1871,znaleźć,獲得,verbs,2.08
1872,miękko,堅固地,adverbs,0.04
1873,myśleć,決定,verbs,1.37
1874,ciężki,大,adjectives,0.92
1875,ścigać,抓住,verbs,0.73
1876,napój,啤酒,nouns,2.63
1877,wielki,柔韌,adjectives,0.04
1878,klon,樹木,nouns,3.53
1879,powiedzieć,提醒,verbs,1.88
1880,kraść,給,verbs,0.04
1881,strefa,地區,nouns,4.7
1882,data,生日,nouns,1.9
1883,wartownik,男人,nouns,1.05
1884,pewien,緊張,adjectives,0.04
1885,pszenica,穀物,nouns,3.79
1886,podbój,旅程,nouns,0.39
1887,unosić się,唱,verbs,0.0
1888,dziura,妻子,nouns,0.0
1889,dłoń,手指,nouns,1.48
1890,dom ,州,nouns,0.04
1891,hit,陷害,nouns,0.14
1892,globalizm,簽證,nouns,0.18
1893,młyn,種子,nouns,0.18
1894,zatrzymywać,警告,verbs,0.29
1895,wycofać,吸收,verbs,0.04
1896,narodowy,大,adjectives,0.0
1897,martwić,浪費,verbs,0.0
1898,chicho,自然地,adverbs,0.28
1899,stulecie,酒,nouns,0.1
1900,schowek,衣服,nouns,0.46
1901,kciuk,手,nouns,1.52
1902,słaby,辣,adjectives,0.04
1903,uczęszczać,來,verbs,2.81
1904,chaotyczny,井井有條,adjectives,0.04
1905,kciuk,指甲,nouns,1.5
1906,ostry,平滑,adjectives,0.15
1907,uczyć się,教育,verbs,3.65
1908,dentysta,正牙醫生,nouns,4.32
1909,koszykówka,棒球,nouns,1.71
1910,brudny,黏,adjectives,1.13
1911,dorosły,監護人,nouns,2.87
1912,oko,眼淚,nouns,0.62
1913,czasopismo,文章,nouns,1.83
1914,zanieczyszczenie,大氣層,nouns,0.52
1915,spotykać,離開,verbs,0.0
1916,bęben,喇叭,nouns,0.53
1917,syn,父親,nouns,1.55
1918,futerał,硬件,nouns,0.34
1919,prosić,請,verbs,0.23
1920,brat,父親,nouns,0.98
1921,jednorodnie,有時,adverbs,0.04
1922,rozdział,尾巴,nouns,0.04
1923,szczerze,從未,adverbs,0.0
1924,aktor,多面體,nouns,0.28
1925,noc,白天,nouns,0.18
1926,żyła,肚,nouns,0.29
1927,czołowy,第五,adjectives,0.09
1928,samochód,橋,nouns,0.14
1929,cicho,被動地,adverbs,0.77
1930,negatywny,從未,adjectives,0.46
1931,zachód słońca,線,nouns,0.0
1932,kościół,大教堂,nouns,4.68
1933,alkohol,杜松子酒,nouns,4.0
1934,nos,喉嚨,nouns,0.53
1935,ryż,雞,nouns,0.28
1936,przestraszony,不肯定,adjectives,1.23
1937,trzęsienie ziemi,震,nouns,3.87
1938,polano,沖涼,nouns,0.0
1939,żołnierz,和平,nouns,0.2
1940,myśleć,合理的解釋,verbs,0.1
1941,koronacja,水,nouns,0.0
1942,róża,蝴蝶,nouns,0.15
1943,rozdział,晚上,nouns,0.0
1944,bawełna,聚酯纖維,nouns,0.53
1945,fabryka,汽車,nouns,0.1
1946,bohaterka,英雄,nouns,4.4
1947,wyścigi,哲學家,nouns,0.09
1948,zachować,保留,verbs,3.71
1949,teoria,定理,nouns,4.58
1950,podbrzusze,肚皮,nouns,2.38
1951,łyżka,果汁,nouns,0.18
1952,chłopiec,兒子,nouns,2.56
1953,decydować,想,verbs,1.37
1954,kokpit,副駕駛,nouns,0.24
1955,natychmiast,一次,adverbs,0.19
1956,ostrożnie,危險地,adverbs,0.09
1957,dieta,沙拉,nouns,0.48
1958,pociągać,打,verbs,0.0
1959,łódź,錨,nouns,0.82
1960,marynarka,軍隊,nouns,3.48
1961,przyjść,出席,verbs,2.81
1962,karać,教,verbs,0.23
1963,wygrać,打敗,verbs,2.97
1964,religia,世俗主義,nouns,0.09
1965,polano,木材,nouns,3.63
1966,ulica,小巷,nouns,3.1
1967,zeznawać,判斷,verbs,0.2
1968,świecić,發光,verbs,4.08
1969,piosenka,演員,nouns,0.45
1970,kruchy,冷淡,adjectives,0.15
1971,taboret,椅子,nouns,3.73
1972,roślina,農業,nouns,0.66
1973,decydować,判斷,verbs,2.25
1974,rower,汽車,nouns,0.98
1975,flaga,杆,nouns,0.52
1976,naukowiec,護士,nouns,0.04
1977,ignorować,探索,verbs,0.0
1978,łączyć,劃分,verbs,0.0
1979,morał,傳說,nouns,0.45
1980,hardy,堅硬,adjectives,3.42
1981,akceptować,運送,verbs,0.0
1982,woda,冰,nouns,1.59
1983,nagrzewać,再熱,verbs,1.98
1984,strumień,河,nouns,2.88
1985,niszczyć,做,verbs,0.14
1986,klatka,柵欄,nouns,0.47
1987,pytać,祈禱,verbs,0.23
1988,metal,錫,nouns,2.88
1989,obierać,任命,verbs,0.6
1990,wykonawca,歌曲,nouns,0.45
1991,rozumieć,聽,verbs,0.64
1992,chmura,霧,nouns,1.3
1993,gniew,懊惱,nouns,4.37
1994,ekonomia,生態系統,nouns,0.18
1995,zlecenie,便條,nouns,0.53
1996,kupować,偷,verbs,0.0
1997,normalnie,異常地,adverbs,0.0
1998,kręglarz,保齡球,nouns,1.81
1999,hałas,搖鈴,nouns,2.73
2000,pływać,見面,verbs,0.04
2001,zima,季節,nouns,2.98
2002,ubrania,鈕扣,nouns,0.71
2003,zrealizować,贏得,verbs,1.6
2004,insekt,蜜蜂,nouns,3.13
2005,dentysta,上校,nouns,0.04
2006,opinia,選擇,nouns,0.8
2007,czytać,咬,verbs,0.09
2008,aplikacja,申請人,nouns,0.57
2009,lista,陣列,nouns,1.44
2010,drewno,紙,nouns,0.68
2011,zniknąć,搵到,verbs,0.0
2012,kurs,肚,nouns,0.0
2013,umknąć,逃走,verbs,5.48
2014,wędrować,搜索,verbs,0.83
2015,samolot,直升機,nouns,1.94
2016,zadanie,稻草,nouns,0.0
2017,osiągnąć,完成,verbs,4.75
2018,skłaniać,偏見,verbs,3.13
2019,potajemnie,信心十足地,adverbs,0.0
2020,taniec,裙,nouns,0.0
2021,śmierć,災難,nouns,1.5
2022,tygodniowy,每月,adjectives,0.97
2023,wyspa,任務,nouns,0.0
2024,zajęty,懶,adjectives,0.09
2025,szybki,迅速,adjectives,5.53
2026,lód,水,nouns,1.59
2027,kawałek,飛機場,nouns,0.0
2028,piłka,球狀物,nouns,3.16
2029,wymiana,貨幣,nouns,0.43
2030,budka,盒子,nouns,0.15
2031,burza mózgów,望遠鏡,nouns,0.04
2032,drewno,石,nouns,0.42
2033,kreatywnie,本來,adverbs,0.29
2034,śledzić,追逐,verbs,2.88
2035,łokieć,骨頭,nouns,0.69
2036,tani,髒,adjectives,0.33
2037,demon,天使,nouns,0.24
2038,przekonanie,概念,nouns,1.3
2039,król,裙帶關係,nouns,0.39
2040,konstrukcja,毀滅,nouns,0.14
2041,szybko,紧急,adverbs,4.01
2042,zabawa,足球,nouns,0.78
2043,szpik,血液,nouns,0.67
2044,wygięty,歪斜,adjectives,4.18
2045,blacha,金屬,nouns,2.88
2046,miksować,打,verbs,0.25
2047,jabłko,檸檬,nouns,0.52
2048,wąż ogrodowy,花園,nouns,0.29
2049,delikatnie,目前,adverbs,0.18
2050,pomyślny,慚愧,adjectives,0.1
2051,algebra,手術,nouns,0.24
2052,kandydat,獲勝者,nouns,0.76
2053,tkać,移動,verbs,0.0
2054,brzeg morski,沙灘,nouns,3.17
2055,jednolity,未成形,adjectives,0.05
2056,bankier,律師,nouns,1.06
2057,lekcja,混亂,nouns,0.05
2058,rysunek,暴動,nouns,0.04
2059,gra,行動,nouns,1.06
2060,cząsteczka,基質,nouns,0.56
2061,wchodzić,欠,verbs,0.0
2062,nienormalnie,一般,adverbs,0.0
2063,zespół,管弦樂隊,nouns,3.67
2064,wiza,全球化,nouns,0.18
2065,elastyczny,靈活的,adjectives,4.74
2066,ubrania,布,nouns,1.64
2067,sałatka,減肥,nouns,0.48
2068,przeciwny,獨特,adjectives,0.29
2069,zanieczyszczenie,總統,nouns,0.1
2070,norka,油,nouns,0.04
2071,znaleźć,消失,verbs,0.0
2072,opiekun,母親,nouns,3.15
2073,siostra,兄弟,nouns,1.07
2074,przywrócić,代替,verbs,1.06
2075,ojciec,女兒,nouns,0.52
2076,znikać,消逝,verbs,4.57
2077,głowa,指甲,nouns,0.2
2078,niepewny,黏人,adjectives,0.43
2079,gładki,尖,adjectives,0.15
2080,skromny,羞愧,adjectives,0.83
2081,bielizna,身體,nouns,0.52
2082,dziura,協議,nouns,0.0
2083,nieuleczalnie,不同,adverbs,0.34
2084,tryb,時裝,nouns,0.05
2085,nos,嘴巴,nouns,0.43
2086,przytłaczać,扼殺,verbs,0.78
2087,nawóz,發展,nouns,0.62
2088,sztywny,簡單,adjectives,0.0
2089,ekranizacja,戲,nouns,4.57
2090,oskarżać,說謊,verbs,0.09
2091,schludny,乾淨,adjectives,4.63
2092,dzieło sztuki,藝術家,nouns,0.91
2093,brać,擁有,verbs,2.51
2094,zdać sobie sprawę,發現,verbs,3.68
2095,grad,雨,nouns,0.91
2096,lekarz,醫生,nouns,5.2
2097,pomocnik,女僕,nouns,1.84
2098,partner,傢伙,nouns,2.72
2099,cyklon,颱風,nouns,3.69
2100,słoma,聖歌,nouns,0.18
2101,wyrzekać się,斷絕父子關係,verbs,4.03
2102,napletek,割禮,nouns,1.42
2103,szał,生氣,nouns,4.29
2104,pikantny,好,adjectives,0.29
2105,szalenie,可悲的是,adverbs,0.04
2106,pożyczać,乞求,verbs,0.77
2107,wychodzić,進入,verbs,0.29
2108,temat,書,nouns,0.35
2109,kość,顎,nouns,1.55
2110,brudny,淫賤,adjectives,0.33
2111,jeździć,拖著腳走,verbs,0.0
2112,krytyka,爭論,nouns,1.68
2113,obiad,三文治,nouns,0.66
2114,nóż,槍,nouns,1.3
2115,opowieść,歌曲,nouns,0.54
2116,mózg,頭腦,nouns,4.08
2117,pokój,幸福,nouns,2.37
2118,fala,天氣,nouns,0.1
2119,wycierać,惡化,verbs,0.29
2120,wrzechświat,天空,nouns,1.84
2121,agresywny,彎曲,adjectives,0.0
2122,występ,客串角色,nouns,0.15
2123,cent,人,nouns,0.18
2124,wiatr,颮,nouns,2.96
2125,refren,歌手,nouns,0.46
2126,stan,家,nouns,0.04
2127,awaria,意外,nouns,2.99
2128,łyżka,杯子,nouns,0.7
2129,aeronautyka,航空電子學,nouns,2.83
2130,matka,朋友,nouns,0.43
2131,burmistrz,總統,nouns,2.35
2132,rożek,杯子,nouns,0.04
2133,morze,三角洲,nouns,0.77
2134,warga,臀部,nouns,0.19
2135,naśladować,描繪,verbs,0.6
2136,cenny,神聖,adjectives,1.04
2137,ciężarówka,汽車,nouns,3.03
2138,wiedzieć,忘記,verbs,0.04
2139,konstytucja,皇帝,nouns,0.18
2140,syn,哥哥,nouns,0.86
2141,jutro,今晚,adverbs,0.14
2142,przypominać,賣,verbs,0.0
2143,nieoczekiwany,未預見到,adjectives,4.37
2144,hel,空氣,nouns,0.92
2145,chcieć,借,verbs,0.34
2146,dorosły,未成熟的,adjectives,0.04
2147,wyjście,門口,nouns,3.58
2148,formalny,合乎體統,adjectives,3.39
2149,emocjonalnie,傷心地,adverbs,0.77
2150,starożytny,現代,adjectives,0.09
2151,celebrować,使驚奇,verbs,0.24
2152,wielościan,演員,nouns,0.28
2153,tępy,巨大,adjectives,0.09
2154,stary,雜,adjectives,0.18
2155,mięsień,舌頭,nouns,0.79
2156,niedojrzały,長大,adjectives,0.04
2157,winda,盒子,nouns,0.15
