ID,CYM,SPA,PoS,score
1424,cwrs,acción,nouns,0.65
1425,adeilad,habitación,nouns,0.95
1426,creu,destruir,verbs,0.15
1427,gwrthod,evitar,verbs,1.4
1428,cytundeb,discusión,nouns,0.65
1429,cynfas,avión,nouns,0.0
1430,gludiog,sucio,adjectives,1.1
1431,cadw,proteger,verbs,1.5
1432,annisgwyl,imprevisto,adjectives,4.8
1433,gwerthfawr,perezoso,adjectives,0.0
1434,arbed,recoger,verbs,1.25
1435,planed,luna,nouns,1.75
1436,yn derfynol,diferentemente,adverbs,0.0
1437,brecwast,cena,nouns,1.15
1438,bydiaeth,visado,nouns,0.5
1439,byddin,armada,nouns,4.15
1440,pwyntydd,diapositiva,nouns,0.25
1441,clwstwr,multitud,nouns,1.45
1442,syml,difícil,adjectives,0.15
1443,anwybyddu,explorar,verbs,0.15
1444,bàth,tronco,nouns,0.0
1445,ffroenell,fluido,nouns,0.2
1446,cardigan,camisa,nouns,1.05
1447,coleg,clase,nouns,1.35
1448,ffres,antiguo,adjectives,0.0
1449,llygoden,administración,nouns,0.0
1450,llygoden,envase,nouns,0.05
1451,tric,pistola,nouns,0.1
1452,darllen,morder,verbs,0.0
1453,cwrw,bebida,nouns,2.1
1454,beirniadaeth,argumento,nouns,2.2
1455,colli,mantener,verbs,0.25
1456,dirywio,limpiar,verbs,0.5
1457,penwythnos,raza,nouns,0.0
1458,gweithredu,álgebra,nouns,0.95
1459,cryndod,terremoto,nouns,3.8
1460,tasg,trabajo,nouns,3.8
1461,ethol,nombrar,verbs,3.2
1462,digid,citoplasma,nouns,0.0
1463,lwc,felicidad,nouns,0.75
1464,yn angheuol,felizmente,adverbs,0.05
1465,trefnus,sucio,adjectives,0.15
1466,nos,amanecer,nouns,0.35
1467,priffordd,carretera,nouns,4.15
1468,cig eidion,ganado,nouns,3.25
1469,gyrru,detener,verbs,0.35
1470,cân,balada,nouns,4.05
1471,rhesymoli,pensar,verbs,3.35
1472,dadlau,asistir,verbs,0.1
1473,casglu,organizar,verbs,1.2
1474,hyblyg,modesto,adjectives,0.35
1475,ffisigwr,doctor,nouns,4.95
1476,euog,malo,adjectives,1.3
1477,gwythïen,estómago,nouns,0.35
1478,gwallgof,alegre,adjectives,0.1
1479,gwn,cuaderno,nouns,0.05
1480,diymhongar,flexible,adjectives,0.35
1481,ci hela,zorro,nouns,1.0
1482,plisman,sheriff,nouns,3.05
1483,papur wal,fondo,nouns,1.3
1484,asgwrn,dientes,nouns,1.25
1485,diod,cerveza,nouns,2.1
1486,anrhydedd,estima,nouns,2.25
1487,glaw,llovizna,nouns,4.1
1488,anhrefn,clase,nouns,0.15
1489,gwneud,dejar,verbs,0.2
1490,sgïo,snowboard,nouns,2.2
1491,anniben,feo,adjectives,0.95
1492,asgwrn,mandíbula,nouns,1.05
1493,chwilio,preguntar,verbs,0.95
1494,teimlo,creer,verbs,2.65
1495,yn ddwfn,principalmente,adverbs,0.85
1496,hanfodol,importante,adjectives,4.25
1497,diog,precioso,adjectives,0.0
1498,benthyciwr,crédito,nouns,1.8
1499,soffa,béisbol,nouns,0.1
1500,mygu,abrazar,verbs,0.45
1501,het,capa,nouns,0.85
1502,mynychu,enviar,verbs,0.35
1503,glaswellt,musgo,nouns,1.75
1504,porth,salida,nouns,1.8
1505,drwg  ,estupendo,adjectives,0.05
1506,llyfr,manuscrito,nouns,2.15
1507,amddiffyn,ayuda,verbs,1.25
1508,adref,lejos,adverbs,0.25
1509,cyfrwys,difícil,adjectives,0.15
1510,sglodion,cursor,nouns,0.0
1511,iâ,agua,nouns,1.35
1512,piano,armonía,nouns,0.65
1513,dur,aleación,nouns,1.8
1514,seren,planeta,nouns,2.4
1515,diogelu,defender,verbs,4.65
1516,madfall,serpiente,nouns,1.3
1517,parti,gente,nouns,0.9
1518,iâr,pavo,nouns,1.4
1519,car,bote,nouns,0.7
1520,côr,iglesia,nouns,0.9
1521,geiriadur,definición,nouns,2.2
1522,hwyl,fútbol,nouns,0.75
1523,ffwr,mujer,nouns,0.2
1524,llygad,lágrima,nouns,0.95
1525,mawr,alto,adjectives,3.25
1526,tad,hija,nouns,0.65
1527,tric,juego,nouns,1.5
1528,anwybyddu,evitar,verbs,3.2
1529,preifat,personal,adjectives,3.95
1530,yn greadigol,originalmente,adverbs,1.65
1531,yn gyfrinachgar,obviamente,adverbs,0.2
1532,ffres,nuevo,adjectives,4.0
1533,cymysg,antiguo,adjectives,0.1
1534,benthyg,desear,verbs,0.6
1535,braich,vena,nouns,0.45
1536,synnwyr,intuición,nouns,3.65
1537,ysgwydd,cabeza,nouns,1.2
1538,dadansoddi,comparar,verbs,2.4
1539,gwybodaeth,libro,nouns,1.0
1540,balch ,fuerte,adjectives,0.85
1541,perfformio,saludar,verbs,0.15
1542,ardderchog,maravilloso,adjectives,5.55
1543,theori,hipótesis,nouns,4.3
1544,theorem,teoría,nouns,3.65
1545,yn bwysig,verdaderamente,adverbs,0.4
1546,barnu,acusar,verbs,2.8
1547,barnwr,corte,nouns,0.9
1548,gwisg,pelota,nouns,0.15
1549,yn hapus,activamente,adverbs,0.05
1550,heulwen,rayo,nouns,1.8
1551,dyweddïo,casar,verbs,1.0
1552,mynychu,discutir,verbs,0.1
1553,iogwrt,ganado,nouns,0.35
1554,dod â,restaurar,verbs,0.05
1555,trasiedi,muerte,nouns,1.8
1556,amlwg,aparente,adjectives,3.3
1557,sbeislyd,débiles,adjectives,0.0
1558,madfall,gobierno,nouns,0.0
1559,awgrymu,asesorar,verbs,3.4
1560,anatomeg,biología,nouns,2.5
1561,neidr,lagartija,nouns,1.3
1562,bodloni,comprender,verbs,0.65
1563,llidiog,vacilante,adjectives,0.5
1564,camera,obrero,nouns,0.05
1565,diflas,agudo,adjectives,0.1
1566,theori,química,nouns,0.65
1567,cysur,seguridad,nouns,1.5
1568,jar,vaso,nouns,1.8
1569,traethu,recordar,verbs,0.6
1570,gwallgof,estupendo,adjectives,0.1
1571,mynd  ,permitir,verbs,0.2
1572,dillad isaf,cuerpo,nouns,0.4
1573,masarnen,árbol,nouns,3.3
1574,ysgubell,polvo,nouns,0.55
1575,wedi ei ddiflasu,insulso,adjectives,4.25
1576,canwr,personal,nouns,0.25
1577,lefel,puntuación,nouns,2.8
1578,strwythur,topología,nouns,1.5
1579,masarnen,roble,nouns,1.45
1580,dimai,gente,nouns,0.05
1581,brifo ,caer,verbs,1.35
1582,ymosodol,grosero,adjectives,1.8
1583,pen,pie,nouns,0.45
1584,cyrraedd,salir,verbs,0.25
1585,derbyn,enviar,verbs,0.35
1586,atom,carbón,nouns,1.0
1587,cadair,telescopio,nouns,0.1
1588,pwerus,poderoso,adjectives,4.2
1589,casglwr,subrutina,nouns,0.4
1590,gwddf,lengua,nouns,0.75
1591,gwraig,centavo,nouns,0.2
1592,cod,símbolo,nouns,2.2
1593,cerflunwaith,estatua,nouns,5.2
1594,anghyfreithlon,legal,adjectives,0.15
1595,ochr,fondo,nouns,1.0
1596,cytuno,discutir,verbs,0.3
1597,coroni,agua,nouns,0.0
1598,delwedd,idea,nouns,1.25
1599,aros,obtener,verbs,0.0
1600,cytundeb,agujero,nouns,0.0
1601,gwrthod,retirar,verbs,1.7
1602,iard,pulgada,nouns,0.55
1603,llygoden fawr,ratón,nouns,3.85
1604,bychanu,comodidad,verbs,0.0
1605,gwybodaeth,entropía,nouns,0.5
1606,tyfu,expandir,verbs,4.6
1607,cytuno,discrepar,verbs,0.45
1608,cymhwysedd,capacidad,nouns,3.6
1609,hebog,águila,nouns,2.4
1610,diog,ocupado,adjectives,0.15
1611,bawd,mano,nouns,1.25
1612,mab,niño,nouns,3.45
1613,yn bryderus,nerviosamente,adverbs,3.75
1614,synhwyrydd,radiador,nouns,0.7
1615,gaeaf,verano,nouns,0.7
1616,cadw,pedir prestado,verbs,0.2
1617,sant,pecador,nouns,0.35
1618,styfnig,estúpido,adjectives,0.45
1619,tsunami,mar,nouns,1.7
1620,hawdd,sencillo,adjectives,3.95
1621,ffug,real,adjectives,0.1
1622,ymuno,salir,verbs,0.3
1623,gweithred,curso,nouns,0.65
1624,gadael,ignorar,verbs,0.65
1625,dod,traer,verbs,1.25
1626,ymddangos,salir,verbs,0.35
1627,gitâr,tambor,nouns,0.9
1628,gwych,maravilloso,adjectives,4.75
1629,car,fábrica,nouns,0.25
1630,darganfod,desaparecer,verbs,0.2
1631,cerdyn,puente,nouns,0.0
1632,nofel,escritor,nouns,1.3
1633,ffôn clyfar,piña,nouns,0.0
1634,denu,golpear,verbs,0.05
1635,canu,flotador,verbs,0.0
1636,heliwm,aire,nouns,2.05
1637,dwys,difícil,adjectives,1.3
1638,gweithiwr,empleador,nouns,0.8
1639,nihiliaeth,película,nouns,0.1
1640,cadlong,buque,nouns,3.55
1641,dyn,semental,nouns,0.6
1642,orthodontydd,médico,nouns,1.6
1643,allanfa,sufragio,nouns,0.1
1644,methdaliad,fracaso,nouns,1.5
1645,onest,culpable,adjectives,0.1
1646,corws,cantante,nouns,1.35
1647,yn gadarnhaol,probablemente,adverbs,0.9
1648,agoriad,brecha,nouns,2.15
1649,llys,juez,nouns,0.9
1650,drwg,horrible,adjectives,2.95
1651,brwydro,morder,verbs,0.35
1652,blodyn,creencia,nouns,0.05
1653,deilen,árbol,nouns,1.35
1654,twyll,delito,nouns,2.8
1655,cwyno,traer,verbs,0.0
1656,gitâr,trucha,nouns,0.0
1657,papur,póster,nouns,1.55
1658,traeth,isla,nouns,1.5
1659,amnewidyn,intercambio,nouns,3.05
1660,storm,nieve,nouns,1.1
1661,parsel,camión,nouns,0.65
1662,cwrs,estómago,nouns,0.05
1663,capel,cable,nouns,0.0
1664,yn gryf,oficialmente,adverbs,0.1
1665,cymylog,pronóstico,nouns,0.65
1666,anrhagweledig,no previsible,adjectives,4.8
1667,machlud haul,cuerda,nouns,0.0
1668,caniatáu,aprobar,verbs,2.85
1669,blanced ,cama,nouns,1.1
1670,brawdgarwch,hombres,nouns,1.1
1671,bàth,esposa,nouns,0.1
1672,cytundeb,pacto,nouns,5.3
1673,car,camión,nouns,1.4
1674,gwin,alcohol,nouns,1.85
1675,halen,agua,nouns,0.4
1676,gwneuthurio,construir,verbs,3.6
1677,reis,frijol,nouns,0.95
1678,nawr,aquí,adverbs,2.0
1679,ongl,curva,nouns,1.75
1680,gwlychu,reducir,verbs,0.0
1681,stumog,curso,nouns,0.05
1682,cerflun,escultura,nouns,5.2
1683,cofleidio,sostener,verbs,1.55
1684,anhygoel,sucio,adjectives,0.0
1685,pryf sidan,oruga,nouns,2.6
1686,pêl-droed,divertido,nouns,0.75
1687,bod mewn dyled,prestar,verbs,1.2
1688,newydd,reciente,adjectives,3.5
1689,dychmygu,crear,verbs,1.05
1690,cwch,cubierta,nouns,1.1
1691,chwilio,cazar,verbs,2.05
1692,cyfreithiwr,banquero,nouns,1.1
1693,wedi blino,aburrido,adjectives,1.1
1694,rhadlon,entrante,adjectives,0.1
1695,ungnwd,agricultura,nouns,0.8
1696,gair,diccionario,nouns,1.45
1697,clecs,noticias,nouns,2.45
1698,brysio,apurarse,verbs,5.55
1699,mwtant,sociobiología,nouns,0.3
1700,cymryd,poseer,verbs,1.6
1701,llawr,puerta,nouns,0.5
1702,troelli,mezcla,verbs,3.05
1703,yn gyfrifol,independientemente,adverbs,0.35
1704,cyhyrau,lengua,nouns,1.9
1705,digwyddiad,recaudación de fondos,nouns,2.3
1706,pledio,pedir,verbs,1.4
1707,arholiad,silaba,nouns,0.35
1708,pennod,cola,nouns,0.05
1709,heddiw,esta noche,adverbs,2.0
1710,gwraig,hidalgo,nouns,0.75
1711,galaeth,aplicación,nouns,0.1
1712,ciwb,juguete,nouns,0.55
1713,cred,impresión,nouns,1.85
1714,dimai,tamaño,nouns,0.1
1715,goruchafiaeth,omnipotencia,nouns,2.45
1716,injan,máquina,nouns,3.3
1717,deallusrwydd,sabiduría,nouns,3.6
1718,pwrs,bolso,nouns,1.8
1719,ystafell wely,estómago,nouns,0.1
1720,benthyca,dar,verbs,1.45
1721,yfed,sorber,verbs,2.6
1722,barn,elección,nouns,1.1
1723,cwmwl,lago,nouns,0.3
1724,ymgyrch,mono,nouns,0.05
1725,barn,parcialidad,nouns,2.2
1726,siarad,susurrar,verbs,1.85
1727,arwr,heroína,nouns,3.4
1728,unigryw,opuesto,adjectives,0.6
1729,cynffon,acantilado,nouns,0.0
1730,maes llafur,examen,nouns,0.35
1731,cyrraedd,asistir,verbs,1.6
1732,glân,ordenado,adjectives,1.7
1733,gogledd,oeste,nouns,0.8
1734,goroesi,vivir,verbs,2.75
1735,datgysylltu,dividir,verbs,1.15
1736,hyfryd,maravilloso,adjectives,3.05
1737,het,caja,nouns,0.15
1738,nam,sistema,nouns,0.1
1739,edrych,buscar,verbs,3.75
1740,gwaethygu,molestar,verbs,0.9
1741,clymu,tejer,verbs,0.6
1742,yn sicr,nervioso,adjectives,0.05
1743,deiet,manzana,nouns,0.8
1744,gwarcheidwad,madre,nouns,1.95
1745,gwifren,cuerda,nouns,2.1
1746,dewin,cable,nouns,0.0
1747,chwerthin,llorar,verbs,0.2
1748,actor,cantante,nouns,0.95
1749,gosod,dar,verbs,1.25
1750,llaw,pulgar,nouns,1.25
1751,ar hyn o bryd,delicadamente,adverbs,0.0
1752,arian,perla,nouns,0.65
1753,pâr,pareja,nouns,5.25
1754,dyn,pareja,nouns,1.05
1755,cywilydd,suerte,adjectives,0.0
1756,dyfnder,magnitud,nouns,1.15
1757,berwi,freír,verbs,0.95
1758,cyflawni,recibir,verbs,0.25
1759,yn hanfodol,críticamente,adverbs,0.45
1760,rhesymol,sobrio,adjectives,1.35
1761,anghefnogi,fallar,verbs,0.6
1762,anhrefnu,organizado,verbs,0.1
1763,byth,negativo,adjectives,1.0
1764,cymdeithas,cultura,nouns,1.5
1765,orthodontydd,dentista,nouns,3.85
1766,seler,puerta,nouns,0.25
1767,yn agored i niwed,impotente,adjectives,1.65
1768,dec,ratón,nouns,0.0
1769,crybwyll,criticar,verbs,1.0
1770,arian cyfred,concurrencia,nouns,0.15
1771,hapusrwydd,tristeza,nouns,0.6
1772,awyren,aeropuerto,nouns,1.65
1773,tasg,isla,nouns,0.05
1774,gwely,silla,nouns,1.0
1775,ewyllys,intención,nouns,1.85
1776,rhyfeddol,extraño,adjectives,3.65
1777,llyfr,historia,nouns,1.55
1778,siampên,cerveza,nouns,1.3
1779,dewis,cárcel,nouns,0.15
1780,isrwtîn,compilador,nouns,0.4
1781,teledu,guionista,nouns,0.7
1782,mam,guardián,nouns,1.95
1783,diddordeb,atención,nouns,3.05
1784,archesgob,obispo,nouns,3.0
1785,fel arfer,raramente,adverbs,0.1
1786,rhyddid,oasis,nouns,0.45
1787,yn union,inexactamente,adverbs,0.05
1788,cyfreithiwr,fiscal,nouns,2.7
1789,piston,motor,nouns,2.4
1790,rhyfedd,normal,adjectives,0.1
1791,trychineb,muerte,nouns,1.55
1792,confensiwn,regla,nouns,2.5
1793,diflas,cansado,adjectives,1.1
1794,esgus,retratar,verbs,0.8
1795,yn fawr,brillantemente,adverbs,0.2
1796,tref,ciudad,nouns,2.65
1797,llwy,jugo,nouns,0.15
1798,lema,sílaba,nouns,0.3
1799,mygu,abrumar,verbs,2.2
1800,derbyn,dar,verbs,0.2
1801,pren mesur,rey,nouns,0.45
1802,bydysawd,cielo,nouns,1.05
1803,siaced,ropa,nouns,1.6
1804,yn wreiddiol,creativamente,adverbs,1.65
1805,yr un peth,similar,adjectives,4.15
1806,llywydd,contaminación,nouns,0.25
1807,cyrraedd,venir,verbs,1.65
1808,ofnadwy,triste,adjectives,1.25
1809,anfoesol,ilegal,adjectives,1.7
1810,stopio,controlar,verbs,0.65
1811,pelydr,sol,nouns,1.8
1812,bws,taxi,nouns,1.4
1813,yn ddiweddar,de manera realista,adverbs,0.0
1814,ystafell ddosbarth,pasillo,nouns,0.3
1815,tarian,rodela,nouns,1.5
1816,dydd  ,amanecer,nouns,1.85
1817,iâr,pájaro,nouns,2.05
1818,rhyddhau,captura,verbs,0.75
1819,storm,nube,nouns,1.0
1820,barn,creencia,nouns,3.55
1821,rhoi,desconocer,verbs,0.55
1822,cyntedd,altar,nouns,0.6
1823,mam,papá,nouns,2.0
1824,yn emosiynol,tristemente,adverbs,1.9
1825,poeni,malgastar,verbs,0.05
1826,losin,canela,nouns,0.8
1827,yn anghywir,precisamente,adverbs,0.05
1828,danfon,ir,verbs,0.9
1829,cath,león,nouns,1.7
1830,eglur,obvio,adjectives,3.3
1831,pêl-fas,sofá,nouns,0.1
1832,sgol,viento,nouns,2.0
1833,cyfuniad,caña de azúcar,nouns,0.2
1834,caniatáu,dar,verbs,1.0
1835,coffi,frijol,nouns,0.5
1836,metel,estaño,nouns,2.25
1837,amhosib,factible,adjectives,0.45
1838,clwb,marca,nouns,0.45
1839,dadl,conversación,nouns,2.95
1840,gair,página,nouns,0.65
1841,tywydd,ola,nouns,0.3
1842,nyrs,científico,nouns,0.4
1843,cwympo,tropezar,verbs,4.25
1844,dod,llegar,verbs,1.65
1845,llawysgrif,libro,nouns,2.15
1846,talwrn,copiloto,nouns,0.35
1847,ael,ojo,nouns,0.75
1848,baco,cigarrillo,nouns,3.25
1849,gwerthu,pedir prestado,verbs,0.35
1850,heb fod yn ddrud,barato,adjectives,4.65
1851,cath,mascota,nouns,3.0
1852,rheol,convención,nouns,2.5
1853,tenau,esbelto,adjectives,3.5
1854,yn heddychlon,orgullosamente,adverbs,0.15
1855,tymer,médico,nouns,0.15
1856,efelychiad,robótica,nouns,0.6
1857,pêl-foli,pelota,nouns,1.8
1858,partner,niño,nouns,0.25
1859,pleserdaith,ruta,nouns,3.35
1860,rhyfelgarwch,combate,nouns,2.7
1861,diymhongar,avergonzado,adjectives,0.4
1862,milwr,paz,nouns,0.25
1863,gwydr,placa,nouns,0.35
1864,merch,chico,nouns,1.0
1865,dillad,chaqueta,nouns,1.6
1866,derbyn,creer,verbs,1.4
1867,afal,sol,nouns,0.25
1868,gadael,unirse,verbs,0.3
1869,ysgoloriaeth,matrícula,nouns,1.05
1870,coleddu,mantener,verbs,0.8
1871,menyw,piel,nouns,0.2
1872,lluosi,añadir,verbs,1.55
1873,coflaid,ahogar,verbs,0.45
1874,marw,enterrar,verbs,1.05
1875,cig,carne de vaca,nouns,3.35
1876,maint,centavo,nouns,0.1
1877,tristwch,felicidad,nouns,0.6
1878,pen-blwydd,año,nouns,1.25
1879,mecanyddol,eléctrico,adjectives,0.8
1880,weithiau,seguramente,adverbs,0.45
1881,llong ryfel,acorazado,nouns,3.55
1882,cloch,torre,nouns,1.0
1883,gwaethygu,asaltar,verbs,0.6
1884,wedi ei orchuddio,descubierto,adjectives,0.1
1885,archwilio,ignorar,verbs,0.15
1886,da,quinto,adjectives,0.05
1887,codi,beber,verbs,0.0
1888,arweinydd,gerente,nouns,3.45
1889,cyffredin,extraño,adjectives,0.1
1890,hapus,joven,adjectives,0.2
1891,trist,gracioso,adjectives,0.05
1892,siwgr,miel,nouns,1.6
1893,pibell,cigarro,nouns,0.5
1894,basilica,mosaico,nouns,0.55
1895,harmoni,piano,nouns,0.65
1896,uno,casar,verbs,3.55
1897,ofnadwy,genial,adjectives,0.1
1898,maddau,entender,verbs,0.85
1899,iard,metro,nouns,1.65
1900,cynnyrch llaeth,miel,nouns,0.35
1901,twr,campana,nouns,1.0
1902,ysgrifennydd,mujer,nouns,0.35
1903,steil,moda,nouns,4.4
1904,amrwd,grosero,adjectives,0.9
1905,hydwyll,estúpido,adjectives,1.6
1906,dewis,decidir,verbs,4.15
1907,cyflymder,enviar,nouns,0.2
1908,ysbyty,cama,nouns,0.7
1909,profocio,herir,verbs,1.3
1910,cyfrwys,extraño,adjectives,0.15
1911,cwmwl,ventana,nouns,0.35
1912,camera,lente,nouns,2.1
1913,yn rheolaidd,ocasionalmente,adverbs,1.15
1914,llygad,frente,nouns,0.75
1915,dinistrio,crear,verbs,0.1
1916,gwaith cartref,ensayo,nouns,2.55
1917,cadair,cama,nouns,1.0
1918,cadair,sofá,nouns,2.6
1919,gwael,solitario,adjectives,0.25
1920,emyn,conquista,nouns,0.15
1921,yn ofalus,peligrosamente,adverbs,0.2
1922,lladd,defender,verbs,0.5
1923,theatr,batería,nouns,0.1
1924,dadlau,persuadir,verbs,1.5
1925,brechdan,almuerzo,nouns,1.05
1926,erthygl,libro,nouns,0.9
1927,ffa,café,nouns,0.5
1928,yn rhyfedd,diferentemente,adverbs,1.75
1929,cwch,árbol,nouns,0.15
1930,aeddfed,sofisticado,adjectives,1.85
1931,canon,pelota,nouns,0.5
1932,dinistrio,salvar,verbs,0.1
1933,car,automóvil,nouns,5.25
1934,pur,modesto,adjectives,0.95
1935,oedolyn,padre,nouns,1.45
1936,syml,fácil,adjectives,3.95
1937,ardderchog,malo,adjectives,0.05
1938,dydd ,noche,nouns,0.6
1939,adeiladu,destruir,verbs,0.15
1940,crys,cárdigan,nouns,1.05
1941,torf,manojo,nouns,1.45
1942,proffesiwn,universidad,nouns,0.65
1943,tân,apocalipsis,nouns,0.8
1944,arbed,destruir,verbs,0.1
1945,myfyrdod,imagen,nouns,1.1
1946,cred,flor,nouns,0.05
1947,ffôn,cabina,nouns,0.6
1948,yn graff,maduro,adverbs,1.05
1949,rhoi,robar,verbs,0.1
1950,metel,aluminio,nouns,2.3
1951,anghytuno,estar de acuerdo,verbs,0.45
1952,anhygoel,ordinario,adjectives,0.1
1953,palmwydd,dedo,nouns,0.35
1954,medi,ganancia,verbs,0.55
1955,cath,conejo,nouns,0.95
1956,clwb,sociedad,nouns,3.15
1957,cynhwysydd,vagón,nouns,0.0
1958,rhannu,multiplicar,verbs,0.65
1959,hir,corto,adjectives,0.15
1960,sychedig,hambriento,adjectives,1.4
1961,alwminiwm,estaño,nouns,1.6
1962,ffêr,ventana,nouns,0.05
1963,braich,cuerpo,nouns,1.0
1964,yn amlwg,seguramente,adverbs,2.8
1965,bioleg,biotopo,nouns,0.65
1966,cnawd,sangre,nouns,0.8
1967,athro,estudiante,nouns,0.65
1968,yn llawn,básicamente,adverbs,0.7
1969,finegr,ensalada,nouns,0.75
1970,digid,número,nouns,5.15
1971,caled,fácil,adjectives,0.1
1972,dod,asistir,verbs,2.5
1973,dannedd,hueso,nouns,1.25
1974,arferol,diferente,adjectives,0.45
1975,machlud haul,mesa,nouns,0.05
1976,gwirio,justificar,verbs,1.2
1977,drws,bodega,nouns,0.25
1978,stêc,pollo,nouns,1.6
1979,clariffeio,explicar,verbs,4.45
1980,ymosod,agravar,verbs,0.6
1981,cynhwysydd,ratón,nouns,0.05
1982,gwresogydd,paraguas,nouns,0.1
1983,bar,jaula,nouns,0.25
1984,bwyd,programa,nouns,0.1
1985,ychwanegu,dividir,verbs,0.2
1986,crebachu,crecer,verbs,0.15
1987,mynd i mewn,deber,verbs,0.1
1988,yn gadarn,suavemente,adverbs,0.35
1989,archwilio,perseguir,verbs,0.6
1990,yn anarferol,extrañamente,adverbs,3.2
1991,soffistigedig,maduro,adjectives,1.85
1992,bara,harina,nouns,1.05
1993,pren,papel,nouns,0.7
1994,pont,tarjeta,nouns,0.0
1995,to,ventana,nouns,0.3
1996,cyfiawnhau,verificar,verbs,1.2
1997,to,piso,nouns,0.7
1998,ychwanegu,multiplicar,verbs,1.55
1999,eginblanhigyn,hoja,nouns,1.35
2000,cromlin,ángulo,nouns,1.75
2001,rhesymeg,aritmética,nouns,1.45
2002,estrys,huerta,nouns,0.2
2003,eil,corredor,nouns,0.6
2004,bwcler,escudo,nouns,1.5
2005,go iawn,0,adjectives,0.1
2006,i ffwrdd,a casa,adverbs,0.25
2007,ysgwyd,recoger,verbs,0.2
2008,llwyn,flor,nouns,1.6
2009,pastai,chocolate,nouns,0.85
2010,argyhoeddi,discutir,verbs,0.75
2011,bawd,uña,nouns,1.35
2012,plaladdwr,parásito,nouns,0.7
2013,athronydd,carreras,nouns,0.15
2014,ffwr,pistola,nouns,0.1
2015,batri,energía,nouns,3.0
2016,llyfr nodiadau,pistola,nouns,0.05
2017,stori,tema,nouns,0.9
2018,amgylchiad,situación,nouns,5.45
2019,prin,tonto,adjectives,0.1
2020,twrci,pájaro,nouns,2.6
2021,awyrennaeth,aviónica,nouns,3.7
2022,rhoddi,pedir prestado,verbs,1.45
2023,ymadael,esperar,verbs,0.2
2024,blin,violento,adjectives,1.45
2025,cyfansoddwr,escritor,nouns,2.8
2026,sinematograffeg,director,nouns,1.5
2027,enillydd,candidato,nouns,1.25
2028,senedd,constitución,nouns,1.15
2029,llawenydd,orgullo,nouns,1.45
2030,sinamon,caramelo,nouns,0.8
2031,chwarae,lucha,verbs,0.3
2032,cludo,levantar,verbs,0.7
2033,hafaliad,fórmula,nouns,4.05
2034,mynd i mewn,ir,verbs,1.65
2035,carchar,elección,nouns,0.15
2036,yn realistig,recientemente,adverbs,0.0
2037,fitamin,plancha,nouns,0.65
2038,bioleg,anatomía,nouns,2.5
2039,graddio,terminar,verbs,1.4
2040,dod â,llevar,verbs,1.3
2041,dis,cubo,nouns,3.15
2042,cicio,herir,verbs,1.45
2043,stêc,carne,nouns,3.35
2044,arwyddluniau,dignidad,nouns,0.2
2045,arian,capital,nouns,3.65
2046,euog,avergonzado,adjectives,1.9
2047,yn deg,injustamente,adverbs,0.1
2048,ffôn symudol,teléfono,nouns,4.75
2049,sylfaen,ácido,nouns,0.5
2050,yn ochelgar,cuidadosamente,adverbs,3.8
2051,cadno,sabueso,nouns,1.0
2052,ymadael,separar,verbs,1.05
2053,eang,estrecho,adjectives,0.15
2054,darganfod,escapar,verbs,0.2
2055,cyflawni,ganar,verbs,2.1
2056,wisgi,champán,nouns,1.15
2057,cadw,apreciar,verbs,0.8
2058,crwm,agresivo,adjectives,0.0
2059,croen,bicicleta,nouns,0.2
2060,topoleg,estructura,nouns,1.5
2061,gweithiwr,mecánico,nouns,2.25
2062,ardal,región,nouns,4.6
2063,crisial,vaso,nouns,1.9
2064,tiwtora,educar,verbs,4.4
2065,gwely,habitación,nouns,0.8
2066,machlud haul,amanecer,nouns,0.85
2067,mawr,enorme,adjectives,4.4
2068,yn fawr,increíblemente,adverbs,0.65
2069,asgwrn,brazo,nouns,1.25
2070,gwartheg,ternera,nouns,3.25
2071,brawdgarwch,béisbol,nouns,0.15
2072,glaw,niebla,nouns,1.3
2073,cytuno,diferir de,verbs,0.15
2074,llyfr,texto,nouns,1.75
2075,siarad,reconocer,verbs,0.5
2076,methu,perder,verbs,3.1
2077,clogwyn,colina,nouns,1.65
2078,cyflwr,casa,nouns,0.1
2079,apocalyps,fuego,nouns,0.8
2080,benthyg,mantener,verbs,0.2
2081,anodd,simple,adjectives,0.15
2082,sblash,viscosidad,nouns,0.45
2083,mwynhau,odiar,verbs,0.05
2084,symud,tejer,verbs,0.15
2085,crio,sollozar,verbs,3.95
2086,gwraig,marido,nouns,1.75
2087,erthygl,diario,nouns,2.25
2088,hiliaeth,xenofobia,nouns,4.0
2089,plât,cuenco,nouns,1.85
2090,penelin,hueso,nouns,1.15
2091,deall,satisfacer,verbs,0.65
2092,mawr,fácil,adjectives,0.0
2093,pwnc,libro,nouns,1.15
2094,ymholi,pensar,verbs,0.9
2095,biliwnydd,indigente,nouns,0.15
2096,dinistrio,hacer,verbs,0.15
2097,cymryd rhan,decir,verbs,0.6
2098,cyfnos,noche,nouns,3.2
2099,hwyliau,emoción,nouns,2.85
2100,blodyn,violeta,nouns,1.7
2101,telesgop,silla,nouns,0.1
2102,cwmni,negocio,nouns,4.2
2103,addurn,sobre,nouns,0.05
2104,cyw iâr,filete,nouns,1.6
2105,concwest,viaje,nouns,0.6
2106,brithyll,guitarra,nouns,0.0
2107,dwys,tonto,adjectives,0.2
2108,mob,multitud,nouns,3.95
