ID,FRA,HEB,PoS,score
1421,arriver,להתרחש,verbs,5.4
1422,idéalement,באופן מציאותי,adverbs,1.4
1423,rouge,כחול,adjectives,1.9
1424,syllabe,למה,nouns,1.8
1425,vendre,ללכת,verbs,0.25
1426,bonbon,קינמון,nouns,1.35
1427,faire,להפסיק,verbs,1.05
1428,musée,מינט,nouns,0.2
1429,se produire,לקרות,verbs,5.4
1430,blé,דגנים,nouns,3.55
1431,formule,יומן,nouns,1.1
1432,impossible,אפשרי,adjectives,1.35
1433,pièce,בניין,nouns,1.5
1434,pomme,ממתק,nouns,1.5
1435,cocktail,אלכוהול,nouns,3.1
1436,rétrécir,להיעלם,verbs,1.8
1437,cube,צעצוע,nouns,1.95
1438,errer,לחפש,verbs,1.7
1439,athlète,אצן,nouns,3.05
1440,polyester,כותנה,nouns,1.95
1441,arrêter,לחשוד,verbs,1.2
1442,neige,סערה,nouns,2.5
1443,allée,אולם,nouns,1.4
1444,fuir,לברוח,verbs,5.5
1445,combattre,לשחק,verbs,1.55
1446,belligérance,קרב,nouns,3.85
1447,pierre,עץ,nouns,1.3
1448,oncle,דודה,nouns,3.55
1449,repas,סעודה,nouns,5.35
1450,plonger,ליצור,verbs,0.2
1451,main,רגל,nouns,1.9
1452,rétrécir,לצמוח,verbs,1.45
1453,condensateur,דיודה,nouns,1.9
1454,factorisation,פירוק,nouns,3.65
1455,avocat,בנקאי,nouns,1.5
1456,fêter,להפתיע,verbs,1.15
1457,yaourt,בקר,nouns,0.65
1458,taxi,אוטובוס,nouns,2.7
1459,énorme,מטומטם,adjectives,0.75
1460,biologiste,מיקרוסקופ,nouns,1.6
1461,logique,אינטליגנציה,nouns,3.3
1462,estomac,וריד,nouns,1.05
1463,sang,גוף,nouns,1.75
1464,bras,עצם,nouns,1.75
1465,observer,להסתכל,verbs,5.55
1466,symbole,קוד,nouns,2.9
1467,week-end,שבוע,nouns,2.35
1468,pistolet,שחר,nouns,0.05
1469,large,צר,adjectives,1.4
1470,princesse,אי,nouns,0.55
1471,rivière,ים,nouns,2.5
1472,cardigan,חולצה,nouns,2.5
1473,sauver,להרוס,verbs,0.9
1474,imaginer,להתחזות,verbs,1.3
1475,posséder,לשמור,verbs,2.95
1476,chêne,מייפל,nouns,2.75
1477,frère,בן,nouns,2.4
1478,os,מרפק,nouns,2.05
1479,pouce,ציפורן,nouns,2.2
1480,porte-monnaie,תיק,nouns,2.7
1481,neige,מפולת שלגים,nouns,2.3
1482,poignée,חלבון,nouns,0.1
1483,fleur,סבולת,nouns,0.2
1484,armée,צי,nouns,3.65
1485,oublier,לדעת,verbs,1.3
1486,détruire,להרוג,verbs,2.5
1487,attacher,להפריד,verbs,1.25
1488,soigneusement,בזהירות,adverbs,3.5
1489,fraternité,דלת,nouns,0.0
1490,énorme,זעיר,adjectives,1.35
1491,vélo,עור,nouns,0.3
1492,différemment,סופית,adverbs,0.1
1493,venir,להביא,verbs,0.7
1494,rester,לצעוד,verbs,1.95
1495,texte,ספר,nouns,3.3
1496,chaise,מיטה,nouns,1.65
1497,téléphone,תא,nouns,1.05
1498,laisser,לקחת,verbs,1.0
1499,genou,עצם,nouns,2.1
1500,détruire,להציל,verbs,0.9
1501,boussole,פיל,nouns,0.0
1502,vallée,נהר,nouns,1.7
1503,ronfler,להתעורר,verbs,1.15
1504,étouffer,לשרוף,verbs,0.7
1505,autruche,פרדס,nouns,0.15
1506,nerveux,בטוח,adjectives,0.3
1507,briller,לזרוח,verbs,4.9
1508,fracasser,לנתץ,verbs,5.3
1509,branche,זרוע,nouns,2.25
1510,taille,סנט,nouns,0.15
1511,donner,להרשות,verbs,2.1
1512,se ruer,להזדרז,verbs,5.3
1513,marine,צבא,nouns,3.65
1514,liberté,צנזורה,nouns,1.4
1515,rappeler,לשכוח,verbs,1.25
1516,svelte,צר,adjectives,2.85
1517,univers,שמיים,nouns,2.5
1518,cerise,תות,nouns,2.4
1519,choix,כלא,nouns,0.5
1520,tresser,לקשור,verbs,3.35
1521,fourmi,דבורה,nouns,1.95
1522,bouton,בגדים,nouns,1.75
1523,abaisser,להקטין,verbs,4.25
1524,alcool,ויסקי,nouns,2.85
1525,dépression,עמק,nouns,0.6
1526,abeille,מלכה,nouns,1.65
1527,assister,לעזור,verbs,5.75
1528,condition,סיטואציה,nouns,5.1
1529,restaurer,להחליף,verbs,2.8
1530,programme,אוכל,nouns,0.8
1531,jeune,שמח,adjectives,0.7
1532,surprendre,לחגוג,verbs,1.15
1533,bois,שמיכה,nouns,0.3
1534,mort,אסון,nouns,2.45
1535,apprendre,לאמוד,verbs,0.95
1536,côte,ספינת תותחים,nouns,0.8
1537,viscosité,התזה,nouns,0.55
1538,professeur,דוקטור,nouns,2.95
1539,oublier,לשמור,verbs,1.2
1540,précisément,במדוייק,adverbs,5.3
1541,manteau,כובע,nouns,1.75
1542,météo,שלג,nouns,1.55
1543,bétail,כבש,nouns,3.3
1544,bateau,מנוע,nouns,1.55
1545,ressentir,להאמין,verbs,2.1
1546,couverture,עץ,nouns,0.3
1547,lézard,נחש,nouns,2.55
1548,libre,תמים,adjectives,0.95
1549,météo,גל,nouns,0.75
1550,sociobiologie,מוטציה,nouns,0.65
1551,manager,מנהיג,nouns,3.9
1552,énerver,לנחש,verbs,0.2
1553,menthe,מוזיאון,nouns,0.2
1554,recueillir,לנער,verbs,0.25
1555,centime,מציאה,nouns,0.4
1556,masque,מסיבה,nouns,1.4
1557,entendre,לדבר,verbs,1.45
1558,longévité,פרח,nouns,0.2
1559,plage,חוף,nouns,4.55
1560,créer,לצלול,verbs,0.2
1561,frire,להרתיח,verbs,2.35
1562,candidature,מועמד,nouns,2.6
1563,crèche,גן טרום חובה,nouns,3.0
1564,pluie,סופת שלגים,nouns,2.35
1565,joindre,לרכוש,verbs,0.75
1566,neutre,רגוע,adjectives,1.8
1567,pont,מכונית,nouns,0.7
1568,difficile,צפוף,adjectives,1.2
1569,principalement,אנושות,adverbs,0.15
1570,rejoindre,לעזוב,verbs,1.6
1571,télescope,כיסא,nouns,0.35
1572,laid,גס,adjectives,1.3
1573,téléphone,קורבן,nouns,0.25
1574,accuser,לשקר,verbs,0.9
1575,boire,לערבב,verbs,0.85
1576,vallée,דיכאון,nouns,0.6
1577,microscope,ביולוג,nouns,1.6
1578,whisky,שמפניה,nouns,2.8
1579,compilateur,פונקציה,nouns,1.9
1580,obéir,להעניש,verbs,1.2
1581,apprendre,להקשיב,verbs,2.0
1582,vacances,לוח שנה,nouns,1.9
1583,péninsule,אי,nouns,3.0
1584,dire,להשתתף,verbs,1.25
1585,objectif,מנצח,nouns,1.15
1586,chanteur,שחקן,nouns,2.25
1587,couverture,מיטה,nouns,1.9
1588,porte,מרתף,nouns,1.05
1589,malin,אינטליגנטי,adjectives,5.05
1590,éblouir,לפזול,verbs,0.9
1591,offre,תרומה,nouns,3.35
1592,difficulté,מאמץ,nouns,3.2
1593,tristement,נורא,adverbs,0.85
1594,fille,נער,nouns,2.55
1595,intelligence,תבונה,nouns,4.7
1596,portail,דלת,nouns,4.55
1597,rejeter,לבחור,verbs,0.65
1598,emprunter,לשמור,verbs,1.5
1599,livre,טקסט,nouns,3.3
1600,comprendre,להקשיב,verbs,2.25
1601,compter,להיכשל,verbs,0.4
1602,équation,נוסחה,nouns,4.5
1603,définition,מילון,nouns,2.3
1604,sérieux,מצחיק,adjectives,1.3
1605,singe,קמפיין,nouns,0.05
1606,animal,אדם,nouns,1.45
1607,stupide,עקשן,adjectives,1.4
1608,désarroi,היסטריה,nouns,1.75
1609,truite,גיטרה,nouns,0.1
1610,corps,בטן,nouns,2.4
1611,vin,ברנדי,nouns,3.0
1612,pomme,רוטב,nouns,1.1
1613,divertir,לרצות,verbs,0.95
1614,casque,נשק,nouns,1.7
1615,globe,עולם,nouns,4.3
1616,multiplier,לחלק,verbs,2.0
1617,jurer,להבטיח,verbs,5.2
1618,merveilleux,מעולה,adjectives,4.85
1619,télescope,סיעור מוחות,nouns,0.05
1620,fou,מטורף,adjectives,5.35
1621,veine,בטן,nouns,1.05
1622,sérieusement,בכנות,adverbs,1.5
1623,emprunter,לתת,verbs,2.45
1624,richesse,תהילה,nouns,2.1
1625,vitesse,משרה,nouns,0.3
1626,mètre,אינץ',nouns,2.6
1627,thérapie,ביהביוריזם,nouns,1.8
1628,médecin,מזג,nouns,0.0
1629,falaise,זנב,nouns,0.05
1630,privé,ציבורי,adjectives,1.5
1631,stressé,נינוח,adjectives,1.4
1632,incurvé,עקום,adjectives,5.25
1633,marginalement,בערך,adverbs,1.1
1634,mot,ספרות,nouns,1.9
1635,essayer,להצליח,verbs,2.0
1636,permettre,ללכת,verbs,0.25
1637,mari,גבר,nouns,3.5
1638,irrégulièrement,לרוב,adverbs,1.15
1639,étain,אלומיניום,nouns,2.25
1640,sandwich,בשר,nouns,1.5
1641,saluer,להופיע,verbs,0.4
1642,penser,לברר,verbs,1.2
1643,apporter,להגיע,verbs,0.7
1644,modeste,ענו,adjectives,5.9
1645,couvrir,לקבור,verbs,3.0
1646,fissurer,לשבור,verbs,3.75
1647,homme,דוד,nouns,2.05
1648,croyance,ערך,nouns,2.6
1649,estomac,מותן,nouns,0.55
1650,communication,טלויזיה,nouns,2.3
1651,entrée,מעבר,nouns,1.4
1652,toit,תקרה,nouns,4.1
1653,lapin,חתול,nouns,1.6
1654,germe,פתוגן,nouns,3.55
1655,essayer,לחשוב,verbs,0.4
1656,important,הכרחי,adjectives,4.0
1657,clé,בית,nouns,1.4
1658,pouce,יד,nouns,2.4
1659,cognac,אלכוהול,nouns,3.05
1660,vraiment,חשוב,adverbs,1.35
1661,abdomen,בטן,nouns,4.8
1662,terrible,עצוב,adjectives,2.1
1663,compagnon,חבר,nouns,5.6
1664,fatigué,רעב,adjectives,1.5
1665,se battre,להרוג,verbs,1.55
1666,trouver,לרכוש,verbs,2.05
1667,marteau,שיניים,nouns,0.0
1668,sérieusement,בחשיבות,adverbs,2.45
1669,sol,גג,nouns,1.65
1670,pluie,ברד,nouns,3.2
1671,laïc,דת,nouns,1.55
1672,ballon,אנשים,nouns,0.1
1673,boucle,חגורה,nouns,1.95
1674,nuit,פרק,nouns,0.15
1675,estime,כבוד,nouns,4.3
1676,criminel,עבריין,nouns,5.3
1677,rencontrer,לעזוב,verbs,0.7
1678,se plaindre,להביא,verbs,0.1
1679,sophistiqué,בוגר,adjectives,1.25
1680,chercher,לשוטט,verbs,1.7
1681,pousser,להאשים,verbs,0.4
1682,immature,בוגר,adjectives,1.2
1683,théâtre,סרט,nouns,2.15
1684,siroter,לבלוע,verbs,2.65
1685,moteur,מכונה,nouns,2.85
1686,marrant,רציני,adjectives,1.3
1687,prestige,עושר,nouns,2.6
1688,chasser,לחפש,verbs,2.0
1689,verre,תג,nouns,0.45
1690,télévision,שחקן,nouns,1.45
1691,porte,פעמון,nouns,1.7
1692,chance,שמחה,nouns,1.85
1693,parfois,בוודאי,adverbs,0.7
1694,honneur,הערכה,nouns,4.3
1695,récolter,להרוויח,verbs,2.85
1696,vieux,מעורבב,adjectives,0.05
1697,nier,לקבל,verbs,1.05
1698,catastrophe,מוות,nouns,2.45
1699,façon,אופן,nouns,5.2
1700,circumnavigation,מטען,nouns,0.6
1701,croyance,תפיסה,nouns,3.45
1702,svelte,צנום,adjectives,5.15
1703,génie,מנורה,nouns,1.4
1704,explorer,להתעלם,verbs,0.55
1705,silencieusement,באופן פסיבי,adverbs,1.55
1706,triste,מצחיק,adjectives,1.1
1707,os,ברך,nouns,2.1
1708,idéalement,מכנית,adverbs,0.3
1709,os,קרסול,nouns,2.05
1710,combattre,לנשוך,verbs,1.5
1711,viande,בייקון,nouns,2.9
1712,doigt,יד,nouns,1.95
1713,tuer,לחנוק,verbs,3.0
1714,lit,חדר שינה,nouns,2.25
1715,frites,סמן,nouns,0.25
1716,trouver,לאתר,verbs,4.65
1717,critique,טיעון,nouns,2.2
1718,simplement,לכאורה,adverbs,1.15
1719,incroyable,רגיל,adjectives,1.05
1720,canapé,בייסבול,nouns,0.15
1721,collecte de fonds,ארוע,nouns,1.5
1722,uniformément,לפעמים,adverbs,0.6
1723,voiture,כביש,nouns,1.85
1724,étroit,ארוך,adjectives,1.75
1725,laisser,להופיע,verbs,0.4
1726,envoyer,לקבל,verbs,1.55
1727,conforter,להשפיל,verbs,0.8
1728,groupe,קהל,nouns,3.85
1729,tranchant,חלק,adjectives,1.3
1730,nuit,יום,nouns,1.7
1731,garçon,בן,nouns,4.05
1732,apprécier,לבדר,verbs,1.35
1733,banc,כיסא,nouns,3.1
1734,bouger,להתפתל,verbs,1.0
1735,vendre,להזכיר,verbs,0.2
1736,devoir,להלוות,verbs,1.35
1737,altitude,המרה,nouns,0.65
1738,porte,חלון,nouns,2.05
1739,alliage,פלדה,nouns,3.05
1740,agréable,נדיב,adjectives,1.9
1741,menthe,מסטיק,nouns,1.1
1742,modeste,גמיש,adjectives,0.3
1743,ronger,ללבוש,verbs,0.4
1744,liberté,נווה מדבר,nouns,0.45
1745,corps,זרוע,nouns,1.95
1746,urgence,תאונה,nouns,2.6
1747,évaluer,ללמוד,verbs,0.95
1748,église,מקהלה,nouns,2.1
1749,bon,מנומס,adjectives,1.6
1750,soleil,תפוח,nouns,0.3
1751,accepter,למסור,verbs,1.05
1752,église,קתדרלה,nouns,4.45
1753,fiction,ביוגרפיה,nouns,1.55
1754,honteux,צנוע,adjectives,1.5
1755,enseignant,עוזר,nouns,2.05
1756,pouffer,לצחוק,verbs,4.85
1757,serviteur,עבד,nouns,4.4
1758,appareil photo,עובד,nouns,0.15
1759,agité,צעיר,adjectives,0.8
1760,camion,מכונית,nouns,3.1
1761,localiser,למצוא,verbs,4.65
1762,nain,זעיר,adjectives,4.75
1763,bacon,ארוחה,nouns,1.5
1764,rejoindre,להשתתף,verbs,2.9
1765,traducteur,זר,nouns,1.1
1766,style,אופנה,nouns,4.0
1767,démon,מפלצת,nouns,4.8
1768,vainqueur,מועמד,nouns,1.9
1769,faire grève,לפספס,verbs,1.6
1770,ruelle,קערה,nouns,0.0
1771,mentir,להעמיד פנים,verbs,3.6
1772,salaire,כסף,nouns,4.05
1773,veine,בחירה,nouns,0.25
1774,grandement,רשמית,adverbs,0.8
1775,cheville,מרפק,nouns,2.4
1776,jouet,קובייה,nouns,1.95
1777,porte,אחווה,nouns,0.0
1778,perdre,לקבל,verbs,1.1
1779,bonne,נערה,nouns,0.85
1780,accepter,להמליץ,verbs,1.05
1781,furieux,מעולה,adjectives,0.85
1782,lard,בשר,nouns,2.9
1783,dirigeant,מלך,nouns,4.6
1784,vêtement,מעיל,nouns,2.75
1785,maladie,סכנה,nouns,1.3
1786,habit,מגירה,nouns,1.25
1787,responsablement,באופן עצמאי,adverbs,1.45
1788,abeille,נמלה,nouns,1.95
1789,gagner,להשיג,verbs,1.7
1790,carré,מפה,nouns,0.85
1791,faire,לקרות,verbs,1.55
1792,vendre,להשאיל,verbs,1.3
1793,indice,מילה,nouns,1.15
1794,influencer,להטות,verbs,3.35
1795,nez,פה,nouns,1.9
1796,astéroïde,כוכב,nouns,2.55
1797,mature,מתוחכם,adjectives,1.25
1798,ange,שד,nouns,1.7
1799,canon,רובה,nouns,2.85
1800,paix,חייל,nouns,1.1
1801,femme,רעיה,nouns,4.75
1802,médaille,מאמנים,nouns,0.75
1803,sel,מים,nouns,1.2
1804,plaider,לרצות,verbs,0.45
1805,génial,נפלא,adjectives,4.85
1806,porte,מטבח,nouns,0.9
1807,épisode,תקופה,nouns,3.95
1808,chapitre,לילה,nouns,0.15
1809,bateau,עוגן,nouns,1.75
1810,dé,קובייה,nouns,4.55
1811,différent,נורמלי,adjectives,1.35
1812,clavier,אור,nouns,0.1
1813,frais,רחב,adjectives,0.1
1814,généralement,באופן לא סדיר,adverbs,1.15
1815,attaque,בליץ,nouns,3.1
1816,populaire,מוכר,adjectives,4.85
1817,heureusement,נמרצות,adverbs,0.55
1818,surtout,לעומק,adverbs,1.05
1819,acétylcholine,איריס,nouns,nan
1820,accord,חור,nouns,0.0
1821,hématologie,פתולוגיה,nouns,2.45
1822,exprimer,לומר,verbs,4.8
1823,veau,שור,nouns,2.85
1824,dieu,טרף,nouns,0.1
1825,prouver,להתווכח,verbs,2.15
1826,aller,לשלוח,verbs,0.8
1827,jeans,אישה,nouns,0.35
1828,sincèrement,ברצינות,adverbs,1.5
1829,base,חומצה,nouns,1.75
1830,voler,לחטוף,verbs,3.05
1831,nuage,סערה,nouns,2.15
1832,persuader,להתווכח,verbs,1.3
1833,naïf,תמים,adjectives,5.6
1834,être d'accord,לקבל,verbs,3.45
1835,télévision,תסריטאי,nouns,1.5
1836,richesse,יוקרה,nouns,2.6
1837,frigide,מחוספס,adjectives,1.0
1838,ordinaire,בור,adjectives,0.5
1839,chapelle,צריח,nouns,2.35
1840,terne,מלהיב,adjectives,0.75
1841,dent,פטיש,nouns,0.0
1842,modeste,מתבייש,adjectives,1.5
1843,chapitre,פרק,nouns,3.95
1844,alcool,יין,nouns,2.9
1845,sûr,ודאי,adjectives,5.5
1846,subtilement,ברוגע,adverbs,2.15
1847,schéma,רעיון,nouns,2.5
1848,agrume,תפוז,nouns,3.75
1849,siècle,ליקר,nouns,0.05
1850,corde,כבל,nouns,4.0
1851,significativement,לעומק,adverbs,3.05
1852,tapis,בית,nouns,1.15
1853,chemin,מנהרה,nouns,1.8
1854,persévérance,חוזק,nouns,3.1
1855,terne,חד,adjectives,0.85
1856,flexible,רפוי,adjectives,1.45
1857,ballon,סל,nouns,1.15
1858,calmement,בעדינות,adverbs,2.15
1859,tisser,לנוע,verbs,1.0
1860,pièce,מיטה,nouns,1.0
1861,corps,עצב,nouns,1.3
1862,hostilité,תוקפנות,nouns,4.05
1863,effrayé,עצבני,adjectives,1.35
1864,lune,פלנטה,nouns,2.25
1865,incertain,מפוחד,adjectives,1.25
1866,empereur,מושל,nouns,3.65
1867,fils,אבא,nouns,2.35
1868,dense,קשה,adjectives,1.2
1869,maison,מדינה,nouns,0.7
1870,ouvrier,מעסיק,nouns,1.8
1871,soupe,סעודה,nouns,2.5
1872,présence,מנצח,nouns,0.25
1873,jambe,זרוע,nouns,2.4
1874,élève,סטודנט,nouns,5.45
1875,bébé,בת,nouns,2.9
1876,cours,בטן,nouns,0.1
1877,couler,להיסחף,verbs,2.75
1878,grossièrement,באופן אמין,adverbs,0.65
1879,chambre à coucher,אופניים,nouns,0.2
1880,pointeur,שקופית,nouns,0.3
1881,nécessaire,חשוב,adjectives,4.0
1882,ami,מורה,nouns,1.15
1883,parent,אבא,nouns,4.1
1884,calmement,בנחישות,adverbs,0.65
1885,balustrade,גדר,nouns,3.95
1886,officier,סגן,nouns,2.3
1887,frère,ילד,nouns,2.65
1888,paille,המנון,nouns,0.1
1889,certain,בטוח,adjectives,5.5
1890,eau,הכתרה,nouns,0.3
1891,accepter,לדחות,verbs,1.8
1892,formule,משוואה,nouns,4.5
1893,heureusement,נורא,adverbs,0.45
1894,taille,קיבה,nouns,0.55
1895,crier,לצחוק,verbs,1.4
1896,personne,דולר,nouns,0.1
1897,autrefois,מיידית,adverbs,0.85
1898,marcher,לעמוד,verbs,1.95
1899,balle,כפפה,nouns,1.2
1900,arithmétique,קצב,nouns,0.2
1901,voiture,מד,nouns,0.75
1902,violette,פרח,nouns,3.05
1903,chambre,בטן,nouns,0.1
1904,nuage,ערפל,nouns,2.9
1905,type,חתיך,nouns,1.8
1906,reconnaître,להודיע,verbs,1.35
1907,voiture,צינור,nouns,0.35
1908,public,פרטי,adjectives,1.5
1909,provenir,לגלות,verbs,0.55
1910,renier,להזניח,verbs,1.45
1911,permettre,להפריך,verbs,0.35
1912,enseignant,רב,nouns,2.05
1913,ajouter,לבנות,verbs,1.9
1914,s'écraser,להתנגש,verbs,3.85
1915,lycée,מקצוע,nouns,1.2
1916,alcool,בירה,nouns,2.95
1917,eau,בצורת,nouns,1.35
1918,gratte-ciel,ארמון,nouns,1.85
1919,trouver,לחפש,verbs,2.1
1920,guitare,תוף,nouns,2.35
1921,aller,לאפשר,verbs,0.25
1922,cible,חץ,nouns,2.05
1923,état,בית,nouns,0.7
1924,petit déjeuner,ארוחת ערב,nouns,3.25
1925,impôt,הכנסה,nouns,1.65
1926,biologie,אנטומיה,nouns,3.2
1927,neige,תחזית,nouns,1.55
1928,échouer,להצליח,verbs,1.4
1929,danger,מחלה,nouns,1.3
1930,savoir,להבין,verbs,2.9
1931,herbe,להב,nouns,0.35
1932,hymne,כבוש,nouns,0.65
1933,neige,קרח,nouns,3.55
1934,admettre,להכחיש,verbs,1.3
1935,négativement,באופן לא טבעי,adverbs,1.2
1936,empereur,חוקה,nouns,0.9
1937,pardonner,לקבל,verbs,1.8
1938,fils,אח,nouns,2.4
1939,force,סבולת,nouns,3.1
1940,plage,אי,nouns,1.95
1941,protéger,להציל,verbs,3.1
1942,bras,וריד,nouns,1.3
1943,ministre,רב,nouns,1.25
1944,éventuellement,באופטימיות,adverbs,0.85
1945,posséder,לקחת,verbs,2.3
1946,bureau,עובד,nouns,1.05
1947,femme,סנט,nouns,0.05
1948,calibre,מטרייה,nouns,0.35
1949,misère,ייאוש,nouns,3.35
1950,clocher,קפלה,nouns,2.35
1951,sincèrement,לרוב,adverbs,0.25
1952,chaotiquement,בשלווה,adverbs,0.7
1953,membre,רגל,nouns,3.3
1954,accord,חוזה,nouns,5.4
1955,soldat,ילד,nouns,1.35
1956,dentiste,קולונל,nouns,0.55
1957,disparaître,להתכווץ,verbs,1.8
1958,voiture,צופר,nouns,1.6
1959,article,ספר,nouns,2.4
1960,cheval,סוסה,nouns,3.9
1961,décliner,לסרב,verbs,5.45
1962,mouiller,להקטין,verbs,0.3
1963,cube,קוביית משחק,nouns,4.55
1964,science,פסיכולוגיה,nouns,2.25
1965,rare,מטומטם,adjectives,0.25
1966,chapitre,בחירה,nouns,0.5
1967,vulnérable,חסר אונים,adjectives,3.35
1968,acier,סגסוגת,nouns,3.05
1969,carte,כיכר,nouns,0.85
1970,délicatement,כרגע,adverbs,0.15
1971,croix,נזיר,nouns,1.55
1972,costume,כדור,nouns,1.15
1973,câble,קוסם,nouns,0.15
1974,justifier,לאמת,verbs,2.65
1975,créateur,מחבר,nouns,4.5
1976,rejeter,לקבל,verbs,1.8
1977,batterie,גיטרה,nouns,2.35
1978,long,צר,adjectives,1.75
1979,poursuivre,לשכנע,verbs,0.6
1980,opinion,אמונה,nouns,4.3
1981,chat,עכבר,nouns,1.85
1982,excuser,למחול,verbs,5.85
1983,insensé,משוגע,adjectives,5.35
1984,réunir,לאגד,verbs,5.45
1985,inflexion,זיהום,nouns,0.2
1986,parler,לאשר,verbs,0.65
1987,pomme de terre,חמאה,nouns,1.35
1988,magnitude,עומק,nouns,1.85
1989,petit,ננסי,adjectives,4.75
1990,banal,רגיל,adjectives,5.7
1991,confiserie,תפוח,nouns,1.5
1992,mot-clé,תחביר,nouns,1.1
1993,mettre,לתלות,verbs,1.05
1994,légal,מותר,adjectives,4.6
1995,guitare,פורל,nouns,0.1
1996,nord,דרום,nouns,2.05
1997,pauvre,בודד,adjectives,1.25
1998,lit,חדר,nouns,1.0
1999,sûrement,ברור,adverbs,3.55
2000,blitz,מתקפה,nouns,3.1
2001,sucre,דבש,nouns,2.4
2002,oiseau,תרנגולת,nouns,2.55
2003,sphère,כדור,nouns,2.8
2004,feuille,עץ,nouns,2.0
2005,meuble,דירה,nouns,1.5
2006,muscle,עצם,nouns,1.65
2007,chat,חיית מחמד,nouns,3.45
2008,voiture,מכונית,nouns,5.95
2009,grossièrement,באופן שולי,adverbs,1.1
2010,duc,רפובליקה,nouns,0.75
2011,gros,ענק,adjectives,3.9
2012,être diplômé,לסיים,verbs,2.4
2013,système,אשמה,nouns,0.4
2014,tour,פעמון,nouns,1.3
2015,musique,חליל,nouns,2.05
2016,policier,פוליטיקאי,nouns,1.15
2017,imprimer,להתעלם,verbs,0.2
2018,armée,יחידה,nouns,2.25
2019,tragédie,מוות,nouns,2.85
2020,défendre,לשמור,verbs,4.85
2021,lion,חתול,nouns,2.5
2022,caractère,דוקטור,nouns,0.0
2023,théorie,היפותזה,nouns,5.0
2024,bol,סמטה,nouns,0.0
2025,partenaire,בחור,nouns,1.6
2026,droit,מעוקל,adjectives,1.3
2027,doux,אלים,adjectives,1.0
2028,femme,גבר,nouns,2.2
2029,mentir,להכחיש,verbs,1.95
2030,désordonné,מסודר,adjectives,1.5
2031,inclure,לדעת,verbs,1.25
2032,élection,בחירה,nouns,3.3
2033,étouffer,לנשום,verbs,1.5
2034,délicieux,נפלא,adjectives,3.55
2035,calme,נינוח,adjectives,5.1
2036,événement,התרמה,nouns,1.5
2037,cuirassé,אוניית קרב,nouns,5.3
2038,queue,קערה,nouns,0.05
2039,chanter,לצחוק,verbs,1.3
2040,ouest,צפון,nouns,2.2
2041,trouver,לברוח,verbs,0.7
2042,hésitant,זועם,adjectives,0.95
2043,déranger,לפגוע,verbs,2.25
2044,facile,קשה,adjectives,1.2
2045,galaxie,אפליקציה,nouns,0.4
2046,dîner,מרק,nouns,2.5
2047,fleur,שיח,nouns,2.6
2048,verger,יען,nouns,0.15
2049,musulman,בישוף,nouns,1.45
2050,avocat,פרקליט,nouns,4.4
2051,zone,שטח,nouns,4.3
2052,boue,לכלוך,nouns,2.9
2053,été,חורף,nouns,2.05
2054,normal,שונה,adjectives,1.35
2055,lac,ענן,nouns,0.8
2056,complètement,אך ורק,adverbs,2.5
2057,épée,סביבה,nouns,0.05
2058,frais de scolarité,מלגה,nouns,1.8
2059,cinéma,אופרה,nouns,2.7
2060,parfois,בקביעות,adverbs,2.1
2061,gros,רחב,adjectives,2.9
2062,pathologie,המטולוגיה,nouns,2.45
2063,nécessiter,לסדר,verbs,0.35
2064,proclamer,להודיע,verbs,5.15
2065,rayon,שמש,nouns,2.35
2066,approximativement,בקלות,adverbs,0.4
2067,football,כדורגל,nouns,3.6
2068,informer,להבריק,verbs,0.1
2069,arriver,לבוא,verbs,5.05
2070,rester,לעזוב,verbs,1.35
2071,bien,חריף,adjectives,0.6
2072,bois,אבן,nouns,1.3
2073,jus,תפוח,nouns,1.8
2074,tacot,טקסי,nouns,5.1
2075,œil,גבה,nouns,1.85
2076,intelligence,היגיון,nouns,3.3
2077,simple,קשה,adjectives,1.3
2078,attroupement,קהל,nouns,5.05
2079,peut-être,כנראה,adverbs,4.6
2080,fragile,נוקשה,adjectives,0.5
2081,cellule,חדר,nouns,3.35
2082,poule,ציפור,nouns,2.55
2083,ami,אורח,nouns,2.5
2084,garder,להחזיק,verbs,2.95
2085,traiter,לשלם,verbs,1.15
2086,souris,חתול,nouns,1.85
2087,genou,זרוע,nouns,1.85
2088,gagnant,נוכחות,nouns,0.25
2089,avec optimisme,ייתכן,adverbs,0.85
2090,constitution,סנט,nouns,1.7
2091,initialement,באופן יצירתי,adverbs,0.5
2092,salle de bain,מטבח,nouns,2.0
2093,vol,תעופה,nouns,2.85
2094,sembler,להתחזות,verbs,1.55
2095,estomac,קורס,nouns,0.1
2096,interdire,לעצור,verbs,2.25
2097,jauge,מכונית,nouns,0.75
2098,officiellement,בחוזקה,adverbs,0.2
2099,bon marché,מלוכלך,adjectives,0.55
2100,organiser,לצרוך,verbs,0.35
2101,mélanger,לצרף,verbs,4.7
2102,chambre à coucher,מיטה,nouns,2.25
2103,remuer,לערבב,verbs,5.05
2104,pistolet,אנשים,nouns,0.5
2105,alphabet,עט,nouns,0.95
2106,mélodie,קצב,nouns,3.75
2107,parapluie,תנור חימום,nouns,0.8
2108,biographie,בדיה,nouns,1.55
2109,source,קופסה,nouns,0.0
2110,fièrement,בשלווה,adverbs,0.55
2111,accomplir,לנצח,verbs,1.7
2112,alcool,קוקטייל,nouns,3.1
