ID,CMN,FRA,PoS,score
1521,疾病,cancer,nouns,4.05
1522,忘记,retenir,verbs,0.84
1523,赌,miser,verbs,4.97
1524,谦逊,modeste,adjectives,5.63
1525,机灵,sournois,adjectives,1.95
1526,允许,donner,verbs,1.2
1527,找到,disparaître,verbs,0.2
1528,乐队,longévité,nouns,0.1
1529,有创造力,innovant,adjectives,5.3
1530,鸵鸟,verger,nouns,0.05
1531,救援,sauver,verbs,5.27
1532,稻草,femme,nouns,0.09
1533,学习,oublier,verbs,0.75
1534,种族,week-end,nouns,0.25
1535,说服,se disputer,verbs,1.54
1536,汽车,camion,nouns,3.06
1537,收到,prendre,verbs,2.17
1538,勺子,jus,nouns,0.5
1539,学习,évaluer,verbs,0.93
1540,大小,profondeur,nouns,1.31
1541,成功,gagner,verbs,4.17
1542,给予,donation,nouns,3.42
1543,成熟地,justement,adverbs,1.2
1544,意料之外,fortuit,adjectives,5.59
1545,有时,n'importe quand,adverbs,0.53
1546,实现,essayer,verbs,1.11
1547,大声,grossier,adjectives,2.35
1548,草地,pâturage,nouns,4.16
1549,美丽地,élégamment,adverbs,3.5
1550,终末,différemment,adverbs,0.0
1551,容易,dur,adjectives,0.74
1552,碗,ruelle,nouns,0.0
1553,温和地,doucement,adverbs,3.48
1554,苹果,jus,nouns,1.88
1555,神经,intestin,nouns,0.84
1556,伤害,taquiner,verbs,1.37
1557,肌肉,bras,nouns,1.89
1558,粗鲁,bruyant,adjectives,2.35
1559,加,construire,verbs,1.25
1560,一餐,taille,nouns,0.15
1561,电话,victime,nouns,0.1
1562,外套,pull-over,nouns,3.4
1563,解释,prouver,verbs,3.83
1564,晚上,chapitre,nouns,0.1
1565,女人,jeans,nouns,0.1
1566,不清楚,vague,adjectives,4.69
1567,宣布,annoncer,verbs,5.17
1568,决定,juger,verbs,3.6
1569,衣服,veste,nouns,3.33
1570,熵,information,nouns,1.18
1571,沙漠,dune,nouns,3.06
1572,叶,semis,nouns,1.11
1573,枪,gens,nouns,0.2
1574,剩余,différence,nouns,2.68
1575,个人,privé,adjectives,4.83
1576,在家里,à l'extérieur,adverbs,1.08
1577,借,devoir,verbs,0.68
1578,树,bateau,nouns,0.2
1579,枪,fourrure,nouns,0.05
1580,从不,rarement,adverbs,2.83
1581,拒绝,éviter,verbs,0.83
1582,消失,trouver,verbs,0.2
1583,电视,acteur,nouns,1.12
1584,善良,généreux,adjectives,2.2
1585,棚屋,cabine,nouns,1.18
1586,做,détruire,verbs,0.79
1587,征服,hymne,nouns,0.4
1588,拉比,enseignant,nouns,1.31
1589,紧张,effrayé,adjectives,1.85
1590,微晶片,curseur,nouns,0.15
1591,洗澡,couvent,nouns,0.1
1592,尺寸,astuce,nouns,0.0
1593,能力,force,nouns,3.16
1594,成年人,parent,nouns,3.49
1595,船,arbre,nouns,0.2
1596,评估,analyser,verbs,4.68
1597,给予,recevoir,verbs,0.75
1598,眼睛,larme,nouns,1.13
1599,伴侣,amant,nouns,4.74
1600,羊肉,mouton,nouns,4.58
1601,被动,violent,adjectives,0.35
1602,家俱,lit,nouns,3.38
1603,白天,aube,nouns,3.37
1604,云,fenêtre,nouns,0.4
1605,比较,analyser,verbs,3.12
1606,音系学,écran,nouns,0.05
1607,小麦粉,pain,nouns,2.17
1608,海滩,île,nouns,1.94
1609,傻,stupide,adjectives,5.63
1610,程序,alimentation,nouns,0.55
1611,薄雾,nuage,nouns,3.16
1612,钱,liquide,nouns,4.0
1613,赢,réussir,verbs,4.17
1614,磁盘,chargeur,nouns,0.65
1615,公主,île,nouns,0.25
1616,联合,canne à sucre,nouns,0.3
1617,礼物,écrivain,nouns,0.25
1618,地带,surface,nouns,4.17
1619,内疚,honteux,adjectives,3.68
1620,行政管理,gestion,nouns,4.32
1621,发动机,machine,nouns,2.98
1622,人们,fête,nouns,0.73
1623,协议,pacte,nouns,5.12
1624,常规地,normalement,adverbs,3.65
1625,科学,psychologie,nouns,2.81
1626,资料,livre,nouns,2.1
1627,望远镜,cogitation,nouns,0.05
1628,承诺,jurer,verbs,4.66
1629,大炮,ballon,nouns,0.45
1630,杂乱无章,organisé,verbs,1.03
1631,幼儿床,lit,nouns,3.59
1632,电梯,voiture,nouns,0.35
1633,乏味,sûr,adjectives,0.2
1634,钢琴,harmonie,nouns,1.27
1635,保留,détruire,verbs,0.69
1636,状况,situation,nouns,5.19
1637,主意,opinion,nouns,4.26
1638,电动,mécanique,adjectives,2.48
1639,星星,planète,nouns,3.44
1640,低语,parler,verbs,3.5
1641,溺爱,sentir,verbs,0.1
1642,洞察力,fait,nouns,0.59
1643,瞄准,frapper,verbs,2.35
1644,喜爱,détester,verbs,0.89
1645,舱,campement,nouns,0.74
1646,刺激,deviner,verbs,0.2
1647,自豪,pauvre,adjectives,0.34
1648,起源,découvrir,verbs,0.34
1649,腰部,repas,nouns,0.15
1650,检查,inspecter,verbs,5.27
1651,愤怒,violent,adjectives,2.06
1652,云,tempête,nouns,1.46
1653,可能,probablement,adverbs,4.68
1654,学期,semestre,nouns,3.77
1655,贫穷,solitaire,adjectives,0.64
1656,诚实地,loyalement,adverbs,4.38
1657,皇帝,constitution,nouns,0.65
1658,锤,dent,nouns,0.0
1659,空出,expulser,verbs,1.13
1660,校验,dire,verbs,0.5
1661,糖果,cannelle,nouns,0.84
1662,怀疑,arrêter,verbs,0.98
1663,非常好,sale,adjectives,0.35
1664,心理学,science,nouns,2.81
1665,大夫,docteur,nouns,5.31
1666,鸡,riz,nouns,0.7
1667,家,état,nouns,0.05
1668,棉,pull-over,nouns,1.27
1669,推,critiquer,verbs,0.38
1670,剑,environnement,nouns,0.23
1671,浮动,chanter,verbs,0.1
1672,不合理,injustement,adverbs,2.95
1673,疯狂,terrifiant,adjectives,0.73
1674,值得,gagner,verbs,1.83
1675,城镇,municipalité,nouns,4.56
1676,地板,porte,nouns,0.35
1677,对手,adversaire,nouns,5.35
1678,死,enterrer,verbs,2.15
1679,主教,musulman,nouns,1.17
1680,徘徊,laisser,verbs,0.29
1681,普通,incroyable,adjectives,0.65
1682,有意义,profondément,adverbs,3.02
1683,开始,aller,verbs,0.74
1684,争论,assister,verbs,0.64
1685,收集,organiser,verbs,1.4
1686,逻辑,intelligence,nouns,3.5
1687,硬纸板,papier,nouns,3.55
1688,胎压计,voiture,nouns,0.48
1689,绝望,misère,nouns,3.03
1690,兄弟会,base-ball,nouns,0.2
1691,成为,faire,verbs,1.69
1692,内疚,honnête,adjectives,0.65
1693,人,personnage,nouns,4.48
1694,美人,âge,nouns,0.78
1695,放走,attraper,verbs,0.34
1696,文章,manuscrit,nouns,2.89
1697,加剧,déranger,verbs,0.2
1698,获得,trouver,verbs,2.49
1699,批评,remarquer,verbs,1.92
1700,字,indice,nouns,0.89
1701,购买,payer,verbs,3.51
1702,市长,président,nouns,2.4
1703,淹,sauver,verbs,0.8
1704,候选人,vainqueur,nouns,2.39
1705,带来,porter,verbs,3.4
1706,狩猎,chercher,verbs,1.36
1707,抱怨,se disputer,verbs,2.09
1708,主板,carte mère,nouns,3.44
1709,运动鞋,médaille,nouns,0.29
1710,大,facile,adjectives,0.2
1711,电话,cabine,nouns,0.75
1712,戏弄,blesser,verbs,1.37
1713,办公室,ouvrier,nouns,0.63
1714,毁灭,décomposer,verbs,3.27
1715,摄影,réalisateur,nouns,1.79
1716,书,texte,nouns,3.27
1717,非法,légitime,adjectives,0.74
1718,满足,faire plaisir,verbs,4.63
1719,杀,détruire,verbs,3.24
1720,盒子,source,nouns,0.0
1721,竞争,terminer,verbs,0.1
1722,电视,scénariste,nouns,1.13
1723,枪,sergent,nouns,0.64
1724,伤害,attaque,verbs,2.79
1725,雕像,sculpture,nouns,5.28
1726,贡献,offre,nouns,3.42
1727,可悲的是,follement,adverbs,0.44
1728,埋葬,couvrir,verbs,2.88
1729,布,lin,nouns,3.15
1730,出现,laisser,verbs,0.1
1731,从不,négatif,adjectives,1.75
1732,凯旋,victoire,nouns,5.17
1733,检查,examiner,verbs,5.27
1734,激进,violent,adjectives,2.97
1735,苹果,sauce,nouns,0.84
1736,负面地,anormalement,adverbs,0.79
1737,第五,haut,adjectives,0.2
1738,运输,soulever,verbs,1.92
1739,赚,mériter,verbs,1.83
1740,沐浴,journal,nouns,0.0
1741,显然,évident,adjectives,4.71
1742,拿,porter,verbs,2.36
1743,使满意,satisfaire,verbs,4.63
1744,复杂,mature,adjectives,0.92
1745,政治家,président,nouns,3.44
1746,单身牢房,pièce,nouns,2.94
1747,匆匆地写,écrire,verbs,4.08
1748,雪,avalanche,nouns,2.26
1749,失去,soustraire,verbs,2.06
1750,乙酰胆碱,iris,nouns,nan
1751,可笑,terne,adjectives,0.25
1752,田,avoine,nouns,1.18
1753,犯罪,vol,nouns,3.13
1754,冷静地,subtilement,adverbs,1.08
1755,发誓,promettre,verbs,4.66
1756,书,sujet,nouns,1.7
1757,吸收,apprendre,verbs,2.75
1758,伪装,déguiser,verbs,3.55
1759,手稿,article,nouns,2.89
1760,换算,altitude,nouns,0.24
1761,枪,portable,nouns,0.1
1762,沐浴,ballon,nouns,0.1
1763,肠子,nerf,nouns,0.84
1764,绞刑,tuer,verbs,3.41
1765,电缆,chapelle,nouns,0.05
1766,获得,récolter,verbs,2.97
1767,契约,accord,nouns,5.12
1768,退出,prendre sa retraite,verbs,1.56
1769,男孩,riz,nouns,0.05
1770,卖,emprunter,verbs,0.88
1771,人,centime,nouns,0.05
1772,装饰,mur,nouns,1.27
1773,暖炉,parapluie,nouns,0.29
1774,侵蚀,porter,verbs,0.29
1775,对手,opposant,nouns,5.35
1776,旗,mât,nouns,1.64
1777,傍晚,crépuscule,nouns,4.75
1778,做,cesser,verbs,0.7
1779,戒除,faire,verbs,0.7
1780,污染,président,nouns,0.25
1781,选择,chapitre,nouns,0.45
1782,糖类,saccharose,nouns,4.08
1783,紫罗兰,fleur,nouns,3.63
1784,刺激,terne,adjectives,0.39
1785,成为,apparaître,verbs,0.88
1786,未公开,manifeste,adjectives,0.49
1787,邮包,camion,nouns,0.15
1788,大,national,adjectives,0.15
1789,不经常,souvent,adverbs,1.03
1790,得到,perdre,verbs,0.88
1791,汽车,ascenseur,nouns,0.35
1792,高兴,fou,adjectives,0.93
1793,海军,armée,nouns,3.86
1794,苦难,désespoir,nouns,3.03
1795,出口,suffrage,nouns,0.48
1796,派对,gens,nouns,0.73
1797,主题,livre,nouns,1.63
1798,显然,sûrement,adverbs,3.31
1799,赶,se dépêcher,verbs,4.65
1800,变成,sembler,verbs,0.94
1801,罕见,inhabituel,adjectives,4.69
1802,停,conduire,verbs,0.8
1803,情况,condition,nouns,4.31
1804,女儿,bébé,nouns,2.67
1805,墙纸,arrière-plan,nouns,3.2
1806,穿,ronger,verbs,0.29
1807,奖章,basket,nouns,0.29
1808,主要地,en phase terminale,adverbs,0.0
1809,批评,grossier,adjectives,0.67
1810,营地,chalet,nouns,0.74
1811,肚子,cours,nouns,0.1
1812,大风,couverture,nouns,0.05
1813,员工,chanteur,nouns,0.38
1814,飑,vent,nouns,3.51
1815,笨,têtu,adjectives,1.86
1816,总统,appareil photo,nouns,0.05
1817,喷泉,source,nouns,3.86
1818,经济,écosystème,nouns,0.75
1819,需要,organiser,verbs,0.2
1820,稻草,hymne,nouns,0.1
1821,确定,évacuer,verbs,0.2
1822,环球航行,bagage,nouns,0.5
1823,绑,tresser,verbs,2.65
1824,幻灯片,pointeur,nouns,0.19
1825,球,gant,nouns,0.79
1826,酒,groupe,nouns,0.15
1827,钢,alliage,nouns,3.71
1828,挂,mettre,verbs,0.96
1829,负责可靠地,indépendamment,adverbs,1.25
1830,动物,personne,nouns,1.75
1831,装作,représenter,verbs,0.2
1832,现金,argent,nouns,4.0
1833,逃跑,s'échapper,verbs,5.72
1834,甘蔗,moissonneuse-batteuse,nouns,0.3
1835,底部,base,nouns,3.19
1836,获得,prendre,verbs,3.28
1837,粘性,éclaboussure,nouns,0.34
1838,尾巴,arrière,nouns,2.96
1839,煮熟的,bouilli,adjectives,3.22
1840,历史学家,historiographe,nouns,4.92
1841,数字,cytoplasme,nouns,0.0
1842,新闻,communication,nouns,2.79
1843,奇怪地,différemment,adverbs,1.03
1844,男子,père,nouns,2.88
1845,骑,mélanger,verbs,0.1
1846,复诊,patient,nouns,0.28
1847,人,animal,nouns,1.75
1848,任务,paille,nouns,0.0
1849,偷,acheter,verbs,1.08
1850,词元,syllabe,nouns,1.6
1851,借款人,crédit,nouns,1.41
1852,容器,souris,nouns,0.05
1853,牛肉,viande,nouns,3.62
1854,说服,débattre,verbs,2.92
1855,汽车,automobile,nouns,5.91
1856,保留,oublier,verbs,0.84
1857,手腕,main,nouns,2.65
1858,管理,souris,nouns,0.0
1859,身体,sang,nouns,1.66
1860,仆人,esclave,nouns,3.83
1861,拖着脚走,conduire,verbs,0.1
1862,主题标签,sujet,nouns,3.2
1863,周末,course,nouns,0.25
1864,做,devenir,verbs,1.69
1865,门,cuisine,nouns,0.45
1866,黄昏,soir,nouns,4.75
1867,裙子,montre,nouns,0.35
1868,大多,principalement,adverbs,4.7
1869,真实,faux,adjectives,0.98
1870,邮件,vitesse,nouns,0.0
1871,香槟酒,bière,nouns,2.83
1872,孩子气,idiot,adjectives,3.25
1873,滴,verser,verbs,1.17
1874,宠物,chat,nouns,3.78
1875,肉,steak,nouns,4.5
1876,考试,programme,nouns,1.18
1877,果汁,pomme,nouns,1.88
1878,母鸡,oiseau,nouns,2.32
1879,一分钱,personne,nouns,0.05
1880,经常,rarement,adverbs,1.03
1881,驱逐,quitter,verbs,1.13
1882,字,journal,nouns,1.82
1883,演出,saluer,verbs,0.1
1884,撞击,s'écraser,verbs,3.44
1885,父亲,homme,nouns,2.88
1886,瘦,mince,adjectives,5.03
1887,卧室,vélo,nouns,0.05
1888,通常,sincèrement,adverbs,0.2
1889,作家,compositeur,nouns,3.17
1890,原木,bois,nouns,3.94
1891,母亲,épouse,nouns,2.79
1892,徽章,verre,nouns,0.29
1893,啤酒,boisson,nouns,3.13
1894,携带,apporter,verbs,3.4
1895,老鹰,faucon,nouns,3.54
1896,柄,protéine,nouns,0.1
1897,家长,adulte,nouns,3.49
1898,电动机,turbine,nouns,3.08
1899,不可能,faisable,adjectives,0.98
1900,钢笔,alphabet,nouns,0.55
1901,没用过,nouveau,adjectives,4.07
1902,英式足球,football,nouns,4.23
1903,欠,entrer,verbs,0.15
1904,模糊,incertain,adjectives,4.69
1905,故障,système,nouns,0.2
1906,木,couverture,nouns,0.15
1907,离开,aller,verbs,4.29
1908,苏丹,ministère,nouns,0.5
1909,剧院,film,nouns,2.21
1910,争论,différer,verbs,0.94
1911,钱,diamant,nouns,1.75
1912,周末,semaine,nouns,2.63
1913,伞,radiateur,nouns,0.29
1914,网球,statistique,nouns,0.25
1915,沙发,baseball,nouns,0.05
1916,方案,idée,nouns,2.85
1917,美,sonnet,nouns,0.45
1918,智慧,intelligence,nouns,4.05
1919,残酷,agréable,adjectives,0.55
1920,税,revenu,nouns,1.37
1921,决定,choisir,verbs,4.46
1922,正牙医生,docteur,nouns,3.58
1923,轻轻的,bruyamment,adverbs,0.55
1924,狀師,juriste,nouns,3.69
1925,议会,congrès,nouns,3.42
1926,男孩子,fils,nouns,3.75
1927,瓶子,récipient,nouns,3.56
1928,逮捕,suspecter,verbs,0.98
1929,钝,tranchant,adjectives,0.14
1930,难得,limité,adjectives,4.04
1931,紧张,certain,adjectives,0.15
1932,王冠,clé,nouns,0.05
1933,士兵,paix,nouns,0.74
1934,非自然,négativement,adverbs,0.79
1935,水煮,cuit,adjectives,3.22
1936,管弦乐队,groupe,nouns,3.75
1937,必须,essentiel,adjectives,5.57
1938,枪,couteau,nouns,2.5
1939,续集,appareil photo,nouns,0.2
1940,忽略,oublier,verbs,3.49
1941,杜松子酒,alcool,nouns,3.76
1942,伟大,mal,adjectives,0.3
1943,脾气,médecin,nouns,0.0
1944,羊,agneau,nouns,4.58
1945,女儿,gamin,nouns,2.5
1946,航空,vol,nouns,2.9
1947,兄弟会,porte,nouns,0.0
1948,蟋蟀,supporter,nouns,0.35
1949,家伙,tombeur,nouns,1.41
1950,苗条,svelte,adjectives,5.03
1951,门,sol,nouns,0.35
1952,甲板,sol,nouns,2.48
1953,火,apocalypse,nouns,1.26
1954,女人,secrétaire,nouns,1.17
1955,定理,théorie,nouns,4.05
1956,细胞质,chiffre,nouns,0.0
1957,掩饰,couvrir,verbs,3.55
1958,帮忙,demander,verbs,0.69
1959,今天晚上,aujourd'hui,adverbs,2.73
1960,大门,porte,nouns,5.17
1961,提高,boire,verbs,0.05
1962,使满意,être d'accord,verbs,2.15
1963,篮子,ballon,nouns,0.7
1964,编剧,télévision,nouns,1.13
1965,副驾驶,cockpit,nouns,1.22
1966,诚实地,jamais,adverbs,0.05
1967,矿,pierre,nouns,1.91
1968,强烈地,officiellement,adverbs,0.52
1969,高速公路,route,nouns,3.76
1970,孩子,garçon,nouns,3.88
1971,攻击,criminalité,nouns,1.66
1972,稀少,rare,adjectives,4.04
1973,地区,zone,nouns,4.17
1974,混乱,hystérie,nouns,2.47
1975,震,tremblement de terre,nouns,4.54
1976,沙子,pied,nouns,0.34
1977,水,sacre,nouns,0.29
1978,创造性地,initialement,adverbs,0.15
1979,粗糙,laid,adjectives,0.82
1980,通知,représenter,verbs,0.7
1981,侵蚀,pâlir,verbs,0.62
1982,离开,attendre,verbs,0.83
1983,海,plage,nouns,3.02
1984,给,voler,verbs,0.88
1985,肥皂泡沫,bulle,nouns,3.17
1986,选择,élection,nouns,3.26
1987,巧妙的,calmement,adverbs,1.08
1988,疾病,danger,nouns,0.92
1989,最近,concrètement,adverbs,0.15
1990,锥形蛋筒,tasse,nouns,0.71
1991,花费,sauver,verbs,0.57
1992,精确地,inexactement,adverbs,0.93
1993,丈夫,homme,nouns,3.55
1994,手表,jupe,nouns,0.35
1995,负责任,sérieusement,adverbs,3.77
1996,独立地,responsablement,adverbs,1.25
1997,幸运,honteux,adjectives,0.45
1998,酱,pomme,nouns,0.84
1999,逃走,fuir,verbs,5.72
2000,感情上,tristement,adverbs,1.66
2001,菠萝,smartphone,nouns,0.0
2002,门口,sortie,nouns,3.47
2003,娱乐,satisfaire,verbs,1.02
2004,海洋,mer,nouns,5.36
2005,虚无主义,film,nouns,0.43
2006,可能,avec optimisme,adverbs,0.53
2007,紧密地,localement,adverbs,0.24
2008,主意,schéma,nouns,2.85
2009,目标,gagnant,nouns,0.65
2010,学院,profession,nouns,0.65
2011,笨,intelligent,adjectives,0.84
2012,毛,pistolet,nouns,0.05
2013,苔藓,herbe,nouns,2.22
2014,很少,jamais,adverbs,2.83
2015,大主教,évêque,nouns,4.48
2016,八月,mois,nouns,2.9
2017,床,meuble,nouns,3.38
2018,检查,échec,nouns,0.89
2019,理解,satisfaire,verbs,0.57
2020,禁止,arrêter,verbs,2.79
2021,追求,persuader,verbs,0.44
2022,积极地,probablement,adverbs,0.7
2023,运动员,coureur,nouns,3.54
2024,安慰,humilier,verbs,0.54
2025,假,réel,adjectives,0.98
2026,解剖学,biologie,nouns,3.02
2027,年轻,agité,adjectives,0.6
2028,驾驶,arrêter,verbs,0.8
2029,深度地,significativement,adverbs,3.02
2030,女英雄,héros,nouns,4.35
2031,大方,amical,adjectives,2.75
2032,信用,emprunteur,nouns,1.41
2033,开心,fâché,adjectives,0.7
2034,组织,devenir,verbs,0.15
2035,手提电脑,tablette,nouns,3.84
2036,收集,secouer,verbs,0.2
2037,除,ajouter,verbs,1.13
2038,导演,cinématographie,nouns,1.79
2039,怪诞,étrange,adjectives,5.32
2040,获得,obtenir,verbs,5.0
2041,走道,couloir,nouns,4.54
2042,支气管炎,paracétamol,nouns,0.84
2043,来,assister,verbs,3.29
2044,监狱,choix,nouns,0.2
2045,泡,mousse,nouns,3.17
2046,信念,fleur,nouns,0.09
2047,水,sel,nouns,0.83
2048,地毯,maison,nouns,0.7
2049,摔碎,briser,verbs,4.41
2050,羞耻,contrarié,adjectives,0.79
2051,花园,tuyau,nouns,0.55
2052,广口瓶,bouteille,nouns,3.68
2053,家牛,yaourt,nouns,0.43
2054,危险地,soigneusement,adverbs,0.58
2055,差数,reste,nouns,2.68
2056,注意,conscience,nouns,3.12
2057,当然,évidemment,adverbs,3.31
2058,擦,détériorer,verbs,0.2
2059,停止,interdire,verbs,2.79
2060,货车,voiture,nouns,3.06
2061,椅子,banc,nouns,3.67
2062,贫穷,fier,adjectives,0.34
2063,找到,échapper,verbs,0.3
2064,关闭,vomir,verbs,0.05
2065,也许,probablement,adverbs,4.32
2066,座舱,copilote,nouns,1.22
2067,收到,donner,verbs,0.75
2068,静脉,bras,nouns,0.8
2069,懒,occupé,adjectives,0.49
2070,拿,livrer,verbs,0.54
2071,女佣,fille,nouns,1.5
2072,指控,mentir,verbs,0.64
2073,笨,stupide,adjectives,5.91
2074,婴儿,fille,nouns,2.67
2075,音乐,mélodie,nouns,4.37
2076,抱怨,apporter,verbs,0.19
2077,完成,devenir,verbs,1.42
2078,提醒,oublier,verbs,0.93
2079,分钟,seconde,nouns,2.65
2080,和平地,fièrement,adverbs,0.54
2081,尖,doux,adjectives,0.7
2082,抓住,chasser,verbs,1.94
2083,盒子,cigare,nouns,0.74
2084,软管,voiture,nouns,0.15
2085,狭窄,vaste,adjectives,0.64
2086,不公平,équitablement,adverbs,0.98
2087,欠,prêter,verbs,0.68
2088,真诚地,sérieusement,adverbs,2.46
2089,厨房,porte,nouns,0.45
2090,显然,apparemment,adverbs,2.46
2091,姊妹,frère,nouns,2.59
2092,草原,prairie,nouns,4.16
2093,军队,légion,nouns,4.08
2094,歌手,acteur,nouns,2.58
2095,未成熟的,adulte,adjectives,0.88
2096,点菜,menu,nouns,1.88
2097,女仆,auxiliaire,nouns,2.52
2098,手机,ananas,nouns,0.0
2099,骨头,mâchoire,nouns,2.17
2100,伞,calibre,nouns,0.1
2101,人,dollar,nouns,0.05
2102,警察,copilote,nouns,0.45
2103,搅拌,mélanger,verbs,4.17
2104,剑,trône,nouns,0.72
2105,抽屉,habit,nouns,0.74
2106,拯救,secourir,verbs,5.27
2107,戏法,taille,nouns,0.0
2108,军团,armée,nouns,4.08
2109,病理学,hématologie,nouns,2.44
2110,码,centimètre,nouns,2.92
2111,钱,capital,nouns,4.03
2112,洞,femme,nouns,0.42
2113,雷达,manette,nouns,0.15
2114,香槟,whisky,nouns,2.88
2115,选举,choix,nouns,3.26
2116,成熟,sophistiqué,adjectives,0.92
2117,图解,carte,nouns,2.59
2118,完成,gagner,verbs,1.84
2119,门,cave,nouns,0.78
2120,失去,garder,verbs,0.84
2121,对乙酰氨基酚,bronchite,nouns,0.84
2122,雪崩,neige,nouns,2.26
2123,暂停,attendre,verbs,2.63
2124,微妙地,actuellement,adverbs,0.15
2125,符号,code,nouns,3.16
2126,连接,séparer,verbs,0.93
2127,外套,vêtement,nouns,3.33
2128,募捐活动,événement,nouns,1.43
2129,宇宙,ciel,nouns,2.78
2130,拿,recevoir,verbs,2.17
2131,观看,observer,verbs,5.03
2132,身体,estomac,nouns,2.31
2133,学习,absorber,verbs,2.75
2134,目前,délicatement,adverbs,0.15
2135,每月,hebdomadaire,adjectives,2.22
2136,冷,ordinaire,adjectives,0.2
2137,简单,rigide,adjectives,0.29
2138,智力,compétence,nouns,3.08
2139,暴动,dessin,nouns,0.2
2140,大致,marginalement,adverbs,1.65
2141,小牛,taureau,nouns,3.14
2142,现在,ici,adverbs,1.95
2143,教室,couloir,nouns,0.73
2144,焦躁不安,jeune,adjectives,0.6
2145,饮品,bière,nouns,3.13
2146,衣服,manteau,nouns,3.84
2147,难以置信,ordinaire,adjectives,0.65
2148,暴力,radical,adjectives,2.97
2149,死气沉沉的,heureusement,adverbs,0.48
2150,发热,grippe,nouns,2.65
2151,本地,évidemment,adverbs,0.15
2152,资产,action,nouns,3.27
2153,车,taxi,nouns,3.73
2154,数学家,spectacle,nouns,0.1
2155,天真,naïf,adjectives,4.61
2156,成为,accomplir,verbs,1.42
2157,书,information,nouns,2.1
2158,准确地,activement,adverbs,0.57
2159,甲板,bateau,nouns,1.21
2160,描绘,prétendre,verbs,0.2
2161,争论,convaincre,verbs,2.92
2162,合法,illégal,adjectives,0.74
2163,想像,feindre,verbs,0.89
2164,责怪,pousser,verbs,0.38
2165,原木,bois,nouns,3.94
2166,向外,entrant,adjectives,0.24
2167,精确地,exactement,adverbs,5.63
2168,猫,animal de compagnie,nouns,3.78
2169,卖,aller,verbs,0.2
2170,聚集,rencontrer,verbs,0.87
2171,戒指,fiançailles,nouns,1.79
2172,赞成,permettre,verbs,3.71
2173,生气,fureur,nouns,4.7
2174,对抗,énerver,verbs,0.2
2175,牛排,viande,nouns,4.5
2176,木,rondin,nouns,3.94
2177,交流,conversation,nouns,4.61
2178,赛跑运动员,athlète,nouns,3.54
2179,组织,collecter,verbs,1.4
2180,岩浆,volcan,nouns,2.02
2181,说话,entendre,verbs,1.18
2182,赛跑,philosophe,nouns,0.15
2183,威士忌酒,alcool,nouns,3.57
2184,离开,séparer,verbs,2.04
2185,大薄片,avion,nouns,0.18
2186,棒球,canapé,nouns,0.05
2187,老鼠,pont,nouns,0.05
2188,映像,image,nouns,3.69
2189,枪,aube,nouns,0.05
2190,选择,prison,nouns,0.2
2191,稍微地,grossièrement,adverbs,1.65
2192,溪流,rivière,nouns,4.03
2193,灵活,facile,adjectives,1.13
2194,昂贵,timide,adjectives,0.1
2195,放,pendre,verbs,0.96
2196,帽子,boîte,nouns,0.65
2197,奇怪地,exceptionnellement,adverbs,3.12
2198,大多,profondément,adverbs,0.73
2199,路径,tunnel,nouns,2.37
2200,广场,carte,nouns,0.54
2201,可靠,raisonnablement,adverbs,3.77
2202,失去,cuisiner,verbs,0.05
2203,总统,politicien,nouns,3.44
2204,平淡,passionnant,adjectives,0.39
2205,枫树,arbre,nouns,4.48
2206,借,vouloir,verbs,0.64
2207,评论说,critiquer,verbs,1.92
2208,前情,passé,nouns,4.5
2209,红酒,brandy,nouns,3.21
2210,窗口,cheville,nouns,0.0
2211,强度,persévérance,nouns,3.02
2212,拒绝,accepter,verbs,1.13
2213,停,prévenir,verbs,0.74
2214,完成,rivaliser,verbs,0.1
2215,借,vendre,verbs,0.88
2216,朋友,mère,nouns,0.98
2217,尖,terne,adjectives,0.14
2218,猛烈地,tristement,adverbs,0.44
2219,有弹性,flexible,adjectives,4.08
2220,搏斗,jouer,verbs,0.88
2221,马,chien,nouns,1.46
2222,神,proie,nouns,0.05
2223,花朵,violette,nouns,3.63
2224,部长,rabbin,nouns,0.8
2225,灵活,modeste,adjectives,0.52
2226,爆玉米花,cinéma,nouns,1.13
2227,理论,chimie,nouns,1.27
2228,冬天,saison,nouns,2.94
2229,保护,défendre,verbs,4.75
2230,自豪,triste,adjectives,0.79
2231,愉快,merveilleux,adjectives,3.27
2232,愤怒,frustration,nouns,3.03
2233,平面,feuille,nouns,0.18
2234,包括,inclure,verbs,5.04
2235,状态,garçon,nouns,0.18
2236,聚会,convocation,nouns,3.01
2237,呼吸,étouffer,verbs,1.32
2238,赢得,accomplir,verbs,1.84
2239,房间,bain,nouns,0.8
2240,失败,décourager,verbs,2.5
2241,饮食,pomme,nouns,0.96
2242,黏,humide,adjectives,1.95
2243,培根,petit déjeuner,nouns,1.03
