ID,EST,POL,PoS,score
1390,eraldama,rozdzielić,verbs,3.35
1391,haistma,psuć,verbs,0.6
1392,topoloogia,struktura,nouns,2.05
1393,saar,księżniczka,nouns,0.0
1394,kitarr,pstrąg,nouns,0.0
1395,riputama,kłaść,verbs,0.95
1396,tsoon,obszar,nouns,5.0
1397,koidik,pistolet,nouns,0.05
1398,suurepärane,zły,adjectives,0.15
1399,saar,zadanie,nouns,0.0
1400,lisama,dzielić,verbs,0.15
1401,jõud,wytrzymałość,nouns,2.65
1402,ilusti,elegancko,adverbs,3.3
1403,algama,startować,verbs,4.4
1404,sidrun,jabłko,nouns,0.75
1405,asendus,wymiana,nouns,3.35
1406,ksenofoobia,rasizm,nouns,3.1
1407,elustiil,cywilizacja,nouns,0.9
1408,jalg,ręka,nouns,1.1
1409,nautima,nienawidzić,verbs,0.05
1410,printskond,ziemie książęce,nouns,3.4
1411,vabadus,cenzura,nouns,0.2
1412,lööma,wygrać,verbs,1.95
1413,kiusama,ranić,verbs,2.8
1414,kohtuma,pływać,verbs,0.0
1415,kavatsema,spróbować,verbs,2.35
1416,solvama,naprzykrzać się,verbs,1.4
1417,moraal,legenda,nouns,0.75
1418,ebausaldusväärne,pokrętny,adjectives,1.4
1419,tugevalt,oficjalnie,adverbs,0.85
1420,osalema,przyłączyć się,verbs,1.8
1421,ebakohane,pozamałżeński,adjectives,0.65
1422,ühinema,odchodzić,verbs,0.15
1423,ilmuma,uczęszczać,verbs,1.2
1424,rajaleidja,łucznik,nouns,1.05
1425,taasmatmine,grób,nouns,1.35
1426,energia,bateria,nouns,1.9
1427,vihje,słowo,nouns,0.8
1428,heidutama,zmartwić,verbs,1.55
1429,lõuna,kanapka,nouns,0.65
1430,kohut mõistma,zeznawać,verbs,0.75
1431,kandma,drzeć,verbs,0.05
1432,ülikoolilinnak,uniwersytet,nouns,2.6
1433,poleerima,informować,verbs,0.0
1434,juhm,dziecinny,adjectives,1.9
1435,surmavalt,szczęśliwie,adverbs,0.05
1436,tabamus,rama,nouns,0.25
1437,meloodia,rytm,nouns,2.15
1438,õepoeg,ciotka,nouns,1.05
1439,kukkuma,potknąć się,verbs,2.15
1440,mitte nõustuma,walczyć,verbs,1.9
1441,veider,dziwny,adjectives,5.5
1442,õpetama,edukować,verbs,5.05
1443,matmine,śmierć,nouns,1.5
1444,sale,szczupły,adjectives,5.2
1445,monokultuur,rolnictwo,nouns,1.7
1446,taga ajama,śledzić,verbs,3.95
1447,matkama,wspinać się,verbs,1.35
1448,pöial,paznokieć,nouns,1.1
1449,ilus,wspaniały,adjectives,3.5
1450,auk,żona,nouns,0.05
1451,umbes,niecierpliwie,adverbs,0.8
1452,kondensaator,dioda,nouns,1.1
1453,nurk,obszar,nouns,0.5
1454,petersell,babeczka,nouns,0.2
1455,vihm,mżawka,nouns,3.8
1456,kitsas,szeroki,adjectives,0.15
1457,auto,klakson,nouns,0.6
1458,domineerima,przezwyciężyć,verbs,1.15
1459,eraldama,przyłączać,verbs,0.15
1460,negatiivselt,nienaturalnie,adverbs,0.6
1461,ootama,odchodzić,verbs,0.1
1462,päikesepaiste,jabłko,nouns,0.25
1463,panus,ofiara,nouns,1.5
1464,abiline,pokojówka,nouns,2.05
1465,ebaviisakas,głośny,adjectives,1.3
1466,patarei,teatr,nouns,0.2
1467,sõber,gość,nouns,1.6
1468,kohus,sędzia,nouns,1.65
1469,valem,rejestr,nouns,1.45
1470,mõtlema,pamiętać,verbs,1.25
1471,kolb,silnik,nouns,1.85
1472,hiir,kot,nouns,0.5
1473,kitsas,biały,adjectives,0.1
1474,mahl,mleko,nouns,0.8
1475,võtma,dostarczać,verbs,0.5
1476,janune,głodny,adjectives,1.5
1477,elevant,dinozaur,nouns,0.65
1478,jäädvustama,naśladować,verbs,0.45
1479,saavutama,zbierać,verbs,1.1
1480,laisk,zajęty,adjectives,0.15
1481,otsima,wędrować,verbs,1.5
1482,hambaarst,ortodonta,nouns,4.45
1483,astronoomiline,ogromny,adjectives,2.4
1484,vaikselt,naturalnie,adverbs,0.45
1485,ette kujutama,tworzyć,verbs,2.05
1486,viski,jałowcówka,nouns,1.35
1487,osuti,slajd,nouns,0.05
1488,torbik,filiżanka,nouns,0.25
1489,ebamoraalne,nielegalny,adjectives,1.9
1490,prokurör,prawnik,nouns,1.5
1491,vann,żona,nouns,0.0
1492,kuluma,blaknąć,verbs,1.4
1493,valjult,szalenie,adverbs,1.3
1494,leedi,dżentelmen,nouns,1.1
1495,nina,gardło,nouns,1.0
1496,heegeldus,mundur,nouns,0.2
1497,halb,niemoralny,adjectives,3.25
1498,hävitama,robić,verbs,0.4
1499,täna,dzisiaj wieczorem,adverbs,2.45
1500,tuul,szkwał,nouns,3.0
1501,lipp,słup,nouns,0.9
1502,tagasi võtma,odrzucić,verbs,2.15
1503,voodi,szpital,nouns,0.75
1504,julm,niesprawiedliwy,adjectives,1.95
1505,autor,czytelnik,nouns,0.5
1506,tekk,łóżko,nouns,0.85
1507,õppima,absorbować,verbs,0.9
1508,kulutama,oszczędzać,verbs,0.4
1509,meteoor,grawitacja,nouns,0.55
1510,meelde tuletama,powiedzieć,verbs,1.65
1511,voodi,koc,nouns,0.85
1512,analüüsima,porównywać,verbs,3.75
1513,laenama,być dłużnym,verbs,1.75
1514,lumelaud,narciarstwo,nouns,1.95
1515,printsess,wyspa,nouns,0.0
1516,tass,słoik,nouns,1.25
1517,süüa tegema,stracić,verbs,0.0
1518,vana,nowy,adjectives,0.35
1519,kohtuma,pozdrawiać,verbs,1.25
1520,ots,rozdział,nouns,0.05
1521,poolitama,odłączyć,verbs,3.35
1522,aritmeetika,rytm,nouns,0.65
1523,ranne,ręka,nouns,1.85
1524,armee,marynarka,nouns,3.1
1525,alamprogramm,kompilator,nouns,1.45
1526,meri,ocean,nouns,2.55
1527,muru,mech,nouns,1.4
1528,putka,pudełko,nouns,0.7
1529,katedraal,sufit,nouns,0.75
1530,tavaline,nieprawdopodobny,adjectives,0.35
1531,pankur,prawnik,nouns,0.8
1532,lagi,podłoga,nouns,0.65
1533,vägivaldne,rozzłoszczony,adjectives,2.4
1534,silm,brew,nouns,1.05
1535,laulja,refren,nouns,0.8
1536,tagasihoidlik,czysty,adjectives,0.95
1537,juhtkiri,wiadomości,nouns,0.95
1538,org,kanion,nouns,3.45
1539,doktor,lekarz,nouns,5.2
1540,sõltuma,polegać,verbs,2.05
1541,hape,baza,nouns,0.5
1542,koguma,trząść,verbs,0.1
1543,kaetud,odkryty,adjectives,0.3
1544,reaalsus,iluzja,nouns,0.6
1545,käepide,białko,nouns,0.0
1546,kaduma,znikać,verbs,4.8
1547,surema,rozpadać się,verbs,1.35
1548,rannik,brzeg,nouns,4.15
1549,teadma,rozumieć,verbs,2.75
1550,rand,wyspa,nouns,1.4
1551,õnnelik,zadowolony,adjectives,4.25
1552,pädevus,zdolność,nouns,3.9
1553,keskkond,miecz,nouns,0.0
1554,suu,warga,nouns,3.05
1555,pakt,porozumienie,nouns,4.8
1556,kleit,taniec,nouns,0.45
1557,edu saavutama,osiągnąć,verbs,3.7
1558,informeerima,polerować,verbs,0.0
1559,hoomama,satysfakcjonować,verbs,0.25
1560,särk,kardigan,nouns,1.4
1561,riided,schowek,nouns,0.5
1562,aktsepteerima,zgądzać się,verbs,4.9
1563,kuningas,księżniczka,nouns,1.3
1564,mööbel,łóżko,nouns,2.45
1565,niit,pastwisko,nouns,4.25
1566,eine,kolacja,nouns,3.35
1567,kast,winda,nouns,0.25
1568,otsustamata,neutralny,adjectives,1.75
1569,ise,pewność siebie,nouns,1.05
1570,raamat,literatura,nouns,3.0
1571,ühinema,nabyć,verbs,0.35
1572,õhk,cząsteczka,nouns,0.95
1573,piin,zgryzota,nouns,1.4
1574,maantee,zadanie,nouns,0.15
1575,looma,robić,verbs,3.5
1576,minema,odchodzić,verbs,1.2
1577,makse,moneta,nouns,1.55
1578,eitama,kłamać,verbs,1.05
1579,sviiter,bawełna,nouns,1.0
1580,siidiuss,gąsienica,nouns,2.75
1581,põrand,dach,nouns,0.8
1582,alumiinium,blacha,nouns,2.05
1583,rahvas,pistolet,nouns,0.05
1584,looja,wytwórca,nouns,3.5
1585,värav,zwycięzca,nouns,0.5
1586,rahvas,dolar,nouns,0.05
1587,põrand,drzwi,nouns,0.8
1588,põud,woda,nouns,0.3
1589,igav,zmęczony,adjectives,0.9
1590,kindlalt,wyraźnie,adverbs,3.2
1591,küttekeha,parasol,nouns,0.05
1592,andma,zaprzeczać,verbs,0.15
1593,statistika,tenis,nouns,0.25
1594,au andma,występować,verbs,0.2
1595,arutama,tłumaczyć,verbs,2.15
1596,märkmik,pistolet,nouns,0.0
1597,aktiivselt,pasywnie,adverbs,0.25
1598,telefon,budka,nouns,1.25
1599,nädal,weekend,nouns,1.15
1600,kaks korda,raz,adverbs,0.4
1601,halb,mierny,adjectives,2.05
1602,ettevaatlikult,niebezpiecznie,adverbs,0.2
1603,kinnitama,powiedzieć,verbs,1.25
1604,kuup,zabawka,nouns,0.4
1605,põrand,sufit,nouns,0.65
1606,saama,stracić,verbs,0.1
1607,ümbris,port,nouns,0.05
1608,kaasa arvama,angażować,verbs,1.35
1609,puit,koc,nouns,0.05
1610,looma,niszczyć,verbs,0.3
1611,tähelepanu,świadomość,nouns,2.6
1612,anatoomia,biologia,nouns,2.15
1613,ülesanne,szosa,nouns,0.15
1614,kahtlustama,aresztować,verbs,1.25
1615,sihtmärk,strzała,nouns,0.55
1616,kukkuma,boleć,verbs,0.9
1617,uhkelt,pokornie,adverbs,0.4
1618,ratsionaalne,trzeźwy,adjectives,3.35
1619,rahvas,przyjęcie,nouns,0.7
1620,praadima,piec,verbs,3.0
1621,lõik,strona,nouns,1.1
1622,konseptsioon,przekonanie,nouns,1.75
1623,seletama,udowodnić,verbs,2.0
1624,uurima,dążyć,verbs,0.75
1625,kompilaator,podprogram,nouns,1.45
1626,saama,organizować,verbs,0.4
1627,ühinema,współpracować,verbs,1.45
1628,ekseem,wysypka,nouns,2.85
1629,trell,więzienie,nouns,0.85
1630,joonistama,tworzyć,verbs,1.6
1631,karusnahk,kobieta,nouns,0.2
1632,kaabel,czarodziej,nouns,0.0
1633,ainulaadne,przeciwny,adjectives,0.7
1634,suur,łatwy,adjectives,0.1
1635,tooma,nieść,verbs,2.2
1636,palk,pieniądze,nouns,3.35
1637,rahvahulk,grupa,nouns,3.15
1638,õppima,słuchać,verbs,1.15
1639,trikk,wanna,nouns,0.0
1640,võtma,chwytać,verbs,2.5
1641,seltskondlik,miły,adjectives,2.35
1642,ühtlaselt,czasem,adverbs,0.3
1643,neutraalne,niezdecydowany,adjectives,1.75
1644,paar,dwójka,nouns,4.5
1645,suund,akcja,nouns,1.1
1646,lumi,lód,nouns,2.4
1647,loodus,flora,nouns,2.9
1648,salat,ocet,nouns,0.4
1649,hertsogkond,księstwo,nouns,3.4
1650,allikas,pudełko,nouns,0.0
1651,hauakamber,ponowny pochówek,nouns,1.35
1652,teguriteks lahutamine,rozszczepienie,nouns,1.0
1653,aktiivselt,szczęśliwie,adverbs,1.05
1654,kaudne,niewiarygodny,adjectives,1.4
1655,õhtueine,posiłek,nouns,3.9
1656,piloot,kierowca,nouns,2.05
1657,sent,ludzie,nouns,0.1
1658,luu,zęby,nouns,2.2
1659,uus,niedawny,adjectives,3.8
1660,teekond,wycieczka,nouns,5.0
1661,küünarnukk,kość,nouns,1.25
1662,lennuk,helikopter,nouns,1.8
1663,hakk,ptak,nouns,3.05
1664,käekell,spódnica,nouns,0.15
1665,struktuur,topologia,nouns,2.05
1666,vihje,fakt,nouns,1.4
1667,magamistuba,łóżko,nouns,1.3
1668,prestiiž,bogactwo,nouns,1.55
1669,trikk,gra,nouns,1.35
1670,öö,dzień,nouns,0.6
1671,kuritegu,oszustwo,nouns,3.85
1672,üle kuhjama,udusić,verbs,1.6
1673,helilooja,pisarz,nouns,1.05
1674,vägivaldne,miękki,adjectives,0.0
1675,viies,czołowy,adjectives,0.35
1676,tegelane,osoba,nouns,2.05
1677,saama,zrealizować,verbs,1.5
1678,kõver,zakrzywiony,adjectives,4.7
1679,luu,ramię,nouns,1.1
1680,osalema,współpracować,verbs,3.1
1681,arvama,irytować,verbs,0.35
1682,tuju,gniew,nouns,1.85
1683,vastupidavus,kwiat,nouns,0.15
1684,võrrand,formuła,nouns,3.15
1685,siiralt,uczciwie,adverbs,4.95
1686,rääkima,słyszeć,verbs,0.75
1687,ruut,mapa,nouns,0.25
1688,meeleolu,emocja,nouns,3.9
1689,uhkus,radość,nouns,1.45
1690,galaktika,aplikacja,nouns,0.1
1691,lahutama,stracić,verbs,1.3
1692,vallutus,podróż,nouns,0.8
1693,kaitsma,pomagać,verbs,2.15
1694,erinevalt,nieuleczalnie,adverbs,0.4
1695,teadlikkus,uwaga,nouns,2.6
1696,valetama,zaprzeczać,verbs,1.05
1697,sigaret,tytoń,nouns,2.85
1698,tšempion,zwycięzca,nouns,4.95
1699,bioloogia,anatomia,nouns,2.15
1700,õppima,zapominać,verbs,0.25
1701,isiklik,prywatny,adjectives,5.5
1702,põiktänav,ulica,nouns,3.5
1703,perv,góra,nouns,1.75
1704,nakkus,schorzenie,nouns,2.7
1705,teadma,zapominać,verbs,0.2
1706,süsteem,wada,nouns,0.35
1707,entsüklopeedia,słownik,nouns,2.05
1708,elektriline,mechaniczny,adjectives,0.55
1709,kulm,oko,nouns,1.05
1710,esik,korytarz,nouns,4.8
1711,kirjandus,książka,nouns,3.0
1712,turvaline,nużący,adjectives,0.25
1713,list,ciąg,nouns,1.6
1714,poiss,syn,nouns,2.6
1715,külmuma,drżeć,verbs,1.25
1716,klatš,wiadomości,nouns,1.95
1717,kast,budka,nouns,0.7
1718,hulktahukas,aktor,nouns,0.15
1719,palavik,schorzenie,nouns,1.8
1720,gravitatsioon,meteor,nouns,0.55
1721,ülesanne,słoma,nouns,0.1
1722,koheselt,niebawem,adverbs,1.85
1723,pisar,oko,nouns,1.0
1724,pilv,opary,nouns,1.75
1725,neelatama,sączyć,verbs,1.6
1726,rahu,żołnierz,nouns,0.35
1727,papp,papier,nouns,3.15
1728,ustavalt,szczerze,adverbs,2.9
1729,uks,dzwon,nouns,0.3
1730,vähetähtis,istotny,adjectives,0.3
1731,erinema,zgadzać się,verbs,0.2
1732,vihmavari,kaliber,nouns,0.05
1733,rahulikult,subtelnie,adverbs,2.2
1734,doktor,profesor,nouns,2.05
1735,imik,dorosły,nouns,0.45
1736,miin,skała,nouns,0.3
1737,õli,norka,nouns,0.2
1738,tee,cytryna,nouns,0.35
1739,buss,pojazd,nouns,2.85
1740,elegants,styl,nouns,3.9
1741,nihilism,film,nouns,0.2
1742,kaduma,kurczyć się,verbs,2.0
1743,taastama,przynieść,verbs,0.9
1744,dollar,ludzie,nouns,0.05
1745,telefon,komórka,nouns,4.75
1746,vana,mieszany,adjectives,0.15
1747,mesilane,mrówka,nouns,0.9
1748,varastama,dać,verbs,0.15
1749,vaikselt,pasywnie,adverbs,1.05
1750,hommik,dzień,nouns,1.95
1751,valelik,zły,adjectives,2.45
1752,pottsepatöö,ceramika,nouns,3.05
1753,diood,kondensator,nouns,1.1
1754,ühiskond,kultura,nouns,1.95
1755,andma,zezwalać,verbs,2.05
1756,jooksja,atleta,nouns,2.65
1757,tõstatama,podnieść,verbs,2.35
1758,lahkuma,wycofywać się,verbs,2.85
1759,katastroof,wypadek,nouns,4.45
1760,arvuti,dysk,nouns,0.95
1761,tõsiselt,szczerze,adverbs,2.0
1762,vokalist,personel,nouns,0.45
1763,sõnaraamat,słowo,nouns,1.25
1764,mees,ojciec,nouns,2.2
1765,õppekava,egzamin,nouns,0.7
1766,kael,kręgosłup,nouns,1.05
1767,null,nieskończoność,nouns,0.7
1768,kahur,bal,nouns,0.75
1769,suurus,trik,nouns,0.05
1770,sõrm,dłoń,nouns,1.1
1771,ametlikult,znacząco,adverbs,2.05
1772,nüüd,tutaj,adverbs,1.45
1773,hüppamine,płot,nouns,0.55
1774,köök,łazienka,nouns,0.95
1775,lahkelt,łagodnie,adverbs,2.3
1776,evakueerima,ustalać,verbs,0.05
1777,valima,mianować,verbs,1.65
1778,ütlema,weryfikować,verbs,1.25
1779,haigus,gorączka,nouns,1.8
1780,jalg,piasek,nouns,0.05
1781,org,depresja,nouns,1.0
1782,veski,nasienie,nouns,0.6
1783,diivan,krzesło,nouns,1.4
1784,naps,zespół,nouns,0.3
1785,elektriline,słodki,adjectives,0.1
1786,riis,chłopiec,nouns,0.05
1787,osalema,argumentować,verbs,0.1
1788,atmosfäär,zanieczyszczenie,nouns,0.6
1789,kaabel,kaplica,nouns,0.05
1790,seisund,chłopiec,nouns,0.05
1791,hoidma,stracić,verbs,0.2
1792,kriitiliselt,zasadniczo,adverbs,0.75
1793,suhkur,miód,nouns,1.25
1794,diivan,łóżko,nouns,3.05
1795,abikaasa (naine),kobieta,nouns,2.95
1796,kuld,cynk,nouns,0.8
1797,kihluma,poślubić,verbs,1.2
1798,aru saama,pojmować,verbs,5.05
1799,vangla,pręt,nouns,0.85
1800,intuitsioon,zmysł,nouns,3.7
1801,vill,ilustracja,nouns,0.05
1802,maavärin,wstrząs,nouns,3.35
1803,meri,plaża,nouns,1.25
1804,odav,przystępny,adjectives,4.05
1805,mikroskoop,biolog,nouns,0.95
1806,ankur,łódź,nouns,1.1
1807,abieluväline,niecenzuralny,adjectives,0.65
1808,lapsik,niemądry,adjectives,1.9
1809,kass,lew,nouns,2.2
1810,dermatiit,egzema,nouns,2.85
1811,päikesetõus,zachód słońca,nouns,0.7
1812,hiir,pojemnik,nouns,0.25
1813,sõber,kumpel,nouns,4.65
1814,kuulama,przestrzegać,verbs,1.35
1815,pea,bark,nouns,0.9
1816,mesilane,królowa,nouns,0.75
1817,ülesanne,praca,nouns,3.1
1818,uus,starożytny,adjectives,0.2
1819,päästma,ocalać,verbs,4.9
1820,veen,naczynie,nouns,3.25
1821,rääkima,uznawać,verbs,1.0
1822,osa,rozdział,nouns,3.7
1823,marginaalselt,pobieżnie,adverbs,1.0
1824,hiiglasuur,tępy,adjectives,0.1
1825,hajuma,erodować,verbs,1.4
1826,itsitama,śmiać się,verbs,4.55
1827,tuginema,zależeć,verbs,2.05
1828,ootama,zostać,verbs,1.45
1829,raamat,temat,nouns,0.8
1830,auk,porozumienie,nouns,0.05
1831,jagamine,mnożenie,nouns,0.8
1832,peatuma,gwizdać,verbs,0.2
1833,õnnelik,rozzłoszczony,adjectives,0.2
1834,plekkpurk,butelka,nouns,1.1
1835,šampus,whisky,nouns,1.15
1836,kõndima,utykać,verbs,1.55
1837,hiir,pokład,nouns,0.15
1838,vastupidavus,siła,nouns,2.65
1839,kuulama,uczyć się,verbs,1.15
1840,ellu jääma,żyć,verbs,2.7
1841,teesklema,kłamać,verbs,2.8
1842,mahl,łyżka,nouns,0.3
1843,iste,brzeg,nouns,0.35
1844,päev,świt,nouns,1.8
1845,haiget tegema,upaść,verbs,0.9
1846,tsütoplasma,cyfra,nouns,0.05
1847,varjend,chatka,nouns,1.9
1848,varastama,nabyć,verbs,0.65
1849,triumf,zwycięstwo,nouns,5.35
1850,fonoloogia,ekran,nouns,0.1
1851,paat,motor,nouns,0.6
1852,päris,fałszywy,adjectives,0.25
1853,laenama,dać,verbs,2.15
1854,otsima,znaleźć,verbs,1.0
1855,seemik,liść,nouns,0.55
1856,kordama,ćwiczyć,verbs,3.0
1857,keha,klatka piersiowa,nouns,1.85
1858,piparmünt,muzeum,nouns,0.05
1859,nõustuma,zadowalać,verbs,0.85
1860,pall,rakieta,nouns,0.65
1861,ahv,kampania,nouns,0.05
1862,otsing,cel,nouns,1.45
1863,küüs,głowa,nouns,0.4
1864,kuupäev,urodziny,nouns,1.95
1865,nõrk,pikantny,adjectives,0.0
1866,tavaliselt,szczerze,adverbs,0.8
1867,hoidma,dać,verbs,0.35
1868,kokpit,drugi pilot,nouns,0.65
1869,uskumatu,zwykły,adjectives,0.35
1870,võitja,kandydat,nouns,0.95
1871,vibukütt,zwiadowca,nouns,1.05
1872,kasvatama,rozprzestrzeniać się,verbs,3.45
1873,meierei,miód,nouns,0.2
1874,tõsiselt,znacząco,adverbs,2.65
1875,maja,klucz,nouns,0.6
1876,pihk,palec,nouns,1.1
1877,teesklema,ukazywać,verbs,0.6
1878,ulatus,głębia,nouns,2.1
1879,võitja,cel,nouns,0.5
1880,aus,winny,adjectives,0.4
1881,uskuma,akceptować,verbs,1.4
1882,krediit,pożyczkobiorca,nouns,1.55
1883,vormimata,jednolity,adjectives,0.35
1884,koostööd tegema,uczestniczyć,verbs,3.1
1885,looma,nurkować,verbs,0.15
1886,abikaasa (naine),matka,nouns,1.7
1887,hävitama,konstruować,verbs,0.05
1888,säilitama,pozostać,verbs,1.3
1889,kerge,duży,adjectives,0.1
1890,tüdinud,nudny,adjectives,1.85
1891,sassis,uporządkowany,adjectives,0.25
1892,konteiner,butelka,nouns,1.8
1893,veri,szpik,nouns,0.95
1894,suhkruroog,konsorcjum,nouns,0.5
1895,alkohol,koktajl,nouns,2.25
1896,vaher,dąb,nouns,1.55
1897,arendus,kwestowanie,nouns,0.3
1898,suhtlus,konwersacja,nouns,3.3
1899,terav,łagodny,adjectives,0.15
1900,vesi,lód,nouns,1.65
1901,märg,klejący,adjectives,1.2
1902,vend,chłopiec,nouns,1.5
1903,sulam,stal,nouns,2.8
1904,ühinema,uczestniczyć,verbs,1.8
1905,vann,polano,nouns,0.0
1906,kohtunik,sąd,nouns,1.65
1907,kerge,trudny,adjectives,0.3
1908,kokkulangevus,waluta,nouns,0.05
1909,vägivaldne,radykalny,adjectives,1.8
1910,ujuma,spotykać,verbs,0.0
1911,lükkama,winić,verbs,0.25
1912,kurvalt,szalenie,adverbs,0.3
1913,meelt lahutama,zadowalać,verbs,2.35
1914,jalgratas,samochód,nouns,0.75
1915,võtma,posiąść,verbs,2.1
1916,kirik,katedra,nouns,4.1
1917,šerif,gliniarz,nouns,3.55
1918,kavatsus,wola,nouns,3.5
1919,informatsioon,książka,nouns,1.0
1920,suvi,zima,nouns,0.9
1921,sõrmus,zaręczyny,nouns,0.95
1922,ukseava,drzwi,nouns,3.7
1923,kiirus,słup,nouns,0.15
1924,kuubik,kości,nouns,1.9
1925,närviline,przestraszony,adjectives,1.85
1926,ühtne,nieukształtowany,adjectives,0.35
1927,kõht,sypialnia,nouns,0.1
1928,päikeseloojang,wschód słońca,nouns,0.7
1929,võrkpall,piłka,nouns,1.9
1930,informatsioon,gazeta,nouns,1.55
1931,tüütama,urazić,verbs,1.4
1932,paraad,tłum ,nouns,1.9
1933,ketas,ładowarka,nouns,0.35
1934,reaalsus,fantazja,nouns,0.45
1935,äri,przemysł,nouns,2.2
1936,piim,sok,nouns,0.8
1937,kiibid,kursor,nouns,0.2
1938,kirjandus,słowo,nouns,1.8
1939,tarkus,inteligencja,nouns,4.6
1940,hoidma,zatrzymywać,verbs,3.7
1941,hea,pikantny,adjectives,0.8
1942,kunstnik,dzieło sztuki,nouns,1.25
1943,haiget tegema,atakować,verbs,2.4
1944,kitsas,szeroki,adjectives,0.25
1945,plekitu,czysty,adjectives,4.8
1946,tila,płyn,nouns,0.6
1947,lärm,brzęk,nouns,2.3
1948,päikesepaiste,promień,nouns,2.25
1949,tegema,konstruować,verbs,3.15
1950,käsikiri,artykuł,nouns,1.3
1951,planeet,księżyc,nouns,1.65
1952,isa,syn,nouns,1.45
1953,tool,teleskop,nouns,0.0
1954,kannatused,rozpacz,nouns,1.9
1955,võtma,otrzymywać,verbs,1.95
1956,andma,otrzymywać,verbs,0.6
1957,klass,chaos,nouns,0.2
1958,mägi,półka (skalna),nouns,1.75
1959,pritsess,król,nouns,1.3
1960,imenduma,uczyć się,verbs,0.9
1961,allikas,gejzer,nouns,3.25
1962,arreteerima,podejrzewać,verbs,1.25
1963,ülesanne,notatka,nouns,0.55
1964,enamasti,głównie,adverbs,4.3
1965,peatuma,kontrolować,verbs,0.6
1966,võitja,mężczyzna,nouns,0.4
1967,piitsutama,bić,verbs,2.85
1968,televisioon,komunikacja,nouns,1.7
1969,mitte nõustuma,zgadzać się,verbs,0.25
1970,sõnaraamat,encyklopedia,nouns,2.05
1971,usaldusväärselt,pobieżnie,adverbs,0.25
1972,kalju,kopalnia,nouns,0.3
1973,tegema,stać się,verbs,0.85
1974,katma,chronić,verbs,1.7
1975,mäng,trik,nouns,1.35
1976,abikaasa (naine),cent,nouns,0.1
1977,lõbu,piłka nożna,nouns,1.0
1978,imelik,dziwny,adjectives,5.15
1979,kunstiteos,artysta ,nouns,1.25
1980,rutiinselt,normalnie,adverbs,3.05
1981,sisalik,krokodyl,nouns,1.95
1982,poiss,dziecko,nouns,3.1
1983,vesi,susza,nouns,0.3
1984,tool,taboret,nouns,3.55
1985,uhke,biedny,adjectives,0.4
1986,reket,piłka,nouns,0.65
1987,alkohol,whisky,nouns,2.75
1988,agressiivne,wygięty,adjectives,0.25
1989,ebamoraalne,zły,adjectives,3.25
1990,taotleja,aplikacja,nouns,1.0
1991,keel,komunikacja,nouns,2.2
1992,ülevõim,wszechmoc,nouns,2.25
1993,kaisutama,przytulić,verbs,4.85
1994,imperaator,gubernator,nouns,1.05
1995,boss,dyrektor,nouns,4.55
1996,tapma,walczyć,verbs,1.0
1997,torm,wiatr,nouns,3.0
1998,matma,umrzeć,verbs,1.1
1999,arst,usposobienie,nouns,0.1
2000,valuuta,wymiana,nouns,0.8
2001,hotell,mieszkanie,nouns,1.15
2002,välja tõstma,opuścić,verbs,1.6
2003,vürtsikas,dobry,adjectives,0.8
2004,hävitama,rozpadać się,verbs,1.75
2005,kokkulepe,pakt,nouns,4.8
2006,hommikusöök,bekon,nouns,0.95
2007,kuulma,mówić,verbs,0.75
2008,tegema,zdarzyć się,verbs,0.7
2009,osalema,przyjść,verbs,2.3
2010,tähelepanelikult,przezornie,adverbs,4.25
2011,põhiliselt,nieuleczalnie,adverbs,0.0
2012,säilitama,zachować,verbs,3.7
2013,kärbes,mrówka,nouns,1.35
2014,praadima,gotować,verbs,2.5
2015,võrdlema,analizować,verbs,3.75
2016,veider,osobliwy,adjectives,4.8
2017,koostama,niszczyć,verbs,0.05
2018,auto,winda,nouns,0.35
2019,väljendama,powiedzieć,verbs,3.45
2020,helde,miły,adjectives,1.5
2021,veri,wirus,nouns,0.8
2022,pudel,pojemnik,nouns,1.8
2023,koridor,klasa,nouns,0.65
2024,õnnemängu mängima,zakładać się,verbs,2.6
2025,jooma,sączyć,verbs,4.15
2026,perfektselt,prawdziwie,adverbs,0.8
2027,minema,wysyłać,verbs,0.35
2028,küngas,klif,nouns,2.1
2029,loll,rzadki,adjectives,0.0
2030,leidma,uciec,verbs,0.2
2031,valjusti,cicho,adverbs,0.1
2032,leib,mięso,nouns,0.35
2033,vajalikult,zasadniczo,adverbs,1.15
2034,kahtlev,gniewny,adjectives,0.4
2035,kõver,agresywny,adjectives,0.25
2036,lõdisema,zamarzać,verbs,1.25
2037,kaos,lekcja,nouns,0.2
2038,auto,czołg,nouns,0.7
2039,ilukirjandus,biografia,nouns,0.9
2040,rütm,wiersz,nouns,0.95
2041,vulkaan,magma,nouns,1.8
2042,teleskoop,burza mózgów,nouns,0.0
2043,tekk,drewno,nouns,0.05
2044,post,szybkość,nouns,0.15
2045,lehm,koza,nouns,1.1
2046,õpetaja,przyjaciel,nouns,0.7
2047,puu,klon,nouns,2.55
2048,tunnistama,akceptować,verbs,4.0
2049,küün,dom,nouns,1.0
2050,orkester,parada,nouns,0.55
2051,segama,jeździć,verbs,0.1
2052,pöial,ręka,nouns,1.45
2053,tagasi lükkama,unikać,verbs,2.0
2054,saavutama,próbować,verbs,0.75
2055,vaidlema,przekonywać,verbs,2.8
