ID,ENG,POL,PoS,score
1488,symbol,znak,nouns,5.23
1489,mutant,socjobiologia,nouns,0.15
1490,mink,futro,nouns,1.66
1491,combination,unia,nouns,1.71
1492,mechanic,robotnik,nouns,2.06
1493,drought,woda,nouns,0.04
1494,island,marynarka,nouns,0.05
1495,motherboard,płyta główna,nouns,3.04
1496,car,czołg,nouns,0.51
1497,lose,gotować,verbs,0.0
1498,drizzle,deszcz,nouns,3.42
1499,diplomacy,negocjacja,nouns,2.56
1500,receive,akceptować,verbs,1.79
1501,racket,piłka,nouns,0.44
1502,religion,sekularysta,nouns,0.15
1503,hymn,biblia,nouns,0.73
1504,easy,duży,adjectives,0.0
1505,currency,współbieżność,nouns,0.04
1506,condition,chłopiec,nouns,0.0
1507,molecule,powietrze,nouns,0.72
1508,add,budować,verbs,1.14
1509,sensor,kaloryfer,nouns,0.17
1510,reject,potępić,verbs,2.2
1511,smash,rozbić,verbs,2.99
1512,survive,żyć,verbs,3.09
1513,airport,kawałek,nouns,0.0
1514,snore,budzić się,verbs,0.09
1515,intelligent,tępy,adjectives,0.04
1516,intelligence,logika,nouns,2.54
1517,dinner,posiłek,nouns,3.26
1518,log,wanna,nouns,0.0
1519,comfortably,łatwo,adverbs,2.65
1520,biotope,biologia,nouns,0.54
1521,mediocre,zły,adjectives,1.66
1522,child,chłopiec,nouns,2.48
1523,appear,stać się,verbs,0.79
1524,illness,infekcja,nouns,3.14
1525,glow,świecić,verbs,4.16
1526,recently,realistycznie,adverbs,0.0
1527,saver,oszczędność,nouns,1.48
1528,whiskey,szampan,nouns,1.01
1529,regular,nieświadomy,adjectives,0.07
1530,bath,balon,nouns,0.0
1531,suspect,aresztować,verbs,0.67
1532,mayor,przewodniczący,nouns,1.58
1533,mouse,pojemnik,nouns,0.05
1534,please,prosić,verbs,0.31
1535,baseball,kanapa,nouns,0.0
1536,swamp,jezioro,nouns,0.88
1537,bell,drzwi,nouns,0.22
1538,unnaturally,negatywnie,adverbs,0.17
1539,tree,łódź,nouns,0.1
1540,car,powóz,nouns,2.57
1541,join,dodać,verbs,2.84
1542,protect,bronić,verbs,4.55
1543,read,rozumieć,verbs,1.29
1544,cheat,zwieść,verbs,4.05
1545,storm,huragan,nouns,2.85
1546,wander,odchodzić,verbs,0.46
1547,calmly,stanowczo,adverbs,0.66
1548,ancient,nowy,adjectives,0.04
1549,surely,czasem,adverbs,0.04
1550,split,odłączyć,verbs,3.19
1551,king,nepotyzm,nouns,0.51
1552,flower,krzak,nouns,1.21
1553,court,sędzia,nouns,1.35
1554,scared,nerwowy,adjectives,2.15
1555,vein,naczynie,nouns,2.2
1556,short,długi,adjectives,0.04
1557,clothed,przykryty,adjectives,2.71
1558,action,bieg,nouns,1.29
1559,dictionary,encyklopedia,nouns,1.89
1560,learn,dezorientować,verbs,0.0
1561,student,nauczyciel,nouns,0.26
1562,announce,deklarować,verbs,5.13
1563,sober,pijany,adjectives,0.04
1564,apple,cytryna,nouns,0.35
1565,formal,właściwy,adjectives,3.69
1566,word,strona,nouns,0.62
1567,dwarfish,przymały,adjectives,3.54
1568,football,zabawa,nouns,0.6
1569,guilty,zły,adjectives,1.69
1570,huge,wielki,adjectives,5.41
1571,alley,ulica,nouns,3.03
1572,salary,pieniądze,nouns,3.04
1573,book,artykuł,nouns,0.84
1574,possess,brać,verbs,1.91
1575,strong,dumny,adjectives,0.71
1576,shuffle,jeździć,verbs,0.0
1577,mathematician,widowisko,nouns,0.0
1578,supporter,krykiet,nouns,0.2
1579,music,melodia,nouns,3.22
1580,professor,doktor,nouns,1.73
1581,please,zabawiać,verbs,2.04
1582,friendly,hojny,adjectives,1.16
1583,peacefully,spokojnie,adverbs,4.0
1584,chart,wykres,nouns,4.29
1585,fast,prędki,adjectives,5.54
1586,pipe,cygaro,nouns,0.79
1587,define,wyjaśniać,verbs,3.67
1588,nephew,ciotka,nouns,0.57
1589,communication,język,nouns,2.34
1590,rude,głośny,adjectives,0.79
1591,demolish,rozwalić,verbs,4.04
1592,muscle,ramię,nouns,0.99
1593,obviously,pobieżnie,adverbs,0.14
1594,key,korona ,nouns,0.05
1595,calm,zrelaksowany,adjectives,4.47
1596,bee,mrówka,nouns,0.66
1597,sister,brat,nouns,1.19
1598,telescope,krzesło,nouns,0.0
1599,cotton,sweter,nouns,0.6
1600,salad,dieta,nouns,0.63
1601,chaotically,pokojowo,adverbs,0.04
1602,garden,wąż ogrodowy,nouns,0.33
1603,hand,gwóźdź,nouns,0.19
1604,people,cent,nouns,0.05
1605,strange,dziwaczny,adjectives,5.42
1606,gin,whisky,nouns,1.25
1607,top,bok,nouns,0.3
1608,death,pochówek,nouns,1.23
1609,oil,norka,nouns,0.0
1610,testify,osądzać,verbs,0.54
1611,butter,ziemniak,nouns,0.32
1612,promote,awansować,verbs,2.94
1613,couple,para,nouns,5.17
1614,opinion,pomysł,nouns,2.08
1615,cry,łkać,verbs,4.53
1616,spotless,czysty,adjectives,5.34
1617,tsunami,morze,nouns,0.85
1618,protect,ratować,verbs,3.08
1619,illness,gorączka,nouns,1.97
1620,organized,chaotyczny,verbs,0.04
1621,banker,prawnik,nouns,0.47
1622,cloud,mgła,nouns,2.23
1623,head,bark,nouns,0.81
1624,shiver,zamarzać,verbs,0.84
1625,tree,liść,nouns,0.66
1626,convention,zasada,nouns,2.63
1627,notebook,pistolet,nouns,0.0
1628,emotionally,smutno,adverbs,1.38
1629,kid,chłopiec,nouns,2.83
1630,colt,koń,nouns,3.04
1631,whiskey,alkohol,nouns,2.36
1632,rationalize,argumentować,verbs,2.56
1633,realize,odkryć,verbs,3.74
1634,cruel,niesprawiedliwy,adjectives,1.73
1635,ignore,eksplorować,verbs,0.0
1636,candidate,zwycięzca,nouns,0.73
1637,vinegar,sałatka,nouns,0.19
1638,guidebook,podręcznik,nouns,3.49
1639,sunrise,zachód słońca,nouns,0.42
1640,size,cent,nouns,0.0
1641,argue,uczęszczać,verbs,0.0
1642,companion,kochanek,nouns,1.92
1643,exciting,nudny,adjectives,0.04
1644,laugh,chichotać,verbs,4.58
1645,amazing,brudny,adjectives,0.0
1646,swallow,pić,verbs,2.19
1647,bean,kawa ,nouns,0.9
1648,weird,dziwny,adjectives,5.42
1649,sickness,rak,nouns,3.27
1650,irresponsible,niedojrzały,adjectives,3.29
1651,beach,morze,nouns,0.76
1652,nice,hojny,adjectives,1.17
1653,brow,oko,nouns,0.88
1654,roughly,marginalnie,adverbs,1.01
1655,neuropsychology,parapsychologia,nouns,1.51
1656,fever,grypa,nouns,1.66
1657,north,południe,nouns,0.41
1658,area,narożnik,nouns,0.56
1659,capture,naśladować,verbs,0.12
1660,bean,ryż,nouns,0.69
1661,ability,kompetencja,nouns,4.36
1662,bread,mąka,nouns,0.65
1663,floor,pokład,nouns,2.24
1664,ball,działo,nouns,0.36
1665,inch,metr,nouns,0.98
1666,typhoon,cyklon,nouns,4.22
1667,bedroom,łóżko,nouns,1.36
1668,men,braterstwo,nouns,0.9
1669,spine,szyja,nouns,1.02
1670,possibly,optymistycznie,adverbs,0.49
1671,scheme,pomysł,nouns,3.17
1672,animal,bestia,nouns,3.25
1673,outgoing,przychodzący,adjectives,0.54
1674,money,gotówka,nouns,5.26
1675,polite,właściwy,adjectives,2.39
1676,pretend,zakładać,verbs,0.48
1677,cat,pies,nouns,0.36
1678,differ,zgadzać się,verbs,0.04
1679,actor,telewizja,nouns,0.44
1680,overt,nieujawniony,adjectives,0.27
1681,leave,ignorować,verbs,1.32
1682,definitely,pewnie,adverbs,5.0
1683,sum,unia,nouns,0.49
1684,mist,deszcz,nouns,1.39
1685,beer,napój,nouns,2.34
1686,meter,jard,nouns,2.16
1687,save,ocalać,verbs,5.26
1688,drench,redukować,verbs,0.0
1689,situation,okoliczność,nouns,4.94
1690,fantasy,rzeczywistość,nouns,0.19
1691,monoculture,rolnictwo,nouns,1.39
1692,accident,katastrofa,nouns,3.83
1693,film,nihilizm,nouns,0.0
1694,renounce,tłumić,verbs,1.15
1695,fake,prawdziwy,adjectives,0.04
1696,upset,zawstydzony,adjectives,0.73
1697,possess,absorbować,verbs,0.84
1698,brother,ojciec,nouns,0.39
1699,away,w domu,adverbs,0.15
1700,choke,oddychać,verbs,0.0
1701,satisfy,rozumieć,verbs,0.22
1702,offend,naprzykrzać się,verbs,1.93
1703,worry,marnować,verbs,0.0
1704,theory,twierdzenie,nouns,4.81
1705,happily,aktywnie,adverbs,0.41
1706,bride,pan młody,nouns,1.19
1707,magma,wulkan,nouns,1.4
1708,singer,aktor,nouns,0.46
1709,speak,słyszeć,verbs,0.44
1710,attention,zainteresowanie,nouns,3.41
1711,value,stopa,nouns,1.07
1712,send,otrzymywać,verbs,0.29
1713,chase,śledzić,verbs,3.08
1714,create,wyobrażać sobie,verbs,1.89
1715,hail,deszcz,nouns,1.43
1716,door,podłoga,nouns,0.24
1717,liberty,wolność,nouns,5.17
1718,meaningfully,głęboko,adverbs,2.74
1719,gun,futro,nouns,0.0
1720,poverty,bogactwo,nouns,0.22
1721,lifestyle,cywilizacja,nouns,0.66
1722,accuse,winić,verbs,4.33
1723,add,mnożyć,verbs,0.48
1724,meet,pływać,verbs,0.27
1725,polyhedron,aktor,nouns,0.04
1726,today,dzisiaj wieczorem,adverbs,1.92
1727,son,chłopiec,nouns,1.89
1728,vector,matryca,nouns,1.25
1729,criticize,zauważyć,verbs,1.0
1730,brightly,wielce,adverbs,0.52
1731,pollution,prezydent,nouns,0.22
1732,prestige,bogactwo,nouns,1.66
1733,pupil,prezydent,nouns,0.0
1734,cigarette,tytoń,nouns,2.47
1735,steak,kurczak,nouns,0.71
1736,smartly,dojrzale,adverbs,2.33
1737,deputy,funkcjonariusz,nouns,1.59
1738,legend,morał,nouns,0.52
1739,lately,niedawno,adverbs,5.28
1740,environment,miecz,nouns,0.0
1741,currently,delikatnie,adverbs,0.0
1742,hostility,agresja,nouns,4.49
1743,mosaic,bazylika,nouns,0.39
1744,bad,mierny,adjectives,1.66
1745,give,pożyczyć,verbs,2.0
1746,page,słowo,nouns,0.62
1747,dinner,śniadanie,nouns,0.71
1748,fur,pistolet,nouns,0.0
1749,cook,stracić,verbs,0.0
1750,cliff,wzgórze,nouns,1.53
1751,push,winić,verbs,0.0
1752,reliably,odpowiedzialnie,adverbs,2.36
1753,cup,łyżka,nouns,0.54
1754,disown,dać,verbs,0.09
1755,enter,być dłużnym,verbs,0.0
1756,chapel,iglica,nouns,1.02
1757,realistically,idealnie,adverbs,0.72
1758,payment,moneta,nouns,1.46
1759,completely,wyłącznie,adverbs,2.25
1760,choir,kościół,nouns,0.69
1761,hardware,futerał,nouns,0.41
1762,subroutine,kompilator,nouns,1.31
1763,roughly,niecierpliwie,adverbs,1.14
1764,hate,lubić,verbs,0.0
1765,gently,życzliwie,adverbs,2.29
1766,criticism,argument,nouns,1.43
1767,straight,wygięty,adjectives,0.07
1768,hip,warga,nouns,0.14
1769,coin,płatność,nouns,1.46
1770,ice,śnieg,nouns,2.46
1771,guitar,pstrąg,nouns,0.0
1772,planet,gwiazda,nouns,1.81
1773,abundance,mnóstwo,nouns,4.75
1774,vampire,nietoperz,nouns,0.67
1775,narrow,brudny,adjectives,0.0
1776,cloud,opary,nouns,2.11
1777,separate,przyłączać,verbs,0.04
1778,criticize,nienawidzić,verbs,1.15
1779,movie,film,nouns,5.13
1780,know,rozumieć,verbs,3.08
1781,shine,błyszczeć,verbs,4.16
1782,fight,nie zgadzać się,verbs,1.89
1783,tail,klif,nouns,0.0
1784,chemistry,teoria,nouns,0.59
1785,princess,wyspa,nouns,0.0
1786,choice,wybory,nouns,2.06
1787,investigate,badać,verbs,3.65
1788,wall,cegła,nouns,0.66
1789,sense,intuicja,nouns,4.39
1790,hysteria,konfuzja,nouns,1.11
1791,weekly,miesięczny,adjectives,0.64
1792,stubborn,głupi,adjectives,0.45
1793,leave,wchodzić,verbs,0.29
1794,disown,wyrzekać się,verbs,4.37
1795,offend,obrazić,verbs,4.89
1796,send,iść,verbs,0.15
1797,wrist,ramię,nouns,1.11
1798,evacuate,ustalać,verbs,0.0
1799,wife,dziura,nouns,0.0
1800,gun,trik,nouns,0.05
1801,brother,syn,nouns,0.83
1802,participate,powiedzieć,verbs,0.15
1803,plenty,obfitość,nouns,4.75
1804,charger,dysk,nouns,0.32
1805,escape,znaleźć,verbs,0.0
1806,miss,uderzyć,verbs,0.05
1807,highway,zadanie,nouns,0.05
1808,scornful,wzgardliwy,adjectives,4.04
1809,night,dzień,nouns,0.21
1810,move,tkać,verbs,0.19
1811,wait,zostać,verbs,2.02
1812,disease,infekcja,nouns,3.06
1813,abnormally,normalnie,adverbs,0.04
1814,haul,podnieść,verbs,2.04
1815,perhaps,prawdopodobnie,adverbs,3.96
1816,trick,rozmiar,nouns,0.0
1817,truly,perfekcyjnie,adverbs,1.0
1818,violin,gitara,nouns,1.14
1819,clothes,tkanina,nouns,1.32
1820,avoid,zaprzeczać,verbs,0.39
1821,warn,zatrzymywać,verbs,0.58
1822,massive,astronomiczny,adjectives,2.81
1823,baggage,opłynięcie,nouns,0.07
1824,employee,pracodawca,nouns,0.66
1825,cook,wymieszać,verbs,0.51
1826,horse,pies,nouns,0.38
1827,straw,hymn,nouns,0.0
1828,terminally,głównie,adverbs,0.04
1829,theory,hipoteza,nouns,4.51
1830,freedom,oaza,nouns,0.45
1831,steal,nabyć,verbs,1.09
1832,hurricane,burza,nouns,2.85
1833,compiler,podprogram,nouns,1.31
1834,conversation,komunikacja,nouns,3.26
1835,body,klatka piersiowa,nouns,1.32
1836,foot,piasek,nouns,0.0
1837,nose,gardło,nouns,0.54
1838,make,tworzyć,verbs,4.1
1839,stupid,uparty,adjectives,0.45
1840,rule,konwencja,nouns,2.63
1841,man,triumfator,nouns,0.46
1842,guy,dziewczyna,nouns,0.39
1843,homework,esej,nouns,2.51
1844,great,zły,adjectives,0.04
1845,know,zapominać,verbs,0.04
1846,begin,startować,verbs,4.84
1847,lend,dać,verbs,2.0
1848,elephant,kompas,nouns,0.0
1849,cloud,okno,nouns,0.0
1850,husband,żona,nouns,1.12
1851,finger,dłoń,nouns,1.04
1852,follow,ścigać,verbs,3.08
1853,father,córka,nouns,0.28
1854,club,znak,nouns,0.0
1855,freeze,drżeć,verbs,0.84
1856,argument,krytyka,nouns,1.43
1857,door,okno,nouns,0.69
1858,aviation,lot,nouns,2.46
1859,magistrate,sędzia,nouns,4.04
1860,passively,niezawodnie,adverbs,0.1
1861,harbor,opakowanie,nouns,0.05
1862,decline,odrzucać,verbs,4.59
1863,simple,skomplikowany,adjectives,0.04
1864,subtly,spokojnie,adverbs,1.74
1865,maturely,słusznie,adverbs,1.33
1866,simple,trudny,adjectives,0.04
1867,mainly,nieuleczalnie,adverbs,0.04
1868,currency,wymiana,nouns,0.84
1869,heart,chirurgia,nouns,0.22
1870,sweater,bawełna,nouns,0.6
1871,mild,średni,adjectives,1.38
1872,examine,zbadać,verbs,3.65
1873,fantastically,niesamowicie,adverbs,5.09
1874,teacher,przyjaciel,nouns,0.26
1875,dawn,pistolet,nouns,0.0
1876,sunset,stół,nouns,0.0
1877,car,klakson,nouns,0.56
1878,topology,struktura,nouns,2.26
1879,order,menu,nouns,0.81
1880,sometimes,jednorodnie,adverbs,0.0
1881,kitchen,drzwi,nouns,0.14
1882,die,rozpadać się,verbs,0.56
1883,orange,cytrus,nouns,3.08
1884,terrific,wspaniały,adjectives,5.46
1885,blood,szpik,nouns,0.66
1886,priest,bóg,nouns,0.49
1887,discover,zdać sobie sprawę,verbs,3.74
1888,salad,ocet,nouns,0.19
1889,drawer,ubrania,nouns,0.3
1890,carry,przynieść,verbs,2.15
1891,old,mieszany,adjectives,0.05
1892,adult,dziecko,nouns,0.19
1893,join,uczestniczyć,verbs,2.71
1894,idea,wizerunek,nouns,0.39
1895,discuss,tłumaczyć,verbs,1.84
1896,radiator,sensor,nouns,0.17
1897,article,manuskrypt,nouns,1.32
1898,nerve,mózg,nouns,0.62
1899,poem,rytm,nouns,0.41
1900,monkey,kampania,nouns,0.0
1901,cheap,przystępny,adjectives,3.88
1902,elbow,kostka,nouns,0.59
1903,plant,rolnictwo,nouns,0.85
1904,become,robić,verbs,0.37
1905,nihilism,film,nouns,0.0
1906,letter,akapit,nouns,0.27
1907,poet,dziennikarz,nouns,0.56
1908,chase,złapać,verbs,0.72
1909,victim,telefon,nouns,0.0
1910,management,praca,nouns,0.82
1911,hard,prosty,adjectives,0.04
1912,frustration,gniew,nouns,4.0
1913,screen,fonologia,nouns,0.0
1914,sugar,miód,nouns,0.59
1915,want,pożyczać,verbs,0.25
1916,manner,droga,nouns,2.67
1917,paper,plakat,nouns,1.59
1918,writer,powieść,nouns,0.45
1919,borrow,zachować,verbs,0.12
1920,student,uczeń,nouns,5.1
1921,cameo,występ,nouns,0.84
1922,kidney,organ,nouns,2.75
1923,man,ojciec,nouns,2.11
1924,sad,straszny,adjectives,0.87
1925,cage,pręt,nouns,0.56
1926,cube,zabawka,nouns,0.05
1927,reheat,nagrzewać,nouns,1.38
1928,belly,podbrzusze,nouns,3.09
1929,evening,zachód słońca,nouns,2.21
1930,journey,podbój,nouns,0.88
1931,truthful,nieuczciwy,adjectives,0.04
1932,hit,karać,verbs,0.91
1933,broad,wąski,adjectives,0.04
1934,language,komunikacja,nouns,2.34
1935,criminal,przestępca,nouns,4.64
1936,policeman,polityk,nouns,0.13
1937,bed,krzesło,nouns,0.42
1938,inquire,szukać,verbs,2.06
1939,suffrage,wyjście,nouns,0.05
1940,swear,obiecywać,verbs,4.67
1941,pen,alfabet,nouns,0.09
1942,brick,ściana,nouns,0.66
1943,son,ojciec,nouns,0.86
1944,daughter,dzieciak,nouns,1.7
1945,madly,smutno,adverbs,0.04
1946,syllable,lemma,nouns,0.27
1947,instantly,raz,adverbs,0.48
1948,trout,gitara,nouns,0.0
1949,capability,kompetencja,nouns,4.02
1950,old,świeży,adjectives,0.04
1951,diet,jabłko,nouns,0.24
1952,argue,usprawiedliwiać,verbs,2.56
1953,chicken,stek,nouns,0.71
1954,descend,obniżać,verbs,1.15
1955,hard,hardy,adjectives,3.34
1956,bread,mięso,nouns,0.04
1957,anatomy,biologia,nouns,2.54
1958,pupil,student,nouns,5.1
1959,essay,książka,nouns,0.9
1960,borrow,sprzedawać,verbs,0.04
1961,cliff,ogon,nouns,0.0
1962,chair,łóżko,nouns,0.42
1963,borrower,kredyt,nouns,0.85
1964,get,pozostać,verbs,0.0
1965,lie,udawać,verbs,2.91
1966,do,zdarzyć się,verbs,0.59
1967,evaluate,uczyć się,verbs,1.12
1968,apparently,prosto,adverbs,0.87
1969,constitution,senat,nouns,0.57
1970,elevator,pudełko,nouns,0.14
1971,agree,zadowalać,verbs,0.74
1972,president,uczeń,nouns,0.0
1973,literature,książka,nouns,3.07
1974,negatively,nienaturalnie,adverbs,0.17
1975,theorem,teoria,nouns,4.81
1976,perspective,dystans,nouns,1.99
1977,prince,król,nouns,1.66
1978,literature,słowo,nouns,1.81
1979,explain,dyskutować,verbs,1.84
1980,disagree,zgadzać się,verbs,0.04
1981,ashamed,zmartwiony,adjectives,0.73
1982,unusual,rzadki,adjectives,4.75
1983,dinosaur,słoń,nouns,0.36
1984,national,znany,adjectives,0.25
1985,accuse,kłamać,verbs,0.07
1986,desire,chcieć,verbs,5.46
1987,shower,klasztor,nouns,0.0
1988,code,symbol,nouns,1.89
1989,foreskin,obrzezanie,nouns,0.94
1990,naturally,nienaturalnie,adverbs,0.04
1991,actor,piosenkarz,nouns,0.46
1992,agriculture,roślina,nouns,0.85
1993,certain,nerwowy,adjectives,0.0
1994,find,zlokalizować,verbs,4.53
1995,news,wstępniak,nouns,1.46
1996,flexible,łatwy,adjectives,1.13
1997,ask,modlić się,verbs,0.59
1998,sly,dziwny,adjectives,0.07
1999,hurt,upaść,verbs,0.3
2000,lady,dżentelmen,nouns,0.91
2001,post,szybkość,nouns,0.0
2002,tradition,rękodzieło,nouns,0.15
2003,genie,lampa,nouns,0.69
2004,bury,umrzeć,verbs,1.04
2005,journalist,poeta,nouns,0.56
2006,covered,ubrany,adjectives,2.71
2007,hose,samochód,nouns,0.25
2008,clarify,definiować,verbs,3.67
2009,task,praca,nouns,3.69
2010,travel,iść,verbs,2.47
2011,show,matematyk,nouns,0.0
2012,deeply,znacząco,adverbs,2.74
2013,snow,burza,nouns,1.14
2014,bargain,pens,nouns,0.17
2015,bedroom,żołądek,nouns,0.0
2016,sell,przypominać,verbs,0.0
2017,tennis,statystyka,nouns,0.05
2018,bank,siedzenie,nouns,0.15
2019,way,sposób,nouns,2.67
2020,can,butelka,nouns,1.1
2021,wood,papier,nouns,0.91
2022,pinch,walnąć,verbs,0.37
2023,swim,spotykać,verbs,0.27
2024,rush,śpieszyć się,verbs,4.85
2025,party,maska,nouns,0.25
2026,aggressive,wygięty,adjectives,0.0
2027,hurt,zmartwić,verbs,2.44
2028,comprehend,satysfakcjonować,verbs,0.22
2029,steeple,kaplica,nouns,1.02
2030,leaf,siewka,nouns,0.44
2031,loudly,subtelnie,adverbs,0.04
2032,carry,brać,verbs,0.46
2033,appear,uczęszczać,verbs,0.87
2034,window,dach,nouns,0.27
2035,clever,tępy,adjectives,0.04
2036,say,uczestniczyć,verbs,0.15
2037,win,powieść się,verbs,2.84
2038,shrink,redukować,verbs,3.78
2039,church,chór,nouns,0.69
2040,seem,stać się,verbs,0.36
2041,editorial,wiadomości,nouns,1.46
2042,pottery,ceramika,nouns,2.96
2043,laugh,płakać,verbs,0.09
2044,sly,hardy,adjectives,0.65
2045,trick,gra,nouns,0.84
2046,jumping,płot,nouns,0.1
2047,protect,pomagać,verbs,2.15
2048,deliver,akceptować,verbs,0.0
2049,alcohol,whisky,nouns,2.36
2050,collect,gromadzić,verbs,5.22
2051,caterpillar,jedwabnik,nouns,2.33
2052,lonely,biedny,adjectives,0.49
2053,destruction,konstrukcja,nouns,0.07
2054,odd,dziwaczny,adjectives,4.43
2055,hat,płaszcz,nouns,0.35
2056,marrow,krew,nouns,0.66
2057,target,strzała,nouns,0.34
2058,upset,zniechęcać,verbs,0.89
2059,calm,neutralny,adjectives,1.56
2060,monster,demon,nouns,4.06
2061,routinely,normalnie,adverbs,4.43
2062,size,trik,nouns,0.0
2063,happy,zadowolony,adjectives,4.93
2064,artwork,artysta ,nouns,0.89
2065,mouse,szczur,nouns,1.96
2066,descend,wycofywać się,verbs,1.52
2067,pray,pytać,verbs,0.59
2068,fry,zagotować,verbs,2.02
2069,attend,pojawić się,verbs,0.87
2070,agree,kłócić się,verbs,0.04
2071,pretend,wydawać się,verbs,1.24
2072,easily,pobieżnie,adverbs,0.15
2073,truly,znacząco,adverbs,1.07
2074,dirty,klejący,adjectives,1.35
2075,boy,partner,nouns,0.63
2076,food,program,nouns,0.0
2077,lemon,jabłko,nouns,0.35
2078,shake,zbierać,verbs,0.05
2079,rinse,myć,verbs,3.63
2080,blister,ilustracja,nouns,0.0
2081,spread,rozmazywać,verbs,4.08
2082,defend,zabić,verbs,0.3
2083,champagne,piwo,nouns,1.2
2084,adore,podziwiać,verbs,2.77
2085,television,kino,nouns,1.14
2086,visa,globalizm,nouns,0.19
2087,box,winda,nouns,0.14
2088,night,świt,nouns,0.19
2089,style,moda,nouns,4.46
2090,log,drewno,nouns,3.26
2091,precise,błędny,adjectives,0.0
2092,week,weekend,nouns,0.76
2093,sergeant,pistolet,nouns,0.37
2094,attitude,pewność siebie,nouns,2.16
2095,roof,sufit,nouns,2.95
2096,attend,przyjść,verbs,2.97
2097,strange,cudaczny,adjectives,4.87
2098,compete,skończyć,verbs,0.74
2099,bone,łokieć,nouns,1.05
2100,succeed,osiągnąć,verbs,3.35
2101,think,dowiadywać się,verbs,0.7
2102,king,książę,nouns,1.66
2103,lie,zaprzeczać,verbs,1.02
2104,skyscraper,pałac,nouns,0.61
2105,stomach,ciało,nouns,0.89
2106,discourage,nawalić,verbs,0.12
2107,mad,zadowolony,adjectives,0.0
2108,chapter,ogon,nouns,0.0
2109,ball,kostium,nouns,0.2
2110,presence,nieobecność,nouns,0.12
2111,draw,tworzyć,verbs,1.56
2112,dumb,głupi,adjectives,5.44
2113,band,parada,nouns,0.37
2114,extramarital,niecenzuralny,adjectives,0.17
2115,uncle,kuzyn,nouns,0.76
2116,ball,rękawica,nouns,0.37
2117,protestant,chrześcijanin,nouns,2.38
2118,usually,szczerze,adverbs,0.3
2119,spirit,bóg,nouns,2.21
2120,beach,rafa,nouns,0.59
2121,discourage,frustrować,verbs,1.49
2122,tank,samochód,nouns,0.51
2123,liquor,zespół,nouns,0.0
2124,occasionally,regularnie,adverbs,0.92
2125,cattle,owca,nouns,1.42
2126,carbohydrate,sacharoza,nouns,2.08
2127,make,stać się,verbs,0.37
2128,mix,rozpuszczać,verbs,1.34
2129,hallway,korytarz,nouns,5.51
2130,beer,szampan,nouns,1.2
2131,carriage,samochód,nouns,2.57
2132,responsibly,niezależnie,adverbs,0.74
2133,proud,śmiały,adjectives,1.58
2134,grade,szkoła,nouns,0.51
2135,modest,zawstydzony,adjectives,0.77
2136,violent,bierny,adjectives,0.0
2137,globalism,wiza,nouns,0.19
2138,bold,dumny,adjectives,1.58
2139,bottle,puszka,nouns,1.1
2140,boundary,granica,nouns,4.13
2141,gunboat,wybrzeże,nouns,0.04
2142,dairy,miód,nouns,0.21
2143,hole,porozumienie,nouns,0.0
2144,legion,armia,nouns,3.08
2145,laugh,śpiewać,verbs,0.26
2146,whenever,czasem,adverbs,0.92
2147,disorganized,zorganizowany,verbs,0.04
2148,spicy,dobry,adjectives,0.25
2149,great,błyskotliwy,adjectives,3.35
2150,street,zaułek,nouns,3.03
2151,business,firma,nouns,4.5
2152,huge,malutki,adjectives,0.07
2153,electricity,futerał,nouns,0.0
2154,manager,lider,nouns,3.55
2155,modest,czysty,adjectives,0.67
2156,keep,dać,verbs,0.1
2157,lover,towarzysz,nouns,1.92
2158,expensive,nieśmiały,adjectives,0.0
2159,melody,rytm,nouns,2.03
2160,rarely,zwykle,adverbs,0.17
2161,sweet,elektryczny,adjectives,0.0
2162,goal,poszukiwanie,nouns,1.63
2163,comprehend,wiedzieć,verbs,3.08
2164,ordinary,dziwny,adjectives,0.04
2165,horse,klacz,nouns,2.98
2166,hate,gardzić,verbs,5.0
2167,adversary,oponent,nouns,5.29
2168,radar,dżojstik,nouns,0.12
2169,tunnel,ścieżka,nouns,0.42
2170,smallish,karłowaty,adjectives,3.54
2171,sorrow,wstyd,nouns,0.79
2172,mechanically,idealnie,adverbs,0.3
2173,engage,poślubić,verbs,1.02
2174,day,poranek,nouns,2.1
2175,subtract,stracić,verbs,1.81
2176,bottle,pojemnik,nouns,2.25
2177,flag,weksylologia,nouns,1.17
2178,mild,ostry,adjectives,0.0
2179,student,profesor,nouns,0.36
2180,event,kwestarz,nouns,1.44
2181,ministry,sułtan,nouns,0.3
2182,woman,zadanie,nouns,0.0
2183,construct,niszczyć,verbs,0.04
2184,decide,konkludować,verbs,2.44
2185,liberty,cenzura,nouns,0.12
2186,whistle,zatrzymywać,verbs,0.05
2187,tear,oko,nouns,0.38
2188,convince,próbować,verbs,0.77
2189,parent,dorosły,nouns,1.8
2190,bone,ramię,nouns,0.57
2191,send,uczęszczać,verbs,0.0
2192,anger,szał,nouns,4.82
2193,campus,uniwersytet,nouns,2.65
2194,approve,pozwalać,verbs,4.38
2195,strongly,oficjalnie,adverbs,0.51
2196,lawful,nielegalny,adjectives,0.04
2197,haze,chmura,nouns,2.11
2198,unmentionable,pozamałżeński,adjectives,0.17
2199,sheep,jagnię,nouns,4.27
2200,acknowledge,powiadamiać,verbs,0.74
2201,belief,wrażenie,nouns,2.1
2202,tongue,mięsień,nouns,1.46
