ID,FRA,POL,PoS,score
1422,laid,niechlujny,adjectives,0.85
1423,actuellement,delikatnie,adverbs,0.15
1424,ballon,działo,nouns,0.5
1425,informe,jednolity,adjectives,0.55
1426,attaque,przestępstwo,nouns,2.2
1427,hostilité,agresja,nouns,4.2
1428,camion,pakunek,nouns,0.6
1429,chaise,taboret,nouns,3.65
1430,abeille,insekt,nouns,3.2
1431,mère,przyjaciel,nouns,1.1
1432,éroder,blaknąć,verbs,0.9
1433,notifier,uznawać,verbs,0.85
1434,saluer,występować,verbs,0.15
1435,homme,braterstwo,nouns,1.45
1436,monstre,demon,nouns,4.45
1437,détruire,zabić,verbs,2.5
1438,ami,kumpel,nouns,5.05
1439,attirer,uderzyć,verbs,0.55
1440,lion,kot,nouns,2.75
1441,moteur,maszyna,nouns,3.85
1442,acétylcholine,tęczówka,nouns,nan
1443,significativement,specjalnie,adverbs,2.55
1444,partenaire,facet,nouns,2.3
1445,astuce,rozmiar,nouns,0.0
1446,copilote,glina,nouns,0.4
1447,demander,pomagać,verbs,0.6
1448,colonel,dentysta,nouns,0.25
1449,accident,katastrofa,nouns,4.65
1450,bataille,podbój,nouns,3.05
1451,sol,dach,nouns,1.25
1452,honnêtement,nigdy,adverbs,0.05
1453,bateau,motor,nouns,1.2
1454,trouver,nabyć,verbs,2.2
1455,apparemment,oczywiście,adverbs,2.85
1456,alcool,piwo,nouns,3.65
1457,campagne,małpa,nouns,0.05
1458,bateau,kotwica,nouns,1.55
1459,jument,koń,nouns,3.8
1460,soir,zmierzch,nouns,4.6
1461,volcan,magma,nouns,2.15
1462,lumière,klawiatura,nouns,0.1
1463,inhabituel,rzadki,adjectives,5.0
1464,bon,znany,adjectives,0.7
1465,laisser,zezwalać,verbs,5.2
1466,île,zadanie,nouns,0.05
1467,porte,obecność,nouns,0.15
1468,frère,syn,nouns,1.65
1469,trône,miecz,nouns,0.55
1470,repas,talia,nouns,0.2
1471,pacifiquement,spokojnie,adverbs,4.15
1472,soi,pewność siebie,nouns,1.35
1473,spécial,wartościowy,adjectives,2.95
1474,négativement,nienaturalnie,adverbs,0.8
1475,dinde,kura,nouns,3.3
1476,chaîne,zachód słońca,nouns,0.0
1477,registre,wypadek,nouns,0.3
1478,eau,sól,nouns,0.95
1479,pièce,łóżko,nouns,0.7
1480,bol,talerz,nouns,3.0
1481,marijuana,zioło,nouns,5.4
1482,laisser,pojawić się,verbs,0.35
1483,mathématicien,widowisko,nouns,0.1
1484,regarder,obserwować,verbs,5.15
1485,dur,przebiegły,adjectives,1.0
1486,garder,stracić,verbs,0.75
1487,matin,dzień,nouns,2.7
1488,urgence,wypadek,nouns,2.9
1489,supporter,krykiet,nouns,0.55
1490,chambre,żołądek,nouns,0.05
1491,tâche,kobieta,nouns,0.05
1492,duc,republika,nouns,0.3
1493,prison,cela,nouns,3.75
1494,société,biznes,nouns,2.4
1495,laisser,przybywać,verbs,0.2
1496,fracasser,demolować,verbs,4.9
1497,apporter,przywrócić,verbs,0.9
1498,tomber,boleć,verbs,0.95
1499,vêtement,sukno,nouns,1.7
1500,conscience,uwaga,nouns,3.05
1501,adulte,niedojrzały,adjectives,0.7
1502,citron,herbata,nouns,0.85
1503,recevoir,brać,verbs,2.45
1504,taxi,samochód,nouns,3.75
1505,couloir,korytarz,nouns,5.4
1506,goutter,nalewać,verbs,1.5
1507,marteau,zęby,nouns,0.0
1508,femme,słoma,nouns,0.0
1509,pistolet,notatnik,nouns,0.1
1510,bizarre,dziwny,adjectives,5.35
1511,animal,osoba,nouns,0.75
1512,merveilleux,rozkoszny,adjectives,3.5
1513,astuce,wanna,nouns,0.0
1514,disque,ładowarka,nouns,0.8
1515,agression,wrogość,nouns,4.2
1516,régime,sałatka,nouns,1.05
1517,parfois,pewnie,adverbs,0.65
1518,fièrement,pokojowo,adverbs,0.45
1519,tempête,chmura,nouns,1.45
1520,astronome,galaktyka,nouns,1.5
1521,obtenir,nabyć,verbs,4.95
1522,nuage,jezioro,nouns,0.6
1523,prétendre,wydawać się,verbs,1.55
1524,batterie,teatr,nouns,0.05
1525,vacances,kalendarz,nouns,1.65
1526,pacte,porozumienie,nouns,5.2
1527,neige,lawina,nouns,2.4
1528,groupe,orkiestra,nouns,3.65
1529,incroyable,zwykły,adjectives,0.7
1530,cannelle,cukierek,nouns,0.8
1531,gestion,mysz,nouns,0.05
1532,tricher,zwieść,verbs,4.3
1533,aller,podróżować,verbs,3.45
1534,accuser,osądzać,verbs,3.7
1535,port,opakowanie,nouns,0.5
1536,crier,wrzeszczeć,verbs,5.65
1537,hôpital,łóżko,nouns,0.95
1538,faute,system,nouns,0.25
1539,aube,pistolet,nouns,0.05
1540,chance,szczęście,nouns,3.35
1541,élève,student,nouns,5.1
1542,décider,wybierać,verbs,4.8
1543,secouer,zbierać,verbs,0.2
1544,permettre,aprobować,verbs,3.8
1545,suffrage,wyjście,nouns,0.35
1546,précisément,precyzyjnie,adverbs,5.9
1547,se ruer,śpieszyć się,verbs,5.15
1548,confortablement,łatwo,adverbs,2.0
1549,agréable,okrutny,adjectives,0.55
1550,corridor,hol,nouns,5.4
1551,canonnière,wybrzeże,nouns,0.2
1552,dinde,ptak,nouns,3.35
1553,agressif,wygięty,adjectives,0.0
1554,vallée,depresja,nouns,1.3
1555,oiseau,kura,nouns,3.05
1556,attraper,pojmać,verbs,5.7
1557,policier,polityk,nouns,0.85
1558,alcool,koktajl,nouns,3.1
1559,nécessaire,niezbędny,adjectives,5.5
1560,propre,nieskazitelny,adjectives,5.35
1561,facile,ciężki,adjectives,0.7
1562,prestige,bogactwo,nouns,2.2
1563,vérifier,uzasadniać,verbs,2.25
1564,déranger,urazić,verbs,2.35
1565,mouvement,aktywność,nouns,4.0
1566,vent,szkwał,nouns,3.7
1567,oiseau,indyk,nouns,3.35
1568,restaurer,przynieść,verbs,0.9
1569,manette,radar,nouns,0.1
1570,dense,twardy,adjectives,1.15
1571,curseur,frytki,nouns,0.1
1572,intérêt,uwaga,nouns,4.25
1573,tasse,słoik,nouns,2.1
1574,gentiment,chojnie,adverbs,2.45
1575,donner,zaprzeczać,verbs,0.2
1576,maintenant,tutaj,adverbs,1.5
1577,portable,telefon,nouns,5.55
1578,sacre,woda,nouns,0.25
1579,crucial,ważny,adjectives,5.55
1580,facile,giętki,adjectives,1.1
1581,grand,giętki,adjectives,0.15
1582,écran,fonologia,nouns,0.05
1583,clarifier,definiować,verbs,4.2
1584,fourrure,pistolet,nouns,0.05
1585,chanson,wykonawca,nouns,1.65
1586,classe,chaos,nouns,0.2
1587,honteux,skromny,adjectives,1.2
1588,lac,chmura,nouns,0.6
1589,dangereusement,ostrożnie,adverbs,0.4
1590,alcool,wino,nouns,3.35
1591,immédiatement,raz,adverbs,0.75
1592,blesser,dokuczać,verbs,2.5
1593,examiner,zbadać,verbs,3.55
1594,penser,decydować,verbs,2.4
1595,poulet,ryż,nouns,0.75
1596,certain,nerwowy,adjectives,0.15
1597,reconnaître,powiadamiać,verbs,0.85
1598,atteindre,próbować,verbs,0.9
1599,bras,bark,nouns,3.2
1600,globalisation,wiza,nouns,0.6
1601,confondre,uczyć się,verbs,0.5
1602,officier,deputowany,nouns,1.9
1603,cerise,truskawka,nouns,2.6
1604,monde,glob,nouns,4.65
1605,cuisiner,stracić,verbs,0.05
1606,faible,silny,adjectives,0.7
1607,tombeur,facet,nouns,1.4
1608,voiture,taksówka,nouns,3.75
1609,nouveau,nieużywany,adjectives,4.85
1610,lampe,dżin,nouns,1.25
1611,effrayé,niepewny,adjectives,1.5
1612,ami,matka,nouns,1.1
1613,arrière-plan,tapeta,nouns,3.3
1614,apporter,przyjść,verbs,0.5
1615,mélanger,łączyć,verbs,4.85
1616,masque,impreza,nouns,1.2
1617,ouvrier,pracodawca,nouns,1.35
1618,sujet,opowieść,nouns,1.45
1619,anormalement,negatywnie,adverbs,0.8
1620,formule,rejestr,nouns,1.35
1621,boîtier,elektryczność,nouns,0.65
1622,pont,mysz,nouns,0.05
1623,calmement,stanowczo,adverbs,0.85
1624,saisir,satysfakcjonować,verbs,0.5
1625,coopérer,uczestniczyć,verbs,3.55
1626,organiser,zbierać,verbs,2.0
1627,hésitant,gniewny,adjectives,0.55
1628,gagner,robić,verbs,0.75
1629,défendre,chronić,verbs,5.3
1630,observer,oglądać,verbs,5.15
1631,organiser,wymagać,verbs,0.45
1632,fille,dzieciak,nouns,2.25
1633,détruire,robić,verbs,0.7
1634,sérieusement,pasywnie,adverbs,0.45
1635,passivement,cicho,adverbs,1.45
1636,malhonnête,prawdomówny,adjectives,0.5
1637,surface,narożnik,nouns,0.8
1638,satisfaire,zadowalać,verbs,4.85
1639,rejeter,wycofać,verbs,3.1
1640,boeuf,mięso,nouns,3.95
1641,ballon,kula,nouns,2.7
1642,créer,niszczyć,verbs,0.75
1643,incliner,wpłynąć,verbs,2.95
1644,canne à sucre,konsorcjum,nouns,0.35
1645,épicé,dobry,adjectives,0.4
1646,étaler,rozsmarować,verbs,4.2
1647,renoncer,tłumić,verbs,1.8
1648,maladie,rak,nouns,4.1
1649,registre,formuła,nouns,1.35
1650,combattre,gryźć,verbs,1.35
1651,criminalité,atak,nouns,2.2
1652,audacieux,dumny,adjectives,2.0
1653,se dépêcher,śpieszyć,verbs,5.15
1654,étroit,szeroki,adjectives,0.55
1655,tuer,niszczyć,verbs,2.5
1656,bulle,mydliny,nouns,2.1
1657,douche,klasztor,nouns,0.1
1658,massif,astronomiczny,adjectives,2.75
1659,cheval,klacz,nouns,3.8
1660,boîte,kapelusz,nouns,0.75
1661,athlète,biegacz,nouns,3.2
1662,saison,zima,nouns,3.6
1663,uniformément,czasem,adverbs,0.35
1664,sincèrement,zwykle,adverbs,0.5
1665,bourrasque,wiatr,nouns,3.7
1666,défilé,tłum ,nouns,2.4
1667,août,miesiąc,nouns,2.75
1668,bonheur,powodzenie,nouns,3.35
1669,président,zanieczyszczenie,nouns,0.35
1670,lutter,przejąć,verbs,0.4
1671,chapitre,epizod,nouns,3.8
1672,pull-over,bawełna,nouns,1.35
1673,deviner,irytować,verbs,0.3
1674,fort,dumny,adjectives,1.3
1675,sculpteur,posiadłość,nouns,0.3
1676,confiant,pewny,adjectives,5.05
1677,indice,słowo,nouns,1.25
1678,frais,szeroki,adjectives,0.15
1679,inquiet,niecierpliwy,adjectives,2.05
1680,molécule,atom,nouns,3.7
1681,disparaître,znikać,verbs,5.0
1682,frais de scolarité,stypendium,nouns,2.75
1683,haïr,gardzić,verbs,4.75
1684,porte,brama,nouns,4.4
1685,poulain,koń,nouns,3.85
1686,argent,perła,nouns,0.9
1687,élégance,styl,nouns,4.7
1688,démon,potwór,nouns,4.45
1689,grandement,oficjalnie,adverbs,1.15
1690,occasion,pens,nouns,0.2
1691,télescope,krzesło,nouns,0.2
1692,heureux,obłąkany,adjectives,0.65
1693,paire,dwójka,nouns,5.45
1694,fermement,spokojnie,adverbs,0.85
1695,estomac,talia,nouns,0.2
1696,président,aparat,nouns,0.05
1697,bon marché,brudny,adjectives,0.2
1698,localement,oczywiście,adverbs,0.15
1699,toit,okno,nouns,1.05
1700,marine,wyspa,nouns,0.7
1701,naturellement,nienaturalnie,adverbs,0.75
1702,réalisateur,kinematografia,nouns,1.75
1703,prêtre,bóg,nouns,1.35
1704,allée,przedpokój,nouns,1.65
1705,présence,zwycięzca,nouns,0.3
1706,pluie,mżawka,nouns,4.15
1707,automobile,samochód,nouns,5.7
1708,image,odbicie,nouns,3.55
1709,national,duży,adjectives,0.15
1710,musulman,biskup,nouns,0.85
1711,scientifique,pielęgniarka,nouns,0.7
1712,aéroport,kawałek,nouns,0.1
1713,trou,żona,nouns,0.1
1714,détester,krytykować,verbs,2.25
1715,échapper,znaleźć,verbs,0.3
1716,sauvegarder,zbierać,verbs,3.95
1717,paille,żona,nouns,0.0
1718,cancer,choroba,nouns,4.1
1719,élire,odrzucić,verbs,0.75
1720,rencontrer,odchodzić,verbs,0.35
1721,avocat,prawnik,nouns,4.4
1722,pauvre,dumny,adjectives,0.4
1723,taquiner,ranić,verbs,2.5
1724,faucon,ptak,nouns,3.85
1725,salle de cours,hol,nouns,0.8
1726,fantastiquement,niesamowicie,adverbs,5.2
1727,rare,egzotyczny,adjectives,4.55
1728,annoncer,deklarować,verbs,5.4
1729,voiture,ciężarówka,nouns,3.5
1730,cruel,miły,adjectives,0.55
1731,saisir,dążyć,verbs,0.4
1732,sable,stopa,nouns,0.3
1733,juriste,adwokat,nouns,4.4
1734,pardonner,rozumieć,verbs,2.4
1735,emploi,narzędzie,nouns,0.75
1736,structure,topologia,nouns,3.15
1737,garçon,dziecko,nouns,3.95
1738,définition,słownik,nouns,2.25
1739,promenade,podróż,nouns,4.5
1740,sentir,psuć,verbs,0.7
1741,plaider,pytać,verbs,2.25
1742,content,obłąkany,adjectives,0.65
1743,enterrer,umrzeć,verbs,1.75
1744,souris,pojemnik,nouns,0.1
1745,turbine,motor,nouns,4.0
1746,appartement,meble,nouns,1.3
1747,bois,polano,nouns,4.15
1748,reine,pszczoła,nouns,1.4
1749,île,marynarka,nouns,0.7
1750,cuit,zagotowany,adjectives,3.85
1751,fâché,gwałtowny,adjectives,2.35
1752,disparaître,znaleźć,verbs,0.2
1753,personne,zwierzę,nouns,0.75
1754,étreindre,tulić,verbs,5.35
1755,flexible,wielki,adjectives,0.15
1756,biologiste,mikroskop,nouns,1.4
1757,ouvrier,aparat,nouns,0.2
1758,prudemment,ostrożnie,adverbs,3.8
1759,évidemment,pobieżnie,adverbs,0.55
1760,rare,tępy,adjectives,0.15
1761,accord,dziura,nouns,0.0
1762,recueillir,trząść,verbs,0.2
1763,accomplir,osiągnąć,verbs,5.3
1764,mordre,walczyć,verbs,1.35
1765,docteur,ortodonta,nouns,3.55
1766,charbon,węgiel drzewny,nouns,4.25
1767,passif,gwałtowny,adjectives,0.35
1768,vélo,skóra,nouns,0.2
1769,flexible,elastyczny,adjectives,5.0
1770,crayon,opowieść,nouns,0.25
1771,penser,dowiadywać się,verbs,0.8
1772,pomme,światło słoneczne,nouns,0.35
1773,date,data,nouns,2.4
1774,fourrure,kobieta,nouns,0.25
1775,sel,woda,nouns,0.95
1776,cerveau,umysł,nouns,3.75
1777,battre en retraite,zstępować,verbs,1.05
1778,emploi,kierownictwo,nouns,1.5
1779,programme,jedzenie,nouns,0.55
1780,terne,ostry,adjectives,0.05
1781,merveilleux,piękny,adjectives,4.05
1782,revêtement,rower,nouns,0.2
1783,artificiel,fałszywy,adjectives,4.5
1784,frigide,kruchy,adjectives,0.35
1785,soigneusement,niebezpiecznie,adverbs,0.4
1786,fureur,gniew,nouns,4.9
1787,violent,radykalny,adjectives,2.65
1788,promouvoir,awansować,verbs,3.05
1789,aller,zezwalać,verbs,0.3
1790,dispositif,garnek,nouns,0.1
1791,liberté,oaza,nouns,0.5
1792,rondin,drewno,nouns,3.85
1793,remuer,wymieszać,verbs,4.2
1794,liste,ciąg,nouns,2.35
1795,ami,nauczyciel,nouns,0.8
1796,perdre,nawalić,verbs,4.55
1797,comprendre,wybaczać,verbs,2.4
1798,ananas,smartfon,nouns,0.0
1799,carte,brydż,nouns,0.75
1800,mot,wskazówka,nouns,1.25
1801,parapluie,grzejnik,nouns,0.25
1802,astronomique,ogromny,adjectives,2.75
1803,vivre,przeżyć,verbs,3.75
1804,satisfaire,prosić,verbs,0.15
1805,libre,niewinny,adjectives,1.4
1806,sol,pokład,nouns,2.5
1807,énerver,zgadywać,verbs,0.3
1808,se renseigner,myśleć,verbs,0.8
1809,probablement,naprawdę,adverbs,1.75
1810,briller,świecić,verbs,5.15
1811,tennis,statystyka,nouns,0.3
1812,estomac,żyła,nouns,0.8
1813,boussole,słoń,nouns,0.0
1814,circumnavigation,bagaż,nouns,0.5
1815,devenir,zrealizować,verbs,2.05
1816,arrêter,jechać,verbs,0.75
1817,violette,kwiat,nouns,3.6
1818,molécule,matryca,nouns,0.3
1819,impatiemment,pobieżnie,adverbs,1.0
1820,carré,mapa,nouns,0.4
1821,anatomie,biologia,nouns,2.85
1822,siroter,pić,verbs,4.25
1823,légèrement,jasno,adverbs,0.45
1824,victoire,triumf,nouns,5.85
1825,politicien,policjant,nouns,0.85
1826,heureux,zadowolony,adjectives,5.0
1827,autruche,sad,nouns,0.05
1828,victime,telefon,nouns,0.1
1829,mûrement,słusznie,adverbs,1.6
1830,bol,zaułek,nouns,0.0
1831,bruine,deszcz,nouns,4.15
1832,main,nadgarstek,nouns,2.55
1833,demander,prosić,verbs,2.25
1834,défendre,zabić,verbs,0.8
1835,épicé,słaby,adjectives,0.1
1836,lit,meble,nouns,3.05
1837,politicien,prezydent,nouns,3.9
1838,fait,wgląd,nouns,1.3
1839,se disputer,narzekać,verbs,1.8
1840,armée,legion,nouns,3.35
1841,débattre,przekonywać,verbs,3.4
1842,électricité,futerał,nouns,0.65
1843,enquêter,badać,verbs,3.55
1844,large,świeży,adjectives,0.15
1845,jet,samolot,nouns,4.2
1846,notifier,ukazywać,verbs,1.35
1847,ère,dekada,nouns,2.85
1848,menace,niebezpieczeństwo,nouns,5.7
1849,reflet,wizerunek,nouns,3.55
1850,incertain,przestraszony,adjectives,1.5
1851,sincèrement,poważnie,adverbs,2.05
1852,banquier,prawnik,nouns,1.1
1853,moteur,łódź,nouns,1.2
1854,coûteux,nieśmiały,adjectives,0.1
1855,fraternité,mężczyźni,nouns,1.45
1856,étranger,obcy,nouns,4.1
1857,timide,przestraszony,adjectives,2.1
1858,laisser,wędrować,verbs,0.6
1859,wagon,pojemnik,nouns,0.25
1860,beurre,ziemniak,nouns,1.05
1861,jeune,szczęśliwy,adjectives,0.5
1862,vague,niejasny,adjectives,4.65
1863,haut,piąty,adjectives,0.15
1864,devenir,organizować,verbs,0.2
1865,hurler,kłócić się,verbs,2.6
1866,sévèrement,zasadniczo,adverbs,0.65
1867,collecter,oszczędzać,verbs,3.95
1868,enseigner,edukować,verbs,5.1
1869,typhon,cyklon,nouns,4.65
1870,municipalité,miasteczko,nouns,4.6
1871,accident,awaria,nouns,2.9
1872,étouffer,spalić,verbs,0.45
1873,ordinateur,dysk,nouns,1.8
1874,bateau,drzewo,nouns,0.3
1875,furieux,szczęśliwy,adjectives,0.65
1876,acier,stop ,nouns,2.9
1877,voyage,wycieczka,nouns,4.5
1878,accepter,zgądzać się,verbs,4.5
1879,accomplir,pozdrawiać,verbs,0.15
1880,saisir,czytać,verbs,0.95
1881,malin,inteligentny,adjectives,4.95
1882,mélanger,mieszać,verbs,4.2
1883,président,polityk,nouns,3.9
1884,lisse,ostry,adjectives,1.0
1885,source,pudełko,nouns,0.0
1886,anxieux,wystraszony,adjectives,3.65
1887,voler,dać,verbs,0.7
1888,faible,pikantny,adjectives,0.1
1889,chercher,wędrować,verbs,1.75
1890,jeu,trik,nouns,1.7
1891,offenser,obrazić,verbs,4.85
1892,précieux,specjalny,adjectives,2.95
1893,évidemment,najwyraźniej,adverbs,2.85
1894,boeuf,koń,nouns,2.0
1895,foie,organ,nouns,3.35
1896,lard,mięso,nouns,4.1
1897,maison,klucz,nouns,0.85
1898,terminer,rywalizować,verbs,0.15
1899,boire,wznosić,verbs,0.15
1900,orteil,palec,nouns,4.2
1901,chanteur,personel,nouns,0.25
1902,collecter,organizować,verbs,2.0
1903,errer,odchodzić,verbs,0.6
1904,mosaïque,bazylika,nouns,0.6
1905,vendre,przypominać,verbs,0.2
1906,tâche,szosa,nouns,0.1
1907,mal,niemoralny,adjectives,3.7
1908,cheville,okno,nouns,0.0
1909,tour,dzwon,nouns,1.05
1910,grossièrement,oczywiście,adverbs,0.55
1911,grand,ogromny,adjectives,5.25
1912,normalement,rutynowo,adverbs,3.45
1913,parcourir,wędrować,verbs,3.4
1914,devoir,pożyczyć,verbs,1.75
1915,outil,praca,nouns,0.75
1916,télévision,komunikacja,nouns,1.9
1917,état,dom ,nouns,0.05
1918,puéril,niemądry,adjectives,2.9
1919,gant,piłka,nouns,0.8
1920,gestion,administracja,nouns,4.35
1921,histoire,piosenka,nouns,1.4
1922,chambre à coucher,rower,nouns,0.05
1923,grandement,niewiarygodnie,adverbs,1.55
1924,quotidiennement,normalnie,adverbs,2.0
1925,communication,język,nouns,3.15
1926,estomac,kurs,nouns,0.1
1927,flexible,skromny,adjectives,0.2
1928,donner,wiedzieć,verbs,0.4
1929,cuisine,drzwi,nouns,0.55
1930,concrètement,niedawno,adverbs,0.15
1931,connu,narodowy,adjectives,1.05
1932,décider,myśleć,verbs,2.4
1933,liberté,swoboda,nouns,4.55
1934,tranquillement,bezpiecznie,adverbs,2.0
1935,père,mężczyzna,nouns,2.8
1936,stupide,niemądry,adjectives,5.35
1937,arrêter,podejrzewać,verbs,1.4
1938,contraire,unikatowy,adjectives,0.4
1939,brûler,udusić,verbs,0.45
1940,gravité,meteor,nouns,0.85
1941,essayer,myśleć,verbs,0.4
1942,professeur,przyjaciel,nouns,0.8
1943,réfuter,zezwalać,verbs,0.25
1944,définir,wyjaśniać,verbs,4.2
1945,hiver,pora roku,nouns,3.6
1946,condition,pakt,nouns,1.95
1947,armée,marynarka,nouns,3.75
1948,fleur,wytrzymałość,nouns,0.2
1949,copain,przyjaciel,nouns,5.05
1950,maire,prezydent,nouns,2.25
1951,aller,wchodzić,verbs,3.05
1952,devoir,wchodzić,verbs,0.15
1953,partenaire,chłopiec,nouns,1.65
1954,sénat,konstytucja,nouns,1.65
1955,donner,wyrzec się,verbs,0.15
1956,effrayé,nerwowy,adjectives,1.65
1957,rappeler,sprzedawać,verbs,0.2
1958,dent,kość,nouns,2.6
1959,couple,para,nouns,5.45
1960,oiseau,jastrząb,nouns,3.85
1961,soleil,jabłko,nouns,0.35
1962,choix,żyła,nouns,0.25
1963,diode,kondensator,nouns,1.2
1964,mortellement,szczęśliwie,adverbs,0.3
1965,style,moda,nouns,4.55
1966,mécaniquement,idealnie,adverbs,0.45
1967,appartement,dom,nouns,4.4
1968,déterminer,ewakuować,verbs,0.2
1969,livrer,brać,verbs,0.6
1970,facilement,swobodnie,adverbs,2.0
1971,silencieusement,pasywnie,adverbs,1.45
1972,homme,wojownik,nouns,1.8
1973,article,manuskrypt,nouns,1.85
1974,beauté,wiek,nouns,0.6
1975,grossièrement,marginalnie,adverbs,1.2
1976,fou,zadowolony,adjectives,0.65
1977,paille,zadanie,nouns,0.0
1978,journaliste,poeta,nouns,1.15
1979,marrant,smutny,adjectives,0.6
1980,chaos,lekcja,nouns,0.2
1981,dire,weryfikować,verbs,0.75
1982,tsunami,morze,nouns,1.4
1983,vieux,świeży,adjectives,0.15
1984,salade,dieta,nouns,1.05
1985,chimie,teoria,nouns,1.3
1986,ouvrier,mechanik,nouns,2.9
1987,purgatoire,zaświaty,nouns,2.55
1988,jeans,kobieta,nouns,0.05
1989,polyèdre,aktor,nouns,0.0
1990,recevoir,akceptować,verbs,2.4
1991,brut,brzydki,adjectives,1.05
1992,canyon,dolina,nouns,3.7
1993,radical,gwałtowny,adjectives,2.65
1994,bible,książka,nouns,3.45
1995,larme,oko,nouns,1.2
1996,catastrophe,śmierć,nouns,2.3
1997,globe,świat,nouns,4.65
1998,cytoplasme,cyfra,nouns,0.0
1999,repas,kolacja,nouns,3.9
2000,événement,kwestarz,nouns,1.15
2001,langage,komunikacja,nouns,3.15
2002,haricot,kawa ,nouns,0.9
2003,critiquer,nienawidzić,verbs,2.25
2004,rivage,plaża,nouns,4.2
2005,téléphone,ofiara,nouns,0.1
2006,honteux,pomyślny,adjectives,0.45
2007,oublier,wybaczać,verbs,2.75
2008,shérif,gliniarz,nouns,3.8
2009,livrer,akceptować,verbs,0.55
2010,chanson,ballada,nouns,4.25
2011,témoigner,osądzać,verbs,1.15
2012,animal de compagnie,kot,nouns,3.7
2013,débattre,różnić się,verbs,2.15
2014,frais,stary,adjectives,0.15
2015,baignoire,żona,nouns,0.05
2016,littérature,słowo,nouns,2.15
2017,artiste,dzieło sztuki,nouns,1.75
2018,criminel,przestępca,nouns,5.1
2019,condamner,odrzucić,verbs,3.2
2020,réduire,przemoczyć,verbs,0.05
2021,lapin,kot,nouns,1.5
2022,apprendre,ewaluować,verbs,1.5
2023,boeuf,bydło,nouns,4.0
2024,parent,dorosły,nouns,3.05
2025,boisson,piwo,nouns,3.35
2026,rapide,pośpieszny,adjectives,5.15
2027,évidemment,lokalnie,adverbs,0.15
2028,condition,chłopiec,nouns,0.05
2029,vouloir,pragnąć,verbs,5.5
2030,toit,podłoga,nouns,1.25
2031,fortuit,nieoczekiwany,adjectives,5.55
2032,instamment,szybko,adverbs,4.3
2033,veine,wybór,nouns,0.25
2034,illustration,pęcherz,nouns,0.15
2035,laisser,wchodzić,verbs,0.45
2036,tableau,lista,nouns,2.35
2037,fleur,przekonanie,nouns,0.0
2038,plafond,katedra,nouns,0.5
2039,meuble,mieszkanie,nouns,1.3
2040,réussir,zrealizować,verbs,5.3
2041,dissertation,książka,nouns,1.05
2042,assister,argumentować,verbs,0.55
2043,poule,ptak,nouns,3.05
2044,robotique,symulacja,nouns,1.2
2045,déraisonnablement,niesprawiedliwie,adverbs,2.2
2046,taxi,taksówka,nouns,5.35
2047,distance,perspektywa,nouns,2.85
2048,littérature,książka,nouns,3.4
2049,pièce,lotnisko,nouns,0.1
2050,positivement,prawdopodobnie,adverbs,1.75
2051,bal,kostium,nouns,1.15
2052,chenille,jedwabnik,nouns,3.25
2053,pont,karta,nouns,0.75
2054,quitter,eksmitować,verbs,2.0
2055,ministère,sułtan,nouns,0.65
2056,essuyer,pogorszyć się,verbs,0.4
2057,servante,pomocnik,nouns,2.0
2058,gestion,praca,nouns,1.5
2059,lit,kanapa,nouns,3.5
2060,gens,pistolet,nouns,0.2
2061,lèvre,usta,nouns,3.95
2062,hanche,warga,nouns,0.65
2063,danse,sukienka,nouns,0.45
2064,obéir,zachowywać się,verbs,3.1
2065,nager,spotykać,verbs,0.3
2066,couvrir,zakopać,verbs,3.0
2067,prendre,otrzymywać,verbs,2.45
2068,microscope,biolog,nouns,1.4
2069,enjoué,rozkoszny,adjectives,1.25
2070,ballon,kosz,nouns,0.95
2071,centime,okazja,nouns,0.2
2072,légion,dostojeństwo,nouns,2.1
2073,persévérance,siła,nouns,3.05
2074,dirigeant,król,nouns,5.2
2075,rondin,drewno,nouns,4.15
2076,posséder,brać,verbs,2.5
2077,chef,menadżer,nouns,4.35
2078,assister,wysyłać,verbs,0.25
2079,désavouer,dać,verbs,0.15
2080,simplement,najwyraźniej,adverbs,1.4
2081,incurvé,zakrzywiony,adjectives,5.45
2082,éblouir,zezować,verbs,0.15
2083,papier peint,tło,nouns,3.3
2084,chalet,pole,nouns,0.9
2085,intelligence,logika,nouns,3.15
2086,persil,babeczka,nouns,0.3
2087,menu,zamówienie,nouns,1.65
2088,cyclone,tajfun,nouns,4.65
2089,gagner,dominować,verbs,2.85
2090,attention,świadomość,nouns,3.05
2091,commande,menu,nouns,1.65
2092,venir,uczęszczać,verbs,3.1
2093,lit,pokój,nouns,0.7
2094,rythme,arytmetyka,nouns,0.1
2095,feu,apokalipsa,nouns,1.4
2096,normalement,codziennie,adverbs,2.0
2097,paracétamol,bronchit,nouns,1.0
2098,fraternité,baseball,nouns,0.2
2099,corps,ramię,nouns,1.95
2100,bouche,warga,nouns,3.95
2101,couloir,klasa,nouns,0.8
2102,gagnant,cel,nouns,0.75
2103,accuser,winić,verbs,4.6
2104,principalement,nieuleczalnie,adverbs,0.0
2105,fraude,przestępstwo,nouns,4.4
2106,insensé,szalony,adjectives,5.45
2107,évidemment,pewnie,adverbs,4.05
2108,bras,gałęź,nouns,0.95
2109,enseignant,instruktor,nouns,5.5
2110,allée,hol,nouns,3.35
2111,frustration,gniew,nouns,3.85
2112,penser,kontemplować,verbs,2.3
