ID,SPA,YUE,PoS,score
1504,campanario,教堂,nouns,0.77
1505,codo,骨頭,nouns,0.58
1506,cerveza,飲品,nouns,2.08
1507,dar,收到,verbs,0.33
1508,crear,毀滅,verbs,0.1
1509,multitud,遊行,nouns,1.6
1510,reñir,需求,verbs,0.25
1511,conservar,保持,verbs,4.46
1512,costa,海灘,nouns,3.62
1513,matar,防守,verbs,0.2
1514,hidalgo,女士,nouns,0.86
1515,mezcla,攪拌,verbs,3.78
1516,desaparecer,搵到,verbs,0.15
1517,cama,椅子,nouns,1.61
1518,niño,女孩,nouns,2.83
1519,vehículo,巴士,nouns,2.34
1520,descubrir,認識到,verbs,3.93
1521,ir,開始,verbs,0.3
1522,partido,面具,nouns,0.29
1523,comodidad,羞辱,verbs,0.0
1524,puerta,鐘,nouns,0.43
1525,vinagre,沙拉,nouns,0.78
1526,orgulloso,傷心,adjectives,0.05
1527,estrecho,白色,adjectives,0.0
1528,cubo,玩具,nouns,0.59
1529,camión,汽車,nouns,1.78
1530,honor,敬重,nouns,2.36
1531,sutilmente,大聲地,adverbs,0.1
1532,fácil,簡單,adjectives,5.07
1533,tenis,統計資料,nouns,0.25
1534,pradera,草地,nouns,4.43
1535,costa,小炮艦,nouns,0.39
1536,destruir,殺,verbs,1.98
1537,béisbol,兄弟會,nouns,0.29
1538,adulto,嬰兒,nouns,0.48
1539,texto,書,nouns,1.75
1540,quinto,最佳,adjectives,0.14
1541,idealmente,機械地,adverbs,0.28
1542,jugador,教練,nouns,0.25
1543,estupendo,壞,adjectives,0.1
1544,empleador,員工,nouns,0.63
1545,cocinar,失去,verbs,0.1
1546,retratar,決定,verbs,0.3
1547,picante,弱,adjectives,0.04
1548,mutante,社會生物學,nouns,0.34
1549,reprimir,宣佈放棄,verbs,0.64
1550,precioso,神聖,adjectives,1.59
1551,cola,懸崖,nouns,0.04
1552,destruir,做,verbs,0.24
1553,magma,火山,nouns,1.91
1554,tejer,制服,nouns,0.15
1555,truco,沖涼,nouns,0.04
1556,queso,麵包,nouns,0.48
1557,suéter,棉,nouns,0.63
1558,saber,忘記,verbs,0.15
1559,plato,碗,nouns,2.38
1560,inseguro,黏人,adjectives,0.57
1561,duro,容易,adjectives,0.28
1562,notificar,描繪,verbs,0.3
1563,ruidosamente,輕輕的,adverbs,0.18
1564,hombre,丈夫,nouns,2.04
1565,destrucción,建造,nouns,0.29
1566,cena,早餐,nouns,1.65
1567,mensual,每週,adjectives,0.97
1568,microscopio,生物學家,nouns,1.02
1569,bizarro,奇怪,adjectives,4.13
1570,grande,寬廣,adjectives,2.41
1571,tarro,瓶子,nouns,2.88
1572,gotear,倒,verbs,1.17
1573,apretar,把握,verbs,2.62
1574,pollo,晚餐,nouns,0.94
1575,parcialidad,傾向,verbs,2.63
1576,sugerir,提議,verbs,4.63
1577,seguro,乏味,adjectives,0.1
1578,salir,徘徊,verbs,0.74
1579,nuevo,新鮮,adjectives,3.32
1580,asesorar,建議,verbs,4.63
1581,lago,沼澤,nouns,2.67
1582,a casa,在別處,adverbs,0.14
1583,mía,岩石,nouns,0.46
1584,cuerpo,肩,nouns,0.86
1585,modesto,謙遜,adjectives,4.78
1586,bucear,創建,verbs,0.04
1587,creencia,價值觀,nouns,2.68
1588,hombre,兒童,nouns,1.31
1589,canción,歌謠,nouns,4.08
1590,entender,原諒,verbs,0.68
1591,capa,帽子,nouns,0.58
1592,suerte,慚愧,adjectives,0.04
1593,generalmente,很少地,adverbs,0.1
1594,indigente,億萬富翁,nouns,0.15
1595,rodilla,手臂,nouns,0.43
1596,coche,的士,nouns,3.99
1597,aparente,明顯,adjectives,4.45
1598,derecho,學校,nouns,0.58
1599,erosionar,允許,verbs,0.0
1600,campaña,猴子,nouns,0.14
1601,abrazar,保持,verbs,0.55
1602,sensor,散熱器,nouns,0.96
1603,corto,長,adjectives,0.24
1604,tejer,移動,verbs,0.15
1605,objetivo,打中,verbs,0.75
1606,sofisticado,成熟,adjectives,1.02
1607,pared,城堡,nouns,0.39
1608,cabina,棚屋,nouns,0.7
1609,acetilcolina,鳶尾花,nouns,0.15
1610,difícil,簡單,adjectives,0.24
1611,tocino,肉,nouns,2.02
1612,citoplasma,數字,nouns,0.0
1613,árbol,楓樹,nouns,3.98
1614,programa,食物,nouns,0.05
1615,permanecer,離開,verbs,0.1
1616,nube,霧,nouns,1.65
1617,congreso,議會,nouns,3.44
1618,duro,殘酷,adjectives,3.56
1619,estudiante,老師,nouns,0.76
1620,obedecer,懲罰,verbs,0.64
1621,manzana,陽光,nouns,0.25
1622,carne,煙肉,nouns,2.02
1623,condición,男孩,nouns,0.1
1624,negar,說謊,verbs,0.82
1625,copiloto,警察,nouns,0.2
1626,montar,跑,verbs,0.29
1627,acción,遊戲,nouns,1.06
1628,ruidosamente,微妙地,adverbs,0.1
1629,canción,故事,nouns,0.34
1630,demonio,天使,nouns,0.64
1631,fórmula,日誌,nouns,0.1
1632,huerta,鴕鳥,nouns,0.2
1633,blanco,狹窄,adjectives,0.0
1634,discutir,說服,verbs,0.93
1635,baño,睡房,nouns,0.92
1636,renunciar,壓抑,verbs,0.64
1637,sultán,部,nouns,0.24
1638,coche,高速公路,nouns,1.16
1639,río,溪流,nouns,2.74
1640,jardín,軟管,nouns,0.29
1641,obrero,雇主,nouns,0.78
1642,enviar,發射,verbs,2.15
1643,ternera,家牛,nouns,2.84
1644,ejército,軍團,nouns,3.28
1645,halcón,鳥,nouns,2.88
1646,código,符號,nouns,1.6
1647,pedir,訓斥,verbs,0.25
1648,órgano,腎,nouns,3.33
1649,legal,安全,adjectives,1.11
1650,extrañamente,不同的,adverbs,0.89
1651,contento,開心,adjectives,4.78
1652,solitario,貧窮,adjectives,0.15
1653,opuesto,其他,adjectives,0.64
1654,lloriquear,哭,verbs,5.13
1655,palabra,提示,nouns,0.24
1656,realidad,幻想,nouns,0.52
1657,perder,得到,verbs,0.15
1658,salida,選舉權,nouns,0.1
1659,flexible,鬆動,adjectives,1.2
1660,brazo,靜脈,nouns,0.34
1661,bebé,成人,nouns,0.48
1662,detener,哨,verbs,0.39
1663,valores,資產,nouns,2.94
1664,habitación,床,nouns,0.83
1665,nota,作業,nouns,0.57
1666,cena,湯,nouns,1.64
1667,subrutina,編譯器,nouns,0.58
1668,organizar,收集,verbs,1.39
1669,pie,頭,nouns,0.39
1670,lino,布,nouns,2.85
1671,frente,眼睛,nouns,0.53
1672,código malicioso,蠕蟲,nouns,0.74
1673,clima,波浪,nouns,0.34
1674,isla,任務,nouns,0.05
1675,elegir,拒絕,verbs,0.2
1676,aviación,飛行,nouns,2.83
1677,enojado,不開心,adjectives,2.74
1678,bañera,妻子,nouns,0.15
1679,enfadar,受傷,verbs,0.73
1680,garganta,鼻子,nouns,0.43
1681,sonido,聲學,nouns,3.54
1682,regla,慣例,nouns,2.6
1683,genial,精彩,adjectives,3.69
1684,carbón,原子,nouns,1.29
1685,temblor,地震,nouns,4.02
1686,padre,哥哥,nouns,0.98
1687,suave,尖,adjectives,0.25
1688,ambiente,劍,nouns,0.05
1689,ceremonia,慶祝,nouns,3.37
1690,malo,極好,adjectives,0.1
1691,elástico,靈活的,adjectives,4.19
1692,uniforme,鈎織編織,nouns,0.15
1693,igual,類似,adjectives,3.4
1694,verano,冬天,nouns,0.39
1695,fresco,舊,adjectives,0.0
1696,símbolo,密碼,nouns,1.6
1697,biología,解剖學,nouns,2.38
1698,cigarro,盒子,nouns,0.39
1699,sala,走道,nouns,0.39
1700,seguramente,當然,adverbs,4.03
1701,abeja,螞蟻,nouns,1.22
1702,clase,混亂,nouns,0.1
1703,puerto,包裝紙,nouns,0.1
1704,puerta,兄弟會,nouns,0.2
1705,hueso,踝,nouns,0.78
1706,enorme,笨,adjectives,0.09
1707,novela,作家,nouns,0.88
1708,cama,毯子,nouns,0.64
1709,arquero,探路者,nouns,0.45
1710,erosionar,褪色,verbs,1.14
1711,fallar,使氣餒,verbs,0.63
1712,adquirir,搵到,verbs,1.82
1713,coro,教堂,nouns,0.92
1714,palacio,雕塑家,nouns,0.35
1715,elección,章,nouns,0.29
1716,envoltura,港口,nouns,0.1
1717,huir,逃走,verbs,5.38
1718,pantano,湖,nouns,2.67
1719,pelota,大炮,nouns,0.29
1720,tambor,吉他,nouns,0.77
1721,estar de acuerdo,接受,verbs,3.95
1722,grillo,支持者,nouns,0.04
1723,ficción,傳記,nouns,1.17
1724,recordar,賣,verbs,0.0
1725,carril,籬笆,nouns,0.4
1726,anormalmente,一般,adverbs,0.1
1727,agricultura,植物,nouns,0.85
1728,vomitar,關閉,verbs,0.0
1729,artesanía,傳統,nouns,1.02
1730,presencia,門,nouns,0.3
1731,vestir,侵蝕,verbs,0.14
1732,salario,費用,nouns,1.59
1733,tela,衣服,nouns,2.29
1734,abrumar,扼殺,verbs,1.03
1735,orgulloso,堅強,adjectives,0.68
1736,cabina,電話,nouns,0.6
1737,torre,鐘,nouns,1.03
1738,verter,滴,verbs,1.17
1739,escoger,想,verbs,0.79
1740,banquero,律師,nouns,1.56
1741,dado,立方體,nouns,3.21
1742,cama,沙發,nouns,2.42
1743,autopista,車,nouns,1.16
1744,cabeza,鼻子,nouns,0.54
1745,manguera,花園,nouns,0.29
1746,hermano,靈魂,nouns,0.15
1747,libro,正文,nouns,1.75
1748,lanzar,按下,verbs,0.19
1749,caerse,絆倒,verbs,3.99
1750,cubierta,老鼠,nouns,0.04
1751,ignorar,問,verbs,0.1
1752,botón,衣服,nouns,1.11
1753,árbol,船,nouns,0.2
1754,nunca,誠實地,adverbs,0.1
1755,ir,發送,verbs,0.35
1756,reunirse,打招呼,verbs,0.61
1757,trabajo,管理,nouns,1.02
1758,retirar,拒絕,verbs,0.7
1759,seguidor,蟋蟀,nouns,0.04
1760,humildemente,自豪的,adverbs,0.18
1761,oler,溺愛,verbs,0.0
1762,elección,監獄,nouns,0.15
1763,administración,工作,nouns,1.02
1764,ordenador,磁盘,nouns,1.29
1765,actor,女演員,nouns,3.82
1766,curso,肚,nouns,0.05
1767,movimiento,活動,nouns,2.82
1768,pellizcar,用拳猛擊,verbs,0.52
1769,simulación,機器人技術,nouns,0.68
1770,campeón,優勝者,nouns,4.53
1771,capacidad,才能,nouns,3.41
1772,aproximadamente,稍微地,adverbs,0.7
1773,lograr,完成,verbs,3.69
1774,cruel,嚴酷,adjectives,3.56
1775,caramelo,蘋果,nouns,0.34
1776,añadir,乘,verbs,1.02
1777,trono,劍,nouns,0.2
1778,merecer,賺,verbs,0.89
1779,casa,州,nouns,0.15
1780,chico,女孩,nouns,0.92
1781,avestruz,果園,nouns,0.2
1782,nacional,大,adjectives,0.15
1783,después,從未,adverbs,0.2
1784,bolos,保齡球選手,nouns,1.92
1785,ordenador portátil,筆記本,nouns,0.61
1786,fantasía,現實,nouns,0.52
1787,átomo,分子,nouns,2.38
1788,raza,週末,nouns,0.0
1789,comida,腰部,nouns,0.25
1790,sofá,棒球,nouns,0.1
1791,cuello,手臂,nouns,0.53
1792,constitución,皇帝,nouns,0.78
1793,sur,北,nouns,0.89
1794,observar,觀看,verbs,4.28
1795,martillo,牙,nouns,0.1
1796,nube,窗口,nouns,0.35
1797,fácil,大,adjectives,0.0
1798,mar,三角洲,nouns,0.97
1799,imaginar,假扮,verbs,0.74
1800,teléfono,小亭,nouns,0.6
1801,observar,批評,verbs,2.11
1802,flexible,活動,adjectives,2.56
1803,sollozar,哭,verbs,4.68
1804,historia,話題,nouns,0.85
1805,comida,程序,nouns,0.05
1806,germen,病原,nouns,2.96
1807,coche,街,nouns,0.47
1808,espíritu,樂隊,nouns,0.25
1809,cumpleaños,年,nouns,1.21
1810,marco,打,nouns,0.29
1811,niño,哥哥,nouns,2.31
1812,indeciso,中性,adjectives,1.27
1813,aproximadamente,明顯地,adverbs,0.95
1814,divertido,遊戲,nouns,0.78
1815,naturalmente,悄悄地,adverbs,0.97
1816,agudo,鈍,adjectives,0.09
1817,pretender,描繪,verbs,0.49
1818,cama,房間,nouns,0.83
1819,motel,小旅館,nouns,3.06
1820,humilde,謙虛,adjectives,4.78
1821,culpable,誠實,adjectives,0.18
1822,monitor,老師,nouns,2.64
1823,enterrar,死,verbs,1.0
1824,buscar,狩獵,verbs,1.21
1825,exigir,安排,verbs,0.24
1826,corte,法官,nouns,0.91
1827,cursor,微晶片,nouns,0.04
1828,democracia,帝制,nouns,0.65
1829,película,劇院,nouns,1.54
1830,recientemente,現實地,adverbs,0.32
1831,discrepar,同意,verbs,0.49
1832,amigo,老師,nouns,0.66
1833,envase,瓶子,nouns,2.63
1834,cielo,陽光,nouns,0.96
1835,desayuno,煙肉,nouns,0.38
1836,saludar,演出,verbs,0.15
1837,diente,嘴巴,nouns,1.07
1838,pulgar,手,nouns,1.52
1839,base,酸,nouns,1.32
1840,perejil,瑪芬,nouns,0.29
1841,proteger,保持,verbs,1.18
1842,crédulo,蠢,adjectives,1.6
1843,lector,作者,nouns,0.58
1844,completamente,輕微,adverbs,0.1
1845,victoria,凱旋,nouns,4.88
1846,levantar,運輸,verbs,0.28
1847,armada,軍隊,nouns,3.93
1848,precioso,懶,adjectives,0.04
1849,fácil,困難,adjectives,0.28
1850,avión,直升機,nouns,1.58
1851,tema,主題標籤,nouns,3.07
1852,salario,錢,nouns,3.81
1853,cocina,洗手間,nouns,0.48
1854,padre,女兒,nouns,0.57
1855,inquieto,年輕,adjectives,0.15
1856,mezclar,煮,verbs,0.68
1857,decidir,得出結論,verbs,3.08
1858,amanecer,日落,nouns,0.62
1859,aproximadamente,粗糙地,adverbs,0.97
1860,extraño,正常,adjectives,0.19
1861,aburrido,累,adjectives,0.8
1862,fuertemente,正式,adverbs,0.32
1863,fin de semana,星期,nouns,2.51
1864,unir,劃分,verbs,0.1
1865,máquina,引擎,nouns,2.54
1866,pulmón,肝,nouns,0.53
1867,reducir,收縮,verbs,3.7
1868,cansado,無聊,adjectives,0.8
1869,dejar,做,verbs,0.24
1870,trabajo,便條,nouns,0.57
1871,libro,文學,nouns,2.65
1872,hombre,武士,nouns,0.95
1873,ocupado,懶,adjectives,0.24
1874,presidente,小學生,nouns,0.15
1875,ingresos,税,nouns,0.53
1876,zona,地區,nouns,4.65
1877,significativamente,深度地,adverbs,1.98
1878,probablemente,也許,adverbs,4.05
1879,mes,八月,nouns,2.68
1880,activamente,準確地,adverbs,1.04
1881,adorar,敬佩,verbs,4.32
1882,emocionalmente,傷心地,adverbs,1.17
1883,deshonesto,壞,adjectives,1.29
1884,medio,新聞,nouns,2.5
1885,llave,房屋,nouns,0.48
1886,nervioso,害怕,adjectives,2.55
1887,beber,混合,verbs,0.34
1888,labio,臀部,nouns,0.34
1889,caballo,母馬,nouns,3.13
1890,director,老闆,nouns,4.21
1891,año,生日,nouns,1.21
1892,jugo,蘋果,nouns,0.86
1893,gol,赢家,nouns,0.53
1894,golpear,陷害,nouns,0.29
1895,exprimir,擁抱,verbs,0.49
1896,engañar,作弊,verbs,3.37
1897,permitido,合法,adjectives,3.88
1898,hornear,炒,verbs,1.93
1899,boca,嘴唇,nouns,2.97
1900,cañita,妻子,nouns,0.15
1901,carta,段,nouns,0.4
1902,cono,杯子,nouns,0.7
1903,hablar,承認,verbs,0.68
1904,tronco,木,nouns,4.22
1905,lagartija,政府,nouns,0.04
1906,minuto,秒,nouns,2.84
1907,ola,天氣,nouns,0.34
1908,sacudir,收集,verbs,0.2
1909,candidato,獲勝者,nouns,1.26
1910,ritmo,旋律,nouns,3.24
1911,península,島,nouns,1.65
1912,leche,果汁,nouns,0.63
1913,madera,原木,nouns,3.63
1914,a veces,每當,adverbs,0.72
1915,sorber,大口地吃,verbs,1.13
1916,disfrutar,娛樂,verbs,1.35
1917,fácil,生硬,adjectives,0.05
1918,discutir,證明,verbs,0.3
1919,noticias,媒介,nouns,2.5
1920,tarro,杯子,nouns,2.29
1921,enviar,速度,nouns,0.2
1922,lanzar,发送,verbs,2.15
1923,multiplicar,加,verbs,1.02
1924,barajar,騎,verbs,0.3
1925,mesa,日落,nouns,0.05
1926,tumba,重新安葬,nouns,0.65
1927,calle,汽車,nouns,0.47
1928,enciclopedia,字典,nouns,2.48
1929,mediocre,好的,adjectives,0.19
1930,motor,船,nouns,0.29
1931,tímido,昂貴,adjectives,0.2
1932,director,攝影,nouns,1.69
1933,veredicto,審判,nouns,3.15
1934,mimar,聞,verbs,0.0
1935,flora,大自然,nouns,1.83
1936,profeta,牧師,nouns,0.88
1937,filme,電影,nouns,5.12
1938,permanecer,得到,verbs,0.55
1939,príncipe,國王,nouns,2.28
1940,dividir,乘,verbs,0.44
1941,electricidad,案件,nouns,0.0
1942,truco,槍,nouns,0.1
1943,honestamente,從未,adverbs,0.1
1944,dieta,沙拉,nouns,0.78
1945,encoger,成長,verbs,0.1
1946,cuenco,碟,nouns,2.38
1947,delito,攻擊,nouns,1.3
1948,conquista,聖歌,nouns,0.15
1949,niño,米飯,nouns,0.04
1950,nervio,身體,nouns,0.53
1951,espada,環境,nouns,0.05
1952,pedir prestado,想要,verbs,0.59
1953,cuerpo,血液,nouns,0.61
1954,obtener,失去,verbs,0.15
1955,mar,海嘯,nouns,1.77
1956,estúpido,輕信,adjectives,1.6
1957,buque,靜脈,nouns,0.23
1958,triste,可怕,adjectives,0.34
1959,criticar,評論說,verbs,2.11
1960,hermano,兒子,nouns,0.86
1961,apartamento,家具,nouns,0.43
1962,crimen,盜竊,nouns,3.28
1963,de modo realista,理想地,adverbs,0.39
1964,hombre,嫌疑人,nouns,0.38
1965,profesor,幫手,nouns,0.78
1966,querer,慾望,verbs,4.07
1967,desesperación,苦難,nouns,3.02
1968,tratar,成功,verbs,0.34
1969,enviar,帶來,verbs,0.59
1970,boquilla,流體,nouns,0.34
1971,mar,河流,nouns,2.29
1972,llegar,出席,verbs,2.56
1973,aluminio,金屬,nouns,1.94
1974,convención,規則,nouns,2.6
1975,universo,天空,nouns,1.65
1976,cuando,有時,adverbs,0.72
1977,elefante,恐龍,nouns,0.63
1978,probablemente,積極地,adverbs,0.81
1979,mantener,保護,verbs,1.18
1980,cámara,續集,nouns,0.15
1981,persuadir,追求,verbs,0.34
1982,corriente,河,nouns,2.74
1983,galaxia,應用程式,nouns,0.1
1984,gato,寵物,nouns,3.01
1985,descubrir,起源,verbs,1.02
1986,modesto,純,adjectives,0.43
1987,abierto,未公開,adjectives,0.09
1988,verdaderamente,重要地,adverbs,0.28
1989,enfermedad,癌症,nouns,3.27
1990,seguramente,被動地,adverbs,0.0
1991,tobillo,骨頭,nouns,0.78
1992,tratar,實現,verbs,0.63
1993,captura,收到,verbs,0.43
1994,brazo,身體,nouns,0.96
1995,bebé,女兒,nouns,2.4
1996,década,世紀,nouns,0.9
1997,salvar,淹,verbs,0.2
1998,desalojar,離開,verbs,2.67
1999,tío,男人,nouns,2.29
2000,paraguas,暖爐,nouns,0.15
2001,conciencia,注意,nouns,2.16
2002,enviar,出席,verbs,0.44
2003,proteger,幫助,verbs,1.97
2004,coche,船,nouns,0.53
2005,techo,地板,nouns,0.53
2006,parte superior,下面,nouns,0.1
2007,discutir,說明,verbs,1.06
2008,asistir,出現,verbs,3.03
2009,palabra,字典,nouns,0.96
2010,rojo,藍色,adjectives,0.34
2011,manuscrito,文章,nouns,2.28
2012,madera,毯,nouns,0.05
2013,monstruo,惡魔,nouns,3.29
2014,masivo,天文,adjectives,0.98
2015,retirarse,離開,verbs,3.45
2016,crear,想像,verbs,0.74
2017,calentador,遮,nouns,0.15
2018,curvo,直,adjectives,0.29
2019,confesión,否認,nouns,0.82
2020,asustado,興奮,adjectives,0.63
2021,gracioso,嚴肅,adjectives,0.09
2022,vendaval,毯,nouns,0.05
2023,isla,公主,nouns,0.05
2024,infección,感染,nouns,3.19
2025,teorema,理論,nouns,4.17
2026,medio,溫和,adjectives,2.55
2027,complacer,求情,verbs,0.57
2028,alegar,請,verbs,0.57
2029,improbable,友好,adverbs,0.0
2030,áspero,冷淡,adjectives,0.45
2031,alegre,開心,adjectives,5.15
2032,ensalada,減肥,nouns,0.78
2033,pago,費用,nouns,3.56
2034,crujir,折斷,verbs,2.6
2035,susto,困擾,verbs,0.1
2036,suéter,褸,nouns,2.71
2037,retratar,假扮,verbs,0.49
2038,presidente,相機,nouns,0.45
2039,fluido,噴嘴,nouns,0.34
2040,ropa interior,身體,nouns,0.67
2041,emergencia,意外,nouns,3.19
2042,detener,禁止,verbs,2.52
2043,medalla,運動鞋,nouns,0.15
2044,soldado,男孩,nouns,0.75
2045,víctima,電話,nouns,0.04
2046,palabra,習語,nouns,1.3
2047,estilo de vida,文明,nouns,0.87
2048,dinero,資本,nouns,4.01
2049,alegría,自豪,nouns,1.78
2050,rey,王子,nouns,2.28
2051,paraguas,品質,nouns,0.1
2052,corregir,評分,verbs,3.88
2053,siglo,年,nouns,1.06
2054,estambre,授粉,nouns,0.91
2055,ganado,乳酪,nouns,0.48
2056,profundamente,有意義,adverbs,1.98
2057,regularmente,偶然,adverbs,1.07
2058,salir,無視,verbs,0.29
2059,lengua,臉頰,nouns,0.38
2060,fraude,犯罪,nouns,2.82
2061,practicar,重複,verbs,2.81
2062,antropología,考古學,nouns,1.73
2063,vampiro,蝙蝠,nouns,1.45
2064,grosero,粗糙,adjectives,0.88
2065,muñeca,手臂,nouns,0.86
2066,amanecer,晚上,nouns,0.43
2067,poseer,吸收,verbs,0.64
2068,lágrima,眼睛,nouns,0.82
2069,cine,歌劇,nouns,2.06
2070,móvil,靈活,adjectives,2.56
2071,antes de,之後,adverbs,0.1
2072,acuerdo,洞,nouns,0.0
2073,médico,脾氣,nouns,0.33
2074,generoso,友善,adjectives,1.98
2075,bar,監獄,nouns,0.15
2076,ocasionalmente,經常地,adverbs,1.07
2077,brecha,開口,nouns,3.36
2078,entender,知道,verbs,3.61
2079,reloj,裙子,nouns,0.24
2080,habitación,沖涼,nouns,0.63
2081,vocalista,員工,nouns,0.43
2082,odiar,批評,verbs,0.78
2083,capítulo,選擇,nouns,0.29
2084,obtener,留,verbs,0.55
2085,pensar,查詢,verbs,0.44
2086,generosamente,好心地,adverbs,3.38
2087,justicia,法庭,nouns,2.62
2088,secuestrar,偷,verbs,0.98
2089,órgano,肝臟,nouns,2.47
2090,apropiado,有禮貌,adjectives,3.08
2091,triste,搞笑,adjectives,0.1
2092,párrafo,信,nouns,0.4
2093,adquirir,加入,verbs,0.4
2094,simpático,大方,adjectives,1.98
2095,discutir,需求,verbs,0.34
2096,madre,朋友,nouns,0.33
2097,astuto,奇怪,adjectives,0.56
2098,normal,不同,adjectives,0.15
2099,encontrar,消失,verbs,0.15
2100,antinaturalmente,負面地,adverbs,1.31
2101,temeroso,急,adjectives,0.69
2102,discusión,討論,nouns,3.21
2103,rechazar,退出,verbs,0.7
2104,petróleo,貂,nouns,0.1
2105,escritor,小說,nouns,0.88
2106,equipaje,環球航行,nouns,0.78
2107,caóticamente,和平地,adverbs,0.05
2108,recientemente,目前,adverbs,3.33
2109,malgastar,擔心,verbs,0.05
2110,brillante,棒,adjectives,3.69
2111,información,熵,nouns,0.49
2112,diplomacia,談判,nouns,2.38
2113,cocodrilo,蜥蜴,nouns,2.3
2114,normalmente,異常地,adverbs,0.1
2115,riqueza,貧困,nouns,0.24
2116,obtener,攞,verbs,3.36
2117,viscosidad,濺,nouns,0.45
2118,genial,攞命,adjectives,0.19
2119,captura,放走,verbs,0.43
2120,ir,來,verbs,0.79
2121,peligro,威脅,nouns,4.23
2122,botella,容器,nouns,2.63
2123,puesta de sol,日出,nouns,0.62
2124,probar,解釋,verbs,2.65
2125,cabina,盒子,nouns,0.6
2126,ojo,眼淚,nouns,0.82
2127,clima,雪,nouns,0.68
2128,arroz,豆,nouns,0.83
2129,salir,進入,verbs,0.1
2130,agua,鹽,nouns,0.2
2131,vuelo,航空,nouns,2.83
2132,temblar,凍結,verbs,0.45
2133,controlar,停止,verbs,0.78
2134,enorme,大規模,adjectives,4.41
2135,comunicar,祈禱,verbs,0.43
2136,conservar,忘記,verbs,0.2
2137,campana,塔,nouns,1.03
2138,envase,四輪貨運馬車,nouns,0.04
2139,noche,章節,nouns,0.35
2140,poeta,記者,nouns,0.49
2141,promover,前進,verbs,1.66
2142,jefe,董事,nouns,4.21
2143,empleador,工作者,nouns,0.78
2144,bonito,残酷,adjectives,0.05
2145,región,地區,nouns,4.04
2146,avena,田,nouns,0.76
2147,condición,情況,nouns,3.92
2148,parecer,變成,verbs,0.56
2149,musgo,草,nouns,2.33
2150,simplemente,看來,adverbs,0.61
2151,pistola,大炮,nouns,1.69
2152,nube,薄霧,nouns,2.67
2153,periodista,詩人,nouns,0.49
2154,hijo,哥哥,nouns,0.86
2155,diodo,電容器,nouns,2.28
2156,biotopo,生物學,nouns,0.58
2157,entregar,接受,verbs,0.2
2158,candado,鎖匙,nouns,1.7
2159,actriz,演員,nouns,3.82
2160,uniforme,未成形,adjectives,0.3
2161,telescopio,頭腦風暴,nouns,0.04
2162,trabajo,工具,nouns,0.54
2163,evitar,拒絕,verbs,0.64
2164,manzana,飲食,nouns,0.73
2165,filósofo,賽跑,nouns,0.24
2166,estatua,雕塑,nouns,4.88
2167,tonto,孩子氣,adjectives,2.33
2168,saliente,進來,adjectives,0.15
2169,pistola,戲法,nouns,0.1
2170,años,美人,nouns,0.29
2171,coche,坦克,nouns,0.67
2172,artista,藝術品,nouns,1.21
2173,emoción,心情,nouns,3.24
2174,taxi,巴士,nouns,2.27
2175,té,檸檬,nouns,0.39
2176,aeronáutica,航空電子學,nouns,3.18
2177,mueble,床,nouns,2.12
2178,globo,沖涼,nouns,0.05
2179,raro,罕見,adjectives,3.71
2180,coche,電梯,nouns,0.24
2181,diario,文章,nouns,2.03
2182,tener éxito,節約,verbs,0.1
2183,guitarra,鱒魚,nouns,0.0
2184,vender,借,verbs,0.24
2185,entender,掌握,verbs,0.72
2186,arena,腳,nouns,0.24
2187,negar,給予,verbs,0.05
2188,orquesta,樂隊,nouns,3.97
2189,agrietar,打碎,verbs,1.7
2190,ciencia,心理學,nouns,0.9
2191,hierba,刀口,nouns,0.05
2192,permitir,反駁,verbs,0.25
2193,obra de arte,藝術家,nouns,1.21
2194,corona,锁匙,nouns,0.15
2195,sesión,病人,nouns,0.67
2196,poner,給,verbs,0.92
2197,listo,笨,adjectives,0.38
2198,permitir,贊成,verbs,3.23
2199,tren,電車,nouns,2.77
2200,ignorar,探索,verbs,0.1
2201,imposible,可行,adjectives,0.19
2202,tronco,木材,nouns,3.63
2203,dentista,上校,nouns,0.2
2204,cuota,付款,nouns,3.56
2205,único,相反,adjectives,0.73
2206,decidir,判斷,verbs,2.9
2207,reina,蜜蜂,nouns,0.4
2208,tranquilamente,堅固地,adverbs,0.81
2209,aprender,吸收,verbs,2.34
2210,guante,球,nouns,0.64
2211,pistón,發動機,nouns,1.47
2212,infeliz,激氣,adjectives,2.74
2213,discretamente,有禮貌地,adverbs,1.54
2214,inmaduro,長大,adjectives,0.29
2215,baño,廚房,nouns,0.48
2216,portal,門,nouns,3.11
2217,bodega,門,nouns,0.24
2218,a menudo,不經常,adverbs,0.45
2219,mente,大腦,nouns,4.13
2220,templar,醫生,nouns,0.33
2221,cantar,大笑,verbs,0.38
2222,bicicleta,皮膚,nouns,0.24
2223,semanal,每月,adjectives,0.97
2224,reconocer,說話,verbs,0.68
2225,brazo,頸,nouns,0.53
2226,niebla,雲,nouns,1.65
2227,persuadir,拗撬,verbs,0.93
2228,mezclado,舊,adjectives,0.14
2229,tranquilamente,安然,adverbs,3.58
2230,cuerpo,手臂,nouns,0.96
2231,ir,進入,verbs,1.02
2232,contaminación,總統,nouns,0.25
2233,llevar,運送,verbs,2.9
2234,ignorar,忘記,verbs,2.42
2235,sílaba,詞元,nouns,0.76
