ID,ENG,RUS,PoS,score
1548,kindly,щедро,adverbs,2.64
1549,ignore,обращаться,verbs,0.0
1550,bull,теленок,nouns,1.91
1551,know,давать,verbs,0.24
1552,daughter,младенец,nouns,1.63
1553,complain,приносить,verbs,0.1
1554,reprimand,требовать,verbs,0.29
1555,acknowledge,говорить,verbs,0.67
1556,dumb,умный,adjectives,0.09
1557,duke,республика,nouns,0.19
1558,liquor,группа,nouns,0.15
1559,strong,гордый,adjectives,0.81
1560,understand,прощать,verbs,1.39
1561,piano,гармония,nouns,0.36
1562,chair,скамейка,nouns,2.16
1563,book,статья,nouns,0.84
1564,hen,индейка,nouns,1.07
1565,endurance,повязка,nouns,0.0
1566,animal,человек,nouns,0.71
1567,stud,парень,nouns,1.14
1568,doorway,выход,nouns,2.6
1569,star,астероид,nouns,1.77
1570,chess,шах,nouns,0.88
1571,mother,подруга,nouns,1.06
1572,airport,самолет,nouns,0.74
1573,right,правосудие,nouns,1.44
1574,tear,глаз,nouns,0.57
1575,alcohol,пиво,nouns,1.95
1576,bone,колено,nouns,0.79
1577,dangerously,внимательно,adverbs,0.1
1578,ask,помогать,verbs,0.26
1579,withdraw,отвергать,verbs,1.3
1580,doctor,ортодонт,nouns,1.71
1581,go,путешествовать,verbs,2.08
1582,belligerence,бой,nouns,1.96
1583,foreigner,переводчик,nouns,0.51
1584,campaign,обезьяна,nouns,0.0
1585,fluid,сопло,nouns,0.04
1586,bird,курица,nouns,1.67
1587,blanket,дерево,nouns,0.0
1588,ignore,распечатать,verbs,0.0
1589,balloon,народ,nouns,0.0
1590,clever,хитрый,adjectives,2.21
1591,gut,хладнокровие,nouns,1.44
1592,liberty,цензура,nouns,0.46
1593,mouse,кошка,nouns,0.45
1594,fact,суть,nouns,2.48
1595,topology,структура,nouns,2.26
1596,air,молекула,nouns,0.72
1597,waist,трапеза,nouns,0.0
1598,president,фотоаппарат,nouns,0.1
1599,barn,дом,nouns,0.93
1600,tough,легкий,adjectives,0.14
1601,scientist,медбрат,nouns,0.17
1602,calendar,дата,nouns,1.31
1603,man,подозреваемый,nouns,0.17
1604,regular,невежественный,adjectives,0.13
1605,tooth,рот,nouns,0.88
1606,bad,нечестный,adjectives,1.13
1607,offend,беспокоить,verbs,1.18
1608,choice,глава,nouns,0.3
1609,blood,плоть,nouns,1.17
1610,uniform,бесформенный,adjectives,0.0
1611,prejudice,шовинист,nouns,1.15
1612,bake,жарить,verbs,1.35
1613,administration,управление,nouns,3.88
1614,ball,пушка,nouns,0.91
1615,violin,инструмент,nouns,1.94
1616,plead,угождать,verbs,0.81
1617,building,комната,nouns,0.71
1618,new,старый,adjectives,0.14
1619,article,журнал,nouns,1.7
1620,neuropsychology,парапсихология,nouns,1.71
1621,sign,символ,nouns,4.63
1622,college,класс,nouns,0.76
1623,chapter,ночь,nouns,0.0
1624,book,авария,nouns,0.0
1625,critical,грубый,adjectives,0.68
1626,include,включать,verbs,3.29
1627,unnaturally,естественно,adverbs,0.09
1628,feasible,невозможный,adjectives,0.19
1629,essential,необходимый,adjectives,4.34
1630,groom,невеста,nouns,1.19
1631,hardware,дело,nouns,0.3
1632,bathroom,кухня,nouns,0.62
1633,tail,глава,nouns,0.1
1634,irregularly,обычно,adverbs,0.17
1635,cabin,хижина,nouns,2.88
1636,evening,закат,nouns,2.16
1637,shy,дорогой,adjectives,0.0
1638,actively,пассивно,adverbs,0.09
1639,telescope,мозговой штурм,nouns,0.0
1640,minute,секунда,nouns,1.09
1641,ride,шаркать,verbs,0.1
1642,journey,поездка,nouns,4.77
1643,accept,признавать,verbs,2.71
1644,top,пятый,adjectives,0.0
1645,chaos,урок,nouns,0.1
1646,body,рука,nouns,0.71
1647,homework,сочинение,nouns,2.36
1648,body,плечо,nouns,0.89
1649,planet,звезда,nouns,2.06
1650,guilty,пристыженный,adjectives,3.21
1651,reality,фантазия,nouns,0.44
1652,car,улица,nouns,0.79
1653,inquire,думать,verbs,0.85
1654,wife,солома,nouns,0.0
1655,reliably,пассивно,adverbs,0.0
1656,obviously,локально,adverbs,0.0
1657,victory,триумф,nouns,4.96
1658,clothes,пуговица,nouns,0.96
1659,moss,трава,nouns,1.56
1660,shine,светиться,verbs,4.11
1661,band,парад,nouns,0.77
1662,area,регион,nouns,4.74
1663,rabbit,кот,nouns,0.46
1664,possess,поглощать,verbs,0.39
1665,go,продавать,verbs,0.4
1666,live,выживать,verbs,2.44
1667,parcel,грузовик,nouns,0.15
1668,sly,выносливый,adjectives,0.65
1669,father,брат,nouns,0.59
1670,vitamin,железо,nouns,1.02
1671,dumb,дурацкий,adjectives,3.87
1672,breakfast,ужин,nouns,0.54
1673,split,отрывать,verbs,2.13
1674,argue,соглашаться,verbs,0.14
1675,meter,ярд,nouns,1.76
1676,situation,обстоятельство,nouns,4.54
1677,wall,отделка,nouns,0.71
1678,smother,жечь,verbs,0.0
1679,juice,молочный коктейль,nouns,0.54
1680,tomorrow,сегодня ночью,adverbs,0.32
1681,fall,ушибить,verbs,0.6
1682,gin,алкоголь,nouns,2.01
1683,cent,жена,nouns,0.0
1684,unforeseen,неожиданный,adjectives,5.61
1685,funny,скучный,adjectives,0.05
1686,disintegrate,умереть,verbs,0.51
1687,graph,диаграмма,nouns,3.75
1688,heart,операция,nouns,0.48
1689,body,позвоночник,nouns,0.84
1690,coach,игрок,nouns,0.45
1691,never,редко,adverbs,1.48
1692,operation,алгебра,nouns,0.31
1693,man,женщина,nouns,0.35
1694,metal,алюминий,nouns,1.71
1695,proper,вежливый,adjectives,2.84
1696,snowboard,лыжи,nouns,1.67
1697,dumb,редкий,adjectives,0.0
1698,brightly,слегка,adverbs,0.57
1699,proud,сильный,adjectives,0.81
1700,paper,картон,nouns,2.75
1701,attend,приходить,verbs,2.72
1702,argue,убеждать,verbs,2.72
1703,lie,обвинять,verbs,0.17
1704,intelligent,тупой,adjectives,0.09
1705,car,грузовик,nouns,2.09
1706,aggressive,изогнутый,adjectives,0.0
1707,page,слово,nouns,0.67
1708,break,трескаться,verbs,2.13
1709,shut,срыгивать,verbs,0.0
1710,strive,предрешать,verbs,0.0
1711,terrible,печальный,adjectives,1.07
1712,director,босс,nouns,3.94
1713,lemma,слог,nouns,0.36
1714,lend,задолжать,verbs,0.69
1715,notify,изображать,verbs,0.0
1716,church,хор,nouns,0.84
1717,happily,смертельно,adverbs,0.1
1718,ice,вода,nouns,2.08
1719,alcohol,виски,nouns,1.96
1720,alcohol,коктейль,nouns,1.77
1721,government,ящерица,nouns,0.0
1722,hurt,пинать,verbs,1.61
1723,zone,область,nouns,4.3
1724,state,дом,nouns,0.52
1725,accept,соглашаться,verbs,2.22
1726,arm,кость,nouns,0.57
1727,instrument,скрипка,nouns,1.94
1728,symbol,знак,nouns,4.63
1729,island,принцесса,nouns,0.0
1730,mixed,старый,adjectives,0.0
1731,know,забывать,verbs,0.09
1732,forgive,забывать,verbs,0.72
1733,mixed,комбинированный,adjectives,4.41
1734,wood,бревно,nouns,2.84
1735,remind,забывать,verbs,0.04
1736,ashamed,скромный,adjectives,0.36
1737,clarify,определять,verbs,3.42
1738,camp,домик,nouns,0.94
1739,hurt,расстраивать,verbs,3.19
1740,ugly,беспорядочный,adjectives,0.53
1741,express,сказать,verbs,2.92
1742,cattle,йогурт,nouns,0.42
1743,jail,выбор,nouns,0.0
1744,candy,корица,nouns,0.32
1745,development,сбор пожертвований,nouns,0.04
1746,liberty,свобода,nouns,5.62
1747,chief,мэр,nouns,2.38
1748,save,уничтожить,verbs,0.0
1749,stubborn,глупый,adjectives,0.51
1750,person,животное,nouns,0.71
1751,speed,пост,nouns,0.0
1752,bad,великолепный,adjectives,0.04
1753,lose,получать,verbs,0.0
1754,explain,доказывать,verbs,2.6
1755,chaotically,мирно,adverbs,0.14
1756,new,свежий,adjectives,3.24
1757,push,тянуть,verbs,0.34
1758,enter,покидать,verbs,0.04
1759,stop,свистеть,verbs,0.0
1760,bee,матка,nouns,1.04
1761,museum,mинт,nouns,0.04
1762,universe,небо,nouns,0.99
1763,reject,осуждать,verbs,1.09
1764,caterpillar,шелкопряд,nouns,2.29
1765,theatre,фильм,nouns,1.19
1766,wave,погода,nouns,0.25
1767,delightful,радостный,adjectives,2.9
1768,sauce,яблоко,nouns,0.89
1769,explore,обнаруживать,verbs,2.3
1770,robotics,симуляция,nouns,0.95
1771,read,понимать,verbs,1.33
1772,possess,брать,verbs,2.21
1773,energy,батарейка,nouns,1.67
1774,meal,ужин,nouns,2.96
1775,twice,множественный,adverbs,0.81
1776,guy,девушка,nouns,0.43
1777,storm,ураган,nouns,3.86
1778,pride,радость,nouns,1.56
1779,discourage,проваливать,verbs,0.32
1780,gather,посещать,verbs,0.42
1781,borrow,хотеть,verbs,0.0
1782,snow,снежный обвал,nouns,1.62
1783,mad,несчастный,adjectives,1.22
1784,remember,думать,verbs,0.77
1785,air,гелий,nouns,1.46
1786,cheese,хлеб,nouns,0.28
1787,strange,скрытный,adjectives,0.72
1788,cloud,буря,nouns,0.87
1789,anger,настроение,nouns,1.39
1790,uncle,кузен,nouns,0.91
1791,spoil,нюхать,verbs,0.04
1792,yarn,нить,nouns,3.11
1793,straight,изогнутый,adjectives,0.13
1794,driver,пилот,nouns,1.89
1795,president,ученик,nouns,0.15
1796,take,получать,verbs,1.06
1797,vein,выбор,nouns,0.0
1798,uncle,мужчина,nouns,1.4
1799,formula,журнал,nouns,0.28
1800,winner,чемпион,nouns,4.82
1801,grief,мука,nouns,2.13
1802,easy,жесткий,adjectives,0.0
1803,biology,биотоп,nouns,0.65
1804,tired,голодный,adjectives,0.36
1805,rude,громкий,adjectives,0.99
1806,beach,море,nouns,1.06
1807,think,обосновывать,verbs,2.3
1808,supper,трапеза,nouns,2.75
1809,sell,напоминать,verbs,0.05
1810,polyhedron,актер,nouns,0.04
1811,mediocre,скучный,adjectives,2.08
1812,blend,комбинировать,verbs,4.0
1813,afterworld,чистилище,nouns,2.41
1814,coronation,воды,nouns,0.0
1815,borrow,продавать,verbs,0.09
1816,accept,отвергать,verbs,0.09
1817,theatre,батарейка,nouns,0.0
1818,search,спрашивать,verbs,1.66
1819,marrow,кровь,nouns,0.61
1820,lie,отрицать,verbs,1.13
1821,scribble,записывать,verbs,2.21
1822,arm,вена,nouns,0.44
1823,guitar,барабан,nouns,0.76
1824,positively,наверное,adverbs,0.24
1825,bishop,мусульман,nouns,0.3
1826,hit,рамка,nouns,0.0
1827,walk,хромать,verbs,1.1
1828,clothes,пиджак,nouns,1.62
1829,always,дважды,adverbs,0.13
1830,stomach,талия,nouns,1.21
1831,carbon,атом,nouns,1.46
1832,hospital,койка,nouns,0.5
1833,vein,желудок,nouns,0.3
1834,men,братство,nouns,0.54
1835,lose,сохранять,verbs,0.05
1836,necessary,ненужный,adjectives,0.09
1837,pay,купить,verbs,1.21
1838,opinion,предубеждение,nouns,2.29
1839,arrive,покидать,verbs,0.04
1840,hear,слушать,verbs,3.57
1841,spoon,чашка,nouns,0.74
1842,drink,хлебать,verbs,2.32
1843,withdraw,удаляться,verbs,3.77
1844,melody,ритм,nouns,2.38
1845,schemer,стратег,nouns,2.45
1846,difficult,простой,adjectives,0.04
1847,doorway,дверь,nouns,2.46
1848,sincerely,серьезно,adverbs,1.23
1849,expensive,стеснительный,adjectives,0.0
1850,sharp,мягкий,adjectives,0.0
1851,perhaps,наверное,adverbs,3.55
1852,airport,кусок,nouns,0.0
1853,tea,лимон,nouns,0.49
1854,achieve,получать,verbs,0.64
1855,car,шланг,nouns,0.4
1856,honor,почтение,nouns,3.42
1857,decide,представлять,verbs,0.5
1858,hound,лиса,nouns,0.54
1859,drift,течь,verbs,1.34
1860,violin,гитара,nouns,0.83
1861,argument,критика,nouns,1.48
1862,peppermint,жвачка,nouns,0.49
1863,deputy,офицер,nouns,1.9
1864,finish,решать,verbs,1.84
1865,angry,счастливый,adjectives,0.04
1866,sometimes,равномерно,adverbs,0.05
1867,snap,хрустеть,verbs,1.6
1868,often,иногда,adverbs,0.59
1869,employee,работодатель,nouns,0.6
1870,job,управление,nouns,1.07
1871,guitar,форель,nouns,0.0
1872,fully,в принципе,adverbs,0.34
1873,tough,твердый,adjectives,3.44
1874,mild,средний,adjectives,1.48
1875,mainboard,материнская плата,nouns,3.15
1876,protect,покрывать,verbs,2.49
1877,leave,отходить,verbs,2.76
1878,bath,шалость,nouns,0.0
1879,madly,грустно,adverbs,0.19
1880,chapter,выбор,nouns,0.3
1881,explore,игнорировать,verbs,0.0
1882,sell,занимать,verbs,0.09
1883,religion,секулярист,nouns,0.35
1884,word,словарь,nouns,0.74
1885,biologist,микроскоп,nouns,0.63
1886,sadly,эмоционально,adverbs,1.33
1887,drink,глотать,verbs,1.69
1888,game,веселье,nouns,1.51
1889,suspect,человек,nouns,0.17
1890,unnaturally,отрицательно,adverbs,0.22
1891,job,инструмент,nouns,0.48
1892,target,стрела,nouns,0.69
1893,infinity,ноль,nouns,0.51
1894,greatly,ярко,adverbs,0.87
1895,wide,свежий,adjectives,0.0
1896,liquor,вино,nouns,1.91
1897,letter,абзац,nouns,0.57
1898,gin,виски,nouns,1.56
1899,actor,актриса,nouns,3.15
1900,beauty,сонет,nouns,0.17
1901,fencing,гимнастика,nouns,0.58
1902,neurosis,разум,nouns,0.53
1903,class,беспорядок,nouns,0.1
1904,perfectly,действительно,adverbs,1.45
1905,fox,гончая,nouns,0.54
1906,hungry,иссохший,adjectives,0.98
1907,significant,незначительный,adjectives,0.09
1908,despise,обвинять,verbs,0.15
1909,firmly,мягко,adverbs,0.05
1910,coast,берег,nouns,3.73
1911,cloud,туман,nouns,2.27
1912,sculptor,особняк,nouns,0.25
1913,pencil,сказка,nouns,0.0
1914,manuscript,книга,nouns,2.26
1915,door,окно,nouns,0.49
1916,forgive,принимать,verbs,1.15
1917,wrong,точный,adjectives,0.0
1918,camera,президент,nouns,0.1
1919,beef,мясо,nouns,2.46
1920,divide,складывать,verbs,0.21
1921,chair,телескоп,nouns,0.0
1922,atmosphere,озон,nouns,1.99
1923,furniture,кровать,nouns,1.94
1924,tuition,стипендия,nouns,0.74
1925,brother,отец,nouns,0.59
1926,dollar,миллионер,nouns,0.71
1927,disprove,разрешать,verbs,0.05
1928,delta,море,nouns,0.37
1929,corporation,предприятие,nouns,3.94
1930,rate,значение,nouns,0.82
1931,chauvinist,предубеждение,nouns,1.15
1932,gathering,собрание,nouns,4.13
1933,intelligence,мудрость,nouns,3.73
1934,source,коробка,nouns,0.0
1935,agree,принимать,verbs,2.22
1936,flower,луковица,nouns,0.69
1937,sad,ужасный,adjectives,1.07
1938,dull,скучающий,adjectives,2.29
1939,bother,мешать,verbs,3.53
1940,infection,заболевание,nouns,3.14
1941,large,гибкий,adjectives,0.0
1942,diplomacy,переговоры,nouns,2.26
1943,please,ладить,verbs,0.99
1944,beer,шампанское,nouns,1.05
1945,radar,джойстик,nouns,0.36
1946,make,строить,verbs,3.55
1947,calendar,праздник,nouns,0.52
1948,sister,брат,nouns,1.54
1949,kid,мальчик,nouns,2.47
1950,cone,стакан,nouns,0.59
1951,ledge,гора,nouns,0.77
1952,quick,скоростной,adjectives,5.32
1953,castle,стена,nouns,0.41
1954,room,ванна,nouns,0.82
1955,wrapper,убежище,nouns,0.1
1956,disturb,беспокоить,verbs,3.53
1957,marry,обручаться,verbs,1.48
1958,phone,потерпевший,nouns,0.0
1959,terminally,в основном,adverbs,0.19
1960,payment,примечание,nouns,0.31
1961,boy,солдат,nouns,0.54
1962,handicraft,традиция,nouns,0.51
1963,stupid,упрямый,adjectives,0.51
1964,mood,злость,nouns,1.39
1965,dad,мать,nouns,1.05
1966,hero,героиня,nouns,2.92
1967,helpless,нуждающийся,adjectives,2.46
1968,learn,спутывать,verbs,0.0
1969,seriously,искренне,adverbs,1.23
1970,seed,горчица,nouns,1.04
1971,forget,игнорировать,verbs,1.44
1972,disown,отрекаться,verbs,3.77
1973,get,терять,verbs,0.0
1974,radical,агрессивный,adjectives,0.91
1975,penny,сделка,nouns,0.22
1976,messy,уродливый,adjectives,0.53
1977,glow,сиять,verbs,4.11
1978,clever,тупой,adjectives,0.09
1979,great,плохой,adjectives,0.04
1980,discreetly,очевидно,adverbs,0.29
1981,descend,отходить,verbs,0.97
1982,car,мост,nouns,0.2
1983,vinegar,салат,nouns,0.34
1984,try,преуспевать,verbs,0.54
1985,opinion,выбор,nouns,1.09
1986,cup,ложка,nouns,0.74
1987,serious,смешной,adjectives,0.05
1988,communication,беседа,nouns,4.26
1989,mix,готовить,verbs,0.46
1990,danger,угроза,nouns,4.83
1991,retire,уходить,verbs,3.77
1992,print,игнорировать,verbs,0.0
1993,paragraph,письмо,nouns,0.57
1994,unfair,жестокий,adjectives,1.79
1995,bible,псалом,nouns,1.44
1996,muscle,рука,nouns,0.9
1997,story,карандаш,nouns,0.0
1998,portray,решать,verbs,0.5
1999,roam,бродить,verbs,4.47
2000,beg,занимать,verbs,0.88
2001,racing,философ,nouns,0.0
2002,opera,кино,nouns,0.63
2003,drunk,трезвый,adjectives,0.09
2004,arrange,организовывать,verbs,4.84
2005,notebook,пистолет,nouns,0.0
2006,grow,увеличивать,verbs,3.87
2007,bathroom,спальня,nouns,0.81
2008,huge,тупой,adjectives,0.04
2009,routinely,обычно,adverbs,4.78
2010,helicopter,самолет,nouns,1.56
2011,gymnastics,фехтование,nouns,0.58
2012,dinosaur,слон,nouns,0.36
2013,bed,стул,nouns,0.37
2014,couple,пара,nouns,5.21
2015,emotion,настроение,nouns,2.8
2016,brother,сестра,nouns,1.54
2017,incredibly,плотно,adverbs,0.0
2018,catastrophe,авария,nouns,3.42
2019,strike,упускать,verbs,0.0
2020,man,ребенок,nouns,0.42
2021,wall,замок,nouns,0.41
2022,homophone,фотофон,nouns,0.14
2023,literature,книга,nouns,2.42
2024,importantly,действительно,adverbs,0.47
2025,dirty,узкий,adjectives,0.0
2026,confidently,тайно,adverbs,0.27
2027,father,дочь,nouns,0.53
2028,brother,сын,nouns,0.79
2029,national,большой,adjectives,0.17
2030,abnormally,обычно,adverbs,0.04
2031,brightly,значительно,adverbs,0.87
2032,book,тема,nouns,0.46
2033,furniture,квартира,nouns,0.6
2034,coast,пляж,nouns,2.59
2035,system,вина,nouns,0.17
2036,accident,книга,nouns,0.0
2037,splash,вязкость,nouns,0.35
2038,kindly,мило,adverbs,4.53
2039,worm,вредоносные программы,nouns,0.57
2040,drawer,одежда,nouns,0.51
2041,pest,пестицид,nouns,0.76
2042,cop,шериф,nouns,4.01
2043,pair,чета,nouns,5.21
2044,tonight,сегодня,adverbs,1.52
2045,stone,дерево,nouns,0.14
2046,lock,ключ,nouns,0.64
2047,ring,помолвка,nouns,1.31
2048,sip,пить,verbs,2.32
2049,microscope,биолог,nouns,0.63
2050,come,приносить,verbs,0.34
2051,mix,растворять,verbs,1.59
2052,passively,надёжно,adverbs,0.0
2053,hear,воспринимать,verbs,1.59
2054,awake,храпеть,verbs,0.19
2055,tool,работа,nouns,0.48
2056,muffin,петрушка,nouns,0.1
2057,shrink,уменьшаться,verbs,3.63
2058,completely,минимально,adverbs,0.09
2059,make,разрушать,verbs,0.09
2060,ideally,реалистично,adverbs,0.47
2061,telephone,сотовый телефон,nouns,3.12
2062,side,низ,nouns,0.39
2063,hole,соглашение,nouns,0.0
2064,fresh,новый,adjectives,3.24
2065,sickness,рак,nouns,2.12
2066,sing,смеяться,verbs,0.26
2067,beg,просить,verbs,4.33
2068,easily,грубо,adverbs,0.0
2069,constitution,император,nouns,0.28
2070,mob,толпа,nouns,4.27
2071,tomb,перезахоронения,nouns,0.91
2072,stomach,вена,nouns,0.3
2073,necessary,важный,adjectives,3.75
2074,statue,скульптура,nouns,4.41
2075,man,охранник,nouns,0.94
2076,throat,язык,nouns,0.79
2077,ride,бежать,verbs,0.39
2078,honest,виноватый,adjectives,0.0
2079,forget,знать,verbs,0.09
2080,meteor,сила тяжести,nouns,0.22
2081,ruler,король,nouns,3.58
2082,dust,метла,nouns,0.77
2083,plead,просить,verbs,2.95
2084,attend,появляться,verbs,0.82
2085,illustration,волдырь,nouns,0.0
2086,rhythm,стих,nouns,0.81
2087,door,звонок,nouns,0.61
2088,complain,ругаться,verbs,1.19
2089,bread,сыр,nouns,0.28
2090,sugarcane,комбайн,nouns,0.1
2091,disorganized,организованный,verbs,0.04
2092,search,странствовать,verbs,1.08
2093,sailor,капитан,nouns,1.89
2094,bridge,автомобиль,nouns,0.2
2095,acquire,украсть,verbs,0.79
2096,biotope,биология,nouns,0.65
2097,drink,перемешать,verbs,0.05
2098,insignia,достоинство,nouns,0.34
2099,dull,тоскливый,adjectives,3.97
2100,lens,фотоаппарат,nouns,1.0
2101,discover,происходить,verbs,0.47
2102,belly,живот,nouns,4.34
2103,scholarship,обучение,nouns,0.74
2104,crown,ключ,nouns,0.0
2105,beer,алкоголь,nouns,1.95
2106,punish,подчиниться,verbs,0.1
2107,doctor,профессор,nouns,1.77
2108,proclaim,провозглашать,verbs,5.12
2109,poverty,богатство,nouns,0.22
2110,colt,конь,nouns,2.59
2111,necessary,неотъемлемый,adjectives,4.34
2112,secretary,женщина,nouns,0.39
2113,celebrate,удивлять,verbs,0.29
2114,bus,таксомотор,nouns,0.94
2115,prove,объяснять,verbs,2.6
2116,simple,трудный,adjectives,0.04
2117,bar,клетка,nouns,0.31
2118,weep,плакать,verbs,4.22
2119,cockpit,штурман,nouns,0.32
2120,guilty,плохой,adjectives,0.89
2121,home,государство,nouns,0.52
2122,business,компания,nouns,4.0
2123,become,делать,verbs,0.67
2124,fee,платеж,nouns,3.64
2125,copilot,полицейский,nouns,0.04
2126,cooked,кипячёный,adjectives,2.57
2127,value,темп,nouns,0.82
2128,daughter,отец,nouns,0.53
2129,swamp,озеро,nouns,0.82
2130,importantly,официально,adverbs,1.4
2131,army,отряд,nouns,1.81
2132,insect,пчела,nouns,1.93
2133,launch,отправить,verbs,2.25
2134,escape,находить,verbs,0.0
2135,minister,раввин,nouns,2.64
2136,body,нерв,nouns,0.3
2137,electric,механический,adjectives,0.42
2138,pie,шоколад,nouns,0.67
2139,muscle,язык,nouns,1.21
2140,nail,палец,nouns,1.08
2141,archer,следопыт,nouns,0.45
2142,sadness,счастье,nouns,0.09
2143,tedious,безопасный,adjectives,0.04
2144,elect,отклонять,verbs,0.1
2145,nice,жестокий,adjectives,0.0
2146,dawn,ночь,nouns,0.54
2147,fail,проигрывать,verbs,2.14
2148,cell,комната,nouns,1.37
2149,attitude,уверенность,nouns,1.76
2150,grade,школа,nouns,0.6
2151,contribution,приношение,nouns,4.1
2152,flow,дрейфовать,verbs,1.34
2153,paragraph,страница,nouns,0.79
2154,tell,напоминать,verbs,1.31
2155,pollination,тычинка,nouns,0.99
2156,sense,интуиция,nouns,4.25
2157,try,убеждать,verbs,0.36
2158,exit,избирательное право,nouns,0.0
2159,combination,соединение,nouns,2.46
2160,chase,ловить,verbs,1.22
2161,book,литература,nouns,2.42
2162,base,кислота,nouns,0.32
2163,vacate,выселять,verbs,1.33
2164,water,соль,nouns,0.28
2165,sober,пьяный,adjectives,0.09
2166,lemon,чай,nouns,0.49
2167,succeed,проваливать,verbs,0.04
2168,night,день,nouns,0.26
2169,pact,условие,nouns,1.34
2170,presence,дверь,nouns,0.1
2171,simulation,робототехника,nouns,0.95
2172,float,петь,verbs,0.05
2173,governor,император,nouns,1.48
2174,priest,бог,nouns,0.74
2175,inch,метр,nouns,0.98
2176,violet,цветок,nouns,1.99
2177,bubble,пена,nouns,2.34
2178,book,информация,nouns,1.16
2179,door,пол,nouns,0.34
2180,head,ступня,nouns,0.34
2181,cannon,ружье,nouns,2.12
2182,fresh,широкий,adjectives,0.0
2183,scared,нервный,adjectives,2.09
2184,instantly,один раз,adverbs,0.43
2185,multiply,складывать,verbs,0.54
2186,bump,разбивать,verbs,1.23
2187,pretend,лгать,verbs,3.01
2188,jumping,забор,nouns,0.3
2189,create,разрушать,verbs,0.09
2190,acid,основание,nouns,0.32
2191,do,прекращать,verbs,0.14
2192,bottom,бок,nouns,0.39
2193,recently,реалистично,adverbs,0.0
2194,chapter,эпизод,nouns,2.11
2195,cat,лев,nouns,1.19
2196,attention,интерес,nouns,3.41
2197,sly,умный,adjectives,2.21
2198,easy,трудный,adjectives,0.14
2199,tank,машина,nouns,1.01
2200,join,покидать,verbs,0.04
2201,pollution,президент,nouns,0.12
2202,worker,офис,nouns,0.57
2203,loud,грубый,adjectives,0.99
2204,typhoon,циклон,nouns,3.83
2205,pole,флаг,nouns,0.51
2206,liver,орган,nouns,1.83
2207,island,полуостров,nouns,1.47
2208,can,бутылка,nouns,1.16
2209,convince,пытаться,verbs,0.36
2210,pottery,керамика,nouns,3.66
2211,awful,плохой,adjectives,3.99
2212,communication,язык,nouns,1.64
2213,engage,жениться,verbs,1.48
2214,mother,опекунша,nouns,1.63
2215,celebration,церемония,nouns,3.44
2216,opposite,другой,adjectives,0.87
2217,exchange,валюта,nouns,1.09
2218,ray,солнце,nouns,0.97
2219,smart,тупой,adjectives,0.19
2220,bowling,игрок в боулинг,nouns,1.52
2221,today,сегодня ночью,adverbs,1.52
2222,king,принцесса,nouns,0.83
2223,monoculture,сельское хозяйство,nouns,0.79
2224,employer,работник,nouns,0.6
2225,chocolate,пирог,nouns,0.67
2226,listen,понимать,verbs,0.84
2227,polite,приличный,adjectives,2.84
2228,happiness,умиротворенность,nouns,2.17
2229,payment,монета,nouns,1.21
2230,ceiling,пол,nouns,0.41
2231,wife,муж,nouns,1.12
2232,champion,победитель,nouns,4.82
2233,bean,кофе,nouns,0.74
2234,listen,слышать,verbs,3.57
2235,give,отрекаться,verbs,0.04
2236,girl,парень,nouns,0.43
2237,companion,возлюбленный,nouns,1.77
2238,lightly,ярко,adverbs,0.57
2239,organize,собирать,verbs,1.65
2240,secure,утомительный,adjectives,0.04
2241,spine,тело,nouns,0.84
2242,obey,слушать,verbs,1.42
2243,cook,потерять,verbs,0.0
2244,orthodontist,врач,nouns,1.71
2245,genie,фонарь,nouns,0.48
2246,crowd,группа,nouns,2.77
2247,sincerely,честно говоря,adverbs,4.65
2248,mark,клуб,nouns,0.0
2249,gun,пушка,nouns,2.12
2250,friend,мать,nouns,1.06
2251,flag,столб,nouns,0.51
2252,anatomy,биология,nouns,2.13
2253,code,символ,nouns,1.44
2254,sword,трон,nouns,0.17
2255,toy,куб,nouns,0.35
2256,jeans,женщина,nouns,0.15
2257,flower,куст,nouns,1.21
2258,tragedy,смерть,nouns,1.72
2259,understand,знать,verbs,2.25
2260,partner,мальчик,nouns,0.48
2261,manager,глава,nouns,3.6
2262,alley,шар,nouns,0.04
2263,make,становиться,verbs,0.67
2264,search,находить,verbs,1.61
2265,shy,напуганный,adjectives,0.94
2266,head,нос,nouns,0.59
2267,pure,скромный,adjectives,0.47
2268,strange,необычный,adjectives,4.74
2269,helium,воздух,nouns,1.46
2270,kid,дочь,nouns,1.15
2271,leave,оставаться,verbs,0.12
2272,hug,душить,verbs,0.88
2273,thumb,кисть,nouns,1.07
2274,dermatitis,экзема,nouns,3.29
2275,narrow,грязный,adjectives,0.0
2276,miss,ударять,verbs,0.0
2277,road,шоссе,nouns,4.14
2278,negotiation,дипломатия,nouns,2.26
2279,pursue,изучать,verbs,2.9
2280,fry,готовить,verbs,1.81
2281,organ,печень,nouns,1.83
2282,lifestyle,цивилизация,nouns,0.71
2283,intention,воля,nouns,2.64
2284,behave,подчиняться,verbs,2.81
2285,cable,волшебник,nouns,0.0
2286,gossip,новость,nouns,2.27
2287,shake,размешать,verbs,1.17
2288,falcon,орел,nouns,1.79
2289,hose,автомобиль,nouns,0.4
2290,matrix,молекула,nouns,0.54
2291,envelope,украшение,nouns,0.1
2292,known,хороший,adjectives,0.37
